repo,repo_id,loc_2025_eoy,sloc_2025_eoy,scc_complexity_2025_eoy,scc_density_2025_eoy,cognitive_total,cognitive_avg,cognitive_max,loc_year,churn_5y_total,hotspot_raw,hotspot_log,hotspot_percentile
10der/homeassistant-custom_components-awtrix,748539167,618,464,59,12.72,86,4.53,24,2025,2586,152574,6.0685,47.59
7rulnik/source-map-js,330043541,7956,5709,504,8.83,593,1.5,38,2024,33622,16945488,12.2368,72.36
acornjs/acorn,5932749,202344,136537,13508,9.89,13697,2.28,148,2025,18404,248601232,17.6168,86.58
acornjs/acorn-jsx,22187098,5683,5497,176,3.2,227,4.73,52,2022,71,12496,4.1752,38.88
adobe/react-spectrum,208362715,456638,360454,33711,9.35,55226,1.98,1085,2025,848820,28614571020,26.8444,98.17
agronholm/anyio,145337588,25385,18814,2325,12.36,2030,0.99,43,2025,54438,126568350,15.9440,83.72
agronholm/exceptiongroup,447694800,3207,2499,523,20.93,555,3.12,73,2025,6351,3321573,10.3414,65.37
ai/nanoid,99401299,857,663,82,12.37,49,0.65,9,2025,4176,342432,6.9487,52.52
aio-libs/aiobotocore,36618494,20475,16115,1402,8.7,1260,1.27,32,2025,49037,68749874,14.7614,80.73
aio-libs/aiohttp,13258039,87972,66837,5530,8.27,5608,0.91,162,2025,196964,1089210920,19.8159,90.48
aio-libs/aiosignal,205007356,653,329,32,9.73,18,0.69,13,2025,581,18592,4.1986,39.11
aio-libs/async-timeout,67703198,690,531,81,15.25,27,0.4,4,2025,975,78975,5.7213,45.99
aio-libs/frozenlist,204197530,1646,1062,85,8.00,31,0.28,5,2025,1707,145095,6.2532,48.62
aio-libs/multidict,51206425,16654,13446,2267,16.86,2300,2.31,59,2025,29738,67416046,15.0109,81.19
aio-libs/propcache,866565706,2076,1280,104,8.12,50,0.42,5,2025,3274,340496,7.1049,53.78
aio-libs/yarl,64756820,10405,7711,673,8.73,909,0.92,59,2025,15972,10749156,11.8900,70.99
ajv-validator/ajv,35914020,26567,23033,1934,8.4,1816,0.87,133,2024,22166,42869044,14.2830,78.90
ajv-validator/ajv-formats,281084700,674,606,19,3.14,20,0.53,6,2024,566,10754,3.5825,35.89
ajv-validator/ajv-keywords,60477053,1976,1703,109,6.4,114,0.6,31,2022,45,4905,3.3943,34.40
alexcrichton/tar-rs,21946092,7941,5702,575,10.08,668,1.82,102,2025,4169,2397175,9.9931,63.65
alexei/sprintf.js,9175790,542,495,0,0,8,0.17,7,2023,4,0,0.0000,7.28
alexeyraspopov/picocolors,410740124,752,663,12,1.81,6,0.09,2,2024,4604,55248,4.0806,38.42
alexhuszagh/rust-lexical,155286170,75422,48641,3693,7.59,3244,1.35,110,2025,1343006,4959721158,21.8619,93.81
alexindigo/asynckit,59087459,4944,3704,137,3.70,233,0.43,10,2025,0,0,0.0000,7.28
amanieu/parking_lot,58731560,15269,10138,1196,11.8,1046,1.4,30,2025,6611,7906756,11.7593,70.18
andialbrecht/sqlparse,4067434,7927,5954,533,8.95,751,1.43,50,2025,2006,1069198,9.0078,59.75
andrewrk/node-pend,11836813,192,178,11,6.18,10,0.29,5,HEAD,0,0,0.0000,7.28
andyperlitch/jsbn,9710533,1841,1529,441,28.84,370,3.16,37,HEAD,0,0,0.0000,7.28
annotated-types/annotated-types,487934134,751,564,29,5.14,29,0.76,6,2025,2205,63945,4.9389,42.55
antonk52/lilconfig,238967485,2611,2042,72,3.53,201,1.06,83,2025,13028,938016,7.6674,56.08
apache/airflow,33884891,1286426,933176,57892,6.2,53224,1.2,484,2025,,,,
apache/arrow,51905353,1181129,850760,66085,7.77,65138,1.19,387,2025,4522264,298853816440,32.0795,99.66
apache/arrow-rs,358917250,405336,299628,16049,5.36,26622,1.75,355,2025,1436276,23050793524,25.8941,97.36
archlinux/linux,142707813,36802081,27734051,2617017,9.44,,,,2025,,,,
ardatan/graphql-tools,54432168,61108,53446,3660,6.85,3628,1.03,213,2025,405274,1483302840,19.9838,90.83
ardatan/whatwg-node,429511342,13599,12233,1495,12.22,1286,0.94,47,2025,88802,132758990,15.7109,83.03
assert-rs/snapbox,424722460,12374,9986,847,8.48,0,0,0,2025,59273,50204231,13.9768,78.21
astral-sh/ruff,523043277,842386,613615,55374,9.02,52680,1.17,1599,2025,4449233,246371828142,31.5349,99.54
auth0/node-jwa,8116861,930,766,38,4.96,,,,2025,18,684,2.0346,25.69
autotools-mirror/autoconf,47662429,4159,2598,398,15.32,209,2.75,15,2025,512,203776,7.0489,53.33
autotools-mirror/libtool,47662711,6882,4314,807,18.71,973,6.4,106,2025,470,379290,7.7716,56.65
