repo,repo_id,total_commits,total_contributors,bus_factor,hhi,fetched_at
10der/homeassistant-custom_components-awtrix,748539167,61,6,1,6565,2026-04-27T23:49:33+00:00
7rulnik/source-map-js,330043541,594,73,1,3496,2026-04-27T23:49:39+00:00
acornjs/acorn,5932749,1529,143,1,2976,2026-04-27T23:49:39+00:00
acornjs/acorn-jsx,22187098,503,52,2,3415,2026-04-27T23:49:46+00:00
adobe/react-spectrum,208362715,6433,494,3,1198,2026-04-27T23:49:52+00:00
agronholm/anyio,145337588,1284,75,1,5815,2026-04-27T23:49:50+00:00
agronholm/exceptiongroup,447694800,209,10,1,3093,2026-04-27T23:49:53+00:00
ai/nanoid,99401299,1202,150,1,6383,2026-04-27T23:49:56+00:00
aio-libs/aiobotocore,36618494,1196,77,3,1623,2026-04-27T23:49:57+00:00
aio-libs/aiohttp,13258039,13256,833,4,1238,2026-04-27T23:50:03+00:00
aio-libs/aiosignal,205007356,802,13,9,108,2026-04-27T23:50:02+00:00
aio-libs/async-timeout,67703198,420,26,21,663,2026-04-27T23:50:04+00:00
aio-libs/frozenlist,204197530,932,20,15,666,2026-04-27T23:50:06+00:00
aio-libs/multidict,51206425,1664,63,2,1596,2026-04-27T23:50:08+00:00
aio-libs/propcache,866565706,183,13,3,1626,2026-04-27T23:50:12+00:00
aio-libs/yarl,64756820,1921,102,3,1233,2026-04-27T23:50:14+00:00
ajv-validator/ajv,35914020,2721,212,1,5738,2026-04-27T23:50:16+00:00
ajv-validator/ajv-formats,281084700,109,11,1,6732,2026-04-27T23:50:19+00:00
ajv-validator/ajv-keywords,60477053,366,26,1,6414,2026-05-17T23:35:35+00:00
alexcrichton/tar-rs,21946092,548,86,1,4042,2026-04-27T23:50:20+00:00
alexei/sprintf.js,9175790,294,26,1,6634,2026-04-27T23:50:22+00:00
alexeyraspopov/picocolors,410740124,89,12,1,4675,2026-04-27T23:50:24+00:00
alexhuszagh/rust-lexical,155286170,1025,27,1,4456,2026-04-27T23:50:26+00:00
alexindigo/asynckit,59087459,28,2,1,9311,2026-04-27T23:50:28+00:00
amanieu/parking_lot,58731560,947,125,1,2779,2026-04-27T23:50:31+00:00
andialbrecht/sqlparse,4067434,1356,121,1,3643,2026-04-27T23:50:32+00:00
andrewrk/node-pend,11836813,13,1,1,10000,2026-04-27T23:50:34+00:00
andyperlitch/jsbn,9710533,28,11,1,2628,2026-04-27T23:50:38+00:00
annotated-types/annotated-types,487934134,84,21,2,2891,2026-04-27T23:50:42+00:00
antonk52/lilconfig,238967485,140,11,1,8106,2026-04-27T23:50:45+00:00
apache/airflow,33884891,37801,4296,20,266,2026-04-27T23:50:51+00:00
apache/arrow,51905353,18776,1503,17,277,2026-04-27T23:50:51+00:00
apache/arrow-rs,358917250,7591,810,12,356,2026-04-27T23:50:54+00:00
ardatan/graphql-tools,54432168,7313,417,376,140,2026-04-27T23:51:00+00:00
ardatan/whatwg-node,429511342,3170,33,28,268,2026-04-27T23:50:59+00:00
assert-rs/snapbox,424722460,1365,20,1,8294,2026-04-27T23:51:03+00:00
astral-sh/ruff,523043277,15077,859,6,832,2026-04-27T23:51:09+00:00
auth0/node-jwa,8116861,97,16,2,2720,2026-05-17T23:35:34+00:00
autotools-mirror/autoconf,47662429,7086,153,3,1311,2026-04-27T23:51:07+00:00
autotools-mirror/libtool,47662711,4532,354,27,845,2026-04-27T23:51:10+00:00
autotools-mirror/m4,66880383,709,14,1,7392,2026-04-27T23:51:11+00:00
aws/aws-cli,6780767,13829,495,2,1887,2026-04-27T23:51:16+00:00
aws/aws-sdk-js-crypto-helpers,149673986,267,28,11,567,2026-04-27T23:50:54+00:00
aws/aws-sdk-js-v3,87228090,12274,168,158,201,2026-04-27T23:51:17+00:00
axios/axios,23088740,1989,602,8,578,2026-04-27T23:47:55+00:00
azure/azure-sdk-for-js,108311273,20585,595,10,464,2026-04-27T23:47:56+00:00
azure/azure-sdk-for-python,4127088,22246,915,12,434,2026-04-27T23:47:59+00:00
azure/msrest-for-python,71186468,347,25,1,7251,2026-05-03T16:23:44+00:00
azuread/microsoft-authentication-library-for-python,67243113,1270,47,1,7951,2026-04-27T23:47:57+00:00
babel/babel,24560307,18471,1250,4,1250,2026-04-27T23:48:02+00:00
babel/babel-polyfills,190579283,446,26,1,6392,2026-04-27T23:48:01+00:00
bdwgc/bdwgc,2109456,6498,206,1,6599,2026-04-27T23:48:02+00:00
beatgammit/base64-js,2853282,155,16,1,5430,2026-04-27T23:48:03+00:00
benjaminp/six,77868600,551,68,1,5185,2026-04-27T23:48:04+00:00
besser82/libxcrypt,35503965,857,26,1,5284,2026-04-27T23:48:05+00:00
bincode-org/bincode,24130045,1,1,1,10000,2026-05-03T16:23:40+00:00
bitflags/bitflags,29287955,769,91,1,3286,2026-04-27T23:48:07+00:00
blakeembrey/array-flatten,17789771,71,8,1,4033,2026-04-27T23:48:08+00:00
blakeembrey/change-case,9440238,323,25,2,2488,2026-04-27T23:48:10+00:00
bluss/bencher,65987276,47,4,1,8397,2026-04-27T23:48:11+00:00
bminor/glibc,13868694,43313,930,260,151,2026-05-03T16:23:45+00:00
boto/boto3,24774658,7569,171,1,5116,2026-04-27T23:48:15+00:00
boto/botocore,6670942,13077,222,1,2774,2026-04-27T23:48:17+00:00
boto/s3transfer,49535299,739,47,2,2241,2026-04-27T23:48:17+00:00
braveg1rl/performance-now,336187529,1,1,1,10000,2026-04-27T23:48:18+00:00
brianc/node-postgres,991475,2884,372,1,4115,2026-04-27T23:48:22+00:00
brianloveswords/node-jwa,8116861,96,16,2,2771,2026-04-27T23:48:22+00:00
broofa/mime,534940,415,57,1,5804,2026-04-27T23:48:23+00:00
broofa/node-int64,1208666,34,8,1,4645,2026-05-03T16:23:43+00:00
browserify/events,1649251,140,17,2,2825,2026-05-17T23:35:36+00:00
browserify/node-util,14568009,161,11,2,3111,2026-04-27T23:48:25+00:00
browserify/randombytes,29300004,51,10,2,1945,2026-05-17T23:35:36+00:00
browserify/resolve,1915099,734,65,1,4795,2026-04-27T23:48:27+00:00
browserslist/browserslist,27971466,1562,197,1,6645,2026-04-27T23:48:30+00:00
browserslist/caniuse-lite,80221890,1751,15,2,3540,2026-04-27T23:48:31+00:00
browserslist/update-db,505548145,176,14,1,7283,2026-04-27T23:48:32+00:00
burntsushi/aho-corasick,37290678,300,35,1,6520,2026-04-27T23:48:35+00:00
burntsushi/jiff,759017108,634,46,1,7946,2026-04-27T23:48:36+00:00
burntsushi/memchr,37290652,269,50,1,4493,2026-04-27T23:48:37+00:00
burntsushi/quickcheck,17559913,650,93,1,4982,2026-04-27T23:48:39+00:00
burntsushi/same-file,78375612,59,14,1,3901,2026-04-27T23:48:41+00:00
burntsushi/termcolor,141345580,1040,185,1,4834,2026-04-27T23:48:44+00:00
burntsushi/ucd-generate,123997498,176,16,1,6229,2026-04-27T23:48:44+00:00
burntsushi/walkdir,42685794,192,41,1,4901,2026-04-27T23:48:46+00:00
burntsushi/winapi-util,146040682,35,7,1,6914,2026-04-27T23:48:48+00:00
businho/pytest-ruff,599731435,44,7,1,6767,2026-04-27T23:48:51+00:00
bytecodealliance/rustix,295544240,2207,124,1,7132,2026-04-27T23:48:53+00:00
