repo,repo_id,total_commits_github,total_contributors_github,active_contributors_github,bf_commits_github,hhi_commits_github,total_commits_git,contributors_git,bf_commits_git,hhi_commits_git,commits_git_2021_2025,active_contributors_git_2021_2025,bf_commits_git_2021_2025,hhi_commits_git_2021_2025,concentration_class,github_fetched_at,git_fetched_at
7rulnik/source-map-js,330043541,640,63,63,1,3201,506,70,2,2383,39,9,1,4333,D,2026-05-19T11:23:41+00:00,2026-05-19T11:22:35+00:00
acornjs/acorn,5932749,1494,124,124,1,3132,1528,140,1,2985,294,48,2,2593,C,2026-05-19T11:23:42+00:00,2026-05-19T11:22:35+00:00
acornjs/acorn-jsx,22187098,486,45,45,2,3658,489,51,2,3390,6,4,1,3333,C,2026-05-19T11:23:52+00:00,2026-05-19T11:22:35+00:00
adobe/react-spectrum,208362715,5800,404,404,3,1499,6227,497,3,1232,3559,318,3,1407,D,2026-05-19T11:23:55+00:00,2026-05-19T11:22:35+00:00
agronholm/anyio,145337588,1297,78,76,1,7061,1295,77,1,7057,813,58,1,6210,B,2026-05-19T11:23:54+00:00,2026-05-19T11:22:35+00:00
agronholm/exceptiongroup,447694800,209,10,9,1,7637,209,9,1,7637,206,8,1,7737,B,2026-05-19T11:23:56+00:00,2026-05-19T11:22:35+00:00
ai/nanoid,99401299,1196,138,137,1,6853,1199,148,1,6636,415,69,1,6247,B,2026-05-19T11:23:56+00:00,2026-05-19T11:22:35+00:00
aio-libs/aiobotocore,36618494,1211,70,67,2,2301,969,69,2,2412,340,40,1,4672,D,2026-05-19T11:23:57+00:00,2026-05-19T11:22:35+00:00
aio-libs/aiohttp,13258039,12598,410,403,2,2726,12301,803,2,2214,5080,240,2,1898,D,2026-05-19T11:24:03+00:00,2026-05-19T11:22:35+00:00
aio-libs/aiosignal,205007356,807,13,9,2,2786,800,9,2,2763,572,8,1,3494,C,2026-05-19T11:24:00+00:00,2026-05-19T11:22:36+00:00
aio-libs/async-timeout,67703198,419,25,21,1,4869,406,22,1,4703,240,12,1,4750,C,2026-05-19T11:24:02+00:00,2026-05-19T11:22:36+00:00
aio-libs/frozenlist,204197530,955,22,18,2,2969,924,19,2,2910,587,15,1,4466,C,2026-05-19T11:24:03+00:00,2026-05-19T11:22:36+00:00
aio-libs/multidict,51206425,1681,63,58,2,3540,1632,59,2,3574,720,27,1,3515,C,2026-05-19T11:24:04+00:00,2026-05-19T11:22:36+00:00
aio-libs/propcache,866565706,219,16,14,1,4567,218,15,1,4580,168,11,1,4904,C,2026-05-19T11:24:06+00:00,2026-05-19T11:22:37+00:00
aio-libs/yarl,64756820,1946,101,95,2,2326,1896,99,2,2279,1049,46,2,3598,D,2026-05-19T11:24:07+00:00,2026-05-19T11:22:37+00:00
ajv-validator/ajv,35914020,2562,193,190,1,6902,2290,209,1,6582,543,90,1,3731,B,2026-05-19T11:24:08+00:00,2026-05-19T11:22:37+00:00
ajv-validator/ajv-formats,281084700,106,9,9,1,7118,90,11,1,6479,44,10,1,4091,B,2026-05-19T11:24:09+00:00,2026-05-19T11:22:37+00:00
ajv-validator/ajv-keywords,60477053,344,19,16,1,8497,306,22,1,7856,25,4,1,7037,B,2026-05-19T11:24:10+00:00,2026-05-19T11:22:37+00:00
alexcrichton/tar-rs,21946092,531,81,79,1,4348,485,84,1,3396,76,33,4,1004,C,2026-05-19T11:24:12+00:00,2026-05-19T11:22:38+00:00
alexei/sprintf.js,9175790,285,21,21,1,7059,198,26,1,5493,3,2,1,5556,B,2026-05-19T11:24:13+00:00,2026-05-19T11:22:38+00:00
alexeyraspopov/picocolors,410740124,89,12,12,1,4675,74,13,1,3977,74,13,1,3977,C,2026-05-19T11:24:14+00:00,2026-05-19T11:22:38+00:00
alexhuszagh/rust-lexical,155286170,727,24,23,1,8882,911,25,1,9163,554,15,1,9085,A,2026-05-19T11:24:15+00:00,2026-05-19T11:22:38+00:00
alexindigo/asynckit,59087459,28,2,2,1,9311,27,2,1,9287,3,2,1,5556,A,2026-05-19T11:24:16+00:00,2026-05-19T11:22:38+00:00
amanieu/parking_lot,58731560,932,117,115,1,3133,707,125,2,1985,182,70,9,870,D,2026-05-19T11:24:17+00:00,2026-05-19T11:22:38+00:00
andialbrecht/sqlparse,4067434,1260,92,92,1,4220,1212,113,1,3595,198,31,1,5268,C,2026-05-19T11:24:18+00:00,2026-05-19T11:22:38+00:00
andrewrk/node-pend,11836813,13,1,1,1,10000,13,1,1,10000,0,0,0,0,A,2026-05-19T11:24:21+00:00,2026-05-19T11:22:39+00:00
