package,is_eol,eol_method,eol_reason,source,eol_checked_at
glibc,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
gcc,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
libxcrypt,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
debconf,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
linux,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
rpcsvc-proto,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
debian:libc-l10n,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
gettext,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
zlib,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
zstd,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
gmp,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
xz,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
systemd,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
openssl,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
debian:lib32c-dev,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
libunistring,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
glib,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
mpfr,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
tcp-wrappers,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
lz4,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
usb.ids,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
ca-certificates,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
boehm-gc,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
isl,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
gnumpc,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
binutils,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
m68k-elf-binutils,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
libx11,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
readline,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
debian:libc-dev,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
python,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
libpng,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
libjpeg-turbo,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
xorgproto,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
sqlite,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
ncurses,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
pkgconf,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
debian:x11proto-dev,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
xxhash,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
pcre,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
tiff,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
freetype,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
harfbuzz,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
m4,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
icu,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
nghttp2,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
libselinux,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
libxau,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
libxcb,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
nodejs,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
gnutls,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
libxdmcp,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
fontconfig,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
util-linux,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
libxext,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
cairo-graphics-library,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
libidn2,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
python3-defaults,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
bzip2,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
lcms,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
libgpg-error,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
brotli,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
krb5,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
expat,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
libxml2,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
libwebp,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
libuv,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
curl,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
nettle,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
pango,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
git,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
pam,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
unbound,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
autoconf,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
qt,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
gdbm,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
mpdecimal,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
c-ares,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
giflib,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
libtool,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
acl,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
libffi,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
awscli,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
pcre2,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
aom,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
libjxl,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
libxrender,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
libtasn1,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
ffmpeg,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
debian:readline-common,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
libyaml,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
gdk-pixbuf,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
pixman,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
dbus,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
libogg,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
audit,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
p11-kit,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
init-system-helpers,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
vmaf,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
libevent,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
perl,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
openexr,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
libcap,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
libusb,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
cmake,False,unsupported,no registry-level deprecation signal for cpp,unsupported,2026-04-27T10:56:04+00:00
