"package","github_repo"
"abseil-cpp","abseil/abseil-cpp"
"aha","theZiz/aha"
"appstream","ximion/appstream"
"appstream-glib","hughsie/appstream-glib"
"argon2","P-H-C/phc-winner-argon2"
"aria2","aria2/aria2"
"aribb24","nkoriyama/aribb24"
"arpack","opencollab/arpack-ng"
"arpack-ng","opencollab/arpack-ng"
"assimp","assimp/assimp"
"augeas","hercules-team/augeas"
"aws-c-auth","awslabs/aws-c-auth"
"aws-c-cal","awslabs/aws-c-cal"
"aws-c-common","awslabs/aws-c-common"
"aws-c-compression","awslabs/aws-c-compression"
"aws-c-event-stream","awslabs/aws-c-event-stream"
"aws-c-http","awslabs/aws-c-http"
"aws-c-io","awslabs/aws-c-io"
"aws-c-mqtt","awslabs/aws-c-mqtt"
"aws-c-s3","awslabs/aws-c-s3"
"aws-c-sdkutils","awslabs/aws-c-sdkutils"
"aws-checksums","awslabs/aws-checksums"
"aws-crt-cpp","awslabs/aws-crt-cpp"
"aws-sdk-cpp","aws/aws-sdk-cpp"
"awscli","aws/aws-cli"
"ayatana-ido","AyatanaIndicators/ayatana-ido"
"bcg729","BelledonneCommunications/bcg729"
"blake3","BLAKE3-team/BLAKE3"
"boehm-gc","bdwgc/bdwgc"
"boost","boostorg/boost"
"brotli","google/brotli"
"btop","aristocratos/btop"
"bup","bup/bup"
"c-ares","c-ares/c-ares"
"c-blosc","Blosc/c-blosc"
"capstone","capstone-engine/capstone"
"carthage","Carthage/Carthage"
"cask","cask/cask"
"ccache","ccache/ccache"
"certifi","certifi/python-certifi"
"cfn-lint","aws-cloudformation/cfn-lint"
"cgal","CGAL/cgal"
"cgif","dloebl/cgif"
"cgns","CGNS/CGNS"
"charls","team-charls/charls"
"chromaprint","acoustid/chromaprint"
"cjson","DaveGamble/cJSON"
"cmake","Kitware/CMake"
"cmark","commonmark/cmark"
"cocoapods","CocoaPods/CocoaPods"
"coin-or-cbc","coin-or/cbc"
"coin-or-coinutils","coin-or/CoinUtils"
"coin-or-osi","coin-or/Osi"
"cpuinfo-pytorch","pytorch/cpuinfo"
"cracklib","cracklib/cracklib"
"cups","OpenPrinting/cups"
"cyrus-sasl","cyrusimap/cyrus-sasl"
"czmq","zeromq/czmq"
"dctrl-tools","ajkaijanaho/dctrl-tools"
"deno","denoland/deno"
"dhcpcd","NetworkConfiguration/dhcpcd"
"docbook","docbook/docbook"
"docbook-xsl","docbook/xslt10-stylesheets"
