"project","github_repo","debian_sources","homebrew_formulas","in_debian","in_homebrew","is_cpp","is_oss_fuzz","debian_dl_avg","homebrew_dl_avg","debian_dl_p","homebrew_dl_p","debian_share","homebrew_share","categories","licenses","2021","2022","2023","2024","2025"
"ca-certificates","","ca-certificates","ca-certificates","True","True","True","False","0","4731609","","2.34","","2.3424","misc","","0","8734994","1721992","3966910","4502542"
"python","","python3.13","python@3.10|python@3.11|python@3.12|python@3.13|python@3.14|python@3.9","True","True","True","False","35815","2224521","84.76","16.56","0.0316","1.1013","misc","","0","5377075","1571411","3179675","3269403"
"xz","tukaani-project/xz","xz-utils","xz","True","True","True","True","227645","3855986","12.96","4.25","0.2009","1.9089","utils","","203515","7528623","1849380","3735258","3245396"
"sqlite","","sqlite3","sqlite","True","True","True","False","229489","3691987","8.12","6.08","0.2025","1.8277","database","","206922","7767161","1574812","3113764","3252734"
"openssl","openssl/openssl","openssl","openssl@3|openssl@3.0|openssl@3.5","True","True","True","True","229107","3498788","10.14","7.81","0.2022","1.7321","libs","","206156","2303903","2016657","5148066","5465909"
"glib","","glib2.0","glib","True","True","True","False","216841","3003625","18.67","9.30","0.1913","1.4870","libs","","196226","4985730","1482070","3259599","3175082"
"pcre","PCRE2Project/pcre2","","pcre|pcre2","False","True","True","True","0","2306580","","15.46","","1.1419","","","0","4286414","671861","2047268","2220778"
"readline","","readline","readline","True","True","True","False","131686","2631392","41.38","10.60","0.1162","1.3027","misc","","59705","5305198","811422","2644243","2363436"
"nghttp2","nghttp2/nghttp2","nghttp2","libnghttp2|nghttp2","True","True","True","True","210664","2517924","20.18","11.85","0.1859","1.2465","misc","","177164","5736279","1189182","2049968","1972430"
"harfbuzz","harfbuzz/harfbuzz","harfbuzz","harfbuzz","True","True","True","True","165196","2501400","29.89","13.09","0.1458","1.2383","misc","","150007","3981741","1243194","2634215","2822425"
"gettext","","gettext","gettext","True","True","True","False","14127","2480985","93.69","14.31","0.0125","1.2282","devel","","19091","4279973","715086","2232790","2747642"
"awscli","aws/aws-cli","","awscli|awscli@1","False","True","True","False","0","1751886","","22.93","","0.8673","misc","","0","2312196","733314","1857487","2104550"
"zstd","facebook/zstd","libzstd","zstd","True","True","True","True","195196","1911802","23.41","17.50","0.1722","0.9465","misc","","147079","3110548","1252687","1973697","2139180"
"libpng","","libpng1.6","libpng","True","True","True","False","192792","1910764","24.10","18.45","0.1701","0.9459","misc","","178579","3687432","834484","1847591","2058933"
"libx11","","libx11","libx11","True","True","True","False","227797","1837738","12.76","19.36","0.2010","0.9098","x11","","205251","3537414","926422","1981791","1839061"
"lz4","lz4/lz4","lz4","lz4","True","True","True","True","212800","1828779","19.62","21.17","0.1878","0.9054","misc","","179360","3813450","864966","1782011","1739335"
"libjpeg-turbo","libjpeg-turbo/libjpeg-turbo","libjpeg-turbo","jpeg-turbo","True","True","True","True","189260","1803821","25.44","22.06","0.1670","0.8930","misc","","169727","3480119","869100","1932731","1709908"
"git","","git","git|git-gui|git-svn","True","True","True","False","125366","1832306","44.80","20.27","0.1106","0.9071","vcs","","103237","3344065","918051","1815997","1774707"
"libidn2","","libidn2","libidn2","True","True","True","False","212517","1650326","19.80","23.75","0.1875","0.8170","misc","","178844","4243307","679409","1392661","1169669"
"fontconfig","","fontconfig","fontconfig","True","True","True","False","195595","1634403","23.24","26.19","0.1726","0.8091","fonts","","178887","3478169","719882","1400607","1738045"
"mpdecimal","","","mpdecimal","False","True","True","False","0","1496913","","30.83","","0.7411","misc","","0","2181341","473486","1701150","1631676"
"gnutls","","gnutls28","gnutls","True","True","True","False","193022","1550257","23.93","29.34","0.1703","0.7675","libs","","178781","3219402","793219","1558573","1416167"
"freetype","","freetype","freetype","True","True","True","False","229438","1502390","8.52","30.09","0.2024","0.7438","libs","","206605","3309004","970794","1324131","1346223"
"tiff","","tiff","libtiff","True","True","True","False","72450","1648669","71.21","24.57","0.0639","0.8162","libs","","12170","3187415","912392","1421503","1423449"
"unbound","","unbound","unbound","True","True","True","False","64087","1640424","73.78","25.38","0.0565","0.8121","net","","50858","3241192","648477","1662479","1279129"
"lcms","","lcms2","little-cms2","True","True","True","False","165742","1458510","29.60","32.29","0.1462","0.7220","libs","","153930","2730675","957731","1355079","1465338"
"libunistring","","libunistring","libunistring","True","True","True","False","20077","1618694","91.42","27.79","0.0177","0.8013","libs","","619","2796894","467299","1534012","1776342"
"gmp","","gmp","gmp","True","True","True","False","226842","1358823","14.37","33.68","0.2002","0.6727","libs|non-free/doc","","202280","2204470","791324","1721470","1649961"
"libjxl","libjxl/libjxl","jpeg-xl","jpeg-xl","True","True","True","True","14334","1621571","93.61","26.99","0.0126","0.8028","misc","","3","2723251","726497","1693972","1414235"
"libwebp","","libwebp","webp","True","True","True","False","131256","1453192","42.19","33.01","0.1158","0.7194","libs","","104806","2954454","819429","1275156","1315206"
"pyenv","pyenv/pyenv","","pyenv","False","True","True","False","0","1267218","","34.97","","0.6273","misc","","0","1768041","579765","1395998","1325068"
"aom","","aom","aom","True","True","True","False","69761","1485175","71.77","31.56","0.0616","0.7352","misc","","3092","2850255","584198","1550775","1301186"
"libxcb","","libxcb","libxcb","True","True","True","False","227837","1227499","12.56","","0.2010","0.6077","libdevel","","205255","2434793","787678","1511842","1109616"
"xorgproto","","","xorgproto","False","True","True","False","0","1206438","","37.41","","0.5973","misc","","0","2372469","547794","1104491","801000"
"openjdk","openjdk/jdk25u","","openjdk|openjdk@11|openjdk@17|openjdk@21|openjdk@8","False","True","True","False","0","1196957","","38.01","","0.5926","misc","","0","2087942","510361","1194346","995182"
"libxau","","libxau","libxau","True","True","True","False","227983","1129290","12.36","40.28","0.2012","0.5591","x11","","205480","2693246","566705","955315","1236333"
