"package","debian_avg_downloads","debian_share","homebrew_avg_downloads","homebrew_share"
"dpkg","230133","0.2020","19853","0.0099"
"acl","230130","0.2020","78861","0.0395"
"pam","230129","0.2020","13151","0.0066"
"coreutils","230128","0.2020","687007","0.3439"
"bzip2","230128","0.2020","383645","0.1920"
"tar","230127","0.2020","234511","0.1174"
"shadow","230127","0.2020","0",""
"util-linux","230126","0.2020","239271","0.1198"
"perl","230126","0.2020","214762","0.1075"
"zlib","230123","0.2020","890331","0.4456"
"ca-certificates","0","","4731609","2.3682"
"sed","230119","0.2019","135455","0.0678"
"apt","230119","0.2019","0",""
"gcc","230118","0.2019","1109102","0.5551"
"attr","230118","0.2019","56712","0.0284"
"base-passwd","230115","0.2019","0",""
"findutils","230114","0.2019","33890","0.0170"
"ncurses","230113","0.2019","964676","0.4828"
"grep","230112","0.2019","91840","0.0460"
"gzip","230111","0.2019","16483","0.0082"
"hostname","230111","0.2019","0",""
"libselinux","230109","0.2019","0",""
"xz","227645","0.1998","3855986","1.9300"
"sysvinit","230102","0.2019","0",""
"glibc","230082","0.2019","354990","0.1777"
"bash","230075","0.2019","313461","0.1569"
"popt","230060","0.2019","85837","0.0430"
"libedit","230020","0.2019","235861","0.1181"
"e2fsprogs","229993","0.2018","0",""
"procps","229971","0.2018","0",""
"cpio","229930","0.2018","0",""
"debianutils","229908","0.2018","0",""
"sqlite","229489","0.2014","3691987","1.8479"
"s-lang","229888","0.2017","35811","0.0179"
"logrotate","229888","0.2017","0",""
"keyutils","229877","0.2017","26873","0.0135"
"expat","229837","0.2017","425033","0.2127"
"libcap","229822","0.2017","55416","0.0277"
"lvm2","229772","0.2016","0",""
"mawk","229643","0.2015","0",""
"newt-tui","229580","0.2015","0",""
"iputils","229537","0.2014","0",""
"openssl","229107","0.2011","3498788","1.7512"
"openssh","229442","0.2014","72811","0.0364"
"freetype","229438","0.2014","1502390","0.7520"
"cron","229394","0.2013","0",""
"dash-shell","229387","0.2013","0",""
"diffutils","229327","0.2013","27023","0.0135"
"systemd","229282","0.2012","72406","0.0362"
"glib","216841","0.1903","3003625","1.5034"
"libbsd","229267","0.2012","0",""
"klibc","229162","0.2011","0",""
"krb5","229140","0.2011","1056264","0.5287"
"tcp-wrappers","229025","0.2010","0",""
"libgpg-error","228979","0.2009","603556","0.3021"
"vim","228765","0.2008","366637","0.1835"
"readline","131686","0.1156","2631392","1.3171"
"less","228662","0.2007","0",""
