"package","dependency","type","detection_method"
"Inflector","lazy_static","normal","manifest_parsing"
"Inflector","regex","normal","manifest_parsing"
"ab_glyph","ab_glyph_rasterizer","normal","manifest_parsing"
"ab_glyph","libm","normal","manifest_parsing"
"ab_glyph","owned_ttf_parser","normal","manifest_parsing"
"ab_glyph_rasterizer","libm","normal","manifest_parsing"
"abscissa_core","abscissa_derive","normal","manifest_parsing"
"abscissa_core","arc-swap","normal","manifest_parsing"
"abscissa_core","backtrace","normal","manifest_parsing"
"abscissa_core","canonical-path","normal","manifest_parsing"
"abscissa_core","clap","normal","manifest_parsing"
"abscissa_core","color-eyre","normal","manifest_parsing"
"abscissa_core","fs-err","normal","manifest_parsing"
"abscissa_core","once_cell","normal","manifest_parsing"
"abscissa_core","regex","normal","manifest_parsing"
"abscissa_core","secrecy","normal","manifest_parsing"
"abscissa_core","semver","normal","manifest_parsing"
"abscissa_core","serde","normal","manifest_parsing"
"abscissa_core","termcolor","normal","manifest_parsing"
"abscissa_core","toml","normal","manifest_parsing"
"abscissa_core","tracing","normal","manifest_parsing"
"abscissa_core","tracing-log","normal","manifest_parsing"
"abscissa_core","tracing-subscriber","normal","manifest_parsing"
"abscissa_core","wait-timeout","normal","manifest_parsing"
"abscissa_derive","ident_case","normal","manifest_parsing"
"abscissa_derive","proc-macro2","normal","manifest_parsing"
"abscissa_derive","quote","normal","manifest_parsing"
"abscissa_derive","syn","normal","manifest_parsing"
"abscissa_derive","synstructure","normal","manifest_parsing"
"accesskit","enumn","normal","manifest_parsing"
"accesskit","pyo3","normal","manifest_parsing"
"accesskit","schemars","normal","manifest_parsing"
"accesskit","serde","normal","manifest_parsing"
"accesskit","serde_json","normal","manifest_parsing"
"accesskit","uuid","normal","manifest_parsing"
"accesskit_consumer","accesskit","normal","manifest_parsing"
"accesskit_consumer","hashbrown","normal","manifest_parsing"
"accesskit_macos","accesskit","normal","manifest_parsing"
"accesskit_macos","accesskit_consumer","normal","manifest_parsing"
"accesskit_macos","hashbrown","normal","manifest_parsing"
"accesskit_macos","objc2","normal","manifest_parsing"
"accesskit_macos","objc2-app-kit","normal","manifest_parsing"
"accesskit_macos","objc2-foundation","normal","manifest_parsing"
"accesskit_unix","accesskit","normal","manifest_parsing"
"accesskit_unix","accesskit_atspi_common","normal","manifest_parsing"
"accesskit_unix","async-channel","normal","manifest_parsing"
"accesskit_unix","async-executor","normal","manifest_parsing"
"accesskit_unix","async-task","normal","manifest_parsing"
"accesskit_unix","atspi","normal","manifest_parsing"
"accesskit_unix","futures-lite","normal","manifest_parsing"
"accesskit_unix","futures-util","normal","manifest_parsing"
"accesskit_unix","serde","normal","manifest_parsing"
"accesskit_unix","tokio","normal","manifest_parsing"
"accesskit_unix","tokio-stream","normal","manifest_parsing"
"accesskit_unix","zbus","normal","manifest_parsing"
"accesskit_windows","accesskit","normal","manifest_parsing"
"accesskit_windows","accesskit_consumer","normal","manifest_parsing"
"accesskit_windows","hashbrown","normal","manifest_parsing"
"accesskit_windows","once_cell","dev","manifest_parsing"
"accesskit_windows","parking_lot","dev","manifest_parsing"
"accesskit_windows","scopeguard","dev","manifest_parsing"
"accesskit_windows","static_assertions","normal","manifest_parsing"
"accesskit_windows","windows","normal","manifest_parsing"
"accesskit_windows","windows-core","normal","manifest_parsing"
"accesskit_windows","winit","dev","manifest_parsing"
"accesskit_winit","accesskit","normal","manifest_parsing"
"accesskit_winit","accesskit_android","normal","manifest_parsing"
"accesskit_winit","accesskit_macos","normal","manifest_parsing"
"accesskit_winit","accesskit_unix","normal","manifest_parsing"
"accesskit_winit","accesskit_windows","normal","manifest_parsing"
"accesskit_winit","raw-window-handle","normal","manifest_parsing"
"accesskit_winit","softbuffer","dev","manifest_parsing"
"accesskit_winit","winit","normal","manifest_parsing"
"accesskit_winit","winit","dev","manifest_parsing"
"actix","actix-macros","normal","manifest_parsing"
"actix","actix-rt","normal","manifest_parsing"
"actix","actix_derive","normal","manifest_parsing"
"actix","bitflags","normal","manifest_parsing"
"actix","bytes","normal","manifest_parsing"
"actix","crossbeam-channel","normal","manifest_parsing"
"actix","doc-comment","dev","manifest_parsing"
"actix","futures-core","normal","manifest_parsing"
"actix","futures-sink","normal","manifest_parsing"
"actix","futures-task","normal","manifest_parsing"
"actix","futures-util","normal","manifest_parsing"
"actix","futures-util","dev","manifest_parsing"
"actix","log","normal","manifest_parsing"
"actix","once_cell","normal","manifest_parsing"
"actix","parking_lot","normal","manifest_parsing"
"actix","pin-project-lite","normal","manifest_parsing"
"actix","smallvec","normal","manifest_parsing"
"actix","tokio","normal","manifest_parsing"
"actix","tokio-util","normal","manifest_parsing"
"actix-codec","bitflags","normal","manifest_parsing"
"actix-codec","bytes","normal","manifest_parsing"
"actix-codec","futures-core","normal","manifest_parsing"
"actix-codec","futures-sink","normal","manifest_parsing"
"actix-codec","memchr","normal","manifest_parsing"
"actix-codec","pin-project-lite","normal","manifest_parsing"
"actix-codec","tokio","normal","manifest_parsing"
"actix-codec","tokio-util","normal","manifest_parsing"
"actix-codec","tracing","normal","manifest_parsing"
"actix-cors","actix-utils","normal","manifest_parsing"
"actix-cors","actix-web","normal","manifest_parsing"
"actix-cors","actix-web","dev","manifest_parsing"
"actix-cors","derive_more","normal","manifest_parsing"
"actix-cors","env_logger","dev","manifest_parsing"
"actix-cors","futures-util","normal","manifest_parsing"
"actix-cors","log","normal","manifest_parsing"
"actix-cors","once_cell","normal","manifest_parsing"
"actix-cors","regex","dev","manifest_parsing"
"actix-cors","smallvec","normal","manifest_parsing"
"actix-files","actix-http","normal","manifest_parsing"
"actix-files","actix-rt","dev","manifest_parsing"
"actix-files","actix-server","normal","manifest_parsing"
"actix-files","actix-service","normal","manifest_parsing"
"actix-files","actix-test","dev","manifest_parsing"
"actix-files","actix-utils","normal","manifest_parsing"
"actix-files","actix-web","normal","manifest_parsing"
"actix-files","actix-web","dev","manifest_parsing"
"actix-files","bitflags","normal","manifest_parsing"
"actix-files","bytes","normal","manifest_parsing"
"actix-files","derive_more","normal","manifest_parsing"
"actix-files","env_logger","dev","manifest_parsing"
"actix-files","futures-core","normal","manifest_parsing"
"actix-files","http-range","normal","manifest_parsing"
"actix-files","log","normal","manifest_parsing"
"actix-files","mime","normal","manifest_parsing"
"actix-files","mime_guess","normal","manifest_parsing"
"actix-files","percent-encoding","normal","manifest_parsing"
"actix-files","pin-project-lite","normal","manifest_parsing"
"actix-files","tempfile","dev","manifest_parsing"
"actix-files","tokio-uring","normal","manifest_parsing"
"actix-files","v_htmlescape","normal","manifest_parsing"
"actix-http","actix-codec","normal","manifest_parsing"
"actix-http","actix-http-test","dev","manifest_parsing"
"actix-http","actix-rt","normal","manifest_parsing"
"actix-http","actix-server","dev","manifest_parsing"
"actix-http","actix-service","normal","manifest_parsing"
"actix-http","actix-tls","normal","manifest_parsing"
"actix-http","actix-tls","dev","manifest_parsing"
