"package","github_url"
"Inflector","https://github.com/whatisinternet/inflector"
"RustyXML","https://github.com/florob/rustyxml"
"ab_glyph","https://github.com/alexheretic/ab-glyph"
"ab_glyph_rasterizer","https://github.com/alexheretic/ab-glyph"
"abscissa_core","https://github.com/iqlusioninc/abscissa"
"abscissa_derive","https://github.com/iqlusioninc/abscissa"
"accesskit","https://github.com/accesskit/accesskit"
"accesskit_consumer","https://github.com/accesskit/accesskit"
"accesskit_macos","https://github.com/accesskit/accesskit"
"accesskit_unix","https://github.com/accesskit/accesskit"
"accesskit_windows","https://github.com/accesskit/accesskit"
"accesskit_winit","https://github.com/accesskit/accesskit"
"actix","https://github.com/actix/actix"
"actix-codec","https://github.com/actix/actix-net"
"actix-cors","https://github.com/actix/actix-extras"
"actix-files","https://github.com/actix/actix-web"
"actix-http","https://github.com/actix/actix-web"
"actix-macros","https://github.com/actix/actix-net"
"actix-multipart","https://github.com/actix/actix-web"
"actix-router","https://github.com/actix/actix-web"
"actix-rt","https://github.com/actix/actix-net"
"actix-server","https://github.com/actix/actix-net"
"actix-service","https://github.com/actix/actix-net"
"actix-tls","https://github.com/actix/actix-net"
"actix-utils","https://github.com/actix/actix-net"
"actix-web","https://github.com/actix/actix-web"
"actix-web-actors","https://github.com/actix/actix-web"
"actix-web-codegen","https://github.com/actix/actix-web"
"actix_derive","https://github.com/actix/actix"
"addr","https://github.com/addr-rs/addr"
"addr2line","https://github.com/gimli-rs/addr2line"
"adler","https://github.com/jonas-schievink/adler"
"adler2","https://github.com/oyvindln/adler2"
"adler32","https://github.com/remram44/adler32-rs"
"aead","https://github.com/rustcrypto/traits"
"aes","https://github.com/rustcrypto/block-ciphers"
"aes-gcm","https://github.com/rustcrypto/aeads"
"aes-gcm-siv","https://github.com/rustcrypto/aeads"
"aes-soft","https://github.com/rustcrypto/block-ciphers"
"aesni","https://github.com/rustcrypto/block-ciphers"
"ahash","https://github.com/tkaitchuck/ahash"
"aho-corasick","https://github.com/burntsushi/aho-corasick"
"alga","https://github.com/rustsim/alga"
"aliasable","https://github.com/avitex/rust-aliasable"
"aligned","https://github.com/rust-embedded-community/aligned"
"aligned-vec","https://github.com/sarah-ek/aligned-vec"
"allo-isolate","https://github.com/sunshine-protocol/allo-isolate"
"alloc-no-stdlib","https://github.com/dropbox/rust-alloc-no-stdlib"
"alloc-stdlib","https://github.com/dropbox/rust-alloc-no-stdlib"
"allocator-api2","https://github.com/zakarumych/allocator-api2"
"alloy-chains","https://github.com/alloy-rs/chains"
"alloy-consensus","https://github.com/alloy-rs/alloy"
"alloy-core","https://github.com/alloy-rs/core"
"alloy-dyn-abi","https://github.com/alloy-rs/core"
"alloy-eip2930","https://github.com/alloy-rs/eips"
"alloy-eip7702","https://github.com/alloy-rs/eips"
"alloy-eips","https://github.com/alloy-rs/alloy"
"alloy-json-abi","https://github.com/alloy-rs/core"
"alloy-json-rpc","https://github.com/alloy-rs/alloy"
"alloy-network","https://github.com/alloy-rs/alloy"
"alloy-network-primitives","https://github.com/alloy-rs/alloy"
"alloy-primitives","https://github.com/alloy-rs/core"
"alloy-provider","https://github.com/alloy-rs/alloy"
"alloy-rlp","https://github.com/alloy-rs/rlp"
"alloy-rlp-derive","https://github.com/alloy-rs/rlp"
"alloy-rpc-client","https://github.com/alloy-rs/alloy"
"alloy-rpc-types-eth","https://github.com/alloy-rs/alloy"
"alloy-serde","https://github.com/alloy-rs/alloy"
"alloy-signer","https://github.com/alloy-rs/alloy"
"alloy-sol-macro","https://github.com/alloy-rs/core"
"alloy-sol-macro-expander","https://github.com/alloy-rs/core"
"alloy-sol-macro-input","https://github.com/alloy-rs/core"
"alloy-sol-type-parser","https://github.com/alloy-rs/core"
"alloy-sol-types","https://github.com/alloy-rs/core"
"alloy-transport","https://github.com/alloy-rs/alloy"
"alloy-transport-http","https://github.com/alloy-rs/alloy"
"alloy-trie","https://github.com/alloy-rs/trie"
"alsa","https://github.com/diwic/alsa-rs"
"alsa-sys","https://github.com/diwic/alsa-sys"
"always-assert","https://github.com/matklad/always-assert"
"ambient-authority","https://github.com/sunfishcode/ambient-authority"
"ammonia","https://github.com/rust-ammonia/ammonia"
"amq-protocol","https://github.com/amqp-rs/amq-protocol"
"amq-protocol-tcp","https://github.com/amqp-rs/amq-protocol"
"amq-protocol-types","https://github.com/amqp-rs/amq-protocol"
"amq-protocol-uri","https://github.com/amqp-rs/amq-protocol"
"android-activity","https://github.com/rust-mobile/android-activity"
"android-properties","https://github.com/miklelappo/android-properties"
"android-tzdata","https://github.com/rumovz/android-tzdata"
"android_log-sys","https://github.com/rust-mobile/android_log-sys-rs"
"android_logger","https://github.com/rust-mobile/android_logger-rs"
"android_system_properties","https://github.com/nical/android_system_properties"
"anes","https://github.com/qwandor/anes-rs"
"annotate-snippets","https://github.com/rust-lang/annotate-snippets-rs"
"ansi_term","https://github.com/ogham/rust-ansi-term"
"anstream","https://github.com/rust-cli/anstyle"
"anstyle","https://github.com/rust-cli/anstyle"
"anstyle-parse","https://github.com/rust-cli/anstyle"
"anstyle-query","https://github.com/rust-cli/anstyle"
"anstyle-wincon","https://github.com/rust-cli/anstyle"
"antlr-rust","https://github.com/rrevenantt/antlr4rust"
"anyhow","https://github.com/dtolnay/anyhow"
"anymap","https://github.com/chris-morgan/anymap"
"anymap2","https://github.com/azriel91/anymap2"
"apache-avro","https://github.com/apache/avro-rs"
"approx","https://github.com/brendanzab/approx"
"aquamarine","https://github.com/mersinvald/aquamarine"
"ar","https://github.com/mdsteele/rust-ar"
"arbitrary","https://github.com/rust-fuzz/arbitrary"
"arboard","https://github.com/1password/arboard"
"arc-swap","https://github.com/vorner/arc-swap"
"archery","https://github.com/orium/archery"
"arcstr","https://github.com/thomcc/arcstr"
"arg_enum_proc_macro","https://github.com/lu-zero/arg_enum_proc_macro"
"argh","https://github.com/google/argh"
"argh_derive","https://github.com/google/argh"
"argh_shared","https://github.com/google/argh"
"argminmax","https://github.com/jvdd/argminmax"
"argon2","https://github.com/rustcrypto/password-hashes"
"ariadne","https://github.com/zesterer/ariadne"
"ark-bls12-377","https://github.com/arkworks-rs/algebra"
"ark-bls12-381","https://github.com/arkworks-rs/algebra"
"ark-bn254","https://github.com/arkworks-rs/algebra"
"ark-ec","https://github.com/arkworks-rs/algebra"
"ark-ed-on-bls12-381-bandersnatch","https://github.com/arkworks-rs/algebra"
"ark-ff","https://github.com/arkworks-rs/algebra"
"ark-ff-asm","https://github.com/arkworks-rs/algebra"
"ark-ff-macros","https://github.com/arkworks-rs/algebra"
"ark-poly","https://github.com/arkworks-rs/algebra"
"ark-relations","https://github.com/arkworks-rs/snark"
"ark-scale","https://github.com/w3f/ark-scale"
"ark-serialize","https://github.com/arkworks-rs/algebra"
"ark-serialize-derive","https://github.com/arkworks-rs/algebra"
"ark-std","https://github.com/arkworks-rs/std"
"array-bytes","https://github.com/hack-ink/array-bytes"
"array-init","https://github.com/manishearth/array-init"
"array-init-cursor","https://github.com/planus-org/planus"
"arraydeque","https://github.com/andylokandy/arraydeque"
"arrayref","https://github.com/droundy/arrayref"
"arrayvec","https://github.com/bluss/arrayvec"
"arrow","https://github.com/apache/arrow-rs"
"arrow-arith","https://github.com/apache/arrow-rs"
"arrow-array","https://github.com/apache/arrow-rs"
"arrow-buffer","https://github.com/apache/arrow-rs"
"arrow-cast","https://github.com/apache/arrow-rs"
"arrow-csv","https://github.com/apache/arrow-rs"
"arrow-data","https://github.com/apache/arrow-rs"
"arrow-flight","https://github.com/apache/arrow-rs"
"arrow-format","https://github.com/dataengineeringlabs/arrow-format"
"arrow-ipc","https://github.com/apache/arrow-rs"
"arrow-json","https://github.com/apache/arrow-rs"
"arrow-ord","https://github.com/apache/arrow-rs"
"arrow-row","https://github.com/apache/arrow-rs"
"arrow-schema","https://github.com/apache/arrow-rs"
"arrow-select","https://github.com/apache/arrow-rs"
"arrow-string","https://github.com/apache/arrow-rs"
"arrow2","https://github.com/jorgecarleitao/arrow2"
"as-raw-xcb-connection","https://github.com/psychon/as-raw-xcb-connection"
"as-slice","https://github.com/japaric/as-slice"
"ascii","https://github.com/tomprogrammer/rust-ascii"
"ascii-canvas","https://github.com/lalrpop/ascii-canvas"
"ascii_utils","https://github.com/tredoe/ascii_utils"
"ash","https://github.com/ash-rs/ash"
"ashpd","https://github.com/bilelmoussaoui/ashpd"
"askama","https://github.com/askama-rs/askama"
"askama_derive","https://github.com/askama-rs/askama"
"askama_escape","https://github.com/askama-rs/askama"
"askama_parser","https://github.com/askama-rs/askama"
"asn1","https://github.com/alex/rust-asn1"
"asn1-rs","https://github.com/rusticata/asn1-rs"
"asn1-rs-derive","https://github.com/rusticata/asn1-rs"
"asn1-rs-impl","https://github.com/rusticata/asn1-rs"
"asn1_der","https://github.com/kizzycode/asn1_der-rust"
"asn1_derive","https://github.com/alex/rust-asn1"
"assert-json-diff","https://github.com/davidpdrsn/assert-json-diff"
"assert_approx_eq","https://github.com/ashleygwilliams/assert_approx_eq"
"assert_cmd","https://github.com/assert-rs/assert_cmd"
"assert_fs","https://github.com/assert-rs/assert_fs"
"assert_matches","https://github.com/murarth/assert_matches"
"ast_node","https://github.com/swc-project/swc"
"async-attributes","https://github.com/async-rs/async-attributes"
"async-broadcast","https://github.com/smol-rs/async-broadcast"
"async-channel","https://github.com/smol-rs/async-channel"
"async-compat","https://github.com/smol-rs/async-compat"
"async-compression","https://github.com/nullus157/async-compression"
"async-executor","https://github.com/smol-rs/async-executor"
"async-fs","https://github.com/smol-rs/async-fs"
"async-generic","https://github.com/scouten/async-generic"
"async-global-executor","https://github.com/keruspe/async-global-executor"
"async-global-executor-trait","https://github.com/amqp-rs/executor-trait"
"async-graphql","https://github.com/async-graphql/async-graphql"
"async-graphql-axum","https://github.com/async-graphql/async-graphql"
"async-graphql-derive","https://github.com/async-graphql/async-graphql"
"async-graphql-parser","https://github.com/async-graphql/async-graphql"
"async-graphql-value","https://github.com/async-graphql/async-graphql"
"async-h1","https://github.com/http-rs/async-h1"
"async-io","https://github.com/smol-rs/async-io"
"async-lock","https://github.com/smol-rs/async-lock"
"async-mutex","https://github.com/stjepang/async-lock"
"async-native-tls","https://github.com/async-email/async-native-tls"
"async-nats","https://github.com/nats-io/nats.rs"
"async-net","https://github.com/smol-rs/async-net"
"async-object-pool","https://github.com/alexliesenfeld/async-object-pool"
"async-process","https://github.com/smol-rs/async-process"
"async-reactor-trait","https://github.com/amqp-rs/reactor-trait"
"async-recursion","https://github.com/dcchut/async-recursion"
"async-scoped","https://github.com/rmanoka/async-scoped"
"async-signal","https://github.com/smol-rs/async-signal"
"async-std","https://github.com/async-rs/async-std"
"async-stream","https://github.com/tokio-rs/async-stream"
"async-stream-impl","https://github.com/tokio-rs/async-stream"
"async-task","https://github.com/smol-rs/async-task"
"async-trait","https://github.com/dtolnay/async-trait"
"async-tungstenite","https://github.com/sdroege/async-tungstenite"
