"package","github_repo","avg_downloads","2021","2022","2023","2024","2025","top","pagerank","value_class"
"serde","serde-rs/serde","144991169","34991551","65562547","109357962","182076207","332967578","True","0.04555289","A"
"serde_derive","serde-rs/serde","135029540","30242111","58490250","100004615","173246414","313164313","True","0.03786131","A"
"trybuild","dtolnay/trybuild","6421607","1275709","2285451","3983510","6888856","17674513","True","0.03127244","A"
"proc-macro2","dtolnay/proc-macro2","167070671","43042491","75560252","126177039","208951357","381622220","True","0.02750597","A"
"serde_core","serde-rs/serde","12491795","0","0","0","0","62458976","True","0.02479707","A"
"quote","dtolnay/quote","162618532","42658055","75197474","122818732","198373537","374044862","True","0.02396142","A"
"rustc-std-workspace-core","rust-lang/rust","351458","155020","306166","484408","413442","398257","False","0.02110701","A"
"rustversion","dtolnay/rustversion","67027638","4809684","18521028","41335301","81100352","189371827","True","0.02043979","A"
"syn","dtolnay/syn","243988489","46769798","79600993","183382578","337993130","572195949","True","0.01976949","A"
"rand","rust-random/rand","151946926","48153320","70113239","96883340","155643783","388940950","True","0.01801543","A"
"serde_json","serde-rs/json","128363670","29114497","56903669","94135115","163307071","298357999","True","0.01430992","A"
"criterion","criterion-rs/criterion.rs","28582699","4647658","8973117","16400531","35108583","77783607","True","0.01342897","A"
"libc","rust-lang/libc","162153079","43122350","74496649","117935941","197458183","377752276","True","0.01319107","A"
"windows-sys","microsoft/windows-rs","117711135","51502","15184337","61218626","143755749","368345465","True","0.01009549","A"
"windows-link","microsoft/windows-rs","17456657","0","0","0","578","87282711","True","0.010005","A"
"log","rust-lang/log","125550590","31016316","55535841","91116342","149082505","301001946","True","0.00924903","A"
"rayon","rayon-rs/rayon","55574259","11901740","21581423","40264436","73512330","130611369","True","0.00855387","A"
"quickcheck","burntsushi/quickcheck","7670752","1834025","3360282","4647611","9584950","18926895","True","0.00764225","A"
"doc-comment","guillaumegomez/doc-comment","18381817","4478157","6082805","13203138","26956080","41188906","True","0.00747596","A"
"unicode-ident","dtolnay/unicode-ident","134841825","21","33551508","108912516","178819846","352925235","True","0.00648348","A"
"rand_core","rust-random/rand_core","157594870","49518235","73000888","101949595","163551846","399953786","True","0.00602664","A"
"portable-atomic","taiki-e/portable-atomic","34605603","0","994893","10898919","40610712","120523493","True","0.00595479","A"
"automod","dtolnay/automod","504239","26183","41067","112038","644542","1697366","False","0.00580504","A"
"cfg-if","rust-lang/cfg-if","146597768","51136401","75282227","105482717","166791772","334295726","True","0.00578362","A"
"flate2","rust-lang/flate2-rs","67891545","13072277","25479700","48243373","87006665","165655710","True","0.00575601","A"
"winapi-util","burntsushi/winapi-util","38147869","8199246","15338516","27617275","49650051","89934261","True","0.0053313","A"
"getrandom","rust-random/getrandom","163104776","39247562","65716582","98191138","159117506","453251093","True","0.00530258","A"
"tar","alexcrichton/tar-rs","22889082","4033433","7076472","14127803","29555963","59651739","True","0.00516214","A"
"once_cell","matklad/once_cell","130001230","25817875","58771362","96899067","162295560","306222289","True","0.00504167","A"
"tempfile","stebalien/tempfile","80509591","15569932","28915466","58666120","101963391","197433049","True","0.00500932","A"
"tokio","tokio-rs/tokio","92825897","24677708","38761024","64964596","111097171","224628986","True","0.00454547","A"
"termcolor","burntsushi/termcolor","62436532","17666906","35411512","56809420","78929289","123365537","True","0.00451393","A"
"futures","rust-lang/futures-rs","76834009","22116761","33587825","54655754","97498660","176311047","True","0.0043804","A"
"regex","rust-lang/regex","118746849","29049777","49822249","92567574","157946667","264347980","True","0.00423375","A"
"memchr","burntsushi/memchr","134040337","31547966","52834095","92013234","173348058","320458335","True","0.004133","A"
"cc","rust-lang/cc-rs","121318048","28300630","51744399","85272044","148800182","292472985","True","0.00406398","A"
"toml","toml-rs/toml","87470928","16857671","32060986","61773122","114015811","212647051","True","0.00401174","A"
"num-traits","rust-num/num-traits","105318573","28425472","49670269","79240454","131970455","237286219","True","0.003888","A"
"static_assertions","nvzqz/static-assertions-rs","51291730","12051461","20514559","37591820","66738155","119562656","True","0.00378096","A"
"anyhow","dtolnay/anyhow","98318924","20054925","40904851","68674665","125743752","236216430","True","0.00376894","A"
"env_logger","rust-cli/env_logger","66994361","19185269","30568084","47094776","83497718","154625962","True","0.00375602","A"
"serde_test","serde-rs/test","4337392","2140076","2616009","2916817","4269101","9744958","True","0.00373634","A"
"glob","rust-lang/glob","62533908","13062536","22349635","41099366","78793938","157364067","True","0.00366094","A"
"futures-core","rust-lang/futures-rs","86950006","21243322","37154773","63769373","107917920","204664644","True","0.0035297","A"
"no-panic","dtolnay/no-panic","141714","8363","19484","41901","157710","481114","False","0.00343309","A"
"arbitrary","rust-fuzz/arbitrary","14634522","1128342","2031973","4994711","17179849","47837736","True","0.00339627","A"
"postcard","jamesmunns/postcard","3810227","147204","501568","1853768","4587626","11960971","True","0.00329213","A"
"dissimilar","dtolnay/dissimilar","5833532","1096682","2681005","5095955","7454764","12839258","True","0.00308223","A"
"autocfg","cuviper/autocfg","134710283","35996769","64249658","92903046","165669091","314732851","True","0.00306745","A"
"bitflags","bitflags/bitflags","183000730","32915137","54997348","121818091","256790194","448482880","True","0.00303305","B"
"target-triple","dtolnay/target-triple","2484224","0","0","395","719117","11701612","True","0.00297467","B"
"lazy_static","rust-lang-nursery/lazy-static.rs","105692614","30736578","53258288","79489266","134999394","229979545","True","0.00297324","B"
"wasm-bindgen","wasm-bindgen/wasm-bindgen","49003091","8707230","16217176","32240521","64039977","123810552","True","0.00274798","B"
"walkdir","burntsushi/walkdir","60680337","13707239","23080390","43408876","77793751","145411433","True","0.00272155","B"
"ref-cast","dtolnay/ref-cast","14430848","1570641","2914369","5253780","9938603","52476848","True","0.00267338","B"
"either","rayon-rs/either","102566514","21140064","41210474","74669303","138549435","237263294","True","0.00266856","B"
"indexmap","indexmap-rs/indexmap","151140288","22577552","43615544","90824265","204573849","394110234","True","0.00262686","B"
"futures-util","rust-lang/futures-rs","85238630","20700139","35665623","61522180","106680134","201625078","True","0.00262449","B"
"proptest","proptest-rs/proptest","16424193","1912290","3584380","6497268","17594024","52533007","True","0.00258146","B"
"itertools","rust-itertools/itertools","151228188","23647853","38317637","71885218","190079842","432210394","True","0.00257539","B"
"bytes","tokio-rs/bytes","100125516","29694452","45583361","68879679","120619338","235850753","True","0.00251576","B"
"itoa","dtolnay/itoa","132458767","28921191","70810547","101298146","161065214","300198739","True","0.00248038","B"
"thiserror","dtolnay/thiserror","134760914","21021818","42699115","79346547","151823593","378913500","True","0.00246733","B"
"wasm-bindgen-test","wasm-bindgen/wasm-bindgen","4405519","1205110","1823190","3365181","6605681","9028435","True","0.00244234","B"
"loom","tokio-rs/loom","7155614","592929","616340","2995689","4252513","27320602","True","0.00239308","B"
"fastrand","smol-rs/fastrand","92536846","5504411","27179393","67388977","133845277","228766173","True","0.00238825","B"
"pin-project-lite","taiki-e/pin-project-lite","99391013","27465364","44853400","70738626","119932910","233964769","True","0.00237208","B"
"libm","rust-lang/compiler-builtins","43302190","4485270","9292946","25920240","58015885","118796609","True","0.00236161","B"
"rand_xorshift","rust-random/rngs","24750729","7064616","9081040","13342572","24501351","69764070","True","0.00232326","B"
"hashbrown","rust-lang/hashbrown","209603958","25670194","55325008","122881406","264738612","579404573","True","0.0022782","B"
"zeroize","rustcrypto/utils","60971155","8120715","19838430","33409496","76129017","167358119","True","0.00227082","B"
"snapbox","assert-rs/snapbox","1091804","0","210494","606332","1354511","3287684","True","0.00225438","B"
"js-sys","wasm-bindgen/wasm-bindgen","45544961","8222518","15510023","30214960","57387622","116389684","True","0.00219937","B"
"hex-literal","rustcrypto/utils","8208289","1777690","3406087","5983799","10110702","19763168","True","0.00214507","B"
"parking_lot_core","amanieu/parking_lot","115944691","27224686","57847275","90916916","145737270","257997310","True","0.00212534","B"
"rustix","bytecodealliance/rustix","108458700","10348","5520264","81793332","153251784","301717772","True","0.0021097","B"
"clap","clap-rs/clap","119275001","21186210","54096904","87479932","149223985","284387977","True","0.00207793","B"
"sval","sval-rs/sval","4800197","297472","921432","2107427","7348930","13325726","True","0.00203048","B"
"rand_pcg","rust-random/rngs","16934236","9996364","11386572","13854877","17457257","31976113","True","0.0020118","B"
"crossbeam-utils","crossbeam-rs/crossbeam","91940217","26437682","44496099","68319765","115199531","205248008","True","0.00198747","B"
"tracing","tokio-rs/tracing","83855366","18180331","36968902","59382496","103167430","201577673","True","0.00191995","B"
"tempdir","rust-lang/tempdir","5742697","2607263","3893779","3833667","7865496","10513284","True","0.00188224","B"
"anstyle","rust-cli/anstyle","64117868","0","2105","28545677","92274375","199767183","True","0.00188171","B"
"rayon-core","rayon-rs/rayon","55128841","11878056","21467789","40258997","71581539","130457825","True","0.001873","B"
"futures-sink","rust-lang/futures-rs","83711828","20139149","35485787","60805596","105062058","197066554","True","0.00186611","B"
"regex-automata","rust-lang/regex","131455663","12381063","22216381","68637930","203021143","351021802","True","0.00180799","B"
"smallvec","servo/rust-smallvec","117110570","29088408","52491007","80852888","145406335","277714212","True","0.00178385","B"
"chacha20","rustcrypto/stream-ciphers","8984948","1468642","3575561","6778396","11661668","21440475","True","0.00177775","B"
"regex-syntax","rust-lang/regex","155715346","28900859","48538203","111580278","216444266","373113126","True","0.00176155","B"
