"package","dependency","type"
"phonon","gcc-14","declared"
"phonon","glibc","declared"
"phonon","libphonon-l10n","declared"
"phonon","phonon4qt5-backend-null","declared"
"phonon","phonon4qt6-backend-null","declared"
"phonon","pulseaudio","declared"
"phonon","qt6-5compat","declared"
"phonon","qt6-base","declared"
"phonon","qt6-tools","declared"
"phonon","qtbase-opensource-src","declared"
"phonon","qttools-opensource-src","declared"
"z3","gcc-14","declared"
"z3","glibc","declared"
"libspatialaudio","gcc-14","declared"
"libspatialaudio","glibc","declared"
"libspatialaudio","libmysofa","declared"
"sdcc","gcc-14","declared"
"sdcc","glibc","declared"
"wbox","glibc","declared"
"emboss","default-jre","declared"
"emboss","expat","declared"
"emboss","glibc","declared"
"emboss","libgd2","declared"
"emboss","libharu","declared"
"emboss","libx11","declared"
"emboss","mariadb","declared"
"emboss","postgresql-17","declared"
"emboss","zlib","declared"
"hoichess","gcc-14","declared"
"hoichess","glibc","declared"
"gdbuspp","gcc-14","declared"
"gdbuspp","glib2.0","declared"
"gdbuspp","glibc","declared"
"fxt","glibc","declared"
"libglib-testing","glib2.0","declared"
"libglib-testing","glibc","declared"
"ksshaskpass","gcc-14","declared"
"ksshaskpass","glibc","declared"
"ksshaskpass","kf6-kcoreaddons","declared"
"ksshaskpass","kf6-ki18n","declared"
"ksshaskpass","kf6-kwallet","declared"
"ksshaskpass","kf6-kwidgetsaddons","declared"
"ksshaskpass","openssh","declared"
"ksshaskpass","qt6-base","declared"
"vmfs-tools","fuse","declared"
"vmfs-tools","glibc","declared"
"vmfs-tools","util-linux","declared"
"nsis","gcc-14","declared"
"nsis","glibc","declared"
"nsis","zlib","declared"
"389-ds-base","cracklib2","declared"
"389-ds-base","e2fsprogs","declared"
"389-ds-base","gcc-14","declared"
"389-ds-base","glibc","declared"
"389-ds-base","jemalloc","declared"
"389-ds-base","json-c","declared"
"389-ds-base","krb5","declared"
"389-ds-base","nspr","declared"
"389-ds-base","nss","declared"
"389-ds-base","openldap","declared"
"389-ds-base","openssl","declared"
"389-ds-base","pcre2","declared"
"389-ds-base","zlib","declared"
"libdata-clone-perl","glibc","declared"
"libdata-clone-perl","perl","declared"
"libdata-clone-perl","perlapi-5.40.0","declared"
"gr-dab","faad2","declared"
"gr-dab","fmtlib","declared"
"gr-dab","gcc-14","declared"
"gr-dab","glibc","declared"
"gr-dab","gnuradio","declared"
"gr-dab","libspdlog1.15-fmt10","declared"
"gr-dab","python3-numpy2-abi0","declared"
"gr-dab","volk","declared"
"jq","glibc","declared"
"jq","libonig","declared"
"hipblas","gcc-14","declared"
"hipblas","glibc","declared"
"hipblas","lapack","declared"
"hipblas","rocblas","declared"
"hipblas","rocm-hipamd","declared"
"hipblas","rocsolver","declared"
"libnoise","gcc-14","declared"
"libnoise","glibc","declared"
"kaddressbook","akonadi","declared"
"kaddressbook","akonadi-contacts","declared"
"kaddressbook","akonadi-search","declared"
"kaddressbook","gcc-14","declared"
"kaddressbook","glibc","declared"
"kaddressbook","grantleetheme","declared"
"kaddressbook","kdepim-runtime","declared"
"kaddressbook","kf6-kcmutils","declared"
"kaddressbook","kf6-kcolorscheme","declared"
"kaddressbook","kf6-kconfig","declared"
"kaddressbook","kf6-kconfigwidgets","declared"
"kaddressbook","kf6-kcontacts","declared"
"kaddressbook","kf6-kcoreaddons","declared"
"kaddressbook","kf6-kcrash","declared"
"kaddressbook","kf6-ki18n","declared"
"kaddressbook","kf6-kiconthemes","declared"
"kaddressbook","kf6-kitemmodels","declared"
"kaddressbook","kf6-kparts","declared"
"kaddressbook","kf6-kuserfeedback","declared"
"kaddressbook","kf6-kwidgetsaddons","declared"
"kaddressbook","kf6-kxmlgui","declared"
"kaddressbook","kontactinterface","declared"
"kaddressbook","libkdepim","declared"
"kaddressbook","libkpim6addressbookimportexport6-24.12","declared"
"kaddressbook","libkpim6akonadicontactcore6-24.12","declared"
"kaddressbook","libkpim6akonadicontactwidgets6-24.12","declared"
