"package","github_repo"
"9menu","arnoldrobbins/9menu"
"a2jmidid","linuxaudio/a2jmidid"
"abootimg","ggrandou/abootimg"
"accel-config","intel/idxd-config"
"adios2","ornladios/ADIOS2"
"admesh","admesh/admesh"
"adms","Qucs/ADMS"
"adwaita-qt","FedoraQt/adwaita-qt"
"aewm++","frankhale/aewmpp"
"afflib","sshock/AFFLIBv3"
"afuse","pcarrier/afuse"
"aha","theZiz/aha"
"amap-align","mes5k/amap-align"
"amdsmi","ROCm/amdsmi"
"aml","any1/aml"
"ancient","temisu/ancient"
"aoeui","pklausler/aoeui"
"apachetop","tessus/apachetop"
"appmenu-gtk-module","rilian-la-te/vala-panel-appmenu"
"appstream-glib","hughsie/appstream-glib"
"apt-dater","DE-IBH/apt-dater"
"aqemu","tobimensch/aqemu"
"argh","adishavit/argh"
"argon2","P-H-C/phc-winner-argon2"
"aribb24","nkoriyama/aribb24"
"arm-compute-library","ARM-software/ComputeLibrary"
"armci-mpi","pmodels/armci-mpi"
"arp-scan","royhills/arp-scan"
"arpack","opencollab/arpack-ng"
"asmjit","asmjit/asmjit"
"astc-encoder","ARM-software/astc-encoder"
"asyncfuture","vpicaver/asyncfuture"
"atf","freebsd/atf"
"atlas-ecmwf","ecmwf/atlas"
"atomicparsley","wez/atomicparsley"
"authselect","authselect/authselect"
"avr-evtd","rbrito/avr-evtd"
"avra","Ro5bert/avra"
"avrdude","avrdudes/avrdude"
"axc","gkdr/axc"
"axel","axel-download-accelerator/axel"
"ayatana-ido","AyatanaIndicators/ayatana-ido"
"ayatana-indicator-messages","AyatanaIndicators/ayatana-indicator-messages"
"backward-cpp","bombela/backward-cpp"
"bambamc","gt1/bambamc"
"bamtools","pezmaster31/bamtools"
"base16384","fumiama/base16384"
"bats-support","bats-core/bats-support"
"bbhash","rizkg/BBHash"
"bc-ur","BlockchainCommons/bc-ur"
"bcg729","BelledonneCommunications/bcg729"
"beanstalkd","beanstalkd/beanstalkd"
"bear","rizsotto/Bear"
"bedtools","arq5x/bedtools2"
"beep","spkr-beep/beep"
"bemenu","Cloudef/bemenu"
"benchmark","google/benchmark"
"biblesync","karlkleinpaste/biblesync"
"bifrost","pmelsted/bifrost"
"biometric-authentication","ukui/biometric-authentication"
"bitshuffle","kiyo-masui/bitshuffle"
"blaspp","icl-utk-edu/blaspp"
"blis","flame/blis"
"blitz++","blitzpp/blitz"
"bluez-alsa","Arkq/bluez-alsa"
"boxfort","Snaipe/Criterion"
"bpfcc","iovisor/bcc"
"bpftune","oracle/bpftune"
"brotli","google/brotli"
"btllib","bcgsc/btllib"
"budgie-desktop","buddiesofbudgie/budgie-desktop"
"bup","bup/bup"
"buteo-sync-plugin-caldav","sailfishos/buteo-sync-plugin-caldav"
"buteo-sync-plugins-social","sailfishos/buteo-sync-plugins-social"
"buteo-syncfw","sailfishos/buteo-syncfw"
"bzip3","kspalaiologos/bzip3"
"c-vtapi","VirusTotal/c-vtapi"
"cadaver","notroj/cadaver"
"caja-actions","mate-desktop/caja-actions"
"camp","IRCAD/camp"
"canl-c","CESNET/canl-c"
"cassiopee","osallou/cassiopee-c"
"catcodec","OpenTTD/catcodec"
"cbm","resurrecting-open-source-projects/cbm"
"cccc","sarnold/cccc"
"cccl","NVIDIA/cccl"
"cctbx","cctbx/cctbx_project"
"cctz","google/cctz"
"cdcover","karlp/cdcover"
"cddlib","cddlib/cddlib"
"cgif","dloebl/cgif"
"cglm","recp/cglm"
"cgreen","cgreen-devs/cgreen"
"charls","team-charls/charls"
"chmlib","jedwing/CHMLib"
"cif-api","COMCIFS/cif_api"
"ciftilib","Washington-University/CiftiLib"
"civetweb","civetweb/civetweb"
"cjose","OpenIDC/cjose"
"cjs","linuxmint/cjs"
"cjson","DaveGamble/cJSON"
"clamfs","burghardt/clamfs"
"clanlib","sphair/ClanLib"
"cld2","CLD2Owners/cld2"
"clfft","clMathLibraries/clFFT"
"cli11","CLIUtils/CLI11"
"cloudflare-ddns","Tachi107/cloudflare-ddns"
"cluster-glue","ClusterLabs/cluster-glue"
"cmark","commonmark/cmark"
"cmark-gfm","github/cmark"
"coda","stcorp/coda"
"coinor-cbc","coin-or/cbc"
"coinor-csdp","coin-or/Csdp"
"coinor-ipopt","coin-or/Ipopt"
"coinor-osi","coin-or/Osi"
"coinutils","coin-or/CoinUtils"
