"current","old"
"coinor-libbonmin4t64","coinor-libbonmin4"
"lib3mf1t64","lib3mf1"
"lib4ti2-0t64","lib4ti2-0"
"libadns1t64","libadns1"
"libadolc2t64","libadolc2"
"libafflib0t64","libafflib0"
"libafsauthent2t64","libafsauthent2"
"libafsrpc2t64","libafsrpc2"
"libafterimage0t64","libafterimage0"
"libafterstep1t64","libafterstep1"
"libagg2t64","libagg2"
"libakai0t64","libakai0"
"libaldmb1t64","libaldmb1"
"libalgorithms1t64","libalgorithms1"
"liballeggl4.4t64","liballeggl4.4"
"liballegro-acodec5.2t64","liballegro-acodec5.2"
"liballegro-audio5.2t64","liballegro-audio5.2"
"liballegro-dialog5.2t64","liballegro-dialog5.2"
"liballegro-image5.2t64","liballegro-image5.2"
"liballegro-physfs5.2t64","liballegro-physfs5.2"
"liballegro-ttf5.2t64","liballegro-ttf5.2"
"liballegro-video5.2t64","liballegro-video5.2"
"liballegro4.4t64","liballegro4.4"
"liballegro5.2t64","liballegro5.2"
"libaml0t64","libaml0"
"libangelscript-addon2.35.1t64","libangelscript-addon2.35.1"
"libangelscript2.35.1t64","libangelscript2.35.1"
"libanthy1t64","libanthy1"
"libanthyinput0t64","libanthyinput0"
"libapbs3t64","libapbs3"
"libapogee3t64","libapogee3"
"libapophenia2t64","libapophenia2"
"libappimage1.0abi1t64","libappimage1.0abi1"
"libapr1t64","libapr1"
"libapreq2-3t64","libapreq2-3"
"libapriltag3t64","libapriltag3"
"libaprutil1t64","libaprutil1"
"libarchive13t64","libarchive13"
"libaribb24-0t64","libaribb24-0"
"libarmnn33t64","libarmnn33"
"libarmnntfliteparser24t64","libarmnntfliteparser24"
"libarpack2t64","libarpack2"
"libasl0t64","libasl0"
"libasm1t64","libasm1"
"libasound2t64","libasound2"
"libast2t64","libast2"
"libastrometry0t64","libastrometry0"
"libasyncaudio1.6t64","libasyncaudio1.6"
"libasynccore1.6t64","libasynccore1.6"
"libasynccpp1.6t64","libasynccpp1.6"
"libasyncqt1.6t64","libasyncqt1.6"
"libatk-bridge2.0-0t64","libatk-bridge2.0-0"
"libatk1.0-0t64","libatk1.0-0"
"libatm1t64","libatm1"
"libatopology2t64","libatopology2"
"libatrildocument3t64","libatrildocument3"
"libatrilview3t64","libatrilview3"
"libatspi2.0-0t64","libatspi2.0-0"
"libaudcore5t64","libaudcore5"
"libaudtag3t64","libaudtag3"
"libauparse0t64","libauparse0"
"libavl1t64","libavl1"
"libavogadro2-1t64","libavogadro2-1"
"libbamf3-2t64","libbamf3-2"
"libbase1t64","libbase1"
"libbasicobjects0t64","libbasicobjects0"
"libbde1t64","libbde1"
"libbfb0t64","libbfb0"
"libbigwig0t64","libbigwig0"
"libblitz0t64","libblitz0"
"libboinc-app7t64","libboinc-app7"
"libboinc7t64","libboinc7"
"libboost-chrono1.83.0t64","libboost-chrono1.83.0"
"libboost-chrono1.88.0t64","libboost-chrono1.88.0"
"libbpp-core4t64","libbpp-core4"
"libbpp-phyl-omics3t64","libbpp-phyl-omics3"
"libbpp-phyl12t64","libbpp-phyl12"
"libbpp-popgen8t64","libbpp-popgen8"
"libbpp-qt2t64","libbpp-qt2"
"libbpp-raa4t64","libbpp-raa4"
"libbpp-seq-omics3t64","libbpp-seq-omics3"
"libbpp-seq12t64","libbpp-seq12"
"libbraiding0t64","libbraiding0"
"libbson-1.0-0t64","libbson-1.0-0"
"libbtrfs0t64","libbtrfs0"
"libbtrfsutil1t64","libbtrfsutil1"
"libbullet-extras3.24t64","libbullet-extras3.24"
"libbullet3.24t64","libbullet3.24"
"libburn4t64","libburn4"
"libc++1-17t64","libc++1-17"
"libc++abi1-17t64","libc++abi1-17"
"libcaf-core0.17t64","libcaf-core0.17"
"libcaf-io0.17t64","libcaf-io0.17"
"libcaf-mpich-3t64","libcaf-mpich-3"
"libcaf-openmpi-3t64","libcaf-openmpi-3"
"libcaf-openssl0.17t64","libcaf-openssl0.17"
"libcal3d12t64","libcal3d12"
"libcamel-1.2-64t64","libcamel-1.2-64"
"libcamp0.8t64","libcamp0.8"
"libcanl-c4t64","libcanl-c4"
"libcapi20-3t64","libcapi20-3"
"libcbf1t64","libcbf1"
"libccp4c0t64","libccp4c0"
"libccp4f0t64","libccp4f0"
"libccrtp2t64","libccrtp2"
"libcdio++1t64","libcdio++1"
"libcdio-cdda2t64","libcdio-cdda2"
"libcdio-paranoia2t64","libcdio-paranoia2"
"libcdio19t64","libcdio19"
"libcdk5t64","libcdk5"
"libcds2.3.3t64","libcds2.3.3"
"libcegui-mk2-0.8.7t64","libcegui-mk2-0.8.7"
"libceres4t64","libceres4"
"libcfitsio10t64","libcfitsio10"
"libcgsi-gsoap1t64","libcgsi-gsoap1"
"libchafa0t64","libchafa0"
"libchardet1t64","libchardet1"
"libchicken11t64","libchicken11"
"libchipcard6t64","libchipcard6"
"libchise1t64","libchise1"
"libcifti0t64","libcifti0"
"libcinnamon-desktop4t64","libcinnamon-desktop4"
"libck0t64","libck0"
"libckyapplet1t64","libckyapplet1"
"libclalsadrv2t64","libclalsadrv2"
"libclanapp-1.0t64","libclanapp-1.0"
"libclang-cpp17t64","libclang-cpp17"
"libclang1-17t64","libclang1-17"
"libclaw-application1t64","libclaw-application1"
"libclaw-configuration-file1t64","libclaw-configuration-file1"
"libclaw-dynamic-library1t64","libclaw-dynamic-library1"
"libclaw-graphic1t64","libclaw-graphic1"
"libclaw-logger1t64","libclaw-logger1"
"libclaw-net1t64","libclaw-net1"
"libclaw-tween1t64","libclaw-tween1"
"libclhep2.1t64","libclhep2.1"
"libcli1.10t64","libcli1.10"
"libclsync0t64","libclsync0"
"libclthreads2t64","libclthreads2"
"libclucene-contribs1t64","libclucene-contribs1"
"libclucene-core1t64","libclucene-core1"
"libclxclient3t64","libclxclient3"
"libcm256cc1t64","libcm256cc1"
"libcmis-0.6-6t64","libcmis-0.6-6"
"libcmor2t64","libcmor2"
"libcmph0t64","libcmph0"
"libcmtspeechdata0t64","libcmtspeechdata0"
"libcneartree7t64","libcneartree7"
"libcoap3t64","libcoap3"
"libcob4t64","libcob4"
"libcob5t64","libcob5"
"libcodeblocks0t64","libcodeblocks0"
"libcollectdclient1t64","libcollectdclient1"
"libcollection4t64","libcollection4"
"libcolord-gtk1t64","libcolord-gtk1"
"libcolord-gtk4-1t64","libcolord-gtk4-1"
"libcolpack0t64","libcolpack0"
"libcombblas2.0.0t64","libcombblas2.0.0"
"libcomedi0t64","libcomedi0"
"libcpdb-frontend2t64","libcpdb-frontend2"
"libcpdb2t64","libcpdb2"
"libcpp-hocon0.3.0t64","libcpp-hocon0.3.0"
"libcppdb-mysql0t64","libcppdb-mysql0"
"libcppdb-odbc0t64","libcppdb-odbc0"
"libcppdb-postgresql0t64","libcppdb-postgresql0"
"libcppdb-sqlite3-0t64","libcppdb-sqlite3-0"
"libcppdb0t64","libcppdb0"
"libcpprspserver3t64","libcpprspserver3"
"libcpuset1t64","libcpuset1"
"libcrcutil0t64","libcrcutil0"
"libcreg1t64","libcreg1"
"libcrypto++8t64","libcrypto++8"
"libcryptominisat5-5.11t64","libcryptominisat5-5.11"
"libcsmith0t64","libcsmith0"
"libctemplate3t64","libctemplate3"
"libctl7t64","libctl7"
"libctpl2t64","libctpl2"
"libcups2t64","libcups2"
"libcupsfilters1t64","libcupsfilters1"
"libcupsimage2t64","libcupsimage2"
"libcupt4-2t64","libcupt4-2"
"libcurl4t64","libcurl4"
"libcurlpp0t64","libcurlpp0"
"libcvc0t64","libcvc0"
"libcvtapi1t64","libcvtapi1"
"libcwiid1t64","libcwiid1"
"libcycloneddsidl0t64","libcycloneddsidl0"
"libdap27t64","libdap27"
"libdar64-6000t64","libdar64-6000"
"libdb5.3++t64","libdb5.3++"
"libdb5.3t64","libdb5.3"
"libdbi1t64","libdbi1"
"libdcap1t64","libdcap1"
"libddsc0t64","libddsc0"
"libdebuginfod1t64","libdebuginfod1"
"libdecoration0t64","libdecoration0"
"libdhash1t64","libdhash1"
"libdiagnostics0t64","libdiagnostics0"
"libdico2t64","libdico2"
"libdieharder3t64","libdieharder3"
"libdigidoc2t64","libdigidoc2"
"libdislocker0.7t64","libdislocker0.7"
"libdmapsharing-4.0-3t64","libdmapsharing-4.0-3"
"libdmlc0t64","libdmlc0"
"libdmtx0t64","libdmtx0"
"libdnf2t64","libdnf2"
"libdnssec9t64","libdnssec9"
"libdnswire1t64","libdnswire1"
"libdolfin2019.2t64","libdolfin2019.2"
"libdolfin64-2019.2t64","libdolfin64-2019.2"
"libdrogon1t64","libdrogon1"
"libdrumstick-alsa2t64","libdrumstick-alsa2"
"libdrumstick-file2t64","libdrumstick-file2"
"libdrumstick-rt2t64","libdrumstick-rt2"
"libdrumstick-widgets2t64","libdrumstick-widgets2"
"libdsdcc1t64","libdsdcc1"
"libdssialsacompat0t64","libdssialsacompat0"
"libdt-utils5t64","libdt-utils5"
"libdumb1t64","libdumb1"
"libduo3t64","libduo3"
"libdv4t64","libdv4"
"libdvbv5-0t64","libdvbv5-0"
"libdvdread8t64","libdvdread8"
"libdw1t64","libdw1"
"libdx4t64","libdx4"
"libdynamicedt3d1.9t64","libdynamicedt3d1.9"
"libdyssol1.0t64","libdyssol1.0"
"libeb16t64","libeb16"
"libebackend-1.2-11t64","libebackend-1.2-11"
"libebook-1.2-21t64","libebook-1.2-21"
"libebook-contacts-1.2-4t64","libebook-contacts-1.2-4"
"libecholib1.3t64","libecholib1.3"
"libecl24.5t64","libecl24.5"
"libecore-con1t64","libecore-con1"
"libedata-book-1.2-27t64","libedata-book-1.2-27"
