"package","year","downloads"
"389-ds-base-dev","2021","16"
"389-ds-base-dev","2022","14"
"389-ds-base-dev","2023","13"
"389-ds-base-dev","2024","10"
"389-ds-base-dev","2025","11"
"389-ds-base-libs","2021","61"
"389-ds-base-libs","2022","63"
"389-ds-base-libs","2023","56"
"389-ds-base-libs","2024","69"
"389-ds-base-libs","2025","64"
"3dchess","2021","372"
"3dchess","2022","313"
"3dchess","2023","316"
"3dchess","2024","285"
"3dchess","2025","303"
"4g8","2021","40"
"4g8","2022","35"
"4g8","2023","31"
"4g8","2024","34"
"4g8","2025","27"
"9base","2021","76"
"9base","2022","66"
"9base","2023","76"
"9base","2024","74"
"9base","2025","68"
"9menu","2021","287"
"9menu","2022","289"
"9menu","2023","270"
"9menu","2024","294"
"9menu","2025","292"
"9mount","2021","60"
"9mount","2022","58"
"9mount","2023","62"
"9mount","2024","53"
"9mount","2025","62"
"a2boot","2024","11"
"a2boot","2025","51"
"a2jmidid","2021","897"
"a2jmidid","2022","850"
"a2jmidid","2023","856"
"a2jmidid","2024","767"
"a2jmidid","2025","695"
"a56","2021","16"
"a56","2022","19"
"a56","2023","19"
"a56","2024","17"
"a56","2025","18"
"aajm","2021","69"
"aajm","2022","58"
"aajm","2023","36"
"aajm","2024","17"
"aajm","2025","14"
"aaphoto","2021","127"
"aaphoto","2022","111"
"aaphoto","2023","120"
"aaphoto","2024","105"
"aaphoto","2025","84"
"abby","2021","6"
"abby","2022","4"
"abby","2023","2"
"abby","2024","3"
"abby","2025","2"
"abe","2021","325"
"abe","2022","276"
"abe","2023","288"
"abe","2024","265"
"abe","2025","262"
"abe-data","2021","330"
"abe-data","2022","279"
"abe-data","2023","291"
"abe-data","2024","269"
"abe-data","2025","268"
"abiword","2021","2343"
"abiword","2022","2124"
"abiword","2023","2075"
"abiword","2024","1835"
"abiword","2025","1561"
"abiword-common","2021","2480"
"abiword-common","2022","2228"
"abiword-common","2023","2169"
"abiword-common","2024","1916"
"abiword-common","2025","1638"
"abiword-plugin-grammar","2021","2251"
"abiword-plugin-grammar","2022","2054"
"abiword-plugin-grammar","2023","2008"
"abiword-plugin-grammar","2024","1778"
"abiword-plugin-grammar","2025","1505"
"abiword-plugin-mathview","2021","243"
"abiword-plugin-mathview","2022","160"
"abiword-plugin-mathview","2023","133"
"abiword-plugin-mathview","2024","96"
"abiword-plugin-mathview","2025","76"
"abook","2021","415"
"abook","2022","383"
"abook","2023","371"
"abook","2024","420"
"abook","2025","502"
"abootimg","2021","724"
"abootimg","2022","744"
"abootimg","2023","733"
"abootimg","2024","773"
"abootimg","2025","796"
"abr2gbr","2021","100"
"abr2gbr","2022","84"
"abr2gbr","2023","72"
"abr2gbr","2024","77"
"abr2gbr","2025","76"
"abraca","2021","8"
"abraca","2022","7"
"abraca","2023","3"
"abraca","2024","3"
"abraca","2025","3"
"abuse","2021","28"
"abuse","2022","20"
"abuse","2023","17"
"abuse","2024","12"
"abuse","2025","12"
"accountsservice","2021","75230"
"accountsservice","2022","71023"
"accountsservice","2023","82945"
"accountsservice","2024","92137"
"accountsservice","2025","115246"
"acetoneiso","2021","465"
"acetoneiso","2022","414"
"acetoneiso","2023","383"
"acetoneiso","2024","243"
"acetoneiso","2025","248"
"acl","2021","129756"
"acl","2022","119940"
"acl","2023","132157"
"acl","2024","137982"
"acl","2025","155895"
"acpi-fakekey","2021","3078"
"acpi-fakekey","2022","2496"
"acpi-fakekey","2023","2413"
"acpi-fakekey","2024","2084"
"acpi-fakekey","2025","1911"
"acpi-support","2021","3189"
"acpi-support","2022","2686"
"acpi-support","2023","2616"
"acpi-support","2024","2326"
"acpi-support","2025","2163"
"acpi-support-base","2021","51724"
"acpi-support-base","2022","40962"
"acpi-support-base","2023","37347"
"acpi-support-base","2024","28904"
"acpi-support-base","2025","25475"
"acpid","2021","54284"
"acpid","2022","43313"
"acpid","2023","39403"
"acpid","2024","30315"
"acpid","2025","26662"
"acpitail","2021","243"
"acpitail","2022","203"
"acpitail","2023","180"
"acpitail","2024","171"
"acpitail","2025","126"
"adanaxisgpl","2021","94"
"adanaxisgpl","2022","53"
"adanaxisgpl","2023","47"
"adanaxisgpl","2024","27"
"adanaxisgpl","2025","22"
"adept","2021","1"
"adept","2022","1"
"adept","2023","1"
"adept","2024","1"
"adept","2025","1"
"adios2-data","2025","1"
"adios2-mpi-bin","2025","1"
"adios2-scripts","2025","1"
"adios2-serial-bin","2025","1"
"advancecomp","2021","2710"
"advancecomp","2022","2233"
"advancecomp","2023","2252"
"advancecomp","2024","2949"
"advancecomp","2025","3024"
"aegis","2021","4"
"aegis","2022","4"
"aegis","2023","3"
"aegis","2024","1"
"aegis","2025","1"
"aegis-web","2021","2"
"aegis-web","2022","2"
"aegis-web","2023","1"
"aegis-web","2024","1"
"aegis-web","2025","1"
"aeolus","2021","206"
"aeolus","2022","209"
"aeolus","2023","200"
"aeolus","2024","194"
"aeolus","2025","189"
"aes2501-wy","2021","42"
"aes2501-wy","2022","22"
"aes2501-wy","2023","16"
"aes2501-wy","2024","16"
"aes2501-wy","2025","9"
"aesfix","2021","419"
"aesfix","2022","350"
"aesfix","2023","359"
"aesfix","2024","364"
"aesfix","2025","335"
"aeskeyfind","2021","437"
"aeskeyfind","2022","364"
"aeskeyfind","2023","368"
"aeskeyfind","2024","371"
"aeskeyfind","2025","343"
"aeskulap","2021","615"
"aeskulap","2022","608"
"aeskulap","2023","636"
"aeskulap","2024","638"
"aeskulap","2025","576"
"aewan","2021","44"
"aewan","2022","42"
"aewan","2023","47"
"aewan","2024","58"
"aewan","2025","53"
"aewm++","2021","26"
"aewm++","2022","29"
"aewm++","2023","24"
"aewm++","2024","22"
"aewm++","2025","24"
"aewm++-goodies","2021","23"
"aewm++-goodies","2022","20"
"aewm++-goodies","2023","18"
"aewm++-goodies","2024","17"
"aewm++-goodies","2025","17"
"afnix","2021","26"
"afnix","2022","23"
"afnix","2023","24"
"afnix","2024","12"
"afnix","2025","9"
"afnix-doc","2021","10"
"afnix-doc","2022","11"
"afnix-doc","2023","10"
"afnix-doc","2024","6"
"afnix-doc","2025","5"
"afterstep","2021","74"
"afterstep","2022","70"
"afterstep","2023","57"
"afterstep","2024","56"
"afterstep","2025","61"
"afterstep-data","2021","72"
"afterstep-data","2022","71"
"afterstep-data","2023","61"
"afterstep-data","2024","62"
"afterstep-data","2025","65"
"afuse","2021","183"
"afuse","2022","162"
"afuse","2023","148"
"afuse","2024","147"
"afuse","2025","154"
"agave","2021","77"
"agave","2022","51"
"agave","2023","43"
"agave","2024","22"
"agave","2025","19"
"agda-stdlib","2021","707"
"agda-stdlib","2022","645"
"agda-stdlib","2023","646"
"agda-stdlib","2024","477"
"agda-stdlib","2025","204"
"agedu","2021","128"
"agedu","2022","119"
"agedu","2023","119"
"agedu","2024","117"
"agedu","2025","102"
"aggregate","2021","151"
"aggregate","2022","148"
"aggregate","2023","146"
"aggregate","2024","138"
"aggregate","2025","142"
"agrep","2021","161"
"agrep","2022","114"
"agrep","2023","102"
"agrep","2024","69"
"agrep","2025","51"
"aha","2021","239"
"aha","2022","317"
"aha","2023","9778"
"aha","2024","21407"
"aha","2025","29897"
"ahcpd","2021","14"
"ahcpd","2022","15"
"ahcpd","2023","12"
"ahcpd","2024","11"
"ahcpd","2025","10"
"aiccu","2021","43"
"aiccu","2022","35"
"aiccu","2023","31"
"aiccu","2024","22"
"aiccu","2025","19"
"aide","2021","389"
"aide","2022","413"
"aide","2023","410"
"aide","2024","473"
"aide","2025","616"
"aide-common","2021","384"
"aide-common","2022","404"
"aide-common","2023","395"
"aide-common","2024","453"
"aide-common","2025","549"
"aide-dynamic","2021","6"
"aide-dynamic","2022","10"
"aide-dynamic","2023","10"
"aide-dynamic","2024","11"
"aide-dynamic","2025","16"
"aide-xen","2021","6"
"aide-xen","2022","8"
"aide-xen","2023","6"
"aide-xen","2024","4"
"aide-xen","2025","5"
"aircrack-ng","2021","2080"
"aircrack-ng","2022","1725"
"aircrack-ng","2023","1691"
"aircrack-ng","2024","1716"
"aircrack-ng","2025","1765"
"airgraph-ng","2021","255"
"airgraph-ng","2022","218"
"airgraph-ng","2023","212"
"airgraph-ng","2024","237"
"airgraph-ng","2025","248"
"airspy","2021","164"
"airspy","2022","173"
"airspy","2023","180"
"airspy","2024","208"
"airspy","2025","405"
"airstrike","2021","204"
"airstrike","2022","168"
"airstrike","2023","157"
"airstrike","2024","151"
"airstrike","2025","151"
"airstrike-common","2021","214"
"airstrike-common","2022","178"
"airstrike-common","2023","165"
"airstrike-common","2024","157"
"airstrike-common","2025","156"
"akonadi-kde-resource-googledata","2021","11"
"akonadi-kde-resource-googledata","2022","5"
"akonadi-kde-resource-googledata","2023","6"
"akonadi-kde-resource-googledata","2024","2"
"akonadi-kde-resource-googledata","2025","1"
"akonadi-server","2021","19678"
"akonadi-server","2022","18112"
"akonadi-server","2023","22358"
"akonadi-server","2024","25108"
"akonadi-server","2025","30706"
"akonadiconsole","2021","2860"
"akonadiconsole","2022","2404"
"akonadiconsole","2023","2415"
"akonadiconsole","2024","3016"
"akonadiconsole","2025","2998"
"akregator","2021","18032"
"akregator","2022","16857"
"akregator","2023","21116"
"akregator","2024","23911"
"akregator","2025","29254"
"alarm-clock-applet","2021","196"
"alarm-clock-applet","2022","131"
"alarm-clock-applet","2023","144"
"alarm-clock-applet","2024","234"
"alarm-clock-applet","2025","298"
"alarm-clock-applet-gconf-migration","2023","50"
"alarm-clock-applet-gconf-migration","2024","163"
"alarm-clock-applet-gconf-migration","2025","126"
"aldo","2021","190"
"aldo","2022","173"
"aldo","2023","169"
"aldo","2024","176"
"aldo","2025","350"
"ale","2021","73"
"ale","2022","62"
"ale","2023","54"
"ale","2024","50"
"ale","2025","43"
"alex4","2021","291"
"alex4","2022","238"
"alex4","2023","248"
"alex4","2024","210"
"alex4","2025","195"
"alex4-data","2021","294"
"alex4-data","2022","240"
"alex4-data","2023","251"
"alex4-data","2024","204"
"alex4-data","2025","172"
"alien-arena","2021","150"
"alien-arena","2022","123"
"alien-arena","2023","128"
"alien-arena","2024","123"
"alien-arena","2025","112"
"alien-arena-server","2021","22"
"alien-arena-server","2022","16"
"alien-arena-server","2023","17"
"alien-arena-server","2024","13"
"alien-arena-server","2025","13"
"alienblaster","2021","247"
"alienblaster","2022","238"
"alienblaster","2023","217"
"alienblaster","2024","200"
"alienblaster","2025","202"
"alienblaster-data","2021","255"
"alienblaster-data","2022","242"
"alienblaster-data","2023","221"
"alienblaster-data","2024","206"
"alienblaster-data","2025","207"
"alkimia-bin","2022","87"
"alkimia-bin","2023","206"
"alkimia-bin","2024","486"
"alkimia-bin","2025","562"
"alkimia-data","2022","96"
"alkimia-data","2023","242"
"alkimia-data","2024","548"
"alkimia-data","2025","609"
"alleyoop","2021","65"
"alleyoop","2022","53"
"alleyoop","2023","45"
"alleyoop","2024","23"
"alleyoop","2025","20"
"alltray","2021","121"
"alltray","2022","100"
"alltray","2023","88"
"alltray","2024","65"
"alltray","2025","54"
"almanah","2021","50"
"almanah","2022","41"
"almanah","2023","46"
"almanah","2024","43"
"almanah","2025","41"
"alpine","2021","1898"
"alpine","2022","1836"
"alpine","2023","1804"
"alpine","2024","1763"
"alpine","2025","1895"
"alpine-doc","2021","1674"
"alpine-doc","2022","1612"
"alpine-doc","2023","1581"
"alpine-doc","2024","1521"
"alpine-doc","2025","1590"
"alpine-pico","2021","74"
"alpine-pico","2022","68"
"alpine-pico","2023","74"
"alpine-pico","2024","57"
"alpine-pico","2025","57"
"alsa-source","2021","43"
"alsa-source","2022","36"
"alsa-source","2023","29"
"alsa-source","2024","22"
"alsa-source","2025","17"
"alsa-topology-conf","2021","46227"
"alsa-topology-conf","2022","76192"
"alsa-topology-conf","2023","99752"
"alsa-topology-conf","2024","129466"
"alsa-topology-conf","2025","157445"
"alsa-ucm-conf","2021","46246"
"alsa-ucm-conf","2022","76158"
"alsa-ucm-conf","2023","99756"
"alsa-ucm-conf","2024","129507"
"alsa-ucm-conf","2025","157453"
"alsa-utils","2021","97626"
"alsa-utils","2022","90391"
"alsa-utils","2023","103786"
"alsa-utils","2024","112399"
"alsa-utils","2025","130508"
"alsamixergui","2021","3433"
"alsamixergui","2022","2757"
"alsamixergui","2023","2557"
"alsamixergui","2024","2110"
"alsamixergui","2025","1843"
"alsoft-conf","2021","21"
"alsoft-conf","2022","12"
"alsoft-conf","2023","9"
"alsoft-conf","2024","6"
"alsoft-conf","2025","3"
"altermime","2021","2212"
"altermime","2022","1985"
"altermime","2023","1913"
"altermime","2024","1679"
"altermime","2025","1593"
"altree","2021","53"
"altree","2022","46"
"altree","2023","39"
"altree","2024","38"
"altree","2025","112"
"altree-examples","2021","12"
"altree-examples","2022","5"
"altree-examples","2023","5"
"altree-examples","2024","4"
"altree-examples","2025","2"
"amanda-client","2021","555"
"amanda-client","2022","571"
"amanda-client","2023","600"
"amanda-client","2024","593"
"amanda-client","2025","614"
"amanda-server","2021","99"
"amanda-server","2022","86"
"amanda-server","2023","79"
"amanda-server","2024","67"
"amanda-server","2025","72"
"amap-align","2021","809"
"amap-align","2022","741"
"amap-align","2023","732"
"amap-align","2024","552"
"amap-align","2025","352"
"amarok","2021","510"
"amarok","2022","271"
"amarok","2023","228"
