"source","github_repo","avg_downloads","2021","2022","2023","2024","2025","top","is_cpp","is_oss_fuzz","pagerank","value_class"
"glibc","","230082","207317","204684","222275","243383","272755","True","True","False","0.23061303","A"
"gcc-14","","230118","207353","204724","222306","243426","272783","True","True","False","0.05341135","A"
"libxcrypt","","151303","59827","113595","146204","198363","238530","True","True","False","0.03476720","A"
"debconf","","0","0","0","0","0","0","False","False","False","0.03439368","A"
"linux","","133723","124909","120607","125937","138859","158307","True","True","False","0.03300549","A"
"rpcsvc-proto","thkukuk/rpcsvc-proto","49971","7117","10159","25546","87014","120021","True","True","False","0.03251224","A"
"libc-l10n","","0","0","0","0","0","0","False","False","False","0.03239483","A"
"zlib","","230123","207365","204733","222308","243427","272783","True","True","False","0.01497395","A"
"gmp","","226842","202280","200968","219000","241096","270867","True","True","False","0.01301903","A"
"systemd","","229282","206655","204089","221495","242494","271679","True","True","False","0.01112053","A"
"tcp-wrappers","","229025","206459","203935","221282","242302","271148","True","True","False","0.00784747","A"
"libzstd","facebook/zstd","195196","147079","163769","187984","221739","255412","True","True","True","0.00779619","B"
"lib32c-dev","","0","0","0","0","0","0","False","False","False","0.00759397","B"
"usb.ids","","0","0","0","0","0","0","False","False","False","0.00719717","B"
"mpfr4","","156814","122602","131831","151884","175523","202231","True","True","False","0.00702091","B"
"glib2.0","","216841","196226","194632","212519","225898","254932","True","True","False","0.00644714","B"
"libx11","","227797","205251","202569","219851","241095","270220","True","True","False","0.00607496","B"
"x11proto-dev","","0","0","0","0","0","0","False","False","False","0.00579281","B"
"binutils","","147480","136742","133066","138901","154193","174500","True","True","False","0.00554092","B"
"mpclib3","","164699","148974","144043","159328","173854","197296","True","True","False","0.00549328","B"
"isl","","114600","50953","86587","111599","146730","177134","True","True","False","0.00536994","B"
"libgc","","85435","40556","67686","87285","112247","119402","True","True","False","0.00531485","B"
"libselinux","","230109","207341","204717","222296","243412","272780","True","True","False","0.00424888","B"
"openssl","","229107","206156","203808","221354","242535","271685","True","True","False","0.00382862","B"
"pkgconf","","22205","351","5246","12797","40713","51919","True","True","False","0.00336517","B"
"libc-dev","","0","0","0","0","0","0","False","False","False","0.00333595","B"
"ncurses","","230113","207353","204727","222304","243416","272766","True","True","False","0.00303165","B"
"util-linux","util-linux/util-linux","230126","207363","204738","222314","243426","272793","True","True","True","0.00298885","B"
"python3-defaults","","217534","188720","190596","209783","234087","264488","True","True","False","0.00280402","B"
"pam","","230129","207366","204739","222318","243431","272794","True","True","False","0.00279279","B"
"libxcb","","227837","205255","202539","220030","241117","270246","True","True","False","0.00256412","B"
"pcre2","PCRE2Project/pcre2","200436","157508","170042","192826","224378","257427","True","True","True","0.00254495","B"
"libxext","","227097","204686","201743","219192","240354","269510","True","True","False","0.00247655","B"
"libxml2","","228070","205936","203209","220887","242164","268158","True","True","False","0.00228206","B"
"libxau","","227983","205480","202699","220180","241226","270334","True","True","False","0.00222230","B"
"audit","","222766","195799","196247","214995","238286","268503","True","True","False","0.00220164","B"
"bzip2","","230128","207365","204735","222315","243431","272794","True","True","False","0.00213993","B"
"acl","","230130","207367","204740","222318","243432","272797","True","True","False","0.00208202","B"
"libxdmcp","","227996","205511","202706","220194","241230","270341","True","True","False","0.00205299","B"
"qtbase-opensource-src","","79428","75571","70719","77568","80265","93017","True","True","False","0.00194168","B"
"perl","","230126","207363","204737","222318","243427","272789","True","True","False","0.00187471","B"
"libpng1.6","","192792","178579","183920","204371","220494","176596","True","True","False","0.00187346","B"
"xz-utils","","227645","203515","201890","219824","241664","271334","True","True","False","0.00186399","B"
"libcap2","","229822","206873","204397","222019","243217","272608","True","True","False","0.00180924","B"
"libcap-ng","","225066","199626","198886","217185","239833","269801","True","True","False","0.00175985","B"
"expat","","229837","207138","204380","222062","243146","272459","True","True","False","0.00165803","B"
"dbus","","227606","203628","201815","219772","241551","271265","True","True","False","0.00165485","B"
"cairo","","168977","159384","150028","163650","175481","196342","True","True","False","0.00161190","B"
"init-system-helpers","","0","0","0","0","0","0","False","False","False","0.00159465","B"
"python3.13","","35815","0","0","0","561","71069","True","True","False","0.00157125","B"
"attr","","230118","207360","204726","222305","243417","272784","True","True","False","0.00155293","B"
"libgpg-error","","228979","207358","204731","222312","243427","267071","True","True","False","0.00154111","B"
"gtk+3.0","","115297","118940","112541","126668","127162","91177","True","True","False","0.00152934","B"
"libsepol","","81951","21","10674","45612","150575","202874","True","True","False","0.00152095","B"
"libjpeg-turbo","","189260","169727","168015","184409","200780","223369","True","True","False","0.00146592","B"
"kmod","","227466","203284","201719","219654","241521","271152","True","True","False","0.00145870","B"
"libseccomp","seccomp/libseccomp","213288","180163","185220","205511","232085","263461","True","True","False","0.00143102","B"
"freetype","","229438","206605","204104","221708","242758","272019","True","True","False","0.00139453","B"
"readline","","131686","59705","113411","146021","187296","152001","True","True","False","0.00138951","B"
"db5.3","","203462","196043","196424","215141","227535","182170","True","True","False","0.00136395","B"
"gdk-pixbuf","","157622","147037","138235","152063","164747","186032","True","True","False","0.00135108","B"
"libusb-1.0","","208980","182324","179893","198435","226672","257576","True","True","False","0.00134713","B"
"qt6-base","","20399","0","3493","7704","21746","48655","True","True","False","0.00133888","B"
"dpkg","","230133","207369","204737","222320","243438","272805","True","True","False","0.00133572","B"
"pango1.0","","161379","148297","141675","156126","169791","191009","True","True","False","0.00132134","B"
"krb5","","229140","205874","203694","221418","242744","271974","True","True","False","0.00131487","B"
"libgcrypt20","","221677","195890","196315","215050","238328","262806","True","True","False","0.00128707","B"
"gir1.2-gobject-2.0-dev","","0","0","0","0","0","0","False","False","False","0.00126672","B"
"alsa-lib","","152239","140429","134011","148685","157953","180121","True","True","False","0.00125926","B"
"sqlite3","","229489","206922","204240","221748","242547","271988","True","True","False","0.00125418","B"
"gir1.2-gio-2.0-dev","","0","0","0","0","0","0","False","False","False","0.00120054","B"
"libidn2","","212517","178844","184264","204706","231669","263102","True","True","False","0.00115837","B"
"libglvnd","","128923","103176","107125","124798","142939","166578","True","True","False","0.00111405","B"
"fontconfig","","195595","178887","175105","190537","205594","227855","True","True","False","0.00109399","B"
"debianutils","","229908","207364","204687","222113","243173","272204","True","True","False","0.00108638","B"
"gnutls28","","193022","178781","184256","204691","220688","176696","True","True","False","0.00107848","B"
"librevenge","","102723","93236","86762","99906","108054","125658","True","True","False","0.00104654","B"
"popt","rpm-software-management/popt","230060","207295","204676","222243","243383","272705","True","True","False","0.00104507","B"
"jansson","","191192","142351","159307","183537","218288","252478","True","True","False","0.00103769","B"
"pkg-config","","0","0","0","0","0","0","False","False","False","0.00101961","B"
"libmnl","","221417","193684","194707","213625","237343","267727","True","True","False","0.00101853","B"
"adduser","","0","0","0","0","0","0","False","False","False","0.00100005","B"
"libbsd","","229267","206011","203773","221454","242823","272276","True","True","False","0.00098907","B"
"libxfixes","","162033","153143","144094","157235","167425","188272","True","True","False","0.00096828","B"
"libxt","","133437","137610","128689","142941","147573","110375","True","True","False","0.00095735","B"
"libxrender","","174911","164668","155931","169439","181422","203098","True","True","False","0.00094223","B"
"curl","","163238","127253","145270","168988","192146","182536","True","True","False","0.00094062","B"
"mesa","","145794","133802","127098","141276","152665","174131","True","True","False","0.00091354","B"
"elfutils","","199964","190474","192121","211405","225243","180581","True","True","False","0.00090773","B"
