repo,repo_id,depsdev_scorecard_overall,depsdev_scorecard_date,depsdev_dependent_count,depsdev_license,depsdev_open_issues,bestpractices_badge_id,bestpractices_tiered_percentage,fetched_at
10der/homeassistant-custom_components-awtrix,748539167,,,,MIT,10,,,2026-05-03T17:02:18+00:00
7rulnik/source-map-js,330043541,3.8,2026-04-20,412006,non-standard,15,,,2026-05-03T17:02:24+00:00
acornjs/acorn,5932749,5,2026-04-20,248777,,16,,,2026-05-03T17:02:24+00:00
acornjs/acorn-jsx,22187098,2.6,2026-04-20,106535,MIT,18,,,2026-05-03T17:02:21+00:00
adobe/react-spectrum,208362715,6.7,2026-04-20,109488,Apache-2.0,582,,,2026-05-03T17:02:32+00:00
agronholm/anyio,145337588,5.3,2026-04-20,90992,MIT,84,,,2026-05-03T17:02:20+00:00
agronholm/exceptiongroup,447694800,4,2026-04-20,113528,non-standard,6,,,2026-05-03T17:02:20+00:00
ai/nanoid,99401299,6.7,2026-04-20,11670,MIT,2,,,2026-05-03T17:02:23+00:00
aio-libs/aiobotocore,36618494,7.7,2026-04-20,1123,Apache-2.0,25,,,2026-05-03T17:02:22+00:00
aio-libs/aiosignal,205007356,6.7,2026-04-20,39198,Apache-2.0,3,,,2026-05-03T17:02:21+00:00
aio-libs/async-timeout,67703198,4.5,2026-04-20,44201,non-standard,11,,,2026-05-03T17:02:20+00:00
aio-libs/frozenlist,204197530,5.6,2026-04-20,39249,Apache-2.0,25,,,2026-05-03T17:02:22+00:00
aio-libs/propcache,866565706,,,42050,Apache-2.0,11,,,2026-05-03T17:02:19+00:00
aio-libs/yarl,64756820,6.7,2026-04-20,41979,Apache-2.0,70,,,2026-05-03T17:02:20+00:00
ajv-validator/ajv,35914020,5.3,2026-04-20,181448,MIT,327,in_progress,99,2026-05-03T17:02:21+00:00
ajv-validator/ajv-formats,281084700,3.5,2026-04-20,66452,MIT,52,,,2026-05-03T17:02:22+00:00
alexcrichton/tar-rs,21946092,7.1,2026-04-20,159,Apache-2.0,129,,,2026-05-03T17:02:19+00:00
alexei/sprintf.js,9175790,2.5,2026-04-20,39523,BSD-3-Clause,63,,,2026-05-03T17:02:23+00:00
alexeyraspopov/picocolors,410740124,3.2,2026-04-20,668746,non-standard,14,,,2026-05-03T17:02:19+00:00
alexhuszagh/rust-lexical,155286170,4.8,2026-04-20,1325,non-standard,14,,,2026-05-03T17:02:26+00:00
alexindigo/asynckit,59087459,2,2026-04-20,2,MIT,1,,,2026-05-03T17:02:23+00:00
amanieu/parking_lot,58731560,4.1,2026-04-20,63431,Apache-2.0,77,,,2026-05-03T17:02:25+00:00
andialbrecht/sqlparse,4067434,4.8,2026-04-20,16617,BSD-3-Clause,258,,,2026-05-03T17:02:24+00:00
andrewrk/node-pend,11836813,2,2026-04-20,85510,MIT,0,,,2026-05-03T17:02:25+00:00
andyperlitch/jsbn,9710533,2.5,2026-04-20,7886,non-standard,20,,,2026-05-03T17:02:25+00:00
annotated-types/annotated-types,487934134,3.6,2026-04-20,94335,MIT,11,,,2026-05-03T17:02:30+00:00
antonk52/lilconfig,238967485,3.4,2026-04-20,58844,MIT,4,,,2026-05-03T17:02:26+00:00
apache/airflow,33884891,7.5,2026-04-20,4191,Apache-2.0,1719,,,2026-05-03T17:02:38+00:00
apache/arrow,51905353,7,2026-04-20,14872,Apache-2.0,2809,,,2026-05-03T17:02:30+00:00
apache/arrow-rs,358917250,6.2,2026-04-20,247,Apache-2.0,751,,,2026-05-03T17:02:33+00:00
ardatan/graphql-tools,54432168,5.9,2026-04-20,23755,MIT,159,,,2026-05-03T17:02:34+00:00
ardatan/whatwg-node,429511342,,,9709,MIT,14,,,2026-05-03T17:02:31+00:00
assert-rs/snapbox,424722460,,,12,Apache-2.0,46,,,2026-05-03T17:02:31+00:00
astral-sh/ruff,523043277,,,1836,MIT,1960,,,2026-05-03T17:02:32+00:00
autotools-mirror/autoconf,47662429,,,,GPL-2.0,0,,,2026-05-03T17:02:31+00:00
autotools-mirror/libtool,47662711,,,,,6,,,2026-05-03T17:02:31+00:00
autotools-mirror/m4,66880383,,,,,,,,2026-05-03T17:02:33+00:00
aws/aws-cli,6780767,5.6,2026-04-20,301,non-standard,606,,,2026-05-03T17:02:33+00:00
aws/aws-sdk-js-crypto-helpers,149673986,5.3,2026-04-20,342054,Apache-2.0,29,,,2026-05-03T17:02:35+00:00
aws/aws-sdk-js-v3,87228090,5.5,2026-04-20,1374689,Apache-2.0,173,,,2026-05-03T17:02:51+00:00
axios/axios,23088740,6.7,2026-04-20,151586,MIT,166,,,2026-05-03T17:02:33+00:00
azure/azure-sdk-for-js,108311273,6,2026-04-20,175237,MIT,800,,,2026-05-03T17:02:35+00:00
azure/azure-sdk-for-python,4127088,6.7,2026-04-20,11982,MIT,1215,,,2026-05-03T17:03:06+00:00
azure/msrest-for-python,71186468,3.6,2026-04-20,1176,MIT,0,,,2026-05-03T17:02:34+00:00
azuread/microsoft-authentication-library-for-python,67243113,6.5,2026-04-20,2308,non-standard,80,,,2026-05-03T17:02:34+00:00
babel/babel,24560307,7.2,2026-04-20,17860474,MIT,753,in_progress,27,2026-05-03T17:03:48+00:00
babel/babel-polyfills,190579283,4.6,2026-04-20,415388,MIT,32,,,2026-05-03T17:02:36+00:00
beatgammit/base64-js,2853282,2.1,2026-04-20,467134,MIT,4,,,2026-05-03T17:02:35+00:00
benjaminp/six,77868600,3.9,2026-04-20,170000,MIT,109,,,2026-05-03T17:02:36+00:00
besser82/libxcrypt,35503965,,,,LGPL-2.1,35,,,2026-05-03T17:02:36+00:00
bincode-org/bincode,24130045,,,9,,23,,,2026-05-03T17:02:37+00:00
bitflags/bitflags,29287955,7.4,2026-04-20,46064,Apache-2.0,14,,,2026-05-03T17:02:37+00:00
blakeembrey/array-flatten,17789771,3.3,2026-04-20,2683,MIT,8,,,2026-05-03T17:02:38+00:00
blakeembrey/change-case,9440238,3.7,2026-04-20,6347,MIT,13,,,2026-05-03T17:02:51+00:00
bluss/bencher,65987276,2.3,2026-04-20,396,Apache-2.0,7,,,2026-05-03T17:02:46+00:00
bminor/glibc,13868694,3,2026-04-20,,LGPL-2.1,0,,,2026-05-03T17:02:46+00:00
