repo,repo_id,valid_repo,user,user_id,user_type,license,is_oss,is_eol,host,repo_url,repo_owner,repo_owner_url,repo_owner_type,tm_owner,tm_owner_type,eligibility
7rulnik/source-map-js,330043541,True,7rulnik,5969049,User,NOASSERTION,False,False,,,Valentin Semirulnik,,,,,False
acornjs/acorn,5932749,True,acornjs,34631683,Organization,,False,False,,,,,,,,False
acornjs/acorn-jsx,22187098,True,acornjs,34631683,Organization,MIT,True,False,,,,,,,,True
adobe/react-spectrum,208362715,True,adobe,476009,Organization,Apache-2.0,True,False,,https://react-spectrum.adobe.com,"Adobe, Inc.",https://adobe.com,,,,True
ai/nanoid,99401299,True,ai,19343,User,MIT,True,False,,https://zelark.github.io/nano-id-cc/,Andrey Sitnik,https://sitnik.es,,,,True
aio-libs/aiobotocore,36618494,True,aio-libs,7049303,Organization,Apache-2.0,True,False,,https://aiobotocore.aio-libs.org,aio-libs,https://github.com/orgs/aio-libs/discussions,,,,True
aio-libs/aiohappyeyeballs,729599104,True,aio-libs,7049303,Organization,NOASSERTION,False,False,,https://aiohappyeyeballs.rtfd.io,aio-libs,https://github.com/orgs/aio-libs/discussions,,,,False
aio-libs/aiohttp,13258039,True,aio-libs,7049303,Organization,NOASSERTION,False,False,,https://docs.aiohttp.org,aio-libs,https://github.com/orgs/aio-libs/discussions,,,,False
aio-libs/aiosignal,205007356,True,aio-libs,7049303,Organization,Apache-2.0,True,False,,https://aiosignal.aio-libs.org,aio-libs,https://github.com/orgs/aio-libs/discussions,,,,True
aio-libs/async-timeout,67703198,True,aio-libs,7049303,Organization,NOASSERTION,False,False,,,aio-libs,https://github.com/orgs/aio-libs/discussions,,,,False
aio-libs/frozenlist,204197530,True,aio-libs,7049303,Organization,Apache-2.0,True,False,,https://frozenlist.aio-libs.org,aio-libs,https://github.com/orgs/aio-libs/discussions,,,,True
aio-libs/multidict,51206425,True,aio-libs,7049303,Organization,NOASSERTION,False,False,,https://multidict.aio-libs.org,aio-libs,https://github.com/orgs/aio-libs/discussions,,,,False
aio-libs/propcache,866565706,True,aio-libs,7049303,Organization,Apache-2.0,True,False,,,aio-libs,https://github.com/orgs/aio-libs/discussions,,,,True
aio-libs/yarl,64756820,True,aio-libs,7049303,Organization,Apache-2.0,True,False,,https://yarl.aio-libs.org,aio-libs,https://github.com/orgs/aio-libs/discussions,,,,True
ajv-validator/ajv,35914020,True,ajv-validator,46839968,Organization,MIT,True,False,,https://ajv.js.org,Ajv JSON schema validator,https://ajv.js.org/,,,,True
ajv-validator/ajv-formats,281084700,True,ajv-validator,46839968,Organization,MIT,True,False,,https://ajv.js.org,Ajv JSON schema validator,https://ajv.js.org/,,,,True
ajv-validator/ajv-keywords,60477053,True,ajv-validator,46839968,Organization,MIT,True,False,,https://ajv.js.org,Ajv JSON schema validator,https://ajv.js.org/,,,,True
alexcrichton/tar-rs,21946092,True,alexcrichton,64996,User,Apache-2.0,True,False,,https://docs.rs/tar,Alex Crichton,,,,,True
alexei/sprintf.js,9175790,True,alexei,96283,User,BSD-3-Clause,True,False,,,Alexandru Mărășteanu,https://alexei.ro/,,,,True
alexeyraspopov/picocolors,410740124,True,alexeyraspopov,858295,User,ISC,True,False,,,Oleksii,attitude.dev,,,,True
alexhuszagh/rust-lexical,155286170,True,Alexhuszagh,9440903,User,NOASSERTION,False,False,,,Alexander Huszagh,,,,,False
alexindigo/asynckit,59087459,True,alexindigo,127063,User,MIT,True,False,,http://npmjs.com/asynckit,Alex Indigo,,,,,True
amanieu/parking_lot,58731560,True,Amanieu,278509,User,Apache-2.0,True,False,,,Amanieu d'Antras,,,,,True
andialbrecht/sqlparse,4067434,True,andialbrecht,25632,User,BSD-3-Clause,True,False,,,Andi Albrecht,http://andialbrecht.de,,,,True
andrewrk/node-pend,11836813,True,andrewrk,106511,User,MIT,True,False,,,Andrew Kelley,https://andrewkelley.me/,,,,True
andyperlitch/jsbn,9710533,True,andyperlitch,1390651,User,NOASSERTION,False,False,,,Andy Perlitch,http://andyperlitch.net,,,,False
angular/angular-cli,36891867,True,angular,139426,Organization,MIT,True,False,,https://cli.angular.dev,Angular,https://angular.dev,,,,True
annotated-types/annotated-types,487934134,True,annotated-types,104787162,Organization,MIT,True,False,,,,,,,,True
antonk52/lilconfig,238967485,True,antonk52,5817809,User,MIT,True,False,,,Anton Kastritskii,github.com/antonk52/webdevandstuff,,,,True
apache/arrow,51905353,True,apache,47359,Organization,Apache-2.0,True,False,apache,https://arrow.apache.org/,The Apache Software Foundation,https://www.apache.org/,,,,True
apache/arrow-rs,358917250,True,apache,47359,Organization,Apache-2.0,True,False,apache,https://arrow.apache.org/,The Apache Software Foundation,https://www.apache.org/,,,,True
ardatan/graphql-tools,54432168,True,ardatan,20847995,User,MIT,True,False,,https://www.graphql-tools.com,Arda TANRIKULU,http://the-guild.dev/,,,,True
ardatan/whatwg-node,429511342,True,ardatan,20847995,User,MIT,True,False,,,Arda TANRIKULU,http://the-guild.dev/,,,,True
assert-rs/snapbox,424722460,True,assert-rs,36999732,Organization,Apache-2.0,True,False,,https://docs.rs/snapbox,,,,,,True
astanin/python-tabulate,205875548,True,astanin,71802,User,MIT,True,False,,https://pypi.org/project/tabulate/,Sergey Astanin,,,,,True
astral-sh/ruff,523043277,True,astral-sh,115962839,Organization,MIT,True,False,,https://docs.astral.sh/ruff,Astral,https://astral.sh,,,,True
auth0/node-jwa,8116861,True,auth0,2824157,Organization,MIT,True,False,,http://tools.ietf.org/id/draft-ietf-jose-json-web-algorithms-08.html,Auth0,https://auth0.com,,,,True
aws/aws-cli,6780767,True,aws,2232217,Organization,NOASSERTION,False,False,,,Amazon Web Services,https://amazon.com/aws,,,,False
aws/aws-sdk-js-crypto-helpers,149673986,True,aws,2232217,Organization,Apache-2.0,True,False,,,Amazon Web Services,https://amazon.com/aws,,,,True
aws/aws-sdk-js-v3,87228090,True,aws,2232217,Organization,Apache-2.0,True,False,,,Amazon Web Services,https://amazon.com/aws,,,,True
axios/axios,23088740,True,axios,32372333,Organization,MIT,True,False,,https://axios-http.com,axios,https://axios.rest,,,,True
azure/azure-sdk-for-js,108311273,True,Azure,6844498,Organization,MIT,True,False,,,Microsoft Azure,https://docs.microsoft.com/en-us/azure/,,,,True
azure/msrest-for-python,71186468,True,Azure,6844498,Organization,MIT,True,False,,,Microsoft Azure,https://docs.microsoft.com/en-us/azure/,,,,True
azuread/microsoft-authentication-library-for-python,67243113,True,AzureAD,2966316,Organization,NOASSERTION,False,False,,https://stackoverflow.com/questions/tagged/azure-ad-msal+python,Azure Active Directory,http://azure.microsoft.com/en-us/services/active-directory/,,,,False
