repo,repo_id,eol,archived,mirror,active
7rulnik/source-map-js,330043541,False,False,False,True
acornjs/acorn,5932749,False,False,False,True
acornjs/acorn-jsx,22187098,False,False,False,True
adobe/react-spectrum,208362715,False,False,False,True
agronholm/anyio,145337588,False,False,False,True
agronholm/exceptiongroup,447694800,False,False,False,True
ai/nanoid,99401299,False,False,False,True
aio-libs/aiobotocore,36618494,False,False,False,True
aio-libs/aiohttp,13258039,False,False,False,True
aio-libs/aiosignal,205007356,False,False,False,True
aio-libs/async-timeout,67703198,False,False,False,True
aio-libs/frozenlist,204197530,False,False,False,True
aio-libs/multidict,51206425,False,False,False,True
aio-libs/propcache,866565706,False,False,False,True
aio-libs/yarl,64756820,False,False,False,True
ajv-validator/ajv,35914020,False,False,False,True
ajv-validator/ajv-formats,281084700,False,False,False,True
ajv-validator/ajv-keywords,60477053,False,False,False,True
alexcrichton/tar-rs,21946092,False,False,False,True
alexei/sprintf.js,9175790,False,False,False,True
alexeyraspopov/picocolors,410740124,False,False,False,True
alexhuszagh/rust-lexical,155286170,False,False,False,True
alexindigo/asynckit,59087459,False,False,False,True
amanieu/parking_lot,58731560,False,False,False,True
andialbrecht/sqlparse,4067434,False,False,False,True
andrewrk/node-pend,11836813,False,False,False,True
andyperlitch/jsbn,9710533,False,False,False,True
angular/angular-cli,36891867,False,False,False,True
annotated-types/annotated-types,487934134,False,False,False,True
antonk52/lilconfig,238967485,False,False,False,True
apache/airflow,33884891,False,False,False,True
apache/arrow,51905353,False,False,False,True
apache/arrow-rs,358917250,False,False,False,True
ardatan/graphql-tools,54432168,False,False,False,True
ardatan/whatwg-node,429511342,False,False,False,True
assert-rs/snapbox,424722460,False,False,False,True
astanin/python-tabulate,205875548,False,False,False,True
astral-sh/ruff,523043277,False,False,False,True
auth0/node-jwa,8116861,False,False,False,True
autotools-mirror/autoconf,47662429,False,False,True,True
autotools-mirror/libtool,47662711,False,False,True,True
autotools-mirror/m4,66880383,False,False,True,True
aws/aws-cli,6780767,False,False,False,True
aws/aws-sdk-js-crypto-helpers,149673986,False,False,False,True
aws/aws-sdk-js-v3,87228090,False,False,False,True
axios/axios,23088740,False,False,False,True
azure/azure-sdk-for-js,108311273,False,False,False,True
azure/azure-sdk-for-python,4127088,False,False,False,True
azure/msrest-for-python,71186468,False,True,False,False
azuread/microsoft-authentication-library-for-python,67243113,False,False,False,True
babel/babel,24560307,False,False,False,True
babel/babel-polyfills,190579283,False,False,False,True
babel/minify,55723051,False,False,False,True
bdwgc/bdwgc,2109456,False,False,False,True
beatgammit/base64-js,2853282,False,False,False,True
benjaminp/six,77868600,False,False,False,True
besser82/libxcrypt,35503965,False,False,False,True
bincode-org/bincode,24130045,False,True,False,False
bitflags/bitflags,29287955,False,False,False,True
blakeembrey/array-flatten,17789771,False,False,False,True
blakeembrey/change-case,9440238,False,False,False,True
bluss/bencher,65987276,False,False,False,True
bminor/glibc,13868694,False,True,True,True
boto/boto3,24774658,False,False,False,True
boto/botocore,6670942,False,False,False,True
