repo,repo_id,oss,intent,nonprofit,active,eligible
7rulnik/source-map-js,gh/330043541,True,True,True,True,True
acornjs/acorn,gh/5932749,True,True,True,True,True
acornjs/acorn-jsx,gh/22187098,True,True,True,True,True
adobe/react-spectrum,gh/208362715,True,True,False,True,False
agronholm/anyio,gh/145337588,True,True,True,True,True
agronholm/exceptiongroup,gh/447694800,True,True,True,True,True
ai/nanoid,gh/99401299,True,True,True,True,True
aio-libs-abandoned/async-timeout,gh/67703198,True,True,True,False,False
aio-libs/aiobotocore,gh/36618494,True,True,True,True,True
aio-libs/aiohttp,gh/13258039,True,True,True,True,True
aio-libs/aiosignal,gh/205007356,True,True,True,True,True
aio-libs/frozenlist,gh/204197530,True,True,True,True,True
aio-libs/multidict,gh/51206425,True,True,True,True,True
aio-libs/propcache,gh/866565706,True,True,True,True,True
aio-libs/yarl,gh/64756820,True,True,True,True,True
ajv-validator/ajv,gh/35914020,True,True,True,True,True
ajv-validator/ajv-formats,gh/281084700,True,True,True,True,True
ajv-validator/ajv-keywords,gh/60477053,True,True,True,True,True
alexei/sprintf.js,gh/9175790,True,False,True,True,False
alexeyraspopov/picocolors,gh/410740124,True,False,True,True,False
alexhuszagh/rust-lexical,gh/155286170,True,False,True,True,False
alexindigo/asynckit,gh/59087459,True,False,True,True,False
amanieu/parking_lot,gh/58731560,True,False,True,True,False
andialbrecht/sqlparse,gh/4067434,True,False,True,True,False
andrewrk/node-pend,gh/11836813,True,True,True,True,True
andyperlitch/jsbn,gh/9710533,True,False,True,True,False
angular/angular-cli,gh/36891867,True,True,False,True,False
annotated-types/annotated-types,gh/487934134,True,True,True,True,True
antonk52/lilconfig,gh/238967485,True,True,True,True,True
apache/airflow,gh/33884891,True,True,True,True,True
apache/arrow,gh/51905353,True,True,True,True,True
apache/arrow-rs,gh/358917250,True,True,True,True,True
ardatan/graphql-tools,gh/54432168,True,True,True,True,True
ardatan/whatwg-node,gh/429511342,True,True,True,True,True
assert-rs/snapbox,gh/424722460,True,True,True,True,True
astanin/python-tabulate,gh/205875548,True,False,True,True,False
astral-sh/ruff,gh/523043277,True,True,False,True,False
auth0/node-jwa,gh/8116861,True,True,False,True,False
autotools-mirror/autoconf,gh/47662429,True,True,True,True,True
autotools-mirror/libtool,gh/47662711,True,True,True,True,True
autotools-mirror/m4,gh/66880383,True,True,True,True,True
aws/aws-cli,gh/6780767,True,True,False,True,False
aws/aws-sdk-js-crypto-helpers,gh/149673986,True,True,False,True,False
aws/aws-sdk-js-v3,gh/87228090,True,True,False,True,False
axios/axios,gh/23088740,True,True,True,True,True
azure/azure-sdk-for-js,gh/108311273,True,True,False,True,False
azure/azure-sdk-for-python,gh/4127088,True,True,False,True,False
azure/msrest-for-python,gh/71186468,True,False,True,False,False
azuread/microsoft-authentication-library-for-python,gh/67243113,True,True,False,True,False
babel/babel,gh/24560307,True,True,True,True,True
babel/babel-polyfills,gh/190579283,True,True,True,True,True
babel/minify,gh/55723051,True,True,True,True,True
bdwgc/bdwgc,gh/2109456,True,False,True,True,False
