repo,repo_id,gh_sponsors_enabled,gh_sponsorships_in,gh_sponsorships_out,gh_sponsorships,gh_sponsorships_p,gh_stars,gh_forks,has_funding_links,has_funding_yml,funding_link_platforms,has_funding_json,has_npm_funding,npm_funding_url,has_pypi_funding,pypi_funding_platforms,bf_maintainer_fundable,channels_count,oc_slug,oc_avg_funding,oc_avg_funding_p,host,host_type,owner,owner_type,host_score,score,intent,nonprofit
7rulnik/source-map-js,gh/330043541,True,2,0,2,40.5,102,13,False,False,,False,False,,False,,False,0,,0,100.0,,,,,1,74,True,True
acornjs/acorn,gh/5932749,False,0,0,0,100.0,11372,1021,False,False,,False,False,,False,,True,0,,0,100.0,,,,,1,100,True,True
acornjs/acorn-jsx,gh/22187098,False,0,0,0,100.0,670,76,False,False,,False,False,,False,,True,0,,0,100.0,,,,,1,100,True,True
adobe/react-spectrum,gh/208362715,False,0,0,0,100.0,15031,1415,False,False,,False,False,,False,,True,0,,0,100.0,,,adobe.com,company,0,1,True,False
agronholm/anyio,gh/145337588,False,0,0,0,100.0,2447,201,True,True,tidelift,False,False,,False,,False,1,,0,100.0,,,,,1,79,True,True
agronholm/exceptiongroup,gh/447694800,False,0,0,0,100.0,48,23,True,True,tidelift,False,False,,False,,False,1,,0,100.0,,,,,1,79,True,True
ai/nanoid,gh/99401299,True,23,2,25,19.21,26755,842,True,True,"github,tidelift",False,True,https://github.com/sponsors/ai,False,,True,3,,0,100.0,,,,,1,58,True,True
aio-libs-abandoned/async-timeout,gh/67703198,True,7,,7,31.88,572,58,False,True,,False,False,,False,,True,0,,0,100.0,,,,,1,68,True,True
aio-libs/aiobotocore,gh/36618494,True,7,0,7,31.88,1403,203,True,True,"github,open_collective,tidelift",False,False,,False,,True,3,aio-libs,1551.90,6.77,,,,,1,28,True,True
aio-libs/aiohttp,gh/13258039,True,7,0,7,31.88,16422,2260,True,True,"github,open_collective,tidelift,custom",False,False,,False,,True,4,,0,100.0,,,,,1,68,True,True
aio-libs/aiosignal,gh/205007356,True,7,0,7,31.88,163,21,True,True,"github,open_collective,tidelift,custom",False,False,,False,,True,4,aio-libs,1551.90,6.77,,,,,1,28,True,True
aio-libs/frozenlist,gh/204197530,True,7,0,7,31.88,121,36,True,True,"github,open_collective,tidelift,custom",False,False,,False,,True,4,aio-libs,1551.90,6.77,,,,,1,28,True,True
aio-libs/multidict,gh/51206425,True,7,0,7,31.88,490,122,True,True,"github,open_collective,tidelift,custom",False,False,,False,,True,4,,0,100.0,,,,,1,68,True,True
aio-libs/propcache,gh/866565706,True,7,0,7,31.88,33,18,True,True,"github,open_collective,tidelift,custom",False,False,,False,,False,4,aio-libs,1551.90,6.77,,,,,1,28,True,True
aio-libs/yarl,gh/64756820,True,7,0,7,31.88,1479,188,True,True,"github,open_collective,tidelift,custom",False,False,,False,,True,4,aio-libs,1551.90,6.77,,,,,1,28,True,True
ajv-validator/ajv,gh/35914020,False,0,0,0,100.0,14689,956,True,True,"github,tidelift,open_collective",False,True,https://github.com/sponsors/epoberezkin,False,,True,4,ajv,10393.16,4.04,,,,,1,34,True,True
ajv-validator/ajv-formats,gh/281084700,False,0,0,0,100.0,221,41,True,True,"github,open_collective",False,False,,False,,True,2,,0,100.0,,,,,1,100,True,True
ajv-validator/ajv-keywords,gh/60477053,False,0,0,0,100.0,257,50,True,True,"github,tidelift",False,False,,False,,True,2,,0,100.0,,,,,1,79,True,True
alexei/sprintf.js,gh/9175790,False,0,0,0,100.0,2141,283,False,False,,False,False,,False,,False,0,,0,100.0,,,,,1,100,False,True
alexeyraspopov/picocolors,gh/410740124,False,0,0,0,100.0,1702,49,False,False,,False,False,,False,,False,0,,0,100.0,,,,,1,100,False,True
alexhuszagh/rust-lexical,gh/155286170,False,0,1,1,42.79,356,40,False,False,,False,False,,False,,False,0,,0,100.0,,,,,1,75,False,True
alexindigo/asynckit,gh/59087459,False,0,0,0,100.0,25,11,False,False,,False,False,,False,,False,0,,0,100.0,,,,,1,100,False,True
amanieu/parking_lot,gh/58731560,False,0,0,0,100.0,3324,268,False,False,,False,False,,False,,False,0,,0,100.0,,,,,1,100,False,True
andialbrecht/sqlparse,gh/4067434,False,0,0,0,100.0,4004,722,False,False,,False,False,,False,,False,0,,0,100.0,,,,,1,100,False,True
andrewrk/node-pend,gh/11836813,True,27,0,27,19.0,15,6,False,False,,False,False,,False,,True,0,,0,100.0,,,,,1,57,True,True
andyperlitch/jsbn,gh/9710533,False,0,0,0,100.0,173,41,False,False,,False,False,,False,,False,0,,0,100.0,,,,,1,100,False,True
angular/angular-cli,gh/36891867,False,0,0,0,100.0,27040,11870,False,False,,False,False,,False,,False,0,,0,100.0,,,google.com,company,0,1,True,False
annotated-types/annotated-types,gh/487934134,False,0,0,0,100.0,598,27,False,False,,False,False,,False,,True,0,,0,100.0,,,,,1,100,True,True
antonk52/lilconfig,gh/238967485,True,2,1,3,39.19,186,10,False,False,,False,True,https://github.com/sponsors/antonk52,False,,True,1,,0,100.0,,,,,1,73,True,True
apache/airflow,gh/33884891,False,0,0,0,100.0,45212,16941,False,False,,False,False,,False,,True,0,,0,100.0,apache,nonprofit,,,0.5,79,True,True
apache/arrow,gh/51905353,False,0,0,0,100.0,16691,4087,False,False,,False,False,,False,,True,0,,0,100.0,apache,nonprofit,,,0.5,79,True,True
apache/arrow-rs,gh/358917250,False,0,0,0,100.0,3443,1158,False,False,,False,False,,False,,True,0,,0,100.0,apache,nonprofit,,,0.5,79,True,True
ardatan/graphql-tools,gh/54432168,True,3,0,3,39.19,5425,828,True,True,github,False,False,,False,,True,1,,0,100.0,,,,,1,73,True,True
ardatan/whatwg-node,gh/429511342,True,3,0,3,39.19,194,37,True,True,github,False,False,,False,,True,1,,0,100.0,,,,,1,73,True,True
assert-rs/snapbox,gh/424722460,False,0,0,0,100.0,174,26,False,False,,False,False,,False,,True,0,,0,100.0,,,,,1,100,True,True
astanin/python-tabulate,gh/205875548,False,0,0,0,100.0,2548,186,False,False,,False,False,,False,,False,0,,0,100.0,,,,,1,100,False,True
astral-sh/ruff,gh/523043277,False,0,38,38,17.79,47269,2030,False,False,,False,False,,False,,False,0,astral-sh,2000,6.0,,,astral.sh,company,0,1,True,False
auth0/node-jwa,gh/8116861,False,0,0,0,100.0,102,45,False,False,,False,False,,False,,False,0,,0,100.0,,,auth0.com,company,0,1,True,False
autotools-mirror/autoconf,gh/47662429,False,0,0,0,100.0,66,25,False,False,,False,False,,False,,False,0,,0,100.0,fsf/gnu,nonprofit,,,0.5,79,True,True
autotools-mirror/libtool,gh/47662711,False,0,0,0,100.0,51,28,False,False,,False,False,,False,,False,0,,0,100.0,fsf/gnu,nonprofit,,,0.5,79,True,True
autotools-mirror/m4,gh/66880383,False,0,0,0,100.0,28,4,False,False,,False,False,,False,,False,0,,0,100.0,fsf/gnu,nonprofit,,,0.5,79,True,True
aws/aws-cli,gh/6780767,False,0,1,1,42.79,16905,4526,False,False,,False,False,,False,,False,0,,0,100.0,,,amazon.com,company,0,1,True,False
aws/aws-sdk-js-crypto-helpers,gh/149673986,False,0,1,1,42.79,68,34,False,False,,False,False,,False,,False,0,,0,100.0,,,amazon.com,company,0,1,True,False
aws/aws-sdk-js-v3,gh/87228090,False,0,1,1,42.79,3610,677,False,False,,False,False,,False,,False,0,,0,100.0,,,amazon.com,company,0,1,True,False
axios/axios,gh/23088740,True,20,0,20,22.93,109033,11654,True,True,"github,open_collective",False,False,,False,,False,2,axios,32031.31,1.86,,,,,1,16,True,True
azure/azure-sdk-for-js,gh/108311273,False,0,0,0,100.0,2290,1362,False,False,,False,False,,False,,False,0,,0,100.0,,,microsoft.com,company,0,1,True,False
azure/azure-sdk-for-python,gh/4127088,False,0,0,0,100.0,5531,3289,False,False,,False,False,,False,,False,0,,0,100.0,,,microsoft.com,company,0,1,True,False
