repo,repo_id,license,license_source,oss
1g4-mirror/libunistring,gh/1165671691,gpl-2.0-or-later or lgpl-3.0-or-later,registry,True
7rulnik/source-map-js,gh/330043541,bsd-3-clause,registry,True
acornjs/acorn,gh/5932749,mit,registry,True
acornjs/acorn-jsx,gh/22187098,mit,registry,True
agronholm/anyio,gh/145337588,mit,registry,True
agronholm/exceptiongroup,gh/447694800,mit,registry,True
ai/nanoid,gh/99401299,mit,registry,True
aio-libs-abandoned/async-timeout,gh/67703198,apache-2.0,registry,True
aio-libs/aiobotocore,gh/36618494,apache-2.0,registry,True
aio-libs/aiohttp,gh/13258039,apache-2.0,override,True
aio-libs/aiosignal,gh/205007356,apache-2.0,registry,True
aio-libs/frozenlist,gh/204197530,apache-2.0,registry,True
aio-libs/multidict,gh/51206425,apache-2.0,override,True
aio-libs/propcache,gh/866565706,apache-2.0,registry,True
aio-libs/yarl,gh/64756820,apache-2.0,registry,True
ajv-validator/ajv,gh/35914020,mit,registry,True
ajv-validator/ajv-formats,gh/281084700,mit,registry,True
ajv-validator/ajv-keywords,gh/60477053,mit,registry,True
alexei/sprintf.js,gh/9175790,bsd-3-clause,registry,True
alexeyraspopov/picocolors,gh/410740124,isc,registry,True
alexhuszagh/rust-lexical,gh/155286170,mit/apache-2.0,registry,True
alexindigo/asynckit,gh/59087459,mit,registry,True
amanieu/parking_lot,gh/58731560,mit or apache-2.0,registry,True
andialbrecht/sqlparse,gh/4067434,bsd-3-clause,registry,True
andrewrk/node-pend,gh/11836813,mit,registry,True
andyperlitch/jsbn,gh/9710533,mit,registry,True
angular/angular-cli,gh/36891867,mit,registry,True
annotated-types/annotated-types,gh/487934134,mit,registry,True
antonk52/lilconfig,gh/238967485,mit,registry,True
apache/airflow,gh/33884891,apache-2.0,registry,True
apache/arrow,gh/51905353,apache-2.0,registry,True
apache/arrow-rs,gh/358917250,apache-2.0,registry,True
ardatan/graphql-tools,gh/54432168,mit,registry,True
ardatan/whatwg-node,gh/429511342,mit,registry,True
assert-rs/snapbox,gh/424722460,mit or apache-2.0,registry,True
astanin/python-tabulate,gh/205875548,mit,registry,True
