repo,value_class,archived,pushed_at,days_since_push,is_eol,eol_method,source,eol_checked_at
microsoft/tslib,A,False,2026-03-02T20:16:11Z,55,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
babel/babel,A,False,2026-03-11T15:26:29Z,46,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
babel/babel,A,False,2026-03-11T15:26:29Z,46,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
vercel/ms,A,False,2026-01-16T16:27:00Z,100,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
ljharb/es-errors,A,False,2024-03-09T00:38:43Z,779,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
debug-js/debug,A,False,2026-01-29T16:27:54Z,87,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
chalk/ansi-regex,A,False,2026-02-18T13:43:33Z,67,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
npm/node-semver,A,False,2026-02-24T17:05:32Z,61,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
raynos/function-bind,A,False,2023-10-12T19:08:08Z,927,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
feross/safe-buffer,A,False,2023-06-03T11:06:05Z,1058,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
definitelytyped/definitelytyped,A,False,2026-03-11T12:05:35Z,46,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
babel/babel,A,False,2026-03-11T15:26:29Z,46,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
nodejs/undici,A,False,2026-03-11T00:04:27Z,47,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
chalk/chalk,A,False,2026-01-27T06:30:36Z,90,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
chalk/strip-ansi,A,False,2026-02-26T13:51:11Z,59,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
ljharb/call-bound,A,False,2025-03-03T17:50:00Z,419,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
chalk/ansi-styles,A,False,2026-02-27T04:47:01Z,59,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
colorjs/color-name,A,False,2025-11-12T16:51:27Z,165,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
juliangruber/balanced-match,A,False,2026-03-26T08:18:58Z,32,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
smithy-lang/smithy-typescript,A,False,2026-04-16T22:56:43Z,10,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
juliangruber/brace-expansion,A,False,2026-04-11T13:26:33Z,15,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
ljharb/get-intrinsic,A,False,2026-01-13T19:32:28Z,103,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
sindresorhus/p-limit,A,False,2026-02-03T16:02:24Z,82,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
isaacs/minipass,A,False,2026-02-19T00:34:22Z,67,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
sindresorhus/yocto-queue,A,False,2025-11-11T06:32:12Z,167,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
babel/babel,A,False,2026-03-11T15:26:29Z,46,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
isaacs/minimatch,A,False,2026-02-26T19:32:06Z,59,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
chalk/supports-color,A,False,2026-01-04T15:23:13Z,112,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
sindresorhus/string-width,A,False,2026-02-18T16:38:40Z,67,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
ljharb/call-bind-apply-helpers,A,False,2025-02-12T19:24:52Z,438,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
