name,project_slug,domain,website,github_repo,ecosystem,package
ArviZ,arviz,arviz.org,https://www.arviz.org/en/latest/,arviz-devs/arviz,,
Astropy,astropy,astropy.org,https://www.astropy.org/,,,
Bioconductor,bioconductor,bioconductor.org,https://bioconductor.org,,,
Blosc,blosc,blosc.org,https://www.blosc.org,Blosc/hdf5-blosc,,
Bokeh,bokeh,bokeh.org,https://bokeh.org/,,,
Cantera,cantera,cantera.org,https://cantera.org,Cantera/cantera,,
conda,conda,github.com,https://github.com/conda,,,
conda-forge,conda-forge,conda-forge.org,https://conda-forge.org/,,,
CuPy,cupy,cupy.dev,https://cupy.dev/,cupy/cupy,,
Dask,dask,dask.org,https://dask.org/,,,
data.table,data-table,rdatatable.gitlab.io,https://rdatatable.gitlab.io/data.table/,Rdatatable/data,,
Dynare,dynare,dynare.org,https://www.dynare.org/,,,
Econ-ARK,econ-ark,econ-ark.org,https://econ-ark.org/,econ-ark/HARK,,
FEniCS Project,fenics-project,fenicsproject.org,https://fenicsproject.org/,,,
Fortran-lang,fortran-lang,fortran-lang.org,https://fortran-lang.org,,,
Gammapy,gammapy,gammapy.org,https://gammapy.org,gammapy/gammapy,,
GDAL,gdal,gdal.org,https://gdal.org,OSGeo/gdal,,
GeoPandas,geopandas,geopandas.org,https://geopandas.org/en/stable/,,,
GNU Octave,gnu-octave,octave.org,https://octave.org/,,,
GRASS,grass,grass.osgeo.org,https://grass.osgeo.org/,OSGeo/grass,,
HoloViz,holoviz,holoviz.org,https://holoviz.org/,,,
ITK,itk,insightsoftwareconsortium.org,https://www.insightsoftwareconsortium.org/,InsightSoftwareConsortium/ITK,,
Julia,julia,julialang.org,https://julialang.org/,JuliaLang/julia,,
JuMP,jump,jump.dev,https://jump.dev/,JuliaOpt/JuMP,,
LFortran,lfortran,lfortran.org,https://lfortran.org/,,,
Matplotlib,matplotlib,matplotlib.org,https://matplotlib.org/,,,
MDAnalysis,mdanalysis,mdanalysis.org,https://www.mdanalysis.org/,,,
mlpack,mlpack,mlpack.org,https://www.mlpack.org/,,,
napari,napari,napari.org,https://napari.org,,,
NetworkX,networkx,networkx.github.io,https://networkx.github.io/,,,
NiBabel,nibabel,nipy.org,https://nipy.org/nibabel/,,,
nteract,nteract,nteract.io,https://nteract.io/,nteract/nteract,,
NumPy,numpy,numpy.org,https://www.numpy.org/,numpy/numpy,,
Open Journals,open-journals,theoj.org,https://www.theoj.org/,,,
OpenFHE,openfhe,fonts.gstatic.com,https://fonts.gstatic.com,,,
OpenMBEE,openmbee,openmbee.org,https://www.openmbee.org,,,
OpenProblems.bio,openproblemsbio,openproblems.bio,https://openproblems.bio,openproblems-bio/openproblems,,
pandas,pandas,pandas.pydata.org,https://pandas.pydata.org/,,,
Pangeo,pangeo,pangeo.io,https://pangeo.io,,,
Parsl,parsl,parsl-project.org,https://parsl-project.org,Parsl/parsl,,
PETSc,petsc,petsc.org,https://petsc.org,,,
PyBaMM,pybamm,pybamm.org,https://www.pybamm.org,pybamm-team/PyBaMM,,
PyMC,pymc,docs.pymc.io,https://docs.pymc.io/,pymc-devs/pymc,,
PyTables,pytables,pytables.org,https://www.pytables.org/,,,
QuantEcon,quantecon,quantecon.org,https://quantecon.org/,,,
rOpenSci,ropensci,ropensci.org,https://ropensci.org/,,,
Scientific Python,scientific-python,scientific-python.org,https://scientific-python.org/,,,
scikit-image,scikit-image,scikit-image.org,https://scikit-image.org/,,,
scikit-learn,scikit-learn,scikit-learn.org,https://scikit-learn.org/stable/,,,
SciML,sciml,sciml.ai,https://sciml.ai/,,,
SciPy,scipy,scipy.org,https://scipy.org/,,,
scverse,scverse,scverse.org,https://scverse.org,,,
sgkit,sgkit,pystatgen.github.io,https://pystatgen.github.io/sgkit,pystatgen/sgkit,,
Spyder,spyder,spyder-ide.org,https://www.spyder-ide.org/,spyder-ide/spyder,,
Stan,stan,mc-stan.org,https://mc-stan.org/,,,
SunPy,sunpy,sunpy.org,https://sunpy.org/,,,
SymPy,sympy,sympy.org,https://www.sympy.org/en/index.html,sympy/sympy,,
TARDIS,tardis,tardis-sn.github.io,https://tardis-sn.github.io/tardis/,,,
Vega,vega,vega.github.io,https://vega.github.io/,,,
WorldWide Telescope,worldwide-telescope,worldwidetelescope.org,https://worldwidetelescope.org/home/,,,
xarray,xarray,xarray.pydata.org,https://xarray.pydata.org,,,
yt,yt,yt-project.org,https://yt-project.org/,,,
Zarr,zarr,zarr.readthedocs.io,https://zarr.readthedocs.io/,,,
