repo,repo_id,status,ac_2021_2025,bf_2021_2025,hhi_2021_2025,contributors_lifetime,bf_lifetime,hhi_lifetime,commits_2021_2025,commits_lifetime,bots_lifetime,clone_seconds,error,fetched_at
10der/homeassistant-custom_components-awtrix,748539167,ok,5,1,6344,5,1,6344,55,55,0,0.5,,2026-05-18T23:27:13+00:00
7rulnik/source-map-js,330043541,ok,9,1,4333,70,2,2383,39,506,0,0.8,,2026-05-18T23:27:13+00:00
acornjs/acorn,5932749,ok,48,2,2593,140,1,2985,294,1528,0,0.8,,2026-05-18T23:27:13+00:00
acornjs/acorn-jsx,22187098,ok,4,1,3333,51,2,3390,6,489,0,0.9,,2026-05-18T23:27:13+00:00
adobe/react-spectrum,208362715,ok,318,3,1407,497,3,1232,3559,6227,0,1.9,,2026-05-18T23:27:13+00:00
agronholm/anyio,145337588,ok,58,1,6210,77,1,7057,699,1168,2,1.2,,2026-05-18T23:27:13+00:00
agronholm/exceptiongroup,447694800,ok,8,1,7737,9,1,7637,131,133,1,1.0,,2026-05-18T23:27:13+00:00
ai/nanoid,99401299,ok,69,1,6247,148,1,6636,395,1174,1,1.0,,2026-05-18T23:27:13+00:00
aio-libs/aiobotocore,36618494,ok,40,1,4672,69,2,2401,290,782,3,0.8,,2026-05-18T23:27:13+00:00
aio-libs/aiohttp,13258039,ok,240,2,1898,803,2,2216,2312,8640,9,2.2,,2026-05-18T23:27:13+00:00
aio-libs/aiosignal,205007356,ok,8,1,3494,9,2,2763,103,151,4,1.0,,2026-05-18T23:27:14+00:00
aio-libs/async-timeout,67703198,ok,12,1,4750,22,1,4703,58,157,4,0.6,,2026-05-18T23:27:14+00:00
aio-libs/frozenlist,204197530,ok,15,1,4466,19,2,2910,242,419,4,0.8,,2026-05-18T23:27:14+00:00
aio-libs/multidict,51206425,ok,27,1,3515,59,2,3574,408,1076,5,0.6,,2026-05-18T23:27:14+00:00
aio-libs/propcache,866565706,ok,11,1,4904,15,1,4580,105,131,2,0.6,,2026-05-18T23:27:14+00:00
aio-libs/yarl,64756820,ok,46,2,3598,99,2,2278,755,1369,6,0.8,,2026-05-18T23:27:14+00:00
ajv-validator/ajv,35914020,ok,90,1,3731,209,1,6582,512,2209,3,0.8,,2026-05-18T23:27:14+00:00
ajv-validator/ajv-formats,281084700,ok,10,1,4091,11,1,6479,44,90,0,0.5,,2026-05-18T23:27:15+00:00
ajv-validator/ajv-keywords,60477053,ok,4,1,7037,22,1,7856,18,280,3,0.5,,2026-05-18T23:27:15+00:00
alexcrichton/tar-rs,21946092,ok,33,4,1004,84,1,3396,75,483,2,0.6,,2026-05-18T23:27:15+00:00
alexei/sprintf.js,9175790,ok,2,1,5556,26,1,5493,3,198,0,0.6,,2026-05-18T23:27:15+00:00
alexeyraspopov/picocolors,410740124,ok,13,1,3977,13,1,3977,74,74,0,0.5,,2026-05-18T23:27:15+00:00
alexhuszagh/rust-lexical,155286170,ok,15,1,9085,25,1,9163,553,910,1,0.6,,2026-05-18T23:27:15+00:00
alexindigo/asynckit,59087459,ok,2,1,5556,2,1,9287,3,27,0,0.6,,2026-05-18T23:27:15+00:00
amanieu/parking_lot,58731560,ok,70,9,870,125,2,1985,180,705,1,0.6,,2026-05-18T23:27:16+00:00
andialbrecht/sqlparse,4067434,ok,31,1,5268,113,1,3595,198,1212,0,0.6,,2026-05-18T23:27:16+00:00
andrewrk/node-pend,11836813,ok,0,0,0,1,1,10000,0,13,0,0.5,,2026-05-18T23:27:16+00:00
andyperlitch/jsbn,9710533,ok,0,0,0,11,3,1358,0,18,0,0.5,,2026-05-18T23:27:16+00:00
annotated-types/annotated-types,487934134,ok,20,2,2825,21,2,2757,80,81,0,0.5,,2026-05-18T23:27:16+00:00
antonk52/lilconfig,238967485,ok,8,1,8331,11,1,6978,91,118,1,0.5,,2026-05-18T23:27:16+00:00
apache/airflow,33884891,ok,2347,15,352,4077,20,272,23556,36812,2,18.9,,2026-05-18T23:27:16+00:00
apache/arrow,51905353,ok,883,15,293,1406,16,293,9602,18280,2,9.4,,2026-05-18T23:27:16+00:00
apache/arrow-rs,358917250,ok,587,10,676,785,11,370,4521,7475,1,3.7,,2026-05-18T23:27:16+00:00
archlinux/linux,142707813,ok,12447,258,19,28975,342,13,397351,1336248,0,242.7,,2026-05-18T23:27:16+00:00
ardatan/graphql-tools,54432168,ok,167,1,2794,396,5,999,1240,2850,6,4.5,,2026-05-18T23:27:16+00:00
ardatan/whatwg-node,429511342,ok,29,1,5112,29,1,5164,708,723,4,1.6,,2026-05-18T23:27:16+00:00
assert-rs/snapbox,424722460,ok,18,1,9050,18,1,9085,982,1021,2,1.1,,2026-05-18T23:27:16+00:00
astral-sh/ruff,523043277,ok,746,4,1087,839,4,1043,12215,13745,3,20.0,,2026-05-18T23:27:16+00:00
auth0/node-jwa,8116861,ok,2,1,5000,13,2,2672,2,81,1,1.0,,2026-05-18T23:27:17+00:00
autotools-mirror/autoconf,47662429,ok,28,1,4074,143,3,1392,262,7088,0,2.1,,2026-05-18T23:27:17+00:00
autotools-mirror/libtool,47662711,ok,60,1,2915,307,3,1316,272,4516,0,1.3,,2026-05-18T23:27:18+00:00
autotools-mirror/m4,66880383,ok,4,1,6342,13,1,8501,110,708,0,0.8,,2026-05-18T23:27:19+00:00
aws/aws-cli,6780767,ok,138,1,6632,490,2,1887,3017,9142,2,4.8,,2026-05-18T23:27:19+00:00
aws/aws-sdk-js-crypto-helpers,149673986,ok,21,3,1255,26,3,1444,95,156,2,0.9,,2026-05-18T23:27:20+00:00
aws/aws-sdk-js-v3,87228090,ok,135,1,6123,164,1,5040,9953,12238,3,4.4,,2026-05-18T23:27:20+00:00
axios/axios,23088740,ok,300,5,1149,615,6,640,690,1664,3,0.9,,2026-05-18T23:27:20+00:00
azure/azure-sdk-for-js,108311273,ok,384,5,836,583,10,503,12419,19742,5,18.7,,2026-05-18T23:27:21+00:00
azure/azure-sdk-for-python,4127088,ok,603,11,523,878,10,515,13813,21314,5,19.1,,2026-05-18T23:27:21+00:00
azuread/microsoft-authentication-library-for-python,67243113,ok,31,1,7965,47,1,7430,408,848,2,0.7,,2026-05-18T23:27:22+00:00
babel/babel,24560307,ok,242,3,1781,1192,4,1203,3049,16925,4,7.0,,2026-05-18T23:27:22+00:00
babel/babel-polyfills,190579283,ok,20,1,5145,24,1,6748,220,434,1,0.7,,2026-05-18T23:27:24+00:00
bdwgc/bdwgc,2109456,ok,73,1,8653,203,1,6637,2504,6477,0,4.3,,2026-05-18T23:27:25+00:00
