url,valid,method,checked_at
git://git.code.sf.net/p/giflib/code,True,ls-remote,2026-04-27T20:41:04Z
git://git.code.sf.net/p/net-snmp/code,True,ls-remote,2026-04-27T20:41:04Z
git://git.code.sf.net/p/opencore-amr/code,True,ls-remote,2026-04-27T20:41:04Z
git://git.ffmpeg.org/rtmpdump.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.gnu.org.ua/gdbm.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.gnunet.org/libmicrohttpd.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.hadrons.org/cgit/debian/pkgs/acl.git,False,ls-remote,2026-04-27T20:50:59Z
git://git.jff.email/cgit/libunistring.git,False,ls-remote,2026-04-27T20:50:59Z
git://git.kernel.org/pub/scm/libs/ieee1394/libraw1394.git,True,ls-remote,2026-04-27T20:50:59Z
git://git.kernel.org/pub/scm/libs/klibc/klibc.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.kernel.org/pub/scm/libs/libcap/libcap.git/,True,ls-remote,2026-04-27T20:41:04Z
git://git.kernel.org/pub/scm/linux/kernel/git/dhowells/keyutils.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.kernel.org/pub/scm/utils/dash/dash.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.kernel.org/pub/scm/utils/kernel/kmod/kmod.git/,True,ls-remote,2026-04-27T20:41:04Z
git://git.kernel.org/pub/scm/utils/pciutils/pciutils.git/,True,ls-remote,2026-04-27T20:41:04Z
git://git.linux-nfs.org/projects/steved/libtirpc.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.netfilter.org/iptables/,True,ls-remote,2026-04-27T20:41:04Z
git://git.netfilter.org/libmnl/,True,ls-remote,2026-04-27T20:41:04Z
git://git.netfilter.org/libnetfilter_conntrack/,True,ls-remote,2026-04-27T20:41:04Z
git://git.netfilter.org/libnfnetlink,True,ls-remote,2026-04-27T20:41:04Z
git://git.netfilter.org/libnftnl,True,ls-remote,2026-04-27T20:41:04Z
git://git.savannah.gnu.org/bash.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.savannah.gnu.org/cpio.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.savannah.gnu.org/diffutils.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.savannah.gnu.org/findutils.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.savannah.gnu.org/grep.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.savannah.gnu.org/groff.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.savannah.gnu.org/grub.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.savannah.gnu.org/guile.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.savannah.gnu.org/gzip.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.savannah.gnu.org/libidn.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.savannah.gnu.org/make.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.savannah.gnu.org/nano.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.savannah.gnu.org/patch.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.savannah.gnu.org/readline.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.savannah.gnu.org/sed.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.savannah.gnu.org/tar.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.savannah.gnu.org/texinfo.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.savannah.nongnu.org/attr.git,True,ls-remote,2026-04-27T20:41:04Z
