repo,files,loc,uloc,complexity,complexity_density,cocomo_months,cocomo_people,cocomo_cost,fetched_at
igaowei/bigdataview,1775,2667403,709378,363220,13.6,9497.4,117.0,44547512,2026-03-12T17:30:11Z
open-watcom/open-watcom-v2,18254,2306990,1421657,357623,15.5,8154.7,106.4,38249731,2026-03-12T21:05:25Z
php/php-src,2453,1656087,1017444,239618,14.5,5757.7,85.8,27006462,2026-03-12T22:31:48Z
ranuts/document,45,1595210,903864,164417,10.3,5535.7,83.7,25965049,2026-03-12T17:30:11Z
toggl-open-source/toggldesktop,6165,1485262,894206,164918,11.1,5135.8,79.9,24089268,2026-03-12T22:27:36Z
aleksoid1978/mpc-be,3726,1259792,882866,202568,16.1,4320.4,71.8,20264886,2026-03-12T21:05:25Z
eprosima/fast-dds,2978,1163781,541513,109906,9.4,3975.4,68.2,18646409,2026-03-12T21:53:44Z
xlite-dev/lite.ai.toolkit,921,1137915,22056,5679,0.5,3882.6,67.2,18211499,2026-03-12T21:05:25Z
qbittorrent/qbittorrent,685,1119827,170164,19825,1.8,3817.9,66.5,17907661,2026-03-12T21:05:25Z
google/makani,7183,1066757,564821,74516,7.0,3628.1,64.4,17017633,2026-03-12T21:05:25Z
openfoam/openfoam-dev,9153,896927,399546,48912,5.5,3024.2,57.5,14184869,2026-03-12T21:05:25Z
microsoft/typescript-sublime-plugin,54,831602,315874,159026,19.1,2793.3,54.8,13102123,2026-03-12T21:05:25Z
thecherno/sparky,2463,774525,502008,96256,12.4,2592.4,52.3,12159553,2026-03-12T17:30:11Z
cocos/cocos4,4655,714666,476010,101244,14.2,2382.4,49.6,11174772,2026-03-12T21:05:25Z
realm/realm-core,1289,684629,400048,75916,11.1,2277.4,48.3,10682144,2026-03-12T17:30:11Z
infisical/infisical,5834,682503,259190,43801,6.4,2270.0,48.2,10647317,2026-03-12T21:05:25Z
love2d/love,1025,658102,409923,92786,14.1,2184.8,47.0,10247980,2026-03-12T17:30:11Z
archipelagomw/archipelago,2015,637323,460689,60679,9.5,2112.5,46.1,9908501,2026-03-12T21:05:25Z
module-federation/core,2635,566440,278039,46686,8.2,1866.5,42.7,8754715,2026-03-12T21:05:25Z
rotki/rotki,4140,533053,254385,27880,5.2,1751.1,41.0,8213709,2026-03-12T21:05:25Z
onyx-dot-app/onyx,3600,506039,300241,43963,8.7,1658.1,39.6,7777205,2026-03-12T21:05:25Z
iaddis/metalnes,1229,505999,367475,47776,9.4,1657.9,39.6,7776560,2026-03-12T21:05:25Z
ldcsaa/hp-socket,2332,488810,67089,17876,3.7,1598.9,38.8,7499416,2026-03-12T21:53:44Z
apache/echarts,867,477673,213860,75481,15.8,1560.6,38.2,7320110,2026-03-12T21:05:25Z
firedancer-io/firedancer,2054,473506,361736,49055,10.4,1546.3,38.0,7253075,2026-03-12T21:05:25Z
nvidiagameworks/physx,2565,469213,293381,42868,9.1,1531.6,37.7,7184043,2026-03-12T17:30:11Z
novuhq/novu,5758,468110,211574,28573,6.1,1527.8,37.7,7166312,2026-03-12T17:40:22Z
autowarefoundation/autoware_universe,2973,393439,243704,36686,9.3,1273.0,33.7,5971063,2026-03-12T21:05:25Z
ukgovernmentbeis/inspect_ai,1343,389879,252267,48647,12.5,1260.9,33.5,5914346,2026-03-12T21:05:25Z
facebook/redex,1794,387402,240808,48616,12.5,1252.5,33.3,5874898,2026-03-12T21:05:25Z
pgcentralfoundation/pgrx,392,368705,71925,18528,5.0,1189.1,32.3,5577549,2026-03-12T21:05:25Z
bobbyanguelov/esoterica,1392,349988,229843,54192,15.5,1125.8,31.2,5280636,2026-03-12T22:31:48Z
documize/community,1281,341221,238247,54141,15.9,1096.2,30.7,5141832,2026-03-12T22:27:36Z
dariomanesku/cmftstudio,117,332561,318969,4771,1.4,1067.0,30.2,5004898,2026-03-12T17:30:11Z
continuedev/continue,2028,287130,166304,22909,8.0,914.5,27.4,4289561,2026-03-12T17:40:22Z
wasmerio/wasmer,1582,276681,138333,19119,6.9,879.6,26.8,4125805,2026-03-12T21:05:25Z
pulsar-edit/pulsar,991,265431,182387,16882,6.4,842.1,26.0,3949841,2026-03-12T21:05:25Z
aws/aws-toolkit-vscode,1957,265051,160208,21309,8.0,840.8,26.0,3943904,2026-03-12T22:31:48Z
defillama/defillama-adapters,5953,254004,141528,9572,3.8,804.1,25.3,3771490,2026-03-12T22:27:36Z
nesbox/tic-80,199,250881,153992,32386,12.9,793.7,25.1,3722816,2026-03-12T21:05:25Z
cameron314/concurrentqueue,1645,243657,99921,21762,8.9,769.7,24.6,3610341,2026-03-12T21:05:25Z
menyifang/mimo,1672,231494,98335,13788,6.0,729.4,23.8,3421347,2026-03-12T21:05:25Z
linb/crossui,297,230776,78113,29683,12.9,727.0,23.8,3410206,2026-03-12T21:05:25Z
gentilkiwi/mimikatz,305,227528,187065,27448,12.1,716.3,23.6,3359827,2026-03-12T22:31:48Z
stereolabs/zed-sdk,442,219911,50590,30010,13.6,691.1,23.0,3241826,2026-03-12T21:05:25Z
devflowinc/trieve,1385,211269,87389,13662,6.5,662.7,22.5,3108193,2026-03-12T17:40:22Z
google/adk-python,1238,210384,113669,12280,5.8,659.7,22.4,3094523,2026-03-12T21:05:25Z
firebug/firebug,990,205969,123445,33793,16.4,645.2,22.1,3026372,2026-03-12T17:29:19Z
cvxpy/cvxpy,846,203099,129097,16173,8.0,635.8,21.9,2982109,2026-03-12T21:05:25Z
cornerstonejs/cornerstone3d,1822,200311,107467,14032,7.0,626.6,21.7,2939141,2026-03-12T17:30:11Z
