repo,repo_id,status,n_contributors,fetched_at
10der/homeassistant-custom_components-awtrix,748539167,ok,5,2026-05-19T11:23:38+00:00
7rulnik/source-map-js,330043541,ok,63,2026-05-19T11:23:41+00:00
acornjs/acorn,5932749,ok,124,2026-05-19T11:23:42+00:00
acornjs/acorn-jsx,22187098,ok,45,2026-05-19T11:23:52+00:00
adobe/react-spectrum,208362715,ok,404,2026-05-19T11:23:55+00:00
agronholm/anyio,145337588,ok,78,2026-05-19T11:23:54+00:00
agronholm/exceptiongroup,447694800,ok,10,2026-05-19T11:23:56+00:00
ai/nanoid,99401299,ok,138,2026-05-19T11:23:56+00:00
aio-libs/aiobotocore,36618494,ok,70,2026-05-19T11:23:57+00:00
aio-libs/aiohttp,13258039,ok,410,2026-05-19T11:24:03+00:00
aio-libs/aiosignal,205007356,ok,13,2026-05-19T11:24:00+00:00
aio-libs/async-timeout,67703198,ok,25,2026-05-19T11:24:02+00:00
aio-libs/frozenlist,204197530,ok,22,2026-05-19T11:24:03+00:00
aio-libs/multidict,51206425,ok,63,2026-05-19T11:24:04+00:00
aio-libs/propcache,866565706,ok,16,2026-05-19T11:24:06+00:00
aio-libs/yarl,64756820,ok,101,2026-05-19T11:24:07+00:00
ajv-validator/ajv,35914020,ok,193,2026-05-19T11:24:08+00:00
ajv-validator/ajv-formats,281084700,ok,9,2026-05-19T11:24:09+00:00
ajv-validator/ajv-keywords,60477053,ok,19,2026-05-19T11:24:10+00:00
alexcrichton/tar-rs,21946092,ok,81,2026-05-19T11:24:12+00:00
alexei/sprintf.js,9175790,ok,21,2026-05-19T11:24:13+00:00
alexeyraspopov/picocolors,410740124,ok,12,2026-05-19T11:24:14+00:00
alexhuszagh/rust-lexical,155286170,ok,24,2026-05-19T11:24:15+00:00
alexindigo/asynckit,59087459,ok,2,2026-05-19T11:24:16+00:00
amanieu/parking_lot,58731560,ok,117,2026-05-19T11:24:17+00:00
andialbrecht/sqlparse,4067434,ok,92,2026-05-19T11:24:18+00:00
andrewrk/node-pend,11836813,ok,1,2026-05-19T11:24:21+00:00
andyperlitch/jsbn,9710533,ok,8,2026-05-19T11:24:22+00:00
annotated-types/annotated-types,487934134,ok,21,2026-05-19T11:24:24+00:00
antonk52/lilconfig,238967485,ok,11,2026-05-19T11:24:24+00:00
apache/airflow,33884891,ok,415,2026-05-19T11:24:30+00:00
apache/arrow,51905353,ok,371,2026-05-19T11:24:30+00:00
apache/arrow-rs,358917250,ok,414,2026-05-19T11:24:32+00:00
archlinux/linux,142707813,error,0,2026-05-19T11:24:39+00:00
ardatan/graphql-tools,54432168,ok,383,2026-05-19T11:24:34+00:00
ardatan/whatwg-node,429511342,ok,33,2026-05-19T11:22:36+00:00
assert-rs/snapbox,424722460,ok,20,2026-05-19T11:22:36+00:00
astral-sh/ruff,523043277,ok,454,2026-05-19T11:22:39+00:00
auth0/node-jwa,8116861,ok,14,2026-05-19T11:22:38+00:00
autotools-mirror/autoconf,47662429,ok,88,2026-05-19T11:22:38+00:00
autotools-mirror/libtool,47662711,ok,149,2026-05-19T11:22:39+00:00
autotools-mirror/m4,66880383,ok,13,2026-05-19T11:24:30+00:00
aws/aws-cli,6780767,ok,334,2026-05-19T11:22:41+00:00
aws/aws-sdk-js-crypto-helpers,149673986,ok,27,2026-05-19T11:22:41+00:00
aws/aws-sdk-js-v3,87228090,ok,161,2026-05-19T11:22:42+00:00
axios/axios,23088740,ok,444,2026-05-19T11:22:44+00:00
azure/azure-sdk-for-js,108311273,ok,398,2026-05-19T11:22:45+00:00
azure/azure-sdk-for-python,4127088,ok,403,2026-05-19T11:22:46+00:00
azuread/microsoft-authentication-library-for-python,67243113,ok,43,2026-05-19T11:22:46+00:00
babel/babel,24560307,ok,412,2026-05-19T11:22:48+00:00
babel/babel-polyfills,190579283,ok,24,2026-05-19T11:22:47+00:00
bdwgc/bdwgc,2109456,ok,166,2026-05-19T11:22:49+00:00
beatgammit/base64-js,2853282,ok,11,2026-05-19T11:22:49+00:00
benjaminp/six,77868600,ok,59,2026-05-19T11:22:50+00:00
besser82/libxcrypt,35503965,ok,26,2026-05-19T11:22:51+00:00
bitflags/bitflags,29287955,ok,87,2026-05-19T11:22:52+00:00
blakeembrey/array-flatten,17789771,ok,8,2026-05-19T11:22:53+00:00
blakeembrey/change-case,9440238,ok,25,2026-05-19T11:22:54+00:00
bluss/bencher,65987276,ok,4,2026-05-19T11:22:56+00:00
boto/boto3,24774658,ok,148,2026-05-19T11:22:57+00:00
boto/botocore,6670942,ok,177,2026-05-19T11:22:59+00:00
boto/s3transfer,49535299,ok,41,2026-05-19T11:22:59+00:00
braveg1rl/performance-now,336187529,ok,1,2026-05-19T11:23:01+00:00
brianc/node-postgres,991475,ok,321,2026-05-19T11:23:03+00:00
broofa/mime,534940,ok,48,2026-05-19T11:23:03+00:00
browserify/events,1649251,ok,15,2026-05-19T11:23:04+00:00
browserify/node-util,14568009,ok,10,2026-05-19T11:23:05+00:00
browserify/randombytes,29300004,ok,8,2026-05-19T11:23:07+00:00
browserify/resolve,1915099,ok,55,2026-05-19T11:23:08+00:00
browserslist/browserslist,27971466,ok,182,2026-05-19T11:23:10+00:00
browserslist/caniuse-lite,80221890,ok,13,2026-05-19T11:23:11+00:00
browserslist/update-db,505548145,ok,12,2026-05-19T11:23:12+00:00
burntsushi/aho-corasick,37290678,ok,32,2026-05-19T11:23:21+00:00
burntsushi/jiff,759017108,ok,46,2026-05-19T11:23:15+00:00
burntsushi/memchr,37290652,ok,46,2026-05-19T11:23:16+00:00
burntsushi/quickcheck,17559913,ok,79,2026-05-19T11:23:18+00:00
burntsushi/same-file,78375612,ok,13,2026-05-19T11:23:19+00:00
burntsushi/termcolor,141345580,ok,164,2026-05-19T11:23:20+00:00
burntsushi/ucd-generate,123997498,ok,15,2026-05-19T11:23:22+00:00
burntsushi/walkdir,42685794,ok,35,2026-05-19T11:23:24+00:00
burntsushi/winapi-util,146040682,ok,7,2026-05-19T11:23:25+00:00
businho/pytest-ruff,599731435,ok,7,2026-05-19T11:23:26+00:00
bytecodealliance/rustix,295544240,ok,123,2026-05-19T11:23:28+00:00
bytecodealliance/wasi-rs,196445196,ok,25,2026-05-19T11:23:29+00:00
c-ares/c-ares,571708,ok,163,2026-05-19T11:23:31+00:00
