repo,2021,2022,2023,2024,2025,2021-2025
0015/thatproject,0,0,0,1,0,1
0burak/imperial_hft,0,0,0,0,1,1
0vercl0k/rp,0,3,4,1,3,7
0vercl0k/wtf,5,5,3,2,3,14
0voice/algorithm-structure,2,0,0,1,0,2
0voice/awesome_c-cpp_projects,0,0,0,0,1,1
0voice/cpp_new_features,4,0,0,0,0,4
0voice/ffmpeg_develop_doc,0,0,0,0,0,0
0voice/introduce_c-cpp_manual,2,0,0,1,0,2
0voice/kernel_new_features,0,3,0,1,0,3
0x09al/rdpthief,0,0,0,0,0,0
0x1abin/multibutton,2,3,1,3,2,11
0x1abin/multitimer,3,0,1,1,0,4
0x23/micromanipulatorstepper,0,0,0,0,7,7
0x90/wifi-arsenal,0,0,0,0,0,0
0xchocolate/flipperzero-wifi-marauder,19,52,49,3,2,91
0xfa11/multiplayernetworkingresources,4,4,1,3,4,12
0xjs/redteaming_cheatsheet,1,1,1,1,3,3
0xnobody/vmpdump,0,0,0,0,0,0
0xz0f/z0fcourse_reverseengineering,1,2,0,3,2,5
10der/homeassistant-custom_components-awtrix,0,0,0,0,0,5
15172658790/blog,0,0,0,0,0,0
188080501/jqtools,2,1,1,1,1,2
1technophile/openmqttgateway,17,16,23,23,11,63
20tab/unrealenginepython,0,0,0,0,0,0
256dpi/arduino-mqtt,3,1,1,2,0,3
2ndquadrant/pglogical,7,4,6,3,3,16
2shady4u/godot-sqlite,2,6,5,3,6,17
2swap/swaptube,0,0,1,1,5,5
34736384/genshin-fps-unlock,0,0,1,5,3,7
360controller/360controller,0,0,0,0,0,0
3dgen/cppwasm-book,0,1,1,1,0,1
3proxy/3proxy,2,2,2,1,5,8
3shain/dxmt,0,0,1,3,9,9
4lex4/scantailor-advanced,0,0,0,0,0,0
4paradigm/openmldb,32,62,16,19,7,96
504ensicslabs/lime,3,0,1,2,4,10
78/xiaozhi-esp32,0,0,0,7,86,87
7h30th3r0n3/evil-m5project,0,0,1,9,7,15
7rulnik/source-map-js,0,0,0,0,0,63
7thsamurai/steganography,0,3,0,1,0,3
86box/86box,7,8,25,48,69,95
9176324/shark,1,1,0,0,0,1
9fans/plan9port,12,11,9,5,10,35
a2o/snoopy,0,0,0,0,0,0
aahmad097/alternativeshellcodeexec,2,1,0,0,0,3
aantron/better-enums,1,0,0,2,0,2
aappleby/metroboy,1,1,1,1,1,1
aappleby/smhasher,0,0,0,1,0,1
aardappel/lobster,8,13,8,12,11,38
aardappel/treesheets,2,11,9,5,12,23
aaronfeng753/waifu2x-extension-gui,1,1,1,1,1,1
abb128/livecaptions,0,2,5,1,1,5
abcminiuser/lufa,6,2,1,2,1,9
abcz316/skroot-linuxkernelroot,1,0,1,1,2,2
abishekvashok/cmatrix,2,5,3,0,0,10
ableton/link,7,2,4,1,2,10
abperiasamy/rtl8812au_8821au_linux,0,0,0,0,0,0
abrasive/shairport,0,0,0,0,0,0
abreheret/pixelannotationtool,2,0,0,0,0,2
abseil/abseil-cpp,7,40,43,39,34,82
academysoftwarefoundation/materialx,13,20,34,24,45,90
academysoftwarefoundation/opencolorio,19,14,14,25,21,58
academysoftwarefoundation/openexr,15,12,17,28,23,59
academysoftwarefoundation/openimageio,16,14,25,28,22,61
academysoftwarefoundation/openshadinglanguage,17,17,18,16,19,52
academysoftwarefoundation/opentimelineio,26,29,12,21,16,60
academysoftwarefoundation/openvdb,16,15,14,38,17,51
acados/acados,15,15,24,19,26,73
acassen/keepalived,11,9,9,10,8,35
acaudwell/gource,2,2,2,2,2,6
acaudwell/logstalgia,1,1,1,0,1,1
aceinnolab/inkycal,5,5,8,6,5,20
achimdoebler/ugui,0,0,0,0,0,0
acidanthera/applealc,34,33,20,18,14,74
acidanthera/brcmpatchram,11,6,7,2,3,19
acidanthera/lilu,9,7,8,7,3,17
acidanthera/opencorepkg,30,23,19,20,12,60
acidanthera/virtualsmc,17,5,7,6,3,25
acidanthera/whatevergreen,11,11,7,7,2,24
acidicoala/screamapi,1,2,1,0,1,2
acidicoala/smokeapi,0,1,2,0,1,2
acl-dev/acl,2,5,4,2,1,10
acm-clan/algorithm-stone,4,1,1,0,0,4
acornjs/acorn,0,0,0,0,0,124
acornjs/acorn-jsx,0,0,0,0,0,45
acoustid/chromaprint,7,2,0,0,5,12
activeloopai/deeplake,46,28,24,17,7,83
actor-framework/actor-framework,9,4,8,5,10,22
ada-url/ada,0,2,27,11,20,51
adafruit/adafruit-gfx-library,7,8,6,4,6,23
adafruit/adafruit_learning_system_guides,36,35,25,22,21,64
adafruit/adafruit_neopixel,10,6,5,8,12,32
adafruit/adafruit_sensor,0,4,4,0,1,5
adafruit/adafruit_ssd1306,8,6,3,5,4,20
adafruit/dht-sensor-library,4,2,2,0,0,6
adamdunkels/uip,0,0,0,0,0,0
adamstark/audiofile,2,5,6,2,4,14
adamyaxley/obfuscate,1,3,3,2,0,7
adaptivecpp/adaptivecpp,12,11,23,25,26,59
adaptix-framework/adaptixc2,0,0,0,1,26,26
adaway/adaway,9,3,4,2,4,18
add-sp/ngx_waf,2,1,0,0,1,2
addy-dclxvi/almighty-dotfiles,0,0,0,0,0,0
ading2210/linuxpdf,0,0,0,0,1,1
adishavit/argh,4,4,1,0,1,9
adnanaziz/epijudge,0,0,0,0,0,0
adobe-type-tools/afdko,11,9,7,7,2,19
adobe/react-spectrum,0,0,0,0,0,403
adoxa/ansicon,0,0,0,0,0,0
adrianlopezroche/fdupes,0,3,0,3,1,5
adsr/phpspy,2,2,2,2,1,5
aergoio/litetree,0,0,0,0,0,0
aerospike/aerospike-server,11,13,13,8,17,25
afiskon/stm32-ssd1306,4,3,5,1,2,13
aflplusplus/aflplusplus,0,0,0,0,0,0
afritz1/opentesarena,0,0,0,0,0,0
agauniyal/rang,2,1,0,0,0,3
agavrel/42_cheatsheet,3,0,0,0,0,3
agibottech/agibot_x1_infer,0,0,0,0,0,0
agile6v/awesome-nginx,2,0,3,7,3,13
agronholm/anyio,0,0,0,0,0,73
agronholm/exceptiongroup,0,0,0,0,0,9
aguinet/wannakey,0,0,0,0,0,0
agwa/git-crypt,1,1,0,1,1,1
ahrm/sioyek,6,19,6,13,8,44
ahxr/ghost,0,0,0,0,0,0
ai-winter/ros_motion_planning,0,0,4,5,1,6
ai/nanoid,0,0,0,0,0,138
aiekick/imguifiledialog,3,2,6,8,3,18
aimrt/aimrt,0,0,0,6,6,7
aio-libs/aiobotocore,0,0,0,0,0,67
aio-libs/aiohappyeyeballs,0,0,0,0,0,0
aio-libs/aiohttp,15,11,13,15,14,403
aio-libs/aiosignal,0,0,0,0,0,9
aio-libs/async-timeout,0,0,0,0,0,21
aio-libs/frozenlist,0,0,0,0,0,15
aio-libs/multidict,0,0,0,0,0,56
aio-libs/propcache,0,0,0,0,0,11
aio-libs/yarl,0,0,0,0,0,91
aiqinxuancai/discord-proxy,1,1,1,1,1,1
air14/hyperhide,1,1,1,0,0,1
aircrack-ng/aircrack-ng,10,11,7,4,2,25
aircrack-ng/rtl8188eus,6,8,2,1,1,15
airlegend/aitrack,4,2,0,0,0,5
airockchip/rknn-toolkit2,0,1,0,0,0,1
airockchip/rknn_model_zoo,0,1,0,0,0,1
airwindows/airwindows,1,1,1,1,2,2
aitorzip/deepgtav,0,0,0,0,0,0
aixed/wechat-hook,0,1,1,1,1,1
aiyaapp/aiyaeffectsandroid,1,1,0,0,1,1
ajv-validator/ajv,0,0,0,0,0,190
ajv-validator/ajv-formats,0,0,0,0,0,9
ajweeks/flexengine,0,0,0,0,0,0
akai-katto/dandere2x,3,3,0,0,0,5
akemin-dayo/appsync,1,3,2,1,0,4
akheron/jansson,3,3,5,1,2,10
akopytov/sysbench,1,0,2,0,1,2
akospasztor/stm32-bootloader,0,0,0,0,0,0
aksnzhy/xlearn,0,1,0,0,0,1
akylas/oss-documentscanner,0,1,9,51,27,70
alan-crl/inkeys,0,0,1,2,3,3
alandefreitas/matplotplusplus,11,8,10,5,7,39
albar965/littlenavmap,4,4,2,3,3,8
albertlauncher/albert,2,1,1,1,1,2
albertodemichelis/squirrel,0,3,3,4,0,10
albfan/miraclecast,3,6,4,2,2,13
aldostools/webman-mod,6,7,4,4,10,23
alecthomas/entityx,2,0,1,0,2,4
alekmaul/pvsneslib,3,7,9,7,5,23
aleksoid1978/mpc-be,3,10,9,9,11,17
aleksoid1978/videorenderer,3,2,4,3,2,5
alembic/alembic,4,5,6,2,2,14
alephsecurity/xnu-qemu-arm64,1,0,0,0,0,1
alex-spataru/qsimpleupdater,2,1,2,4,1,7
alex313031/thorium,0,0,0,0,0,0
alexaltea/orbital,1,0,1,1,0,1
alexandrerouma/sdrplusplus,26,14,15,10,2,58
alexays/waybar,15,29,36,27,16,75
alexbatalov/fallout1-ce,0,0,4,4,2,7
alexbatalov/fallout2-ce,0,10,10,8,9,24
alexcrichton/tar-rs,0,0,0,0,0,79
alexdobin/star,4,5,1,1,0,8
alexei/sprintf.js,0,0,0,0,0,21
alexeyab/yolo_mark,0,0,0,0,0,0
alexeyraspopov/picocolors,0,0,0,0,0,12
alexfanw/huster-cs,1,1,1,0,0,1
alexfru/smallerc,1,0,0,3,0,3
alexgalhardo/software-engineering,0,0,0,0,1,1
alexgkendall/caffe-segnet,0,0,0,0,0,0
alexhuszagh/rust-lexical,0,0,0,0,0,23
alexindigo/asynckit,0,0,0,0,0,2
alexkay/spek,0,5,6,0,0,8
alexliniger/mpcc,2,0,0,0,0,2
alfiecg24/trollinstallerx,0,0,0,3,0,3
alibaba/alios-things,3,20,4,0,0,25
alibaba/alisql,0,1,0,1,2,4
alibaba/andfix,0,0,0,0,0,0
alibaba/async_simple,0,16,15,9,8,30
alibaba/euler,0,0,0,0,0,0
alibaba/gaiax,0,11,11,6,2,20
alibaba/gcanvas,0,0,0,0,0,0
alibaba/graph-learn,4,7,8,2,1,13
alibaba/graphscope,0,0,0,0,0,0
alibaba/havenask,0,0,5,4,6,10
alibaba/loongcollector,10,24,50,31,29,98
alibaba/lvs,0,0,0,0,0,0
alibaba/mnn,12,11,11,9,29,57
alibaba/photonlibos,0,6,10,6,24,31
alibaba/tair,0,0,0,0,0,0
alibaba/tengine,9,11,13,1,1,26
alibaba/tsar,0,2,0,0,0,2
alibaba/weex,3,3,1,1,0,6
alibaba/xquic,1,19,15,11,10,41
alibaba/yalantinglibs,0,9,15,16,22,48
alibaba/zvec,0,0,0,0,3,3
alibabaresearch/advancedliteratemachinery,0,1,1,1,0,3
alicevision/alicevision,21,18,14,14,12,49
alievk/avatarify-desktop,3,0,1,0,0,4
alinshans/mytinystl,3,5,2,1,0,9
alivetoolkit/alive2,7,8,11,15,8,32
allenk/geminiwatermarktool,0,0,0,0,1,1
