repo,2021,2022,2023,2024,2025,2021-2025
0015/thatproject,,,,10000,,10000
0burak/imperial_hft,,,,,10000,10000
0vercl0k/rp,,7855,2800,10000,6600,6384
0vercl0k/wtf,7014,7627,6429,8347,6797,7140
0voice/algorithm-structure,9805,,,10000,,9767
0voice/awesome_c-cpp_projects,,,,,10000,10000
0voice/cpp_new_features,8864,,,,,8864
0voice/ffmpeg_develop_doc,,,,,,
0voice/introduce_c-cpp_manual,9726,,,10000,,9467
0voice/kernel_new_features,,9494,,10000,,9375
0x09al/rdpthief,,,,,,
0x1abin/multibutton,7222,3333,10000,3333,6800,1328
0x1abin/multitimer,4745,,10000,10000,,4556
0x23/micromanipulatorstepper,,,,,5794,5794
0x90/wifi-arsenal,,,,,,
0xchocolate/flipperzero-wifi-marauder,2713,2086,1510,6860,6450,2030
0xfa11/multiplayernetworkingresources,4545,6818,10000,6955,7037,6690
0xjs/redteaming_cheatsheet,10000,10000,10000,10000,7216,9940
0xnobody/vmpdump,,,,,,
0xz0f/z0fcourse_reverseengineering,10000,5556,,5938,5556,6837
10der/homeassistant-custom_components-awtrix,,,,,,6565
15172658790/blog,,,,,,
188080501/jqtools,6250,10000,10000,10000,10000,6144
1technophile/openmqttgateway,2993,3237,4313,4330,1654,3486
20tab/unrealenginepython,,,,,,
256dpi/arduino-mqtt,5400,10000,10000,5918,,7686
2ndquadrant/pglogical,2882,3878,3673,5510,6600,1834
2shady4u/godot-sqlite,9770,7264,6437,9141,6276,7957
2swap/swaptube,,,10000,10000,9699,9808
34736384/genshin-fps-unlock,,,10000,7175,7970,7597
360controller/360controller,,,,,,
3dgen/cppwasm-book,,10000,10000,10000,,10000
3proxy/3proxy,9445,6144,8200,10000,8955,8630
3shain/dxmt,,,10000,9748,8758,9084
4lex4/scantailor-advanced,,,,,,
4paradigm/openmldb,1534,1026,1574,1234,5031,1035
504ensicslabs/lime,3750,,10000,5000,2500,1243
78/xiaozhi-esp32,,,,7711,2807,3287
7h30th3r0n3/evil-m5project,,,10000,9014,9081,9144
7rulnik/source-map-js,,,,,,3496
7thsamurai/steganography,,3889,,10000,,4062
86box/86box,4362,3057,3658,2568,2075,2633
9176324/shark,10000,10000,,,,10000
9fans/plan9port,1966,1380,1605,5306,1349,1038
a2o/snoopy,,,,,,
aahmad097/alternativeshellcodeexec,8850,10000,,,,8504
aantron/better-enums,10000,,,5000,,5556
aappleby/metroboy,10000,10000,10000,10000,10000,10000
aappleby/smhasher,,,,10000,,10000
aardappel/lobster,7588,7417,7457,4726,7826,7027
aardappel/treesheets,7396,3925,6973,8701,8147,6789
aaronfeng753/waifu2x-extension-gui,10000,10000,10000,10000,10000,10000
abb128/livecaptions,,9744,7858,10000,10000,8770
abcminiuser/lufa,5370,6250,10000,5000,10000,5204
abcz316/skroot-linuxkernelroot,10000,,10000,10000,9395,9623
abishekvashok/cmatrix,5041,2000,3333,,,1911
ableton/link,5331,7476,6790,10000,6250,6355
abperiasamy/rtl8812au_8821au_linux,,,,,,
abrasive/shairport,,,,,,
abreheret/pixelannotationtool,5000,,,,,5000
abseil/abseil-cpp,1972,1443,1692,1335,1676,1399
academysoftwarefoundation/materialx,5280,3609,2403,3171,1977,2784
academysoftwarefoundation/opencolorio,2627,1703,2551,1952,2737,1459
academysoftwarefoundation/openexr,2263,1700,2627,3541,4188,2457
academysoftwarefoundation/openimageio,8450,7988,6484,6522,5267,6998
academysoftwarefoundation/openshadinglanguage,5265,5463,4260,4861,4861,4925
academysoftwarefoundation/opentimelineio,1647,1032,1213,986,1899,875
academysoftwarefoundation/openvdb,2657,1673,3040,1683,1863,1782
acados/acados,8009,6722,3391,4365,4106,5195
acassen/keepalived,8155,7668,5260,8751,8698,8098
acaudwell/gource,7222,8277,5556,6250,5000,6731
acaudwell/logstalgia,10000,10000,10000,,10000,10000
aceinnolab/inkycal,5392,7404,8006,7134,6021,7463
achimdoebler/ugui,,,,,,
acidanthera/applealc,1628,992,1307,1480,1389,1204
acidanthera/brcmpatchram,2500,2397,2178,5556,4200,2256
acidanthera/lilu,3117,2353,2249,1972,3889,2161
acidanthera/opencorepkg,1751,1766,1847,3712,1874,1519
acidanthera/virtualsmc,2010,2639,2143,2500,4200,1678
acidanthera/whatevergreen,2760,2531,3000,1736,6250,2311
acidicoala/screamapi,10000,9311,10000,,10000,9792
acidicoala/smokeapi,,10000,9556,,10000,9920
acl-dev/acl,9878,8989,9568,9418,10000,9479
acm-clan/algorithm-stone,5325,10000,10000,,,5397
acornjs/acorn,,,,,,2976
acornjs/acorn-jsx,,,,,,3415
acoustid/chromaprint,5174,6250,,,3408,3499
activeloopai/deeplake,1501,2245,2104,1743,6093,1074
actor-framework/actor-framework,7645,9504,4925,4784,4496,5470
ada-url/ada,,8104,4618,5492,4166,4902
adafruit/adafruit-gfx-library,2431,2109,2189,2800,2231,1052
adafruit/adafruit_learning_system_guides,849,1505,1676,1814,2060,1149
adafruit/adafruit_neopixel,1673,2188,2500,1467,1480,730
adafruit/adafruit_sensor,,2812,4187,,10000,2894
adafruit/adafruit_ssd1306,2140,2622,3333,2840,3600,1020
adafruit/dht-sensor-library,2800,5000,5000,,,2593
adamdunkels/uip,,,,,,
adamstark/audiofile,5372,3704,5706,7812,7870,5527
adamyaxley/obfuscate,10000,4400,3333,6800,,6991
adaptivecpp/adaptivecpp,3783,3638,3897,3235,2021,3038
adaptix-framework/adaptixc2,,,,10000,6514,7139
adaway/adaway,8341,9719,8138,9185,5859,8670
add-sp/ngx_waf,9897,10000,,,10000,9903
addy-dclxvi/almighty-dotfiles,,,,,,
ading2210/linuxpdf,,,,,10000,10000
adishavit/argh,3878,5200,10000,,10000,3573
adnanaziz/epijudge,,,,,,
adobe-type-tools/afdko,5309,6348,4380,3253,7222,4805
adobe/react-spectrum,,,,,,1198
adoxa/ansicon,,,,,,
adrianlopezroche/fdupes,,8306,,5938,10000,7932
adsr/phpspy,6033,7924,7222,7222,10000,7090
aergoio/litetree,,,,,,
aerospike/aerospike-server,6116,5877,4935,6170,1105,4581
afiskon/stm32-ssd1306,2778,4286,3018,10000,5556,1358
aflplusplus/aflplusplus,,,,,,
afritz1/opentesarena,,,,,,
agauniyal/rang,5200,10000,,,,3889
agavrel/42_cheatsheet,7963,,,,,7963
agibottech/agibot_x1_infer,,,,,,
agile6v/awesome-nginx,5000,,4793,1800,3333,1403
agronholm/anyio,,,,,,5815
agronholm/exceptiongroup,,,,,,3093
aguinet/wannakey,,,,,,
agwa/git-crypt,10000,10000,,10000,10000,10000
ahrm/sioyek,9132,7325,9574,8288,8079,8542
ahxr/ghost,,,,,,
ai-winter/ros_motion_planning,,,4125,3984,10000,4103
ai/nanoid,,,,,,6383
aiekick/imguifiledialog,9143,9702,8338,8114,6429,8554
aimrt/aimrt,,,,3100,5842,4677
aio-libs/aiobotocore,,,,,,1623
aio-libs/aiohappyeyeballs,,,,,,
aio-libs/aiohttp,2900,4720,5291,4341,4648,1238
aio-libs/aiosignal,,,,,,108
aio-libs/async-timeout,,,,,,663
aio-libs/frozenlist,,,,,,666
aio-libs/multidict,,,,,,1596
aio-libs/propcache,,,,,,1626
aio-libs/yarl,,,,,,1233
aiqinxuancai/discord-proxy,10000,10000,10000,10000,10000,10000
air14/hyperhide,10000,10000,10000,,,10000
aircrack-ng/aircrack-ng,3454,3684,4426,8777,5000,3237
aircrack-ng/rtl8188eus,1875,2249,5918,10000,10000,1648
airlegend/aitrack,6009,5800,,,,5635
airockchip/rknn-toolkit2,,10000,,,,10000
airockchip/rknn_model_zoo,,10000,,,,10000
airwindows/airwindows,10000,10000,10000,10000,9661,9928
aitorzip/deepgtav,,,,,,
aixed/wechat-hook,,10000,10000,10000,10000,10000
aiyaapp/aiyaeffectsandroid,10000,10000,,,10000,10000
ajv-validator/ajv,,,,,,5738
ajv-validator/ajv-formats,,,,,,6732
ajv-validator/ajv-keywords,,,,,,6414
ajweeks/flexengine,,,,,,
akai-katto/dandere2x,8875,7743,,,,8371
akemin-dayo/appsync,10000,8906,9524,10000,,9369
akheron/jansson,5733,3750,2222,10000,6401,3989
akopytov/sysbench,10000,,7025,,10000,5719
akospasztor/stm32-bootloader,,,,,,
aksnzhy/xlearn,,10000,,,,10000
akylas/oss-documentscanner,,10000,8129,7460,7175,7466
alan-crl/inkeys,,,10000,9862,9771,9817
alandefreitas/matplotplusplus,4245,1358,3025,2222,1429,2573
albar965/littlenavmap,5652,9663,9841,8661,9267,8306
albertlauncher/albert,6800,10000,10000,10000,10000,9963
albertodemichelis/squirrel,,3889,3333,2500,,1243
albfan/miraclecast,5200,6708,3878,8200,8200,6181
aldostools/webman-mod,9511,9128,9085,9035,7849,9128
alecthomas/entityx,5000,,10000,,5000,3061
alekmaul/pvsneslib,9368,8208,4501,4313,8401,5048
aleksoid1978/mpc-be,5517,4859,4993,4861,4589,4943
aleksoid1978/videorenderer,5684,6912,6728,5701,5953,6137
alembic/alembic,6873,6343,5047,8673,8756,6730
alephsecurity/xnu-qemu-arm64,10000,,,,,10000
alex-spataru/qsimpleupdater,6800,10000,5556,2840,10000,2789
alex313031/thorium,,,,,,
alexaltea/orbital,10000,,10000,10000,,10000
alexandrerouma/sdrplusplus,4563,8048,7414,8084,9524,6799
alexays/waybar,1673,852,628,838,1017,472
alexbatalov/fallout1-ce,,,9078,3878,6250,8214
alexbatalov/fallout2-ce,,8505,8394,3850,7076,8236
alexcrichton/tar-rs,,,,,,4042
alexdobin/star,9103,6636,10000,10000,,8592
alexei/sprintf.js,,,,,,6634
alexeyab/yolo_mark,,,,,,
alexeyraspopov/picocolors,,,,,,4675
