repo,analyzed_through_year,commits_5y_examined,churn_5y_added,churn_5y_deleted,churn_5y_total,churn_files_count,top_file_path,top_file_churn,elapsed_s,fetched_at
definitelytyped/definitelytyped,2025,17207,6842920,5574242,12417162,65486,types/arcgis-js-api/index.d.ts,749218,310.8,2026-05-03T17:22:01Z
cloudflare/cloudflare-python,2025,6147,4785718,3810098,8595816,12529,src/cloudflare/resources/origin_post_quantum_encryption.py,62670,53.9,2026-05-03T17:22:01Z
chardet/chardet,2025,177,3553395,3298957,6852352,96,chardet/langrussianmodel.py,476559,30.2,2026-05-03T17:22:01Z
octokit/openapi-types.ts,2025,467,3504342,2596626,6100968,39,packages/openapi-types-github.ae/types.d.ts,605164,69.6,2026-05-03T17:22:01Z
apache/arrow,2025,10137,2376983,2145281,4522264,7725,go/arrow/compute/internal/kernels/_lib/scalar_comparison_avx2_amd64.s,135526,102.5,2026-05-03T17:22:01Z
astral-sh/ruff,2025,13424,2645776,1803457,4449233,14522,crates/ruff_python_parser/src/python.rs,441558,55.7,2026-05-03T17:22:01Z
langchain-ai/langchain,2025,14906,1586335,1267884,2854219,9803,libs/core/langchain_core/runnables/base.py,15923,208.3,2026-05-03T17:22:01Z
scipy/scipy,2025,9378,1014133,935849,1949982,3118,scipy/interpolate/src/dfitpack.c,27008,130.4,2026-05-03T17:22:01Z
getsentry/sentry-javascript,2025,8042,1034814,652724,1687538,10201,packages/deno/lib.deno.d.ts,27640,171.6,2026-05-03T17:22:01Z
apache/arrow-rs,2025,4680,862994,573282,1436276,1287,arrow-cast/src/cast.rs,28760,21.8,2026-05-03T17:22:01Z
numpy/numpy,2025,10810,771871,651294,1423165,2209,numpy/core/src/umath/svml/svml_z0_tan_d_la.s,40438,127.4,2026-05-03T17:22:01Z
gitoxidelabs/gitoxide,2025,11911,787574,577929,1365503,3728,gix-dir/tests/walk/mod.rs,10574,86.4,2026-05-03T17:22:01Z
alexhuszagh/rust-lexical,2025,554,497808,845198,1343006,855,benches/atoi.rs,134297,76.1,2026-05-03T17:22:01Z
eslint/eslint,2025,2755,694387,553784,1248171,1272,tests/lib/linter/linter.js,81898,19.9,2026-05-03T17:22:01Z
googleapis/google-cloud-node-core,2025,2421,918262,324197,1242459,1081,generator/gapic-generator-typescript/test-fixtures/google-cloud-speech/protos/protos.js,72485,16.8,2026-05-03T17:22:01Z
openssl/openssl,2025,10877,808616,426109,1234725,2672,crypto/ec/ecp_nistz256_table.c,24407,249.3,2026-05-03T17:22:01Z
bminor/glibc,2025,6645,664435,551202,1215637,16526,sysdeps/x86_64/fpu/multiarch/svml_d_tan2_core_sse4.S,18418,156.1,2026-05-03T17:22:01Z
python/typeshed,2025,7301,698124,433246,1131370,8878,stubs/pywin32/win32/lib/win32con.pyi,14449,11.5,2026-05-03T17:22:01Z
vercel/ai,2025,5450,746845,379399,1126244,4949,packages/ai/core/generate-text/stream-text.test.ts,45420,182.5,2026-05-03T17:22:01Z
ronaldoussoren/pyobjc,2025,1363,734171,344589,1078760,4358,pyobjc-core/PyObjCTest/test_vectorcall.py,104820,152.4,2026-05-03T17:22:01Z
smithy-lang/smithy-rs,2025,2906,659715,392833,1052548,3094,codegen-server/src/main/kotlin/software/amazon/smithy/rust/codegen/server/smithy/generators/protocol/ServerProtocolTestGenerator.kt,7182,50.9,2026-05-03T17:22:01Z
pandas-dev/pandas,2025,11474,579750,408977,988727,1689,pandas/core/frame.py,20325,282.9,2026-05-03T17:22:01Z
babel/babel,2025,3156,530726,408029,938755,18490,packages/babel-plugin-transform-regenerator/test/fixtures/misc/regenerator-tests-babel-7/output.js,12406,163.2,2026-05-03T17:22:01Z
remix-run/react-router,2025,5460,530253,352159,882412,1897,packages/router/__tests__/router-test.ts,44137,42.5,2026-05-03T17:22:01Z
firebase/firebase-js-sdk,2025,1890,525307,356737,882044,3001,.yarn/releases/yarn-1.22.11.cjs,147406,89.1,2026-05-03T17:22:01Z
adobe/react-spectrum,2025,3559,602800,246020,848820,3752,packages/@react-spectrum/table/test/Table.test.js,10210,244.9,2026-05-03T17:22:01Z
colinhacks/zod,2025,1943,427088,376290,803378,1015,deno/lib/types.ts,32812,23.3,2026-05-03T17:22:01Z
nodejs/undici,2025,2648,414997,303194,718191,3451,deps/llhttp/src/llhttp.c,39383,5.7,2026-05-03T17:22:01Z
eslint/js,2025,261,360050,297210,657260,3811,packages/espree/tests/fixtures/libraries/angular-1.2.5.js,20369,93.8,2026-05-03T17:22:01Z
typescript-eslint/typescript-eslint,2025,4492,358699,242100,600799,3803,packages/scope-manager/src/lib/dom.ts,15797,62.8,2026-05-03T17:22:01Z
open-telemetry/opentelemetry-js,2025,2072,345051,252490,597541,2514,semantic-conventions/src/experimental_attributes.ts,31245,31.1,2026-05-03T17:22:01Z
sqlalchemy/sqlalchemy,2025,3141,384075,205221,589296,862,test/orm/test_deprecations.py,17684,55.7,2026-05-03T17:22:01Z
formatjs/formatjs,2025,2348,472109,110413,582522,1224,packages/intl-relativetimeformat/test262-main.ts,182834,38.3,2026-05-03T17:22:01Z
python/mypy,2025,3811,362695,218489,581184,1882,mypy/checker.py,13947,86.2,2026-05-03T17:22:01Z
pydantic/pydantic,2025,4395,356038,192095,548133,1088,pydantic/_internal/_generate_schema.py,11951,174.1,2026-05-03T22:57:48Z
