repo,files,loc,uloc,complexity,complexity_density,cocomo_months,cocomo_people,cocomo_cost,fetched_at
google/zerocopy,15445,6847822,1988529,284983,4.2,25558.9,216.1,119883791,2026-04-27T14:02:28Z
azure/azure-sdk-for-js,66076,5124030,1259681,157838,3.1,18849.7,179.0,88414324,2026-04-27T14:02:28Z
swc-project/swc,47846,4381056,1788018,626830,14.3,15990.8,161.6,75004639,2026-04-27T14:02:28Z
aws/aws-sdk-js-v3,35266,3421999,2025166,43110,1.3,12336.9,137.6,57866105,2026-04-27T14:02:28Z
igaowei/bigdataview,1775,2667403,709378,363220,13.6,9497.4,117.0,44547512,2026-03-12T17:30:11Z
microsoft/typescript,38244,2514266,733910,134518,5.4,8925.7,112.6,41866067,2026-04-27T14:02:28Z
microsoft/windows-rs,2230,2394754,954387,106452,4.4,8480.8,109.1,39779043,2026-04-27T14:02:28Z
open-watcom/open-watcom-v2,18254,2306990,1421657,357623,15.5,8154.7,106.4,38249731,2026-03-12T21:05:25Z
php/php-src,2453,1656087,1017444,239618,14.5,5757.7,85.8,27006462,2026-03-12T22:31:48Z
ranuts/document,45,1595210,903864,164417,10.3,5535.7,83.7,25965049,2026-03-12T17:30:11Z
toggl-open-source/toggldesktop,6165,1485262,894206,164918,11.1,5135.8,79.9,24089268,2026-03-12T22:27:36Z
unicode-org/icu,3128,1445795,1136504,203872,14.1,4992.6,78.5,23417603,2026-04-27T14:02:28Z
aleksoid1978/mpc-be,3726,1259792,882866,202568,16.1,4320.4,71.8,20264886,2026-03-12T21:05:25Z
eprosima/fast-dds,2978,1163781,541513,109906,9.4,3975.4,68.2,18646409,2026-03-12T21:53:44Z
xlite-dev/lite.ai.toolkit,921,1137915,22056,5679,0.5,3882.6,67.2,18211499,2026-03-12T21:05:25Z
qbittorrent/qbittorrent,685,1119827,170164,19825,1.8,3817.9,66.5,17907661,2026-03-12T21:05:25Z
google/makani,7183,1066757,564821,74516,7.0,3628.1,64.4,17017633,2026-03-12T21:05:25Z
