repo,repo_id,year,metric,value
10der/homeassistant-custom_components-awtrix,748539167,2021,closed_issues,0
10der/homeassistant-custom_components-awtrix,748539167,2021,opened_issues,0
10der/homeassistant-custom_components-awtrix,748539167,2022,closed_issues,0
10der/homeassistant-custom_components-awtrix,748539167,2022,opened_issues,0
10der/homeassistant-custom_components-awtrix,748539167,2023,closed_issues,0
10der/homeassistant-custom_components-awtrix,748539167,2023,opened_issues,0
10der/homeassistant-custom_components-awtrix,748539167,2024,closed_issues,5
10der/homeassistant-custom_components-awtrix,748539167,2024,opened_issues,9
10der/homeassistant-custom_components-awtrix,748539167,2025,closed_issues,3
10der/homeassistant-custom_components-awtrix,748539167,2025,opened_issues,9
7rulnik/source-map-js,330043541,2021,closed_issues,1
7rulnik/source-map-js,330043541,2021,opened_issues,4
7rulnik/source-map-js,330043541,2022,closed_issues,0
7rulnik/source-map-js,330043541,2022,opened_issues,2
7rulnik/source-map-js,330043541,2023,closed_issues,0
7rulnik/source-map-js,330043541,2023,opened_issues,0
7rulnik/source-map-js,330043541,2024,closed_issues,6
7rulnik/source-map-js,330043541,2024,opened_issues,5
7rulnik/source-map-js,330043541,2025,closed_issues,0
7rulnik/source-map-js,330043541,2025,opened_issues,1
a11yance/aria-query,,2021,closed_issues,3
a11yance/aria-query,,2021,opened_issues,6
a11yance/aria-query,,2022,closed_issues,9
a11yance/aria-query,,2022,opened_issues,7
a11yance/aria-query,,2023,closed_issues,10
a11yance/aria-query,,2023,opened_issues,11
a11yance/aria-query,,2024,closed_issues,5
a11yance/aria-query,,2024,opened_issues,7
a11yance/aria-query,,2025,closed_issues,0
a11yance/aria-query,,2025,opened_issues,0
acornjs/acorn,5932749,2021,closed_issues,47
acornjs/acorn,5932749,2021,opened_issues,40
acornjs/acorn,5932749,2022,closed_issues,42
acornjs/acorn,5932749,2022,opened_issues,43
acornjs/acorn,5932749,2023,closed_issues,61
acornjs/acorn,5932749,2023,opened_issues,50
acornjs/acorn,5932749,2024,closed_issues,46
acornjs/acorn,5932749,2024,opened_issues,46
acornjs/acorn,5932749,2025,closed_issues,42
acornjs/acorn,5932749,2025,opened_issues,43
acornjs/acorn-jsx,22187098,2021,closed_issues,3
acornjs/acorn-jsx,22187098,2021,opened_issues,6
acornjs/acorn-jsx,22187098,2022,closed_issues,3
acornjs/acorn-jsx,22187098,2022,opened_issues,5
acornjs/acorn-jsx,22187098,2023,closed_issues,0
acornjs/acorn-jsx,22187098,2023,opened_issues,0
acornjs/acorn-jsx,22187098,2024,closed_issues,0
acornjs/acorn-jsx,22187098,2024,opened_issues,0
acornjs/acorn-jsx,22187098,2025,closed_issues,1
acornjs/acorn-jsx,22187098,2025,opened_issues,1
adobe/react-spectrum,208362715,2021,closed_issues,383
adobe/react-spectrum,208362715,2021,opened_issues,538
adobe/react-spectrum,208362715,2022,closed_issues,292
adobe/react-spectrum,208362715,2022,opened_issues,364
adobe/react-spectrum,208362715,2023,closed_issues,451
adobe/react-spectrum,208362715,2023,opened_issues,642
adobe/react-spectrum,208362715,2024,closed_issues,593
adobe/react-spectrum,208362715,2024,opened_issues,713
adobe/react-spectrum,208362715,2025,closed_issues,702
adobe/react-spectrum,208362715,2025,opened_issues,626
agronholm/anyio,145337588,2021,closed_issues,78
agronholm/anyio,145337588,2021,opened_issues,91
agronholm/anyio,145337588,2022,closed_issues,37
agronholm/anyio,145337588,2022,opened_issues,47
agronholm/anyio,145337588,2023,closed_issues,52
agronholm/anyio,145337588,2023,opened_issues,54
agronholm/anyio,145337588,2024,closed_issues,45
agronholm/anyio,145337588,2024,opened_issues,62
agronholm/anyio,145337588,2025,closed_issues,41
agronholm/anyio,145337588,2025,opened_issues,43
agronholm/exceptiongroup,447694800,2021,closed_issues,0
agronholm/exceptiongroup,447694800,2021,opened_issues,0
agronholm/exceptiongroup,447694800,2022,closed_issues,14
agronholm/exceptiongroup,447694800,2022,opened_issues,18
agronholm/exceptiongroup,447694800,2023,closed_issues,9
agronholm/exceptiongroup,447694800,2023,opened_issues,0
agronholm/exceptiongroup,447694800,2024,closed_issues,7
agronholm/exceptiongroup,447694800,2024,opened_issues,6
agronholm/exceptiongroup,447694800,2025,closed_issues,7
agronholm/exceptiongroup,447694800,2025,opened_issues,7
ahmadnassri/har-schema,,2021,closed_issues,0
ahmadnassri/har-schema,,2021,opened_issues,0
ahmadnassri/har-schema,,2022,closed_issues,0
ahmadnassri/har-schema,,2022,opened_issues,0
ahmadnassri/har-schema,,2023,closed_issues,0
ahmadnassri/har-schema,,2023,opened_issues,0
ahmadnassri/har-schema,,2024,closed_issues,0
ahmadnassri/har-schema,,2024,opened_issues,0
ahmadnassri/har-schema,,2025,closed_issues,0
ahmadnassri/har-schema,,2025,opened_issues,0
ahmadnassri/node-har-validator,,2021,closed_issues,2
ahmadnassri/node-har-validator,,2021,opened_issues,2
ahmadnassri/node-har-validator,,2022,closed_issues,0
ahmadnassri/node-har-validator,,2022,opened_issues,0
ahmadnassri/node-har-validator,,2023,closed_issues,0
ahmadnassri/node-har-validator,,2023,opened_issues,0
ahmadnassri/node-har-validator,,2024,closed_issues,0
ahmadnassri/node-har-validator,,2024,opened_issues,0
ahmadnassri/node-har-validator,,2025,closed_issues,0
ahmadnassri/node-har-validator,,2025,opened_issues,0
ai/nanoid,99401299,2021,closed_issues,39
ai/nanoid,99401299,2021,opened_issues,38
ai/nanoid,99401299,2022,closed_issues,41
ai/nanoid,99401299,2022,opened_issues,40
ai/nanoid,99401299,2023,closed_issues,0
ai/nanoid,99401299,2023,opened_issues,31
ai/nanoid,99401299,2024,closed_issues,15
ai/nanoid,99401299,2024,opened_issues,17
ai/nanoid,99401299,2025,closed_issues,17
ai/nanoid,99401299,2025,opened_issues,12
aio-libs/aiobotocore,36618494,2021,closed_issues,29
aio-libs/aiobotocore,36618494,2021,opened_issues,32
aio-libs/aiobotocore,36618494,2022,closed_issues,31
aio-libs/aiobotocore,36618494,2022,opened_issues,39
aio-libs/aiobotocore,36618494,2023,closed_issues,43
aio-libs/aiobotocore,36618494,2023,opened_issues,38
aio-libs/aiobotocore,36618494,2024,closed_issues,74
aio-libs/aiobotocore,36618494,2024,opened_issues,58
aio-libs/aiobotocore,36618494,2025,closed_issues,59
aio-libs/aiobotocore,36618494,2025,opened_issues,56
aio-libs/aiohappyeyeballs,,2021,closed_issues,0
aio-libs/aiohappyeyeballs,,2021,opened_issues,0
aio-libs/aiohappyeyeballs,,2022,closed_issues,0
aio-libs/aiohappyeyeballs,,2022,opened_issues,0
aio-libs/aiohappyeyeballs,,2023,closed_issues,2
aio-libs/aiohappyeyeballs,,2023,opened_issues,2
aio-libs/aiohappyeyeballs,,2024,closed_issues,13
aio-libs/aiohappyeyeballs,,2024,opened_issues,15
aio-libs/aiohappyeyeballs,,2025,closed_issues,5
aio-libs/aiohappyeyeballs,,2025,opened_issues,3
aio-libs/aiohttp,13258039,2021,closed_issues,171
aio-libs/aiohttp,13258039,2021,opened_issues,199
aio-libs/aiohttp,13258039,2022,closed_issues,89
aio-libs/aiohttp,13258039,2022,opened_issues,148
aio-libs/aiohttp,13258039,2023,closed_issues,140
aio-libs/aiohttp,13258039,2023,opened_issues,170
aio-libs/aiohttp,13258039,2024,closed_issues,432
aio-libs/aiohttp,13258039,2024,opened_issues,216
aio-libs/aiohttp,13258039,2025,closed_issues,116
aio-libs/aiohttp,13258039,2025,opened_issues,124
aio-libs/aiosignal,205007356,2021,closed_issues,0
aio-libs/aiosignal,205007356,2021,opened_issues,0
aio-libs/aiosignal,205007356,2022,closed_issues,1
aio-libs/aiosignal,205007356,2022,opened_issues,1
aio-libs/aiosignal,205007356,2023,closed_issues,0
aio-libs/aiosignal,205007356,2023,opened_issues,0
aio-libs/aiosignal,205007356,2024,closed_issues,0
aio-libs/aiosignal,205007356,2024,opened_issues,1
aio-libs/aiosignal,205007356,2025,closed_issues,6
aio-libs/aiosignal,205007356,2025,opened_issues,5
aio-libs/async-timeout,67703198,2021,closed_issues,7
aio-libs/async-timeout,67703198,2021,opened_issues,7
aio-libs/async-timeout,67703198,2022,closed_issues,0
aio-libs/async-timeout,67703198,2022,opened_issues,1
aio-libs/async-timeout,67703198,2023,closed_issues,1
aio-libs/async-timeout,67703198,2023,opened_issues,1
aio-libs/async-timeout,67703198,2024,closed_issues,4
aio-libs/async-timeout,67703198,2024,opened_issues,2
aio-libs/async-timeout,67703198,2025,closed_issues,0
aio-libs/async-timeout,67703198,2025,opened_issues,2
aio-libs/frozenlist,204197530,2021,closed_issues,2
aio-libs/frozenlist,204197530,2021,opened_issues,5
aio-libs/frozenlist,204197530,2022,closed_issues,11
aio-libs/frozenlist,204197530,2022,opened_issues,10
aio-libs/frozenlist,204197530,2023,closed_issues,10
aio-libs/frozenlist,204197530,2023,opened_issues,8
aio-libs/frozenlist,204197530,2024,closed_issues,3
aio-libs/frozenlist,204197530,2024,opened_issues,7
aio-libs/frozenlist,204197530,2025,closed_issues,9
aio-libs/frozenlist,204197530,2025,opened_issues,7
aio-libs/multidict,51206425,2021,closed_issues,4
aio-libs/multidict,51206425,2021,opened_issues,5
aio-libs/multidict,51206425,2022,closed_issues,5
aio-libs/multidict,51206425,2022,opened_issues,5
aio-libs/multidict,51206425,2023,closed_issues,1
aio-libs/multidict,51206425,2023,opened_issues,8
aio-libs/multidict,51206425,2024,closed_issues,14
aio-libs/multidict,51206425,2024,opened_issues,11
aio-libs/multidict,51206425,2025,closed_issues,30
aio-libs/multidict,51206425,2025,opened_issues,25
aio-libs/propcache,866565706,2021,closed_issues,0
aio-libs/propcache,866565706,2021,opened_issues,0
aio-libs/propcache,866565706,2022,closed_issues,0
aio-libs/propcache,866565706,2022,opened_issues,0
aio-libs/propcache,866565706,2023,closed_issues,0
aio-libs/propcache,866565706,2023,opened_issues,0
aio-libs/propcache,866565706,2024,closed_issues,6
aio-libs/propcache,866565706,2024,opened_issues,10
aio-libs/propcache,866565706,2025,closed_issues,8
aio-libs/propcache,866565706,2025,opened_issues,6
aio-libs/yarl,64756820,2021,closed_issues,12
aio-libs/yarl,64756820,2021,opened_issues,13
aio-libs/yarl,64756820,2022,closed_issues,14
aio-libs/yarl,64756820,2022,opened_issues,16
aio-libs/yarl,64756820,2023,closed_issues,18
aio-libs/yarl,64756820,2023,opened_issues,26
aio-libs/yarl,64756820,2024,closed_issues,38
aio-libs/yarl,64756820,2024,opened_issues,35
aio-libs/yarl,64756820,2025,closed_issues,10
aio-libs/yarl,64756820,2025,opened_issues,15
ajafff/tsutils,,2021,closed_issues,4
ajafff/tsutils,,2021,opened_issues,7
ajafff/tsutils,,2022,closed_issues,1
ajafff/tsutils,,2022,opened_issues,7
ajafff/tsutils,,2023,closed_issues,2
ajafff/tsutils,,2023,opened_issues,6
ajafff/tsutils,,2024,closed_issues,2
ajafff/tsutils,,2024,opened_issues,0
ajafff/tsutils,,2025,closed_issues,0
ajafff/tsutils,,2025,opened_issues,0
ajv-validator/ajv,35914020,2021,closed_issues,235
ajv-validator/ajv,35914020,2021,opened_issues,293
ajv-validator/ajv,35914020,2022,closed_issues,101
ajv-validator/ajv,35914020,2022,opened_issues,178
ajv-validator/ajv,35914020,2023,closed_issues,59
ajv-validator/ajv,35914020,2023,opened_issues,126
ajv-validator/ajv,35914020,2024,closed_issues,128
ajv-validator/ajv,35914020,2024,opened_issues,88
ajv-validator/ajv,35914020,2025,closed_issues,6
ajv-validator/ajv,35914020,2025,opened_issues,36
ajv-validator/ajv-formats,281084700,2021,closed_issues,17
ajv-validator/ajv-formats,281084700,2021,opened_issues,25
ajv-validator/ajv-formats,281084700,2022,closed_issues,10
ajv-validator/ajv-formats,281084700,2022,opened_issues,26
ajv-validator/ajv-formats,281084700,2023,closed_issues,2
ajv-validator/ajv-formats,281084700,2023,opened_issues,5
ajv-validator/ajv-formats,281084700,2024,closed_issues,2
ajv-validator/ajv-formats,281084700,2024,opened_issues,12
ajv-validator/ajv-formats,281084700,2025,closed_issues,2
ajv-validator/ajv-formats,281084700,2025,opened_issues,6
alexcrichton/filetime,,2021,closed_issues,0
alexcrichton/filetime,,2021,opened_issues,3
alexcrichton/filetime,,2022,closed_issues,1
alexcrichton/filetime,,2022,opened_issues,3
alexcrichton/filetime,,2023,closed_issues,2
alexcrichton/filetime,,2023,opened_issues,3
alexcrichton/filetime,,2024,closed_issues,1
alexcrichton/filetime,,2024,opened_issues,4
alexcrichton/filetime,,2025,closed_issues,2
alexcrichton/filetime,,2025,opened_issues,1
alexcrichton/tar-rs,21946092,2021,closed_issues,12
alexcrichton/tar-rs,21946092,2021,opened_issues,14
alexcrichton/tar-rs,21946092,2022,closed_issues,7
alexcrichton/tar-rs,21946092,2022,opened_issues,21
alexcrichton/tar-rs,21946092,2023,closed_issues,4
alexcrichton/tar-rs,21946092,2023,opened_issues,27
alexcrichton/tar-rs,21946092,2024,closed_issues,4
alexcrichton/tar-rs,21946092,2024,opened_issues,12
alexcrichton/tar-rs,21946092,2025,closed_issues,4
alexcrichton/tar-rs,21946092,2025,opened_issues,11
alexei/sprintf.js,9175790,2021,closed_issues,4
alexei/sprintf.js,9175790,2021,opened_issues,7
alexei/sprintf.js,9175790,2022,closed_issues,1
alexei/sprintf.js,9175790,2022,opened_issues,1
alexei/sprintf.js,9175790,2023,closed_issues,1
alexei/sprintf.js,9175790,2023,opened_issues,2
alexei/sprintf.js,9175790,2024,closed_issues,0
alexei/sprintf.js,9175790,2024,opened_issues,1
alexei/sprintf.js,9175790,2025,closed_issues,0
alexei/sprintf.js,9175790,2025,opened_issues,1
alexeyraspopov/picocolors,410740124,2021,closed_issues,14
alexeyraspopov/picocolors,410740124,2021,opened_issues,18
alexeyraspopov/picocolors,410740124,2022,closed_issues,1
alexeyraspopov/picocolors,410740124,2022,opened_issues,2
alexeyraspopov/picocolors,410740124,2023,closed_issues,3
alexeyraspopov/picocolors,410740124,2023,opened_issues,5
alexeyraspopov/picocolors,410740124,2024,closed_issues,16
alexeyraspopov/picocolors,410740124,2024,opened_issues,15
alexeyraspopov/picocolors,410740124,2025,closed_issues,1
alexeyraspopov/picocolors,410740124,2025,opened_issues,3
alexhuszagh/rust-lexical,155286170,2021,closed_issues,22
alexhuszagh/rust-lexical,155286170,2021,opened_issues,16
alexhuszagh/rust-lexical,155286170,2022,closed_issues,12
alexhuszagh/rust-lexical,155286170,2022,opened_issues,12
alexhuszagh/rust-lexical,155286170,2023,closed_issues,0
