repo,2021,2022,2023,2024,2025
10der/homeassistant-custom_components-awtrix,0,0,0,5,3
7rulnik/source-map-js,1,0,0,6,0
a11yance/aria-query,3,9,10,5,0
acornjs/acorn,47,42,61,46,42
acornjs/acorn-jsx,3,3,0,0,1
adobe/react-spectrum,383,292,451,593,702
agronholm/anyio,78,37,52,45,41
agronholm/exceptiongroup,0,14,9,7,7
ahmadnassri/har-schema,0,0,0,0,0
ahmadnassri/node-har-validator,2,0,0,0,0
ai/nanoid,39,41,0,15,17
aio-libs/aiobotocore,29,31,43,74,59
aio-libs/aiohappyeyeballs,0,0,2,13,5
aio-libs/aiohttp,171,89,140,432,116
aio-libs/aiosignal,0,1,0,0,6
aio-libs/async-timeout,7,0,1,4,0
aio-libs/frozenlist,2,11,10,3,9
aio-libs/multidict,4,5,1,14,30
aio-libs/propcache,0,0,0,6,8
aio-libs/yarl,12,14,18,38,10
ajafff/tsutils,4,1,2,2,0
ajv-validator/ajv,235,101,59,128,6
ajv-validator/ajv-formats,17,10,2,2,2
alexcrichton/filetime,0,1,2,1,2
alexcrichton/tar-rs,12,7,4,4,4
alexei/sprintf.js,4,1,1,0,0
alexeyraspopov/picocolors,14,1,3,16,1
alexhuszagh/rust-lexical,22,12,0,37,7
alexindigo/asynckit,0,0,0,0,1
amanieu/parking_lot,13,18,14,9,12
ampproject/remapping,5,8,1,4,4
andialbrecht/sqlparse,4,14,11,20,10
andrewrk/node-pend,0,0,0,0,0
andyperlitch/jsbn,0,1,0,0,0
angular/angular-cli,1136,677,782,782,707
annotated-types/annotated-types,0,9,6,14,3
antonk52/lilconfig,1,5,2,3,1
apache/airflow,2103,2008,1767,1628,2717
apache/arrow,3697,2927,2541,1963,1951
apache/arrow-rs,265,919,579,484,602
arcanis/jest-pnp-resolver,0,0,0,0,0
archlinux/linux,0,0,0,0,0
ardatan/graphql-tools,194,65,57,41,28
ardatan/whatwg-node,0,10,26,16,14
arekinath/node-getpass,0,0,0,0,0
ariaminaei/utila,0,0,0,0,0
assert-rs/snapbox,14,19,15,22,3
astanin/python-tabulate,28,57,17,11,3
astral-sh/ruff,0,490,2472,1668,1343
autotools-mirror/autoconf,0,0,0,0,0
autotools-mirror/libtool,0,0,0,0,0
autotools-mirror/m4,0,0,0,0,0
aws/aws-cli,519,422,290,215,177
aws/aws-sdk-js-crypto-helpers,12,2,8,5,0
aws/aws-sdk-js-v3,402,434,649,592,387
axios/axios,645,570,205,237,550
azure/azure-sdk-for-js,1961,1080,899,1555,1068
azure/azure-sdk-for-python,1976,1457,1113,1814,1230
azure/msrest-for-python,2,4,1,0,0
azuread/microsoft-authentication-library-for-python,58,20,55,51,38
babel/babel,556,431,284,197,181
babel/babel-polyfills,15,10,8,9,1
babel/preset-modules,3,1,0,1,0
bcoe/v8-coverage,0,0,0,0,0
bdwgc/bdwgc,35,47,40,38,45
beatgammit/base64-js,0,0,0,4,1
beaugunderson/ip-address,3,1,8,2,1
benjaminp/six,5,6,2,7,0
benjamn/ast-types,2,2,0,0,0
besser82/libxcrypt,16,8,4,7,10
bincode-org/bincode,62,65,37,17,35
bitflags/bitflags,14,21,48,13,14
blakeembrey/array-flatten,2,0,0,0,0
blakeembrey/change-case,12,6,45,9,4
bluss/arrayvec,15,1,3,4,4
bluss/bencher,0,0,0,0,0
bluss/scopeguard,1,1,1,1,0
blyxxyz/lexopt,7,3,5,1,0
bnjmnt4n/regjsgen,0,0,1,1,0
boto/boto3,316,433,279,246,225
boto/botocore,98,141,72,86,74
boto/s3transfer,11,2,4,0,5
braveg1rl/performance-now,0,0,0,0,0
brianc/node-postgres,116,83,96,84,68
brianloveswords/buffer-crc32,0,0,0,4,0
briansmith/ring,42,33,165,67,226
briansmith/untrusted,3,1,0,0,0
brightspace/node-ecdsa-sig-formatter,4,0,0,1,0
broofa/mime,5,6,15,9,13
broofa/node-int64,0,0,0,0,0
browserify/node-util,5,8,1,0,1
browserify/resolve,16,22,22,3,1
browserify/to-buffer,0,0,0,0,1
browserslist/browserslist,54,35,40,18,18
browserslist/caniuse-lite,23,14,10,7,2
browserslist/update-db,0,8,7,11,13
burntsushi/aho-corasick,11,7,14,5,8
burntsushi/bstr,5,22,7,7,6
burntsushi/byteorder,15,1,3,8,2
burntsushi/fst,4,5,2,3,3
burntsushi/jiff,0,0,0,53,119
burntsushi/memchr,8,5,14,6,4
burntsushi/quickcheck,7,1,2,2,5
burntsushi/rust-csv,12,17,17,12,11
burntsushi/same-file,0,2,0,0,2
burntsushi/termcolor,11,2,6,1,0
burntsushi/ucd-generate,1,1,1,0,0
burntsushi/walkdir,6,2,8,3,1
burntsushi/winapi-util,0,0,2,2,0
businho/pytest-ruff,0,0,5,9,1
bytecodealliance/rustix,12,56,79,38,75
bytecodealliance/wasi-rs,0,1,1,0,5
c-ares/c-ares,33,14,74,92,26
calvinmetcalf/immediate,0,0,0,0,0
calvinmetcalf/minimalistic-assert,0,0,0,0,0
calvinmetcalf/process-nextick-args,0,0,0,0,0
caolan/async,24,13,13,17,2
certbot/certbot,245,191,425,163,184
certifi/python-certifi,28,19,22,9,13
cfware/get-package-type,0,0,0,0,0
chaijs/type-detect,0,0,1,1,0
chalk/ansi-regex,7,1,0,3,5
chalk/ansi-styles,4,2,0,0,4
chalk/chalk,34,32,27,11,7
chalk/slice-ansi,0,1,0,0,2
chalk/strip-ansi,6,2,1,2,1
chalk/supports-color,2,6,4,3,2
chalk/supports-hyperlinks,0,0,0,0,3
chalk/wrap-ansi,0,3,2,0,2
chalker/safer-buffer,0,0,1,0,0
chardet/chardet,3,21,3,2,1
cheeriojs/dom-serializer,6,3,0,2,0
chicoxyzzy/node-releases,2,3,5,0,0
chronotope/chrono,16,70,205,70,21
chronotope/humantime,0,1,0,0,4
clap-rs/clap,321,323,163,118,83
cloudflare/cloudflare-python,0,0,0,0,5
cloudpipe/cloudpickle,12,12,12,5,7
colinhacks/zod,260,447,460,214,1216
colorjs/color-name,1,0,0,2,4
comex/rust-shlex,4,0,1,2,0
component/escape-html,0,0,0,0,0
component/toidentifier,0,0,0,0,0
conventional-changelog/commitlint,87,67,56,59,42
conventional-changelog/conventional-changelog,14,8,29,29,26
cosmiconfig/cosmiconfig,6,8,40,1,3
coveragepy/coveragepy,154,134,106,108,123
cowboy/node-exit,0,0,0,0,0
cpburnz/python-pathspec,4,18,7,1,6
crate-py/rpds,0,0,17,19,12
