repo,2021,2022,2023,2024,2025
10der/homeassistant-custom_components-awtrix,0,0,0,9,9
7rulnik/source-map-js,4,2,0,5,1
a11yance/aria-query,6,7,11,7,0
acornjs/acorn,40,43,50,46,43
acornjs/acorn-jsx,6,5,0,0,1
adobe/react-spectrum,538,364,642,713,626
agronholm/anyio,91,47,54,62,43
agronholm/exceptiongroup,0,18,0,6,7
ahmadnassri/har-schema,0,0,0,0,0
ahmadnassri/node-har-validator,2,0,0,0,0
ai/nanoid,38,40,31,17,12
aio-libs/aiobotocore,32,39,38,58,56
aio-libs/aiohappyeyeballs,0,0,2,15,3
aio-libs/aiohttp,199,148,170,216,124
aio-libs/aiosignal,0,1,0,1,5
aio-libs/async-timeout,7,1,1,2,2
aio-libs/frozenlist,5,10,8,7,7
aio-libs/multidict,5,5,8,11,25
aio-libs/propcache,0,0,0,10,6
aio-libs/yarl,13,16,26,35,15
ajafff/tsutils,7,7,6,0,0
ajv-validator/ajv,293,178,126,88,36
ajv-validator/ajv-formats,25,26,5,12,6
alexcrichton/filetime,3,3,3,4,1
alexcrichton/tar-rs,14,21,27,12,11
alexei/sprintf.js,7,1,2,1,1
alexeyraspopov/picocolors,18,2,5,15,3
alexhuszagh/rust-lexical,16,12,12,27,10
alexindigo/asynckit,0,0,0,0,2
amanieu/parking_lot,22,23,20,20,19
ampproject/remapping,5,8,2,4,2
andialbrecht/sqlparse,34,30,38,24,14
andrewrk/node-pend,0,0,0,0,0
andyperlitch/jsbn,2,1,0,0,1
angular/angular-cli,1038,612,814,826,676
annotated-types/annotated-types,0,9,12,13,6
antonk52/lilconfig,1,6,3,3,2
apache/airflow,2154,1931,1796,1935,3074
apache/arrow,4231,3576,3207,2434,1832
apache/arrow-rs,537,901,563,563,768
arcanis/jest-pnp-resolver,0,0,0,1,0
archlinux/linux,0,0,0,0,0
ardatan/graphql-tools,197,126,67,64,30
ardatan/whatwg-node,1,12,32,15,15
arekinath/node-getpass,0,0,0,1,0
ariaminaei/utila,0,0,0,0,0
assert-rs/snapbox,21,39,24,22,7
astanin/python-tabulate,36,51,49,28,15
astral-sh/ruff,0,578,3004,2214,1813
autotools-mirror/autoconf,0,0,0,0,0
autotools-mirror/libtool,0,0,0,0,0
autotools-mirror/m4,0,0,0,0,0
aws/aws-cli,418,384,340,227,197
aws/aws-sdk-js-crypto-helpers,11,5,8,2,0
