github_repo,metric,2021,2022,2023,2024,2025,2021-2025
ventoy/ventoy,bus_factor,1,1,1,1,1,1
ventoy/ventoy,hhi,7823,4656,3220,3199,6112,5558
ventoy/ventoy,contributors,24,47,30,16,15,89
ventoy/ventoy,bots,0,0,0,0,1,1
ventoy/ventoy,commits,345,334,113,38,68,898
ventoy/ventoy,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-21,2025-01-19,2021-01-03
ventoy/ventoy,last_date,2021-12-25,2022-12-31,2023-12-09,2024-11-16,2025-12-27,2025-12-27
git/git,bus_factor,2,2,2,2,2,3
git/git,hhi,1547,1620,1793,2305,1909,1609
git/git,contributors,47,45,42,42,37,58
git/git,bots,0,0,0,0,0,0
git/git,commits,3407,3142,2485,3453,2954,15441
git/git,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
git/git,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
curl/curl,bus_factor,1,1,1,2,2,2
curl/curl,hhi,4876,4402,2990,2884,3322,3028
curl/curl,contributors,34,41,37,33,32,66
curl/curl,bots,0,0,1,2,2,2
curl/curl,commits,1227,1380,1727,2202,3205,9741
curl/curl,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
curl/curl,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
netdata/netdata,bus_factor,3,3,3,2,3,3
netdata/netdata,hhi,1704,1135,1102,2105,1801,1380
netdata/netdata,contributors,34,34,25,22,19,52
netdata/netdata,bots,1,1,1,1,3,3
netdata/netdata,commits,1311,1588,2408,2496,2246,10049
netdata/netdata,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
netdata/netdata,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
obsproject/obs-studio,bus_factor,4,5,4,4,4,6
obsproject/obs-studio,hhi,999,772,980,952,1062,622
obsproject/obs-studio,contributors,37,45,44,35,24,67
