language,min_stars,date_from,date_to,count,fetched_at
C,1000,2007-01-01,2007-12-31,0,
C,1000,2008-01-01,2008-12-31,16,
C,1000,2008-01-01,2011-12-31,229,2026-03-11T12:04:11Z
C,1000,2009-01-01,2009-12-31,30,
C,1000,2010-01-01,2010-12-31,67,
C,1000,2011-01-01,2011-12-31,116,
C,1000,2012-01-01,2012-12-31,166,
C,1000,2012-01-01,2015-12-31,861,2026-03-11T12:04:11Z
C,1000,2013-01-01,2013-12-31,206,
C,1000,2014-01-01,2014-12-31,225,
C,1000,2015-01-01,2015-12-31,264,
C,1000,2016-01-01,2016-12-31,203,
C,1000,2016-01-01,2019-12-31,742,2026-03-11T12:04:10Z
C,1000,2017-01-01,2017-12-31,211,
C,1000,2018-01-01,2018-12-31,163,
C,1000,2019-01-01,2019-12-31,165,
C,1000,2020-01-01,2020-12-31,152,
C,1000,2020-01-01,2023-12-31,453,2026-03-11T12:04:10Z
C,1000,2021-01-01,2021-12-31,120,
C,1000,2022-01-01,2022-12-31,100,
C,1000,2023-01-01,2023-12-31,81,
C,1000,2024-01-01,2024-12-31,39,
C,1000,2024-01-01,2026-03-11,85,2026-03-11T12:04:10Z
C,1000,2025-01-01,2025-12-31,37,
C,1000,2026-01-01,2026-03-10,9,
C,1000,2026-01-01,2026-03-11,9,
C++,1000,2007-01-01,2007-12-31,0,
C++,1000,2008-01-01,2008-12-31,8,
C++,1000,2008-01-01,2011-12-31,207,2026-03-11T12:04:53Z
C++,1000,2009-01-01,2009-12-31,28,
C++,1000,2010-01-01,2010-12-31,61,
C++,1000,2011-01-01,2011-12-31,110,
C++,1000,2012-01-01,2012-12-31,151,
C++,1000,2012-01-01,2015-12-31,972,2026-03-11T12:04:52Z
C++,1000,2013-01-01,2013-12-31,236,
C++,1000,2014-01-01,2014-12-31,272,
C++,1000,2015-01-01,2015-12-31,313,
C++,1000,2016-01-01,2016-12-31,319,
C++,1000,2016-01-01,2019-12-31,1201,2026-03-11T12:04:52Z
C++,1000,2016-01-01,2017-12-31,640,2026-03-11T12:05:15Z
C++,1000,2017-01-01,2017-12-31,321,
C++,1000,2018-01-01,2018-12-31,281,
C++,1000,2018-01-01,2019-12-31,561,2026-03-11T12:05:16Z
C++,1000,2019-01-01,2019-12-31,280,
C++,1000,2020-01-01,2020-12-31,239,
C++,1000,2020-01-01,2023-12-31,680,2026-03-11T12:04:52Z
C++,1000,2021-01-01,2021-12-31,173,
C++,1000,2022-01-01,2022-12-31,143,
C++,1000,2023-01-01,2023-12-31,125,
C++,1000,2024-01-01,2024-12-31,67,
C++,1000,2024-01-01,2026-03-11,117,2026-03-11T12:04:53Z
C++,1000,2025-01-01,2025-12-31,47,
C++,1000,2026-01-01,2026-03-11,3,
JavaScript,1000,2008-01-01,2011-12-31,670,2026-03-11T12:19:36Z
JavaScript,1000,2012-01-01,2015-12-31,2867,2026-03-11T12:19:35Z
JavaScript,1000,2012-01-01,2013-12-31,1197,2026-03-11T12:19:40Z
JavaScript,1000,2012-01-01,2012-12-31,520,2026-03-11T12:19:44Z
JavaScript,1000,2013-01-01,2013-12-31,677,2026-03-11T12:19:43Z
JavaScript,1000,2014-01-01,2015-12-31,1670,2026-03-11T12:19:39Z
JavaScript,1000,2014-01-01,2014-12-31,739,2026-03-11T12:19:43Z
JavaScript,1000,2015-01-01,2015-12-31,931,2026-03-11T12:19:44Z
JavaScript,1000,2016-01-01,2019-12-31,2679,2026-03-11T12:19:35Z
JavaScript,1000,2016-01-01,2017-12-31,1708,2026-03-11T12:19:40Z
JavaScript,1000,2016-01-01,2016-12-31,910,2026-03-11T12:19:44Z
JavaScript,1000,2017-01-01,2017-12-31,798,2026-03-11T12:19:43Z
JavaScript,1000,2018-01-01,2019-12-31,971,2026-03-11T12:19:39Z
JavaScript,1000,2020-01-01,2023-12-31,978,2026-03-11T12:19:35Z
JavaScript,1000,2024-01-01,2026-03-11,291,2026-03-11T12:19:35Z
Python,10000,2007-01-01,2007-12-31,0,2026-03-11T11:35:43Z
Python,10000,2008-01-01,2008-12-31,1,2026-03-11T11:35:44Z
Python,1000,2008-01-01,2011-12-31,423,2026-03-11T18:52:31Z
Python,10000,2009-01-01,2009-12-31,10,2026-03-11T11:35:45Z
Python,10000,2010-01-01,2010-12-31,17,2026-03-11T11:35:46Z
Python,10000,2011-01-01,2011-12-31,18,2026-03-11T11:35:47Z
Python,10000,2012-01-01,2012-12-31,28,2026-03-11T11:35:48Z
Python,1000,2012-01-01,2015-12-31,1653,2026-03-11T18:52:32Z
Python,1000,2012-01-01,2013-12-31,675,2026-03-11T18:52:36Z
Python,10000,2013-01-01,2013-12-31,20,2026-03-11T11:35:49Z
Python,10000,2014-01-01,2014-12-31,30,2026-03-11T11:35:51Z
Python,1000,2014-01-01,2015-12-31,978,2026-03-11T18:52:36Z
Python,10000,2015-01-01,2015-12-31,43,2026-03-11T11:35:53Z
Python,10000,2016-01-01,2016-12-31,60,2026-03-11T11:35:55Z
Python,1000,2016-01-01,2019-12-31,3247,2026-03-11T18:52:32Z
Python,1000,2016-01-01,2017-12-31,1483,2026-03-11T18:52:36Z
Python,1000,2016-01-01,2016-12-31,625,2026-03-11T18:52:40Z
Python,10000,2017-01-01,2017-12-31,60,2026-03-11T11:35:57Z
Python,1000,2017-01-01,2017-12-31,858,2026-03-11T18:52:39Z
Python,10000,2018-01-01,2018-12-31,62,2026-03-11T11:36:00Z
Python,1000,2018-01-01,2019-12-31,1764,2026-03-11T18:52:36Z
Python,1000,2018-01-01,2018-12-31,876,2026-03-11T18:52:41Z
Python,10000,2019-01-01,2019-12-31,52,2026-03-11T11:36:01Z
Python,1000,2019-01-01,2019-12-31,888,2026-03-11T18:52:40Z
Python,10000,2020-01-01,2020-12-31,54,2026-03-11T11:36:03Z
Python,1000,2020-01-01,2023-12-31,3163,2026-03-11T18:52:31Z
Python,1000,2020-01-01,2021-12-31,1486,2026-03-11T18:52:36Z
Python,1000,2020-01-01,2020-12-31,862,2026-03-11T18:52:40Z
Python,10000,2021-01-01,2021-12-31,36,2026-03-11T11:36:05Z
Python,1000,2021-01-01,2021-12-31,624,2026-03-11T18:52:43Z
Python,10000,2022-01-01,2022-12-31,46,2026-03-11T11:36:07Z
Python,1000,2022-01-01,2023-12-31,1677,2026-03-11T18:52:36Z
Python,1000,2022-01-01,2022-12-31,588,2026-03-11T18:52:43Z
Python,10000,2023-01-01,2023-12-31,129,2026-03-11T11:36:10Z
Python,1000,2023-01-01,2023-12-31,1089,2026-03-11T18:53:31Z
Python,1000,2023-01-01,2023-07-02,601,2026-03-11T18:53:40Z
Python,1000,2023-07-03,2023-12-31,488,2026-03-11T18:53:39Z
Python,10000,2024-01-01,2024-12-31,85,2026-03-11T11:36:13Z
Python,1000,2024-01-01,2026-03-11,1720,2026-03-11T18:52:32Z
Python,1000,2024-01-01,2025-02-04,950,2026-03-11T18:52:36Z
Python,10000,2025-01-01,2025-12-31,76,2026-03-11T11:36:16Z
Python,1000,2025-02-05,2026-03-11,770,2026-03-11T18:52:36Z
Python,10000,2026-01-01,2026-03-11,7,2026-03-11T11:36:16Z
Rust,10000,2008-01-01,2011-12-31,3,2026-03-11T11:55:47Z
Rust,1000,2008-01-01,2011-12-31,6,2026-03-11T11:56:23Z
Rust,10000,2012-01-01,2015-12-31,29,2026-03-11T11:55:48Z
Rust,1000,2012-01-01,2015-12-31,210,2026-03-11T11:56:27Z
Rust,10000,2016-01-01,2019-12-31,74,2026-03-11T11:55:49Z
Rust,1000,2016-01-01,2019-12-31,641,2026-03-11T11:56:30Z
Rust,10000,2020-01-01,2023-12-31,76,2026-03-11T11:55:50Z
Rust,1000,2020-01-01,2023-12-31,817,2026-03-11T11:56:26Z
Rust,10000,2024-01-01,2026-03-11,23,2026-03-11T11:55:48Z
Rust,1000,2024-01-01,2026-03-11,254,2026-03-11T11:56:26Z
TypeScript,1000,2008-01-01,2011-12-31,72,2026-03-11T12:14:07Z
TypeScript,1000,2012-01-01,2015-12-31,603,2026-03-11T12:14:08Z
TypeScript,1000,2016-01-01,2019-12-31,1694,2026-03-11T12:14:08Z
TypeScript,1000,2016-01-01,2017-12-31,822,2026-03-11T12:14:12Z
TypeScript,1000,2018-01-01,2019-12-31,872,2026-03-11T12:14:12Z
TypeScript,1000,2020-01-01,2023-12-31,1934,2026-03-11T12:14:08Z
TypeScript,1000,2020-01-01,2021-12-31,936,2026-03-11T12:14:12Z
TypeScript,1000,2022-01-01,2023-12-31,998,2026-03-11T12:14:12Z
TypeScript,1000,2024-01-01,2026-03-11,1099,2026-03-11T12:14:08Z
TypeScript,1000,2024-01-01,2025-02-04,534,2026-03-11T12:14:12Z
TypeScript,1000,2025-02-05,2026-03-11,565,2026-03-11T12:14:12Z
c,1000,2008-01-01,2011-12-31,229,2026-03-11T19:04:28Z
c,1000,2012-01-01,2015-12-31,861,2026-03-11T19:04:27Z
c,1000,2016-01-01,2019-12-31,742,2026-03-11T19:04:27Z
c,1000,2020-01-01,2023-12-31,454,2026-03-11T19:04:26Z
c,1000,2024-01-01,2026-03-11,85,2026-03-11T19:04:26Z
c++,1000,2008-01-01,2011-12-31,207,2026-03-11T19:04:32Z
c++,1000,2012-01-01,2015-12-31,972,2026-03-11T19:04:32Z
c++,1000,2016-01-01,2019-12-31,1201,2026-03-11T19:04:32Z
c++,1000,2016-01-01,2017-12-31,640,2026-03-11T19:04:36Z
c++,1000,2018-01-01,2019-12-31,561,2026-03-11T19:04:36Z
