"formula","dep_name","dep_type","fetched_at"
"a2ps","pkgconf","build","2026-04-16 22:49:08.142515"
"a2ps","bdw-gc","runtime","2026-04-16 22:49:08.142515"
"a2ps","libpaper","runtime","2026-04-16 22:49:08.142515"
"a52dec","__none__","","2026-04-16 22:49:08.142515"
"aalib","__none__","","2026-04-16 22:49:08.142515"
"aamath","__none__","","2026-04-16 22:49:08.142515"
"aarch64-elf-binutils","pkgconf","build","2026-04-16 22:49:08.142515"
"aarch64-elf-binutils","texinfo","build","2026-04-16 22:49:08.142515"
"aarch64-elf-binutils","zstd","runtime","2026-04-16 22:49:08.142515"
"aarch64-elf-gcc","aarch64-elf-binutils","runtime","2026-04-16 22:49:08.142515"
"aarch64-elf-gcc","gmp","runtime","2026-04-16 22:49:08.142515"
"aarch64-elf-gcc","isl","runtime","2026-04-16 22:49:08.142515"
"aarch64-elf-gcc","libmpc","runtime","2026-04-16 22:49:08.142515"
"aarch64-elf-gcc","mpfr","runtime","2026-04-16 22:49:08.142515"
"aarch64-elf-gcc","zstd","runtime","2026-04-16 22:49:08.142515"
"aarch64-elf-gdb","pkgconf","build","2026-04-16 22:49:08.142515"
"aarch64-elf-gdb","texinfo","build","2026-04-16 22:49:08.142515"
"aarch64-elf-gdb","gmp","runtime","2026-04-16 22:49:08.142515"
"aarch64-elf-gdb","mpfr","runtime","2026-04-16 22:49:08.142515"
"aarch64-elf-gdb","ncurses","runtime","2026-04-16 22:49:08.142515"
"aarch64-elf-gdb","python@3.14","runtime","2026-04-16 22:49:08.142515"
"aarch64-elf-gdb","readline","runtime","2026-04-16 22:49:08.142515"
"aarch64-elf-gdb","xz","runtime","2026-04-16 22:49:08.142515"
"aarch64-elf-gdb","zstd","runtime","2026-04-16 22:49:08.142515"
"ab-av1","rust","build","2026-04-16 22:49:08.142515"
"ab-av1","ffmpeg","runtime","2026-04-16 22:49:08.142515"
"abcde","pkgconf","build","2026-04-16 22:49:08.142515"
"abcde","cdrtools","runtime","2026-04-16 22:49:08.142515"
"abcde","eye-d3","runtime","2026-04-16 22:49:08.142515"
"abcde","flac","runtime","2026-04-16 22:49:08.142515"
"abcde","glyr","runtime","2026-04-16 22:49:08.142515"
"abcde","lame","runtime","2026-04-16 22:49:08.142515"
"abcde","libdiscid","runtime","2026-04-16 22:49:08.142515"
"abcde","mkcue","runtime","2026-04-16 22:49:08.142515"
"abcde","perl","runtime","2026-04-16 22:49:08.142515"
"abcde","vorbis-tools","runtime","2026-04-16 22:49:08.142515"
"abcl","ant","build","2026-04-16 22:49:08.142515"
"abcl","openjdk","runtime","2026-04-16 22:49:08.142515"
"abcl","rlwrap","runtime","2026-04-16 22:49:08.142515"
"abcm2ps","coreutils","build","2026-04-16 22:49:08.142515"
"abcm2ps","gnu-sed","build","2026-04-16 22:49:08.142515"
"abcm2ps","pkgconf","build","2026-04-16 22:49:08.142515"
"abcmidi","__none__","","2026-04-16 22:49:08.142515"
"abduco","__none__","","2026-04-16 22:49:08.142515"
"abi-compliance-checker","gcc","runtime","2026-04-16 22:49:08.142515"
"abi-dumper","elfutils","runtime","2026-04-16 22:49:08.142515"
"abi-dumper","perl","runtime","2026-04-16 22:49:08.142515"
"abi-dumper","universal-ctags","runtime","2026-04-16 22:49:08.142515"
"abi-dumper","vtable-dumper","runtime","2026-04-16 22:49:08.142515"
"abi3audit","cmake","build","2026-04-16 22:49:08.142515"
"abi3audit","pkgconf","build","2026-04-16 22:49:08.142515"
"abi3audit","certifi","runtime","2026-04-16 22:49:08.142515"
"abi3audit","python@3.14","runtime","2026-04-16 22:49:08.142515"
"abnfgen","__none__","","2026-04-16 22:49:08.142515"
"abook","autoconf","build","2026-04-16 22:49:08.142515"
"abook","automake","build","2026-04-16 22:49:08.142515"
"abook","gettext","build","2026-04-16 22:49:08.142515"
"abook","gettext","runtime","2026-04-16 22:49:08.142515"
"abook","readline","runtime","2026-04-16 22:49:08.142515"
"abpoa","__none__","","2026-04-16 22:49:08.142515"
"abricate","any2fasta","runtime","2026-04-16 22:49:08.142515"
"abricate","bioperl","runtime","2026-04-16 22:49:08.142515"
"abricate","blast","runtime","2026-04-16 22:49:08.142515"
"abseil","cmake","build","2026-04-16 22:49:08.142515"
"abseil","googletest","build","2026-04-16 22:49:08.142515"
"abyss","boost","build","2026-04-16 22:49:08.142515"
"abyss","google-sparsehash","build","2026-04-16 22:49:08.142515"
"abyss","btllib","runtime","2026-04-16 22:49:08.142515"
"abyss","libomp","runtime","2026-04-16 22:49:08.142515"
"abyss","open-mpi","runtime","2026-04-16 22:49:08.142515"
"access","go","build","2026-04-16 22:49:08.142515"
"ace","__none__","","2026-04-16 22:49:08.142515"
"aces_container","cmake","build","2026-04-16 22:49:08.142515"
"aces_container","pkgconf","build","2026-04-16 22:49:08.142515"
"ack","pod2man","build","2026-04-16 22:49:08.142515"
"acl","attr","build","2026-04-16 22:49:08.142515"
"acl2","sbcl","runtime","2026-04-16 22:49:08.142515"
"acme","__none__","","2026-04-16 22:49:08.142515"
"acme.sh","__none__","","2026-04-16 22:49:08.142515"
"acpica","__none__","","2026-04-16 22:49:08.142515"
"acronym","cmake","build","2026-04-16 22:49:08.142515"
"acronym","meson","build","2026-04-16 22:49:08.142515"
"acronym","ninja","build","2026-04-16 22:49:08.142515"
"acronym","numpy","runtime","2026-04-16 22:49:08.142515"
"acronym","python@3.14","runtime","2026-04-16 22:49:08.142515"
"act","go","build","2026-04-16 22:49:08.142515"
"act_runner","go","build","2026-04-16 22:49:08.142515"
"action-docs","node","runtime","2026-04-16 22:49:08.142515"
"action-validator","rust","build","2026-04-16 22:49:08.142515"
"actionlint","go","build","2026-04-16 22:49:08.142515"
"actionlint","ronn","build","2026-04-16 22:49:08.142515"
"actionlint","shellcheck","runtime","2026-04-16 22:49:08.142515"
"actions-batch","go","build","2026-04-16 22:49:08.142515"
"actions-up","node","runtime","2026-04-16 22:49:08.142515"
"activemq","java-service-wrapper","runtime","2026-04-16 22:49:08.142515"
"activemq","openjdk","runtime","2026-04-16 22:49:08.142515"
"activemq-cpp","pkgconf","build","2026-04-16 22:49:08.142515"
"activemq-cpp","apr","runtime","2026-04-16 22:49:08.142515"
"activemq-cpp","openssl@3","runtime","2026-04-16 22:49:08.142515"
"ad","rust","build","2026-04-16 22:49:08.142515"
"ada-url","cmake","build","2026-04-16 22:49:08.142515"
"ada-url","cxxopts","build","2026-04-16 22:49:08.142515"
"ada-url","fmt","runtime","2026-04-16 22:49:08.142515"
"adamstark-audiofile","__none__","","2026-04-16 22:49:08.142515"
"adapterremoval","__none__","","2026-04-16 22:49:08.142515"
"adaptivecpp","cmake","build","2026-04-16 22:49:08.142515"
"adaptivecpp","libomp","runtime","2026-04-16 22:49:08.142515"
"adb-enhanced","python@3.14","runtime","2026-04-16 22:49:08.142515"
"add-determinism","pkgconf","build","2026-04-16 22:49:08.142515"
"add-determinism","rust","build","2026-04-16 22:49:08.142515"
"addlicense","go","build","2026-04-16 22:49:08.142515"
"addons-linter","node","runtime","2026-04-16 22:49:08.142515"
"adios2","cmake","build","2026-04-16 22:49:08.142515"
"adios2","nlohmann-json","build","2026-04-16 22:49:08.142515"
"adios2","pybind11","build","2026-04-16 22:49:08.142515"
"adios2","c-blosc2","runtime","2026-04-16 22:49:08.142515"
"adios2","gcc","runtime","2026-04-16 22:49:08.142515"
