"package","dependency","type"
"react-google-button","prop-types","declared"
"stylelint-order","postcss","declared"
"stylelint-order","postcss-sorting","declared"
"lambda-tester","app-root-path","declared"
"lambda-tester","dotenv","declared"
"lambda-tester","dotenv-json","declared"
"lambda-tester","lambda-event-mock","declared"
"lambda-tester","lambda-leak","declared"
"lambda-tester","semver","declared"
"lambda-tester","uuid","declared"
"lambda-tester","vandium-utils","declared"
"jaeger-client","uuid","declared"
"jaeger-client","thriftrw","declared"
"jaeger-client","xorshift","declared"
"jaeger-client","node-int64","declared"
"jaeger-client","opentracing","declared"
"fork-ts-checker-webpack-plugin-alt","babel-code-frame","declared"
"fork-ts-checker-webpack-plugin-alt","chalk","declared"
"fork-ts-checker-webpack-plugin-alt","chokidar","declared"
"fork-ts-checker-webpack-plugin-alt","lodash","declared"
"fork-ts-checker-webpack-plugin-alt","micromatch","declared"
"fork-ts-checker-webpack-plugin-alt","minimatch","declared"
"fork-ts-checker-webpack-plugin-alt","resolve","declared"
"fork-ts-checker-webpack-plugin-alt","tapable","declared"
"firebase-admin","@fastify/busboy","declared"
"firebase-admin","@firebase/database-compat","declared"
"firebase-admin","@firebase/database-types","declared"
"firebase-admin","farmhash-modern","declared"
"firebase-admin","fast-deep-equal","declared"
"firebase-admin","google-auth-library","declared"
"firebase-admin","jsonwebtoken","declared"
"firebase-admin","jwks-rsa","declared"
"firebase-admin","node-forge","declared"
"firebase-admin","uuid","declared"
"webpack-cli","@discoveryjs/json-ext","declared"
"webpack-cli","commander","declared"
"webpack-cli","cross-spawn","declared"
"webpack-cli","envinfo","declared"
"webpack-cli","fastest-levenshtein","declared"
"webpack-cli","import-local","declared"
"webpack-cli","interpret","declared"
"webpack-cli","rechoir","declared"
"webpack-cli","webpack-merge","declared"
"copy-paste","iconv-lite","declared"
"slab-decomposition","binary-search-bounds","declared"
"slab-decomposition","functional-red-black-tree","declared"
"slab-decomposition","robust-orientation","declared"
"postcss-dir-pseudo-class","postcss-selector-parser","declared"
"to-pascal-case","to-space-case","declared"
"gif-encoder","readable-stream","declared"
"tsparticles-shape-text","tsparticles-engine","declared"
"subscribable-things","@babel/runtime","declared"
"subscribable-things","rxjs-interop","declared"
"subscribable-things","tslib","declared"
"inquirer-autosubmit-prompt","chalk","declared"
"inquirer-autosubmit-prompt","inquirer","declared"
"inquirer-autosubmit-prompt","rxjs","declared"
"strapi-connector-bookshelf","p-map","declared"
"strapi-connector-bookshelf","lodash","declared"
"strapi-connector-bookshelf","rimraf","declared"
"strapi-connector-bookshelf","date-fns","declared"
"strapi-connector-bookshelf","inquirer","declared"
"strapi-connector-bookshelf","bookshelf","declared"
"strapi-connector-bookshelf","pluralize","declared"
"strapi-connector-bookshelf","strapi-utils","declared"
"react-id-swiper","object-assign","declared"
"lodash._reunescapedhtml","lodash._htmlescapes","declared"
"lodash._reunescapedhtml","lodash.keys","declared"
"build","jsmin","declared"
"build","cssmin","declared"
"build","walker","declared"
"build","wrench","declared"
"build","winston","declared"
"build","jxLoader","declared"
"build","timespan","declared"
"build","uglify-js","declared"
"build","moo-server","declared"
"build","promised-io","declared"
"cacache","glob","declared"
"cacache","ssri","declared"
"cacache","p-map","declared"
"cacache","minipass","declared"
"cacache","lru-cache","declared"
"cacache","@npmcli/fs","declared"
"cacache","fs-minipass","declared"
"cacache","minipass-flush","declared"
"cacache","minipass-collect","declared"
"cacache","minipass-pipeline","declared"
"react-spring-bottom-sheet","@juggle/resize-observer","declared"
"react-spring-bottom-sheet","@reach/portal","declared"
"react-spring-bottom-sheet","@xstate/react","declared"
"react-spring-bottom-sheet","body-scroll-lock","declared"
"react-spring-bottom-sheet","focus-trap","declared"
"react-spring-bottom-sheet","react-spring","declared"
"react-spring-bottom-sheet","react-use-gesture","declared"
"react-spring-bottom-sheet","xstate","declared"
"amplify-java-function-template-provider","@aws-amplify/amplify-function-plugin-interface","declared"
"docusaurus-plugin-sass","sass-loader","declared"
"noms","inherits","declared"
"noms","readable-stream","declared"
"whatwg-url-without-unicode","buffer","declared"
"whatwg-url-without-unicode","punycode","declared"
"whatwg-url-without-unicode","webidl-conversions","declared"
"cwise-compiler","uniq","declared"
"nextjs-toploader","nprogress","declared"
"nextjs-toploader","prop-types","declared"
"gulp-svg-sprite","plugin-error","declared"
