"package","year","downloads","fetched_at"
"-","2021","0","2026-03-29 00:00:00.000000"
"-","2022","1105610","2026-03-29 00:00:00.000000"
"-","2023","2090078","2026-03-29 00:00:00.000000"
"-","2024","2908539","2026-03-29 00:00:00.000000"
"-","2025","3933504","2026-03-29 00:00:00.000000"
"001-mypackage","2021","456","2026-03-29 00:00:00.000000"
"001-mypackage","2022","2695","2026-03-29 00:00:00.000000"
"001-mypackage","2023","650","2026-03-29 00:00:00.000000"
"001-mypackage","2024","748","2026-03-29 00:00:00.000000"
"001-mypackage","2025","2190","2026-03-29 00:00:00.000000"
"0x","2021","677103","2026-03-29 00:00:00.000000"
"0x","2022","1350222","2026-03-29 00:00:00.000000"
"0x","2023","1625007","2026-03-29 00:00:00.000000"
"0x","2024","1867499","2026-03-29 00:00:00.000000"
"0x","2025","3325999","2026-03-29 00:00:00.000000"
"101","2021","5547161","2026-03-29 00:00:00.000000"
"101","2022","5502083","2026-03-29 00:00:00.000000"
"101","2023","3454701","2026-03-29 00:00:00.000000"
"101","2024","1720129","2026-03-29 00:00:00.000000"
"101","2025","1613497","2026-03-29 00:00:00.000000"
"2-thenable","2021","26131793","2026-03-29 00:00:00.000000"
"2-thenable","2022","38477556","2026-03-29 00:00:00.000000"
"2-thenable","2023","46892887","2026-03-29 00:00:00.000000"
"2-thenable","2024","47482314","2026-03-29 00:00:00.000000"
"2-thenable","2025","43121707","2026-03-29 00:00:00.000000"
"2captcha","2021","77222","2026-03-29 00:00:00.000000"
"2captcha","2022","229290","2026-03-29 00:00:00.000000"
"2captcha","2023","658287","2026-03-29 00:00:00.000000"
"2captcha","2024","3302617","2026-03-29 00:00:00.000000"
"2captcha","2025","736021","2026-03-29 00:00:00.000000"
"3d-view","2021","5285522","2026-03-29 00:00:00.000000"
"3d-view","2022","4378987","2026-03-29 00:00:00.000000"
"3d-view","2023","3460908","2026-03-29 00:00:00.000000"
"3d-view","2024","2053426","2026-03-29 00:00:00.000000"
"3d-view","2025","1224052","2026-03-29 00:00:00.000000"
"7zip","2021","1196778","2026-03-29 00:00:00.000000"
"7zip","2022","1627995","2026-03-29 00:00:00.000000"
"7zip","2023","1006751","2026-03-29 00:00:00.000000"
"7zip","2024","828275","2026-03-29 00:00:00.000000"
"7zip","2025","1192743","2026-03-29 00:00:00.000000"
"7zip-bin","2021","10370540","2026-03-29 00:00:00.000000"
"7zip-bin","2022","15058969","2026-03-29 00:00:00.000000"
"7zip-bin","2023","15192631","2026-03-29 00:00:00.000000"
"7zip-bin","2024","15711102","2026-03-29 00:00:00.000000"
"7zip-bin","2025","30116462","2026-03-29 00:00:00.000000"
"@-xun/fs","2021","0","2026-03-29 00:00:00.000000"
"@-xun/fs","2022","0","2026-03-29 00:00:00.000000"
"@-xun/fs","2023","0","2026-03-29 00:00:00.000000"
"@-xun/fs","2024","0","2026-03-29 00:00:00.000000"
"@-xun/fs","2025","99795","2026-03-29 00:00:00.000000"
"@000alen/knex","2021","0","2026-03-29 00:00:00.000000"
"@000alen/knex","2022","0","2026-03-29 00:00:00.000000"
"@000alen/knex","2023","0","2026-03-29 00:00:00.000000"
"@000alen/knex","2024","162","2026-03-29 00:00:00.000000"
"@000alen/knex","2025","221","2026-03-29 00:00:00.000000"
"@0no-co/graphql.web","2021","0","2026-03-29 00:00:00.000000"
"@0no-co/graphql.web","2022","0","2026-03-29 00:00:00.000000"
"@0no-co/graphql.web","2023","10103612","2026-03-29 00:00:00.000000"
"@0no-co/graphql.web","2024","31169250","2026-03-29 00:00:00.000000"
"@0no-co/graphql.web","2025","96879880","2026-03-29 00:00:00.000000"
"@0no-co/graphqlsp","2021","0","2026-03-29 00:00:00.000000"
"@0no-co/graphqlsp","2022","0","2026-03-29 00:00:00.000000"
"@0no-co/graphqlsp","2023","15467","2026-03-29 00:00:00.000000"
"@0no-co/graphqlsp","2024","4088640","2026-03-29 00:00:00.000000"
"@0no-co/graphqlsp","2025","17929730","2026-03-29 00:00:00.000000"
"@1natsu/wait-element","2021","1976","2026-03-29 00:00:00.000000"
"@1natsu/wait-element","2022","867","2026-03-29 00:00:00.000000"
"@1natsu/wait-element","2023","2142","2026-03-29 00:00:00.000000"
"@1natsu/wait-element","2024","10812","2026-03-29 00:00:00.000000"
"@1natsu/wait-element","2025","1697768","2026-03-29 00:00:00.000000"
"@1password/connect","2021","26611","2026-03-29 00:00:00.000000"
"@1password/connect","2022","811439","2026-03-29 00:00:00.000000"
"@1password/connect","2023","826323","2026-03-29 00:00:00.000000"
"@1password/connect","2024","626071","2026-03-29 00:00:00.000000"
"@1password/connect","2025","934870","2026-03-29 00:00:00.000000"
"@47ng/cloak","2021","2842","2026-03-29 00:00:00.000000"
"@47ng/cloak","2022","74410","2026-03-29 00:00:00.000000"
"@47ng/cloak","2023","320707","2026-03-29 00:00:00.000000"
"@47ng/cloak","2024","720025","2026-03-29 00:00:00.000000"
"@47ng/cloak","2025","1205365","2026-03-29 00:00:00.000000"
"@47ng/codec","2021","22381","2026-03-29 00:00:00.000000"
"@47ng/codec","2022","81424","2026-03-29 00:00:00.000000"
"@47ng/codec","2023","336346","2026-03-29 00:00:00.000000"
"@47ng/codec","2024","736609","2026-03-29 00:00:00.000000"
"@47ng/codec","2025","1203735","2026-03-29 00:00:00.000000"
"@75lb/deep-merge","2021","259166","2026-03-29 00:00:00.000000"
"@75lb/deep-merge","2022","893125","2026-03-29 00:00:00.000000"
"@75lb/deep-merge","2023","4984079","2026-03-29 00:00:00.000000"
"@75lb/deep-merge","2024","16581312","2026-03-29 00:00:00.000000"
"@75lb/deep-merge","2025","18102230","2026-03-29 00:00:00.000000"
"@a2a-js/sdk","2021","0","2026-03-29 00:00:00.000000"
"@a2a-js/sdk","2022","0","2026-03-29 00:00:00.000000"
"@a2a-js/sdk","2023","0","2026-03-29 00:00:00.000000"
"@a2a-js/sdk","2024","0","2026-03-29 00:00:00.000000"
"@a2a-js/sdk","2025","3908399","2026-03-29 00:00:00.000000"
"@ably/msgpack-js","2021","0","2026-03-29 00:00:00.000000"
"@ably/msgpack-js","2022","2642707","2026-03-29 00:00:00.000000"
"@ably/msgpack-js","2023","0","2026-03-29 00:00:00.000000"
"@ably/msgpack-js","2024","4672958","2026-03-29 00:00:00.000000"
"@ably/msgpack-js","2025","8804637","2026-03-29 00:00:00.000000"
"@actions/core","2021","0","2026-03-29 00:00:00.000000"
"@actions/core","2022","56113172","2026-03-29 00:00:00.000000"
"@actions/core","2023","0","2026-03-29 00:00:00.000000"
"@actions/core","2024","111633190","2026-03-29 00:00:00.000000"
"@actions/core","2025","0","2026-03-29 00:00:00.000000"
"@actions/exec","2021","0","2026-03-29 00:00:00.000000"
"@actions/exec","2022","9763852","2026-03-29 00:00:00.000000"
"@actions/exec","2023","0","2026-03-29 00:00:00.000000"
"@actions/exec","2024","32832887","2026-03-29 00:00:00.000000"
"@actions/exec","2025","0","2026-03-29 00:00:00.000000"
"@actions/github","2021","0","2026-03-29 00:00:00.000000"
"@actions/github","2022","40769601","2026-03-29 00:00:00.000000"
"@actions/github","2023","0","2026-03-29 00:00:00.000000"
"@actions/github","2024","65823257","2026-03-29 00:00:00.000000"
"@actions/github","2025","0","2026-03-29 00:00:00.000000"
"@actions/http-client","2021","23484831","2026-03-29 00:00:00.000000"
"@actions/http-client","2022","59052388","2026-03-29 00:00:00.000000"
"@actions/http-client","2023","87272842","2026-03-29 00:00:00.000000"
"@actions/http-client","2024","143265337","2026-03-29 00:00:00.000000"
"@actions/http-client","2025","234957944","2026-03-29 00:00:00.000000"
"@actions/io","2021","3980243","2026-03-29 00:00:00.000000"
