package,license,fetched_at
2-thenable,isc,2026-04-27T15:10:36Z
@0no-co/graphql.web,mit,2026-04-27T15:10:36Z
@actions/core,mit,2026-04-27T15:10:36Z
@actions/exec,mit,2026-04-27T15:10:36Z
@actions/github,mit,2026-04-27T15:10:36Z
@actions/http-client,mit,2026-04-27T15:10:36Z
@actions/io,mit,2026-04-27T15:10:36Z
@adobe/css-tools,mit,2026-04-27T15:10:36Z
@adraffy/ens-normalize,mit,2026-04-27T15:10:36Z
@ai-sdk/gateway,apache-2.0,2026-04-27T15:10:36Z
@ai-sdk/provider,apache-2.0,2026-04-27T15:10:36Z
@ai-sdk/provider-utils,apache-2.0,2026-04-27T15:10:36Z
@algolia/abtesting,mit,2026-04-27T15:10:36Z
@algolia/client-abtesting,mit,2026-04-27T15:10:36Z
@algolia/client-analytics,mit,2026-04-27T15:10:36Z
@algolia/client-common,mit,2026-04-27T15:10:36Z
@algolia/client-insights,mit,2026-04-27T15:10:36Z
@algolia/client-personalization,mit,2026-04-27T15:10:36Z
@algolia/client-query-suggestions,mit,2026-04-27T15:10:36Z
@algolia/client-search,mit,2026-04-27T15:10:36Z
@algolia/ingestion,mit,2026-04-27T15:10:36Z
@algolia/monitoring,mit,2026-04-27T15:10:36Z
@algolia/recommend,mit,2026-04-27T15:10:36Z
@algolia/requester-browser-xhr,mit,2026-04-27T15:10:36Z
@algolia/requester-fetch,mit,2026-04-27T15:10:36Z
@algolia/requester-node-http,mit,2026-04-27T15:10:36Z
@alloc/quick-lru,mit,2026-04-27T15:10:36Z
@ampproject/remapping,apache-2.0,2026-04-27T15:10:36Z
@angular-devkit/architect,mit,2026-04-27T15:10:36Z
@angular-devkit/core,mit,2026-04-27T15:10:36Z
@angular-devkit/schematics,mit,2026-04-27T15:10:36Z
@angular-eslint/builder,mit,2026-04-27T15:10:36Z
@angular-eslint/bundled-angular-compiler,mit,2026-04-27T15:10:36Z
@angular-eslint/eslint-plugin,mit,2026-04-27T15:10:36Z
@angular-eslint/eslint-plugin-template,mit,2026-04-27T15:10:36Z
@angular-eslint/schematics,mit,2026-04-27T15:10:36Z
@angular-eslint/template-parser,mit,2026-04-27T15:10:36Z
@angular-eslint/utils,mit,2026-04-27T15:10:36Z
