"package","github_repo","avg_downloads","2021","2022","2023","2024","2025","top","pagerank","value_class"
"tslib","Microsoft/tslib","9293397240","3205547007","6587973684","11156680193","12308407203","13208378117","True","0.01591249","A"
"@babel/helper-plugin-utils","babel/babel","2335528923","1504224577","2272691623","2394127277","2358417529","3148183613","True","0.01474337","A"
"@babel/types","babel/babel","3144196272","2086196296","3073122068","2873817679","3146295833","4541549486","True","0.00751988","A"
"ms","vercel/ms","9905364995","4847731788","8292321479","10374149336","11672731532","14339890844","True","0.00737340","A"
"es-errors","ljharb/es-errors","2148077856","0","0","0","1334179349","2961976363","True","0.00650135","A"
"debug","debug-js/debug","12000607765","5994491887","9706166665","11725976788","13592255513","18984147972","True","0.00565670","A"
"ansi-regex","chalk/ansi-regex","7681148861","4462174584","6300372972","6950920701","8265538418","12426737631","True","0.00560989","A"
"semver","npm/node-semver","13596078097","5948102006","10113171406","13976578613","16558352576","21384185884","True","0.00533523","A"
"function-bind","Raynos/function-bind","2293277136","1164203647","1587780586","2054423622","2688056798","3971921030","True","0.00503901","A"
"safe-buffer","feross/safe-buffer","5259817949","2911571709","4375823265","5326125119","5981820675","7703748980","True","0.00484316","A"
"@types/node","DefinitelyTyped/DefinitelyTyped","4889826581","2539778678","3713134045","4650086316","5703662383","7842471485","True","0.00479969","A"
"@babel/helper-validator-identifier","babel/babel","2561177505","1537160819","2169773348","2401243778","2731315822","3966393759","True","0.00469816","A"
"undici-types","nodejs/undici","2126866054","0","0","210131330","1897047542","4273419291","True","0.00458304","A"
"chalk","chalk/chalk","11942068661","5118697781","9617116738","13033130790","15490045290","16451352710","True","0.00433982","A"
"strip-ansi","chalk/strip-ansi","8055174764","4446643049","6290920929","7085685035","8909457732","13543167077","True","0.00431894","A"
"call-bound","ljharb/call-bound","2181729364","0","0","0","0","2181729364","True","0.00428479","A"
"ansi-styles","chalk/ansi-styles","13234069830","4466564792","9392132888","14135622519","18009805466","20166223485","True","0.00422869","A"
"color-name","colorjs/color-name","8442877283","3202549085","6833064752","9872805787","11377436289","10928530503","True","0.00407210","A"
"balanced-match","juliangruber/balanced-match","2552334078","1465171399","2101460577","2422727104","2803233075","3969078235","True","0.00405030","A"
"@smithy/types","smithy-lang/smithy-typescript","1603381405","0","0","352805036","1453196492","3004142687","True","0.00404658","A"
"brace-expansion","juliangruber/brace-expansion","5100304690","1232598721","2311897629","4121747835","6818199260","11017080005","True","0.00403692","A"
"get-intrinsic","ljharb/get-intrinsic","2277469716","934572342","1547454136","2212933954","2652442062","4039946089","True","0.00387804","A"
"p-limit","sindresorhus/p-limit","5132425966","2706436709","3976283078","5064350669","5960729356","7954330021","True","0.00380257","A"
"minipass","isaacs/minipass","3597497870","916517586","1175723838","2997636177","5421852808","7475758942","True","0.00376584","A"
"yocto-queue","sindresorhus/yocto-queue","1760800050","481154439","870326561","1564337194","2363424576","3524757480","True","0.00362945","A"
"@babel/helper-string-parser","babel/babel","1691355156","0","290305942","1357321681","2026179722","3091613279","True","0.00355704","A"
"minimatch","isaacs/minimatch","7061853919","1382313553","3232290344","5955360805","9766581495","14972723400","True","0.00335596","A"
"supports-color","chalk/supports-color","12580987113","5947496082","10460483543","14010061878","16183420830","16303473235","True","0.00331368","A"
"string-width","sindresorhus/string-width","6518495817","3861532398","4795300352","5408365300","7157220560","11370060477","True","0.00329960","A"
"call-bind-apply-helpers","ljharb/call-bind-apply-helpers","1322503033","0","0","0","50805630","2594200437","True","0.00323241","A"
"hasown","inspect-js/hasOwn","1120107699","316420","375422","215748980","1984119221","3399978453","True","0.00318567","A"
"readable-stream","nodejs/readable-stream","6622597296","3744688099","5408400238","6921831659","7625443828","9412622658","True","0.00307614","A"
"lru-cache","isaacs/node-lru-cache","6907666200","2542264666","3836494454","7234513547","9539451064","11385607273","True","0.00297568","A"
"type-fest","sindresorhus/type-fest","7045036875","3407933901","5258588366","6972072916","8624743786","10961845408","True","0.00294909","A"
"p-locate","sindresorhus/p-locate","5442206167","2974937692","4450721005","5491941745","6205682256","8087748141","True","0.00294752","A"
"kind-of","jonschlinkert/kind-of","6107198344","4687411064","7243188295","7299485838","5648151742","5657754785","True","0.00294379","A"
"@babel/traverse","babel/babel","2406651455","1544189651","2054472631","2321077995","2463602016","3649914984","True","0.00284608","A"
"gopd","ljharb/gopd","1617818206","0","53788835","1106035295","1904713842","3406734852","True","0.00284108","A"
"postcss-value-parser","TrySound/postcss-value-parser","2420239645","2544358822","2642188169","2341391655","2061660998","2511598581","True","0.00280412","A"
"is-number","jonschlinkert/is-number","3584882786","2436282874","3407954947","3690145615","3680309465","4709721030","True","0.00278095","A"
"source-map","mozilla/source-map","7847327206","4691807969","7758659675","8119198463","8324139173","10342830753","True","0.00273705","A"
"has-symbols","inspect-js/has-symbols","2308376272","1277073152","1837591416","2171716374","2389200983","3866299435","True","0.00271714","A"
