repo,repo_id,pr_avg_merge_time_days,issue_avg_close_time_days,prs_opened_5y,prs_merged_5y,prs_closed_5y,active_contributors_5y,commits_5y,unique_committers_5y,forks_growth_5y,stars_growth_5y,last_event_at,top_contributor_login,top_contributor_pr_count,fetched_at
andialbrecht/sqlparse,4067434,185.892,511.207,60,,,630,167,,,1559,2026-05-17,andialbrecht,1047,2026-05-17T23:43:32+00:00
apache/airflow,33884891,2.255,38.446,24570,,,12469,33955,,,21908,2026-05-03,potiuk,74874,2026-05-03T17:03:37+00:00
ardatan/whatwg-node,429511342,2.885,43.616,2382,,,88,6307,,,182,2026-05-03,ardatan,3071,2026-05-03T17:02:00+00:00
babel/babel-polyfills,190579283,15.915,66.511,96,,,84,170,,,184,2026-05-03,nicolo-ribaudo,620,2026-05-03T17:02:00+00:00
coveragepy/coveragepy,138421996,12.384,74.128,273,,,1214,4830,,,1665,2026-05-17,nedbat,7566,2026-05-17T23:43:32+00:00
dtolnay/proc-macro2,91860126,0.006,73.519,144,,,228,496,,,589,2026-05-03,dtolnay,1282,2026-05-03T17:02:00+00:00
dtolnay/rustversion,183990447,1.985,216.109,19,,,36,97,,,228,2026-05-03,dtolnay,209,2026-05-03T17:01:43+00:00
eslint/js,27620277,7.69,19.413,132,,,276,375,,,962,2026-05-03,nzakas,1315,2026-05-03T17:01:43+00:00
fb55/domhandler,5414232,0.389,3.681,975,,,75,1438,,,146,2026-05-03,coveralls,516,2026-05-03T17:02:00+00:00
guillaumegomez/doc-comment,127254922,,256.963,1,,,15,0,,,34,2026-05-03,GuillaumeGomez,100,2026-05-03T17:02:00+00:00
hukkin/tomli,370616797,36.008,22.055,195,,,77,523,,,515,2026-05-03,hukkin,590,2026-05-03T17:03:29+00:00
indygreg/python-zstandard,67307930,125.962,60.623,41,,,223,878,,,332,2026-05-17,indygreg,1348,2026-05-17T23:43:32+00:00
ljharb/qs,22266795,366.721,59.787,33,,,637,128,,,2693,2026-05-03,ljharb,1428,2026-05-03T17:01:43+00:00
ljharb/side-channel-map,901191461,,,0,,,1,7,,,1,2026-05-03,ljharb,4,2026-05-03T17:01:43+00:00
pallets/flask,596892,1.334,8.196,760,,,4057,1315,,,19313,2026-05-03,davidism,5087,2026-05-03T17:03:29+00:00
pyca/cryptography,11939484,0.037,19.827,6093,,,2707,6572,,,3412,2026-05-03,alex,23974,2026-05-03T17:03:29+00:00
python/importlib_metadata,306448340,12.923,67.01,81,,,168,860,,,121,2026-05-03,jaraco,3751,2026-05-03T17:02:00+00:00
rich-harris/magic-string,26143240,17.951,116.0,67,,,116,130,,,1490,2026-05-17,Rich-Harris,306,2026-05-17T23:43:32+00:00
sindresorhus/execa,47475908,6.54,72.595,463,,,407,2122,,,3426,2026-05-03,ehmicky,4628,2026-05-03T17:02:00+00:00
sindresorhus/lowercase-keys,29769737,,,1,,,12,0,,,10,2026-05-03,sindresorhus,38,2026-05-03T17:02:00+00:00
sindresorhus/p-locate,74265632,51.336,,2,,,11,4,,,18,2026-05-17,sindresorhus,30,2026-05-17T23:43:39+00:00
sindresorhus/tagged-tag,795552264,,,0,,,1,3,,,12,2026-05-03,sindresorhus,4,2026-05-03T17:01:50+00:00
taiki-e/pin-project,164668916,0.098,256.256,22,,,44,494,,,464,2026-05-03,taiki-e,2189,2026-05-03T17:02:13+00:00
urllib3/urllib3,2410676,1.099,77.332,935,,,1673,919,,,1434,2026-05-03,sethmlarson,4920,2026-05-03T17:03:29+00:00
webreflection/html-escaper,33597730,,0.354,1,,,9,0,,,39,2026-05-03,WebReflection,43,2026-05-03T17:02:14+00:00
