repo,repo_id,cve_count_5y,cve_ids_5y,packages_queried,fetched_at
7rulnik/source-map-js,330043541,0,,npm:source-map-js,2026-05-03T15:43:08+00:00
acornjs/acorn,5932749,0,,"npm:acorn,npm:acorn-walk,npm:acorn-loose",2026-05-03T15:43:10+00:00
acornjs/acorn-jsx,22187098,0,,npm:acorn-jsx,2026-05-03T15:43:08+00:00
adobe/react-spectrum,208362715,0,,"npm:@react-types/shared,npm:@react-aria/ssr,npm:@react-aria/utils,npm:@react-aria/interactions,npm:@react-stately/utils,npm:@react-stately/flags,npm:@react-aria/focus,npm:@internationalized/date,npm:@internationalized/number,npm:@react-types/overlays,npm:@react-stately/form,npm:@internationalized/string,npm:@react-aria/i18n,npm:@react-types/button,npm:@internationalized/message,npm:@react-stately/collections,npm:@react-stately/overlays,npm:@react-aria/form,npm:@react-aria/visually-hidden,npm:@react-types/checkbox",2026-05-03T15:43:27+00:00
agronholm/anyio,145337588,0,,PyPI:anyio,2026-05-03T15:43:08+00:00
agronholm/exceptiongroup,447694800,0,,PyPI:exceptiongroup,2026-05-03T15:43:08+00:00
ai/nanoid,99401299,2,"CVE-2021-23566,CVE-2024-55565",npm:nanoid,2026-05-03T15:43:08+00:00
aio-libs/aiobotocore,36618494,0,,PyPI:aiobotocore,2026-05-03T15:43:08+00:00
aio-libs/aiosignal,205007356,0,,PyPI:aiosignal,2026-05-03T15:43:08+00:00
aio-libs/async-timeout,67703198,0,,PyPI:async-timeout,2026-05-03T15:43:08+00:00
aio-libs/frozenlist,204197530,0,,PyPI:frozenlist,2026-05-03T15:43:08+00:00
aio-libs/propcache,866565706,0,,PyPI:propcache,2026-05-03T15:43:08+00:00
aio-libs/yarl,64756820,0,,PyPI:yarl,2026-05-03T15:43:08+00:00
ajv-validator/ajv,35914020,1,CVE-2020-15366,npm:ajv,2026-05-03T15:43:08+00:00
ajv-validator/ajv-formats,281084700,0,,npm:ajv-formats,2026-05-03T15:43:08+00:00
alexcrichton/tar-rs,21946092,2,"CVE-2018-20990,CVE-2021-38511",crates.io:tar,2026-05-03T15:43:08+00:00
alexei/sprintf.js,9175790,0,,npm:sprintf-js,2026-05-03T15:43:08+00:00
alexeyraspopov/picocolors,410740124,0,,npm:picocolors,2026-05-03T15:43:08+00:00
alexhuszagh/rust-lexical,155286170,2,"GHSA-2326-pfpj-vx3h,GHSA-c2hm-mjxv-89r4","crates.io:lexical-util,crates.io:lexical-parse-integer,crates.io:lexical-core,crates.io:lexical-write-integer,crates.io:lexical-parse-float,crates.io:lexical-write-float,crates.io:lexical",2026-05-03T15:43:14+00:00
alexindigo/asynckit,59087459,0,,npm:asynckit,2026-05-03T15:43:08+00:00
amanieu/parking_lot,58731560,1,CVE-2020-35910,"crates.io:parking_lot_core,crates.io:lock_api,crates.io:parking_lot",2026-05-03T15:43:11+00:00
andialbrecht/sqlparse,4067434,3,"CVE-2021-32839,CVE-2023-30608,CVE-2024-4340",PyPI:sqlparse,2026-05-03T15:43:09+00:00
andrewrk/node-pend,11836813,0,,npm:pend,2026-05-03T15:43:09+00:00
andyperlitch/jsbn,9710533,0,,npm:jsbn,2026-05-03T15:43:09+00:00
annotated-types/annotated-types,487934134,0,,PyPI:annotated-types,2026-05-03T15:43:09+00:00
antonk52/lilconfig,238967485,1,CVE-2024-21537,npm:lilconfig,2026-05-03T15:43:09+00:00
apache/airflow,33884891,90,"BIT-airflow-2020-13927,BIT-airflow-2020-13944,BIT-airflow-2020-17515,BIT-airflow-2020-17526,BIT-airflow-2021-26559,BIT-airflow-2021-26697,BIT-airflow-2021-28359,BIT-airflow-2021-35936,BIT-airflow-2021-38540,BIT-airflow-2021-45229,BIT-airflow-2021-45230,BIT-airflow-2022-24288,BIT-airflow-2022-27949,BIT-airflow-2022-38054,BIT-airflow-2022-38170,BIT-airflow-2022-38649,BIT-airflow-2022-40127,BIT-airflow-2022-40189,BIT-airflow-2022-40604,BIT-airflow-2022-40754,BIT-airflow-2022-40954,BIT-airflow-2022-41672,BIT-airflow-2022-43982,BIT-airflow-2022-43985,BIT-airflow-2022-45402,BIT-airflow-2022-46651,BIT-airflow-2023-22884,BIT-airflow-2023-22887,BIT-airflow-2023-22888,BIT-airflow-2023-25695,BIT-airflow-2023-25754,BIT-airflow-2023-29247,BIT-airflow-2023-35005,BIT-airflow-2023-35908,BIT-airflow-2023-36543,BIT-airflow-2023-37379,BIT-airflow-2023-39441,BIT-airflow-2023-39508,BIT-airflow-2023-40273,BIT-airflow-2023-40611,BIT-airflow-2023-40712,BIT-airflow-2023-42663,BIT-airflow-2023-42780,BIT-airflow-2023-42781,BIT-airflow-2023-42792,BIT-airflow-2023-45348,BIT-airflow-2023-46215,BIT-airflow-2023-46288,BIT-airflow-2023-47037,BIT-airflow-2023-47265,BIT-airflow-2023-48291,BIT-airflow-2023-49920,BIT-airflow-2023-50783,BIT-airflow-2023-50943,BIT-airflow-2023-50944,BIT-airflow-2023-51702,BIT-airflow-2024-25142,BIT-airflow-2024-26280,BIT-airflow-2024-27906,BIT-airflow-2024-28746,BIT-airflow-2024-29735,BIT-airflow-2024-31869,BIT-airflow-2024-32077,BIT-airflow-2024-39863,BIT-airflow-2024-39877,BIT-airflow-2024-41937,BIT-airflow-2024-45034,BIT-airflow-2024-45498,BIT-airflow-2024-45784,BIT-airflow-2024-50378,BIT-airflow-2025-54831,BIT-airflow-2025-54941,BIT-airflow-2025-62402,BIT-airflow-2025-62503,BIT-airflow-2025-66388,CVE-2017-12614,CVE-2022-38362,CVE-2023-25691,CVE-2023-25692,CVE-2023-25956,CVE-2023-28707,CVE-2023-33234,CVE-2023-35798,CVE-2023-39553,CVE-2024-29733,CVE-2024-42447,CVE-2024-45033,CVE-2025-27018,CVE-2025-30473,CVE-2025-50213","PyPI:apache-airflow,PyPI:apache-airflow-providers-common-compat,PyPI:apache-airflow-providers-common-sql,PyPI:apache-airflow-core,PyPI:apache-airflow-task-sdk,PyPI:apache-airflow-providers-apache-cassandra,PyPI:apache-airflow-providers-snowflake,PyPI:apache-airflow-providers-cncf-kubernetes,PyPI:apache-airflow-providers-ssh,PyPI:apache-airflow-providers-google,PyPI:apache-airflow-providers-databricks,PyPI:apache-airflow-providers-mysql,PyPI:apache-airflow-providers-http,PyPI:apache-airflow-providers-sqlite,PyPI:apache-airflow-providers-fab,PyPI:apache-airflow-providers-ftp,PyPI:apache-airflow-providers-imap,PyPI:apache-airflow-providers-slack,PyPI:apache-airflow-providers-amazon,PyPI:apache-airflow-providers-common-io,PyPI:apache-airflow-providers-smtp,PyPI:apache-airflow-providers-docker,PyPI:apache-airflow-providers-postgres,PyPI:apache-airflow-providers-microsoft-mssql,PyPI:apache-airflow-providers-sftp,PyPI:apache-airflow-providers-airbyte,PyPI:apache-airflow-providers-microsoft-azure,PyPI:apache-airflow-providers-standard",2026-05-03T15:43:38+00:00
apache/arrow,51905353,4,"CVE-2019-12408,CVE-2019-12410,CVE-2023-47248,CVE-2024-52338",PyPI:pyarrow,2026-05-03T15:43:09+00:00
apache/arrow-rs,358917250,3,"GHSA-h588-76vg-prgj,GHSA-qgrp-8f3v-q85p,GHSA-r7cj-wmwv-hfw5","crates.io:arrow-schema,crates.io:arrow-buffer,crates.io:arrow-data,crates.io:arrow-array,crates.io:arrow-select,crates.io:arrow,crates.io:arrow-cast,crates.io:arrow-ipc,crates.io:arrow-ord,crates.io:parquet,crates.io:arrow-arith,crates.io:arrow-string,crates.io:arrow-row,crates.io:arrow-csv,crates.io:arrow-json,crates.io:arrow-flight,crates.io:arrow-pyarrow,crates.io:parquet-variant,crates.io:parquet-variant-json,crates.io:parquet-variant-compute,crates.io:parquet-geospatial",2026-05-03T15:43:29+00:00
ardatan/graphql-tools,54432168,0,,"npm:@graphql-tools/utils,npm:@graphql-tools/merge,npm:@graphql-tools/schema,npm:cross-inspect,npm:@graphql-tools/load,npm:@graphql-tools/import,npm:@graphql-tools/relay-operation-optimizer,npm:@ardatan/relay-compiler,npm:@graphql-tools/optimize,npm:@graphql-tools/graphql-file-loader,npm:@graphql-tools/url-loader,npm:@graphql-tools/graphql-tag-pluck,npm:@graphql-tools/json-file-loader,npm:@graphql-tools/executor,npm:@graphql-tools/code-file-loader,npm:@graphql-tools/executor-legacy-ws,npm:@graphql-tools/apollo-engine-loader,npm:graphql-tools,npm:@graphql-tools/mock",2026-05-03T15:43:27+00:00
ardatan/whatwg-node,429511342,0,,"npm:@whatwg-node/promise-helpers,npm:@whatwg-node/node-fetch,npm:@whatwg-node/fetch,npm:@whatwg-node/disposablestack,npm:@whatwg-node/events",2026-05-03T15:43:13+00:00
assert-rs/snapbox,424722460,0,,"crates.io:snapbox,crates.io:trycmd,crates.io:snapbox-macros",2026-05-03T15:43:11+00:00
astral-sh/ruff,523043277,0,,PyPI:ruff,2026-05-03T15:43:09+00:00
aws/aws-cli,6780767,0,,PyPI:awscli,2026-05-03T15:43:09+00:00
aws/aws-sdk-js-crypto-helpers,149673986,0,,"npm:@aws-crypto/util,npm:@aws-crypto/sha256-js,npm:@aws-crypto/supports-web-crypto,npm:@aws-crypto/sha256-browser,npm:@aws-crypto/crc32,npm:@aws-crypto/crc32c,npm:@aws-crypto/sha1-browser",2026-05-03T15:43:15+00:00
