repo,platform,gh_stars,gl_stars,ecosystems,packages,ecosystem,top_eco_pkg,downloads_npm,downloads_pypi,downloads_crates,downloads_debian,downloads_homebrew,pagerank_npm,pagerank_pypi,pagerank_crates,pagerank_cpp,top_eco_pct,pr_score,openssf_crit,eco_crit,value_score,active_contributors_git_5y,dormant,bf_commits_git_5y,hhi_commits_git_5y,loc_eoy,cyclomatic_max,openssf_score,cve_count_5y,issues_opened_5y,issues_closed_5y,net_new_issues_5y,concentration,complexity,security,workload,risk_score,license,license_source,eol,archived,gh_sponsors_enabled,gh_sponsorships_in,gh_sponsorships_out,gh_sponsorships,has_funding_yml,has_funding_json,has_funding_links,has_npm_funding,has_pypi_funding,bf_maintainer_fundable,paypal,oc_slug,host,host_type,owner,owner_type,oss,intent,nonprofit,active,eligible,score,priority,repo_id
evanw/esbuild,github,39865,,npm,22,npm,esbuild,3017606944,,,,,0.000703,,,,39.34,61.70,60.46,100,66.38,99,0,1,8986,191251,246,3.8,1,3309,2841,468,94.79,93.33,75.48,87.68,87.47,mit,registry,False,False,False,0,0,0,False,False,False,False,False,False,,,,,,,True,False,True,True,False,76.20,,gh/61137153
pyca/cryptography,github,7565,,pypi,1,pypi,cryptography,,2625325884,,,,,0.009553,,,63.52,81.63,65.91,100,74.06,152,0,1,4211,102422,110,8.4,16,1209,1190,19,64.89,87.63,95.22,63.98,76.72,apache-2.0 or bsd-3-clause,registry,False,False,False,0,0,0,False,False,False,False,False,False,,,,,,,True,False,True,True,False,75.38,,gh/11939484
moment/moment,github,47987,,npm,1,npm,moment,1040907651,,,,,0.000325,,,,25.10,56.63,59.29,100,63.75,13,0,1,4044,331855,1326,2.6,2,353,177,176,63.59,96.80,98.10,97.11,87.51,mit,registry,False,False,False,0,0,0,False,False,False,False,False,False,,,lf/openjs,nonprofit,,,True,True,True,True,True,74.69,1,gh/1424470
websockets/ws,github,22742,,npm,1,npm,ws,3615427869,,,,,0.000930,,,,44.54,63.54,61.40,100,67.65,27,0,1,7984,15640,65,5.5,2,340,261,79,89.35,75.28,82.06,82.82,82.23,mit,registry,False,False,False,0,0,0,True,False,True,False,False,True,,,,,,,True,True,True,True,True,74.58,2,gh/2744972
takluyver/jeepney,gitlab,,27,pypi,1,pypi,jeepney,,474476790,,,,,0.001102,,,26.37,67.13,,100,73.37,6,0,1,8248,5315,22,3.8,0,22,14,8,90.82,57.08,75.48,78.96,74.55,mit,gitlab,False,False,,,0,0,False,False,False,False,False,False,,,,,,,True,False,True,True,False,73.96,,gl/2780772
estools/escodegen,github,2687,,npm,1,npm,escodegen,1481377855,,,,,0.000406,,,,29.33,58.09,48.13,100,57.62,1,0,1,10000,133461,170,2.9,0,20,10,10,100.00,90.64,95.77,91.58,94.43,bsd-2-clause,registry,False,False,False,0,0,0,False,False,False,False,False,False,,,,,,,True,False,True,True,False,73.76,,gh/3611422
lxml/lxml,github,3018,,pypi,1,pypi,lxml,,972178914,,,,,0.001770,,,31.91,70.31,59.74,100,66.07,60,0,1,7999,42839,48,6.4,6,,,,89.44,77.90,89.47,69.12,81.02,bsd-3-clause,registry,False,False,False,0,0,0,True,False,True,False,False,True,,,,,,,True,True,True,True,True,73.16,3,gh/1353927
terser/terser,github,9278,,npm,1,npm,terser,1580429761,,,,,0.000464,,,,31.73,58.96,59.50,100,64.77,60,0,1,6539,109992,256,5.9,1,565,395,170,80.86,91.53,72.49,86.78,82.60,bsd-2-clause,registry,False,False,False,0,0,0,True,False,True,False,False,True,,terser,,,,,True,True,True,True,True,73.14,4,gh/29097127
serde-rs/serde,github,10564,,crates,5,crates,serde,,,315477292,,,,,0.110751,,88.92,92.68,62.29,100,75.53,67,0,1,5754,42608,73,5.6,0,666,529,137,75.86,81.55,50.00,78.90,70.29,mit or apache-2.0,registry,False,False,False,0,0,0,True,False,True,False,False,True,,,,,,,True,True,True,True,True,72.86,5,gh/14367737
retep998/winapi-rs,github,1926,,crates,6,crates,winapi,,,143421743,,,,,0.002858,,37.65,71.78,46.74,100,58.99,1,0,1,10000,200727,22,2.7,0,70,24,46,100.00,72.26,97.36,91.95,89.68,mit,registry,False,False,False,0,0,0,True,False,True,False,False,False,,,,,,,True,True,True,True,True,72.73,6,gh/23853482
xtuc/webassemblyjs,github,831,,npm,18,npm,@webassemblyjs/helper-wasm-bytecode,17039787527,,,,,0.006294,,,,81.28,76.14,47.04,100,63.97,12,0,1,3716,39324,2705,2.6,0,29,14,15,60.96,89.19,98.10,83.50,81.69,mit,registry,False,False,False,0,0,0,False,False,False,False,False,False,,,,,,,True,False,True,True,False,72.29,,gh/113006071
microsoft/windows-rs,github,12133,,crates,24,crates,windows-sys,,,1095131498,,,,,0.027628,,83.03,84.75,52.27,100,68.14,72,0,1,6703,2272898,45,6.4,1,1545,1537,8,81.87,84.95,72.49,67.97,76.51,mit or apache-2.0,registry,False,False,False,0,1,1,False,False,False,False,False,False,,,,,microsoft.com,company,True,True,False,True,False,72.20,,gh/208102250
dtolnay/syn,github,3310,,crates,3,crates,syn,,,245631912,,,,,0.020811,,71.36,83.13,57.44,100,69.91,37,0,1,9306,68824,93,5.8,0,371,347,24,96.47,85.10,50.00,74.95,74.48,mit or apache-2.0,registry,False,False,True,126,0,126,True,False,True,False,False,True,,,,,,,True,True,True,True,True,72.16,7,gh/67305738
crossbeam-rs/crossbeam,github,8421,,crates,7,crates,crossbeam-utils,,,331443396,,,,,0.004188,,43.58,73.97,56.37,100,65.58,50,0,1,5381,44558,29,6.3,9,199,153,46,73.36,72.42,91.87,79.26,78.87,mit or apache-2.0,registry,False,False,False,0,0,0,False,False,False,False,False,True,,,,,,,True,True,True,True,True,71.92,8,gh/35566048
paramiko/paramiko,github,9738,,pypi,1,pypi,paramiko,,589663134,,,,,0.001201,,,27.51,67.71,55.38,100,62.75,33,0,1,6676,31595,39,4.6,3,533,274,259,81.71,74.21,85.17,88.56,82.24,lgpl-2.1,registry,False,False,False,0,0,0,True,False,True,False,False,True,,,,,,,True,True,True,True,True,71.84,9,gh/119609
gnutls/gnutls,gitlab,,325,cpp,1,cpp,gnutls,,,,193022,1550257,,,,0.002157,32.57,59.10,,100,72.92,97,0,1,3535,574016,120,5.3,0,513,353,160,59.46,92.30,50.00,85.33,69.56,gpl-3.0,github,False,False,,,0,0,False,False,False,False,False,False,,,,,,,True,False,True,True,False,71.22,,gl/179611
sqlalchemy/sqlalchemy,github,11798,,pypi,1,pypi,sqlalchemy,,1194988539,,,,,0.002534,,,40.31,72.72,64.18,100,69.81,372,0,1,4397,614291,73,6.2,1,2602,2564,38,66.31,89.14,72.49,63.67,72.27,mit,registry,False,False,True,24,0,24,True,False,True,False,False,False,,,,,,,True,True,True,True,True,71.03,10,gh/159271175
toml-rs/toml,github,1029,,crates,7,crates,toml,,,295175349,,,,,0.006497,,54.69,76.48,59.65,100,68.91,56,0,1,8813,47453,79,7.8,0,319,276,43,93.88,83.03,50.00,72.99,73.03,mit or apache-2.0,registry,False,False,False,0,0,0,True,False,True,False,False,True,,,,,,,True,True,True,True,True,70.94,11,gh/95902102
tqdm/tqdm,github,31135,,pypi,1,pypi,tqdm,,1023857821,,,,,0.001897,,,33.19,70.78,55.90,100,63.94,28,0,1,7519,9028,47,5.8,2,320,99,221,86.71,69.22,82.06,76.99,78.47,mpl-2.0 and mit,override,False,False,True,12,0,12,True,False,True,False,False,True,,,,,,,True,True,True,True,True,70.83,12,gh/36804486
