person_id,platform,login,user_id,name,emails,profile_url,company,bio,owner_repo_ids,key_contributor_repo_ids,funding_yml_maintainer_repo_ids,ecosystem_maintainer_repo_ids,curated_override_reason,repo_ids,repo_count,has_sponsors_listing
crates/31684,crates,Alexhuszagh,31684,Alexander Huszagh,,https://crates.io/users/Alexhuszagh,,,,,,gh/155286170,,gh/155286170,1,
crates/4778,crates,AltSysrq,4778,Jason Lingle,,https://crates.io/users/AltSysrq,,,,,,gh/94702898,,gh/94702898,1,
crates/2915,crates,Amanieu,2915,Amanieu d'Antras,,https://crates.io/users/Amanieu,,,,,,gh/155119796|gh/35566048|gh/58731560,,gh/155119796|gh/35566048|gh/58731560,3,
crates/189,crates,BurntSushi,189,Andrew Gallant,,https://crates.io/users/BurntSushi,,,,,,gh/123997498|gh/141345580|gh/146040682|gh/17559913|gh/27890669|gh/37290652|gh/37290678|gh/42685794|gh/759017108|gh/78375612,,gh/123997498|gh/141345580|gh/146040682|gh/17559913|gh/27890669|gh/37290652|gh/37290678|gh/42685794|gh/759017108|gh/78375612,10,
crates/980,crates,Byron,980,Sebastian Thiel,,https://crates.io/users/Byron,,,,,,gh/136510559|gh/21954009|gh/26042019,,gh/136510559|gh/21954009|gh/26042019,3,
crates/1079,crates,Centril,1079,Mazdak Farrokhzad,,https://crates.io/users/Centril,,,,,,gh/94702898,,gh/94702898,1,
crates/6741,crates,Darksonn,6741,Alice Ryhl,,https://crates.io/users/Darksonn,,,,,,gh/30062547|gh/67836789,,gh/30062547|gh/67836789,2,
crates/92139,crates,Dirbaio,92139,Dario Nieuwenhuis,,https://crates.io/users/Dirbaio,,,,,,gh/365854323,,gh/365854323,1,
crates/186239,crates,DouglasDwyer,186239,Douglas Dwyer,,https://crates.io/users/DouglasDwyer,,,,,,gh/668034655,,gh/668034655,1,
crates/10555,crates,Frommi,10555,,,https://crates.io/users/Frommi,,,,,,gh/96124162,,gh/96124162,1,
crates/111,crates,GuillaumeGomez,111,Guillaume Gomez,,https://crates.io/users/GuillaumeGomez,,,,,,gh/127254922,,gh/127254922,1,
crates/350,crates,Hoverbear,350,Ana Hobden,,https://crates.io/users/Hoverbear,,,,,,gh/14934771,,gh/14934771,1,
crates/51017,crates,JohnTitor,51017,Yuki Okushi,,https://crates.io/users/JohnTitor,,,,,,gh/15992970|gh/29197565,,gh/15992970|gh/29197565,2,
crates/394,crates,Kimundi,394,Marvin Löbel,,https://crates.io/users/Kimundi,,,,,,gh/21157492|gh/41272773,,gh/21157492|gh/41272773,2,
crates/3204,crates,KodrAus,3204,Ashley Mannix,,https://crates.io/users/KodrAus,,,,,,gh/157205610|gh/27974762|gh/29287955|gh/33832372,,gh/157205610|gh/27974762|gh/29287955|gh/33832372,4,
crates/7211,crates,Lokathor,7211,Lokathor,,https://crates.io/users/Lokathor,,,,,,gh/209673558,,gh/209673558,1,
crates/1139,crates,Manishearth,1139,Manish Goregaokar,,https://crates.io/users/Manishearth,,,,,,gh/243395141|gh/34637906|gh/90591032,,gh/243395141|gh/34637906|gh/90591032,3,
crates/2155,crates,Ms2ger,2155,,,https://crates.io/users/Ms2ger,,,,,,gh/33456236,,gh/33456236,1,
crates/3173,crates,Peternator7,3173,Peter Glotfelty,,https://crates.io/users/Peternator7,,,,,,gh/80964373,,gh/80964373,1,
crates/5799,crates,RReverser,5799,Ingvar Stepanyan,,https://crates.io/users/RReverser,,,,,,gh/114685405,,gh/114685405,1,
crates/7,crates,SimonSapin,7,Simon Sapin,,https://crates.io/users/SimonSapin,,,,,,gh/14934771|gh/33456236|gh/33499190|gh/34637906,,gh/14934771|gh/33456236|gh/33499190|gh/34637906,4,
crates/280,crates,Stebalien,280,Steven Allen,,https://crates.io/users/Stebalien,,,,,,gh/33832372,,gh/33832372,1,
