repo,platform,ecosystem,top_eco_pkg,top_eco_pct,pr_score,openssf_crit,eco_crit,value_score,concentration,complexity,security,workload,risk_score,score,oss,intent,nonprofit,active,eligible,priority,eco_priority,repo_id
evanw/esbuild,github,npm,esbuild,39.34,61.70,60.46,100,66.38,94.79,93.34,75.40,87.69,87.46,76.19,True,False,True,True,False,,,gh/61137153
pyca/cryptography,github,pypi,cryptography,63.52,81.63,65.91,100,74.06,64.89,87.64,95.22,63.94,76.71,75.37,True,False,True,True,False,,,gh/11939484
moment/moment,github,npm,moment,25.10,56.63,59.29,100,63.75,63.59,96.81,98.10,97.11,87.51,74.69,True,True,True,True,True,1,1,gh/1424470
websockets/ws,github,npm,ws,44.54,63.54,61.40,100,67.65,89.35,75.24,82.06,82.80,82.21,74.58,True,True,True,True,True,2,2,gh/2744972
takluyver/jeepney,gitlab,pypi,jeepney,26.37,67.13,,100,73.37,90.82,57.07,75.40,78.91,74.52,73.94,True,False,True,True,False,,,gl/2780772
estools/escodegen,github,npm,escodegen,29.33,58.09,48.13,100,57.62,100.00,90.65,95.78,91.59,94.43,73.76,True,False,True,True,False,,,gh/3611422
lxml/lxml,github,pypi,lxml,31.91,70.31,59.74,100,66.07,89.44,77.92,89.47,69.10,81.02,73.16,True,True,True,True,True,3,1,gh/1353927
terser/terser,github,npm,terser,31.73,58.96,59.50,100,64.77,80.86,91.54,72.49,86.79,82.61,73.15,True,True,True,True,True,4,3,gh/29097127
serde-rs/serde,github,crates,serde,88.92,92.68,62.29,100,75.53,75.86,81.57,50.00,78.85,70.28,72.86,True,True,True,True,True,5,1,gh/14367737
retep998/winapi-rs,github,crates,winapi,37.65,71.78,46.74,100,58.99,100.00,72.29,97.36,91.96,89.69,72.74,True,True,True,True,True,6,2,gh/23853482
xtuc/webassemblyjs,github,npm,@webassemblyjs/helper-wasm-bytecode,81.28,76.14,47.04,100,63.97,60.96,89.20,98.10,83.48,81.69,72.29,True,False,True,True,False,,,gh/113006071
microsoft/windows-rs,github,crates,windows-sys,83.03,84.75,52.27,100,68.14,81.87,84.97,72.49,67.96,76.51,72.20,True,True,False,True,False,,,gh/208102250
dtolnay/syn,github,crates,syn,71.36,83.13,57.44,100,69.91,96.47,85.11,50.00,74.93,74.47,72.15,True,True,True,True,True,7,3,gh/67305738
crossbeam-rs/crossbeam,github,crates,crossbeam-utils,43.58,73.97,56.37,100,65.58,73.36,72.45,91.87,79.21,78.86,71.91,True,True,True,True,True,8,4,gh/35566048
paramiko/paramiko,github,pypi,paramiko,27.51,67.71,55.38,100,62.75,81.71,74.23,85.17,88.53,82.24,71.84,True,True,True,True,True,9,2,gh/119609
gnutls/gnutls,gitlab,cpp,gnutls,32.57,59.10,,100,72.92,59.46,92.31,50.00,85.31,69.56,71.22,True,False,True,True,False,,,gl/179611
sqlalchemy/sqlalchemy,github,pypi,sqlalchemy,40.31,72.72,64.18,100,69.81,66.31,89.15,72.49,63.62,72.26,71.02,True,True,True,True,True,10,3,gh/159271175
toml-rs/toml,github,crates,toml,54.69,76.48,59.65,100,68.91,93.88,83.05,50.00,72.94,73.02,70.94,True,True,True,True,True,11,5,gh/95902102
tqdm/tqdm,github,pypi,tqdm,33.19,70.78,55.90,100,63.94,86.71,69.20,82.06,76.97,78.46,70.83,True,True,True,True,True,12,4,gh/36804486
eemeli/yaml,github,npm,yaml,32.39,59.14,54.71,100,61.98,96.05,81.98,72.49,74.69,80.80,70.77,True,True,True,True,True,13,4,gh/119439276
ljharb/qs,github,npm,qs,47.85,64.21,59.50,100,66.91,81.58,68.35,82.06,66.31,74.22,70.47,True,True,True,True,True,14,5,gh/22266795
yaml/libyaml,github,cpp,libyaml,25.66,55.14,50.44,100,58.34,86.90,82.21,79.41,90.48,84.64,70.27,True,True,True,True,True,15,1,gh/2699072
rust-lang/regex,github,crates,regex,58.31,78.17,60.96,100,70.22,80.86,84.50,72.49,49.30,70.30,70.26,True,True,True,True,True,16,6,gh/27890669
pallets/jinja,github,pypi,jinja2,47.08,75.12,57.09,100,66.47,69.98,74.26,91.63,63.35,74.11,70.19,True,True,True,True,True,17,5,gh/994551
aws/aws-sdk-js-v3,github,npm,@aws-sdk/types,80.08,75.70,64.52,100,74.29,78.25,96.03,50.00,50.43,65.98,70.01,True,True,False,True,False,,,gh/87228090
bytecodealliance/rustix,github,crates,rustix,32.62,70.24,54.69,100,63.10,84.47,84.25,72.49,70.44,77.64,69.99,True,True,True,True,True,18,7,gh/295544240
nodeca/js-yaml,github,npm,js-yaml,50.84,65.09,56.53,100,65.51,60.61,74.98,72.49,94.08,74.61,69.91,True,True,True,True,True,19,6,gh/2504175
vuejs/core,github,npm,@vue/shared,41.39,62.40,65.04,100,69.40,52.29,90.86,72.49,70.90,70.30,69.85,True,True,True,True,True,20,7,gh/137078487
prettier/prettier,github,npm,prettier,33.26,59.48,68.38,100,70.30,63.77,91.70,50.00,77.83,69.07,69.68,True,True,True,True,True,21,8,gh/75104123
zloirock/core-js,github,npm,core-js,54.17,66.28,61.35,100,68.85,95.33,92.82,64.94,42.96,70.49,69.67,True,True,True,True,True,22,9,gh/11481338
nodeca/argparse,github,npm,argparse,58.31,67.93,41.60,100,57.58,100.00,67.29,80.99,90.11,83.71,69.43,True,True,True,True,True,23,10,gh/4325614
rust-lang/futures-rs,github,crates,futures,67.46,82.47,54.56,100,67.73,55.79,73.64,87.32,70.92,71.02,69.36,True,True,True,True,True,24,8,gh/55077261
time-rs/time,github,crates,time,34.72,71.07,54.65,100,63.37,91.35,75.15,72.49,65.95,75.69,69.26,True,True,True,True,True,25,9,gh/26459635
lz4/lz4,github,cpp,lz4,45.72,67.36,56.41,100,65.15,64.37,84.06,85.17,62.99,73.40,69.15,True,False,True,True,False,,,gh/18106269
facebook/regenerator,github,npm,regenerator-runtime,48.69,64.58,52.21,100,62.65,75.80,79.36,64.94,86.38,76.22,69.10,True,True,False,False,False,,,gh/13346571
jonschlinkert/kind-of,github,npm,kind-of,66.61,70.94,44.17,100,60.26,100.00,51.73,92.71,82.00,79.19,69.08,True,True,True,True,True,26,11,gh/24491562
chardet/chardet,github,pypi,chardet,29.44,68.66,55.96,100,63.39,83.49,89.50,50.00,85.83,75.25,69.07,True,False,True,True,False,,,gh/5196969
jridgewell/sourcemaps,github,npm,@jridgewell/sourcemap-codec,78.46,74.89,52.02,100,66.55,94.02,62.22,72.12,61.81,71.46,68.96,True,False,True,True,False,,,gh/897142826
giampaolo/psutil,github,pypi,psutil,32.81,70.69,60.06,100,66.39,80.67,82.36,50.00,78.80,71.53,68.91,True,True,True,True,True,27,6,gh/20101515
libexpat/libexpat,github,cpp,expat,29.70,57.51,59.05,100,64.15,74.22,81.87,97.37,50.59,73.97,68.89,True,True,True,True,True,28,2,gh/80314213
pypa/setuptools,github,pypi,setuptools,58.21,80.48,62.15,100,71.16,36.30,91.91,87.32,65.52,66.10,68.58,True,True,True,True,True,29,7,gh/54980593
