"package","github_repo"
"2captcha-python","2captcha/2captcha-python"
"a2wsgi","abersheeran/a2wsgi"
"aadict","metagriffin/aadict"
"about-time","rsalmei/about-time"
"absl-py","abseil/abseil-py"
"acachecontrol","mastersergius/acachecontrol"
"accelerate","huggingface/accelerate"
"accesscontrol","zopefoundation/accesscontrol"
"accessible-pygments","quansight-labs/accessible-pygments"
"accumulation-tree","tkluck/accumulation_tree"
"acquisition","zopefoundation/acquisition"
"acryl-sqlglot","tobymao/sqlglot"
"adagio","fugue-project/adagio"
"adal","azuread/azure-activedirectory-library-for-python"
"addict","mewwts/addict"
"adjusttext","phlya/adjusttext"
"adtk","arundo/adtk"
"aenum","ethanfurman/aenum"
"affine","rasterio/affine"
"agate","wireservice/agate"
"aggdraw","pytroll/aggdraw"
"ahocorapy","abusix/ahocorapy"
"aio-pika","mosquito/aio-pika"
"aiobotocore","aio-libs/aiobotocore"
"aiocache","aio-libs/aiocache"
"aiocontextvars","fantix/aiocontextvars"
"aiodataloader","syrusakbary/aiodataloader"
"aiofile","mosquito/aiofile"
"aiofiles","tinche/aiofiles"
"aiogram","aiogram/aiogram"
"aiohappyeyeballs","aio-libs/aiohappyeyeballs"
"aiohttp","aio-libs/aiohttp"
"aiohttp-cors","aio-libs/aiohttp-cors"
"aiohttp-socks","romis2012/aiohttp-socks"
"aiohttp-sse-client","rtfol/aiohttp-sse-client"
"aiojobs","aio-libs/aiojobs"
"aiokafka","aio-libs/aiokafka"
"aiolimiter","mjpieters/aiolimiter"
"aiomqtt","empicano/aiomqtt"
"aiomysql","aio-libs/aiomysql"
"aioopenssl","horazont/aioopenssl"
"aioquic","aiortc/aioquic"
"aiormq","mosquito/aiormq"
"aiorwlock","aio-libs/aiorwlock"
"aiosignal","aio-libs/aiosignal"
"aiosmtpd","aio-libs/aiosmtpd"
"aiostream","vxgmichel/aiostream"
"airbyte-api","airbytehq/airbyte-api-python-sdk"
"airbyte-cdk","airbytehq/airbyte-python-cdk"
"airflow-code-editor","andreax79/airflow-code-editor"
"airflow-dbt","gocardless/airflow-dbt"
"airflow-exporter","epoch8/airflow-exporter"
"airflow-provider-great-expectations","great-expectations/airflow-provider-great-expectations"
"ajsonrpc","pavlov99/ajsonrpc"
"akshare","akfamily/akshare"
"alabaster","sphinx-doc/alabaster"
"alchemy-mock","miki725/alchemy-mock"
"alembic","sqlalchemy/alembic"
