"package","avg_downloads","2021","2022","2023","2024","2025"
"boto3","9542726218","1865938335","4323548267","8395034985","16296381666","16832727837"
"urllib3","5471411478","2181355078","2894368933","4470730977","6956084729","10854517673"
"botocore","5144473449","1985684005","2781640538","3924053580","7008582704","10022406419"
"requests","4710720306","1479249205","2512925315","3819051975","6092110312","9650264722"
"setuptools","4396526259","1590965128","2519353759","3416792952","5592485480","8863033977"
"certifi","4348365957","1410689328","2085357758","3262446778","5493376240","9489959681"
"idna","4206538302","1527504494","2459966905","2967668336","5273508102","8804043674"
"typing-extensions","4103679283","979594688","2275013355","3191711621","5227839356","8844237395"
"charset-normalizer","4009336720","495735649","1967480047","3298620844","5271675667","9013171392"
"python-dateutil","3603968739","1497090367","1942612109","2585722391","4619852763","7374566067"
"s3transfer","3492350922","1562442358","2214330821","2874612685","4307284730","6503084016"
"six","3353305511","1800532062","1960330694","2337382099","3938212049","6730070649"
"packaging","3325191252","755774666","1337800800","2145941479","4736441473","7649997843"
"pyyaml","3002941970","1278085925","1807648981","2397637802","3986560867","5544776276"
"aiobotocore","2956990331","139136284","628875971","1590753894","4253928672","8172256834"
"numpy","2791761790","942566850","1450310825","2026892885","3621105444","5917932947"
"grpcio-status","2647854552","10408703","285579667","1581322214","3699558895","7662403279"
"cryptography","2625325884","671312867","1450576137","2216991617","3524519191","5263229610"
"pip","2583276286","1092140658","1345627512","1971335688","3821158354","4686119217"
"wheel","2512298844","1017581748","1495282310","2491794079","4112603107","3444232975"
"s3fs","2293443452","174989812","535501398","1375646457","3443564403","5937515190"
"cffi","2254338896","862172157","1131492644","1483431279","3012994995","4781603407"
"google-api-core","2236370926","567165009","1623981816","2342012496","2884891763","3763803545"
"click","2205629807","833749528","1581745532","1728827377","2646174092","4237652506"
"attrs","2164027857","801176349","1379422152","1503066727","2768261122","4368212935"
"fsspec","2163350501","271169237","560201671","1380110791","3481716484","5123554324"
"importlib-metadata","2162029974","708576062","1262728100","1843365701","2939464445","4056015560"
"pandas","2161090814","732517067","1121075234","1515840670","2839484621","4596536480"
"protobuf","2095199583","736470347","1101247511","1628408886","2564638849","4445232324"
"pycparser","2056716588","661768180","975360746","1297570866","2825433742","4523449406"
