"rank","package","pagerank","pagerank_dl","avg_downloads","in_top_list"
"1","glibc","0.019903788186055513","0.04763462966120604","0","False"
"2","actions/checkout","0.01563296133039371","0.018102036113674363","0","False"
"3","actions/setup-python","0.014227182713148896","0.0163567106731717","0","False"
"4","pytest","0.00751950596361993","0.011413843405010426","1257965673","True"
"5","python","0.006894578096503335","0.0018639575422867622","0","False"
"6","sphinx","0.005679537652650498","0.005791705864739002","254961427","True"
"7","peppercorn","0.005423161053876561","1.3681605017325109e-05","7686612","True"
"8","gcc","0.004646671715361981","0.008285554301042997","0","False"
"9","requests","0.004295355728593153","0.010608833104334994","4710720306","True"
"10","numpy","0.003664048269485129","0.006183790889002991","2791761790","True"
"11","libstdcxx","0.0035731984503229136","0.004861300352234944","0","False"
"12","pytest-cov","0.0033236095746443446","0.006691395091201309","454347196","True"
"13","coverage","0.0031995492567105386","0.005864286684638697","778493181","True"
"14","pypa/gh-action-pypi-publish","0.0030751897834601473","0.00393474834424626","0","False"
"15","actions/upload-artifact","0.002848807211450205","0.004781589646689249","0","False"
"16","flake8","0.0027296733631304595","0.0025744328671178673","301660028","True"
"17","six","0.002672076657282908","0.007226766501944268","3353305511","True"
"18","sphinx-rtd-theme","0.0026034632131471855","0.002629270577989846","60637163","True"
"19","nose","0.0022993626216582155","0.00028625657197367223","76747367","True"
"20","docutils","0.002076651823866148","0.003166098333473817","1202976876","True"
"21","typing-extensions","0.0020565024378270233","0.009554005745423236","4103679283","True"
"22","setuptools","0.0020112446059850457","0.009397598122807257","4396526259","True"
"23","django","0.001948165478910645","0.0008744294478386917","169367293","True"
"24","codecov/codecov-action","0.0018565250805187285","0.0020179731691935972","0","False"
"25","mypy","0.001752771695231756","0.0021843280700996016","308213675","True"
"26","black","0.0017305780927397115","0.002234847275899062","388590056","True"
"27","mock","0.0015931976661906215","0.002037763353191918","208663086","True"
"28","wheel","0.0015808655644506862","0.00827139419721303","2512298844","True"
"29","actions/download-artifact","0.001577946668604131","0.0036485839546985246","0","False"
"30","actions/cache","0.001555785365892507","0.0018287375431430542","0","False"
"31","twine","0.001555628695894116","0.0021698112769835787","93683739","True"
"32","re-actors/alls-green","0.0014446004623788818","0.005272615433859239","0","False"
"33","pandas","0.0014242093801613907","0.004722408672036289","2161090814","True"
"34","tox","0.001333891156379738","0.001747778800832267","155607065","True"
"35","pyyaml","0.00133328439099969","0.0059562586785250156","3002941970","True"
"36","packaging","0.0011753806668131856","0.006686930005836836","3325191252","True"
"37","flask","0.0011142877819830632","0.0019923730922536526","1008855329","True"
"38","ipdb","0.0011023013198115962","0.00046380459898452805","46871527","True"
"39","jinja2","0.001040908022917156","0.004069435083715441","1946778150","True"
"40","scipy","0.0010403407872694901","0.0020752997059016736","1018108220","True"
"41","importlib-metadata","0.0009915226960092375","0.004552460361659528","2162029974","True"
"42","pytest-asyncio","0.0009871182991674373","0.001123845970158587","197989651","True"
"43","python-dateutil","0.0009811416075484033","0.006946865516008415","3603968739","True"
"44","isort","0.0009379573046190928","0.0013398403313788986","425263600","True"
"45","click","0.0008990417523207288","0.005069199650083471","2205629807","True"
"46","lxml","0.0008916433134926059","0.001981404249054092","972178914","True"
"47","psutil","0.000862546427168697","0.0027958628610648107","1155983200","True"
"48","ubuntu","0.0008410453000378866","0.0006414767516622392","0","False"
"49","cython","0.0008050451003547169","0.0018517832483053406","464476878","True"
"50","aiohttp","0.0007683929281904168","0.0026056116529595713","1364411643","True"
"51","pyspark","0.0007663430351501158","0.0006082111648054471","323875686","True"
"52","matplotlib","0.0007204727542058487","0.0015643151916604695","613910572","True"
"53","future","0.0007145161463591205","0.0009062021789550576","459697066","True"
"54","nose-exclude","0.0007117989086614292","3.30667171918051e-06","0","False"
"55","pre-commit","0.000701512755163738","0.0012861215033935388","241306756","True"
"56","pillow","0.00069204781119003","0.0019966374489376873","1010238435","True"
"57","tomli","0.0006859048682567574","0.00268378654768014","1248457598","True"
"58","github/codeql-action/analyze","0.0006811909136927764","0.0010357584495677642","0","False"
"59","github/codeql-action/init","0.0006811909136927764","0.0010357584495677642","0","False"
"60","colorama","0.0006806558102627029","0.006097243975924709","1803062374","True"
"61","docker/setup-qemu-action","0.0006731301701537222","0.0011944529208083017","0","False"
"62","actions/github-script","0.0006669708488380527","0.0013898461666855136","0","False"
"63","sphinxcontrib-spelling","0.0006528506573877904","0.0001952996154601549","9536585","True"
"64","sphinx-prompt","0.0006513606599193975","0.0005440468965504986","2801125","True"
"65","github/codeql-action/autobuild","0.0006510971250206609","0.0010340468364266812","0","False"
"66","boto3","0.0006395540765840076","0.01726234104374085","9542726218","True"
"67","pytz","0.0006361328919037107","0.003972119990617575","1973381728","True"
"68","urllib3","0.0006245630624478312","0.010108284174902544","5471411478","True"
"69","build","0.0006172426280695781","0.002343528254747327","422144600","True"
"70","zlib","0.0006102798693885087","0.00045479350037769614","0","False"
"71","pygments","0.0006084129752206902","0.0027000454952945206","1272635800","True"
"72","pyobjc-core","0.0006016011568248048","4.714791347619364e-05","4811639","True"
"73","sphinxcontrib-blockdiag","0.0006005228970380963","3.8645665202095006e-05","0","False"
"74","sphinx-sitemap","0.0005966356075665636","4.1493598968652296e-05","1748123","True"
"75","ipython","0.0005856929110362031","0.00141470167613492","450997971","True"
"76","pytest-xdist","0.0005827894582542478","0.0008701810066296599","236766335","True"
"77","pyobjc-framework-coremedia","0.0005794504794409415","4.1382442311489767e-05","2409856","True"
"78","pyobjc-framework-avfoundation","0.0005794504794409415","4.135125977771566e-05","2392337","True"
"79","pyobjc-framework-accounts","0.0005794504794409415","4.1276025840986146e-05","2350069","True"
"80","pyobjc-framework-coreaudio","0.0005794504794409415","4.0773572146336836e-05","2067780","True"
"81","pyobjc-framework-contacts","0.0005794504794409415","4.062796525237078e-05","1985975","True"
"82","pylint","0.0005766337439484282","0.0007424515110933951","229166159","True"
"83","codecov","0.0005621969463801598","0.0002810717821091854","11310512","True"
"84","pyobjc-framework-quartz","0.0005515987594436201","3.898633119127501e-05","3295264","True"
"85","package-name","0.0005499220718866913","0.0014156565059506659","0","False"
"86","pyobjc-framework-cocoa","0.0005465448602300467","3.9707027638760066e-05","3825530","True"
"87","pyobjc-framework-coretext","0.0005465448602300467","3.710434094937864e-05","2273841","True"
"88","pyobjc-framework-coredata","0.0005465448602300467","3.6724037706617474e-05","2047109","True"
"89","pyobjc-framework-corelocation","0.0005465448602300466","3.664617125001363e-05","2000686","True"
"90","pyobjc-framework-metal","0.0005465448602300466","3.51836243967592e-05","1128734","True"
"91","mcr.microsoft.com/vscode/devcontainers/python","0.0005451119232692908","0.00041388875487604324","0","False"
"92","furo","0.0005442810697822844","0.0004932487267354305","8623110","True"
"93","postgres","0.0005370119352146962","0.00014638486533915257","1708018","True"
"94","actions/setup-node","0.0005343830001426153","0.00016647331302515548","0","False"
"95","pre-commit/action","0.0005212591541822321","0.00038406385871625124","0","False"
"96","pyparsing","0.0005159140762184905","0.0024839517807788637","1336544702","True"
"97","attrs","0.0005146796019696631","0.00413444204660715","2164027857","True"
"98","asn1crypto","0.0005130728943666184","0.0016693039784939465","721031611","True"
"99","pytest-mock","0.0005088463684673802","0.0008668704305653837","221932341","True"
"100","torch","0.0004991643332042423","0.000515575685670413","260000791","True"
"101","beautifulsoup4","0.0004971686324089117","0.0019660434004970043","981067694","True"
"102","cryptography","0.0004773000670725951","0.005461398993574625","2625325884","True"
"103","pluggy","0.0004750796173549846","0.0029928400134099724","1406797111","True"
"104","termcolor","0.00047345769880884715","0.0008883136346887907","410922629","True"
"105","protobuf","0.00047111173789427126","0.0038475460705380358","2095199583","True"
"106","sqlalchemy","0.0004641547031235966","0.0022257093135097865","1194988539","True"
"107","softprops/action-gh-release","0.0004614693364698338","0.0005323917109701619","0","False"
"108","actions/stale","0.0004555638701499227","0.00092695732337855","0","False"
"109","tqdm","0.0004514900514763943","0.0018837022933395277","1023857821","True"
"110","sphinx-copybutton","0.0004396339530005106","0.0003765275279409974","20148404","True"
"111","pycodestyle","0.0004227298590456596","0.0010083711232069053","444560109","True"
"112","psycopg2-binary","0.00041253022597634195","0.0013145576391488585","687046645","True"
"113","scikit-learn","0.00041247261169723626","0.0012660812349820799","676873250","True"
"114","stainless-api/trigger-release-please","0.00041234335272874006","0.00025293082770686844","0","False"
"115","pytest-django","0.0004120067385131944","0.00046395952923856064","43442214","True"
"116","psf/black","0.0004117402271579528","0.0006819645770929826","0","False"
"117","pip","0.0004061843393641873","0.004888091108499046","2583276286","True"
"118","flake8-bugbear","0.0004052572986232101","0.0002405590037409132","25530721","True"
"119","pdm-project/setup-pdm","0.00040433161484701815","0.001525514478892622","0","False"
"120","pytest-rerunfailures","0.0004036281814455551","0.0005512939652269929","81506959","True"
"121","coveralls","0.00040360105514764314","0.0002197658007840806","9969508","True"
"122","myst-parser","0.00039686936480379893","0.0001665899310110733","19966320","True"
"123","pytest-timeout","0.00039657320681837503","0.0003878297958322535","86104831","True"
"124","pypa/cibuildwheel","0.00039404303405655674","0.0002655111859572505","0","False"
"125","sphinxcontrib-trio","0.0003919000876831403","0.0007779184011647352","0","False"
"126","tornado","0.0003887879276437141","0.000879199069516755","419595258","True"
"127","absl-py","0.0003861673482634564","0.0005892059661580852","283321300","True"
"128","pytest-sugar","0.0003735665618445125","0.00045164355765616387","18973102","True"
"129","mkdocs-material","0.00037058198948001115","0.00037842177766240907","44940205","True"
"130","liskin/gh-problem-matcher-wrap","0.0003563004325379195","0.0003272372904907059","0","False"
"131","dependabot/fetch-metadata","0.00035410159733473637","0.0005483400730132043","0","False"
"132","package","0.00035265607452706065","5.485512470503356e-05","0","False"
"133","pytest-flakes","0.0003517240399577162","0.00036086775822629974","0","False"
"134","filelock","0.0003516574819622","0.0029145768711151287","1334509277","True"
"135","openmp","0.00034889846713029185","0.000136283955677129","0","False"
"136","pallets-sphinx-themes","0.0003485377622144615","0.0004345515213420947","0","False"
"137","pytest-html","0.00034733752801837406","0.0004865166060445791","68456644","True"
"138","anyio","0.0003452621458073101","0.002269629676467829","984409889","True"
"139","andremiras/coveralls-python-action","0.00034449925139677905","0.0005253825985240268","0","False"
"140","actions/setup-go","0.0003443844583275892","0.0010099324968427363","0","False"
"141","mysql","0.000342127010533921","6.56091543419996e-05","3230757","True"
"142","openblas","0.00033954525476624127","0.00017642494257226902","0","False"
"143","flake8-pyi","0.0003386359096854198","0.00039134378620845863","1142700","True"
"144","mkdocs","0.0003347173729043162","0.0002989287215815767","37501433","True"
"145","twisted","0.0003341889268838392","0.00045089077275971474","50824451","True"
"146","covdefaults","0.00033305172591875377","0.0005362656954008106","1426835","True"
"147","conda-incubator/setup-miniconda","0.00033239202904079","2.7714238173876152e-05","0","False"
"148","sphinxcontrib-svg2pdfconverter","0.0003205955976005737","0.00037676193824016273","2092744","True"
"149","numpydoc","0.000318922803255433","0.0002974665579688879","7831249","True"
"150","markdown","0.0003188991786511191","0.0007517696760459915","393464575","True"
"151","jakebailey/pyright-action","0.0003163305247943286","0.00023691126108573747","0","False"
"152","django-extensions","0.0003155034855004731","0.00014179110489442374","40681649","True"
"153","thrift","0.0003150730647591888","0.00034322070160345425","153309067","True"
"154","types-requests","0.0003142880487902583","0.0009098815899323382","331687102","True"
"155","platformdirs","0.00031298843434097404","0.003230336405506006","1576167490","True"
"156","atomicwrites","0.00031077433253704986","0.002602259144026729","64488500","True"
"157","pytest-trio","0.0003074347357143957","0.0003617503402121389","1391399","True"
"158","pyopenssl","0.000307155639261016","0.0019498703324853815","941519618","True"
"159","pytest-xvfb","0.0003048110293015694","0.0003557099992110059","0","False"
"160","docopt","0.0003047535625119856","0.00032402904728033404","137559503","True"
"161","pyenchant","0.0003031026499805284","8.690473035972737e-05","12203843","True"
"162","pytest-bdd","0.0003028257759007203","0.0003727581016739321","9659667","True"
"163","pygments-pytest","0.0003028257759007203","0.0003555646036161545","0","False"
"164","pytest-twisted","0.0003028257759007203","0.0003555646036161545","0","False"
"165","sphinx-removed-in","0.0003028257759007203","0.0003555646036161545","0","False"
"166","redis","0.0003021722549148183","0.0008854246622541291","479573433","True"
"167","hypothesis","0.0002994711245453308","0.0004867167860233101","99803450","True"
"168","mcr.microsoft.com/mssql/server","0.00029947018296019233","5.3161065472686986e-05","0","False"
"169","apache-airflow","0.00029907481883530704","0.0003156010787063678","166298325","True"
"170","eslint","0.0002983334758254689","8.331462939604468e-05","0","False"
"171","environs","0.000297891451758655","0.00010314554434611573","19197071","True"
"172","enum34","0.00029748078387833294","0.00024318949668703982","89869838","True"
"173","decorator","0.0002962826430747234","0.0018472805280952194","929564938","True"
"174","virtualenv","0.0002920471982139501","0.0025575520616327144","1201769027","True"
"175","contextlib2","0.00029155498107879803","0.0005253316220069344","134572423","True"
"176","mysqlclient","0.00029033651809854847","0.00023445218913162934","91305327","True"
"177","re-assert","0.0002879902208132909","0.00047647782066626926","0","False"
"178","pyjwt","0.00028741436015608616","0.003309806102518956","1593465211","True"
"179","pytype","0.00028611177110459497","0.00014080369331455727","3765437","True"
"180","sphinxcontrib-programoutput","0.0002850422798451783","0.00021820935538440045","0","False"
"181","actions/setup-java","0.00028337086127060444","5.8693651348430746e-05","0","False"
"182","httpx","0.0002829392429595554","0.0017401705477832431","822442109","True"
"183","pydata-sphinx-theme","0.00028260911473688575","0.000141569399704674","9558857","True"
"184","regex","0.0002812962392886714","0.001305746903029467","642621876","True"
"185","gssapi","0.0002808051481444743","0.00015577737001713231","12417394","True"
"186","pycln","0.0002808051481444743","0.0001362023337537095","1419729","True"
"187","sebrollen/toml-action","0.0002808051481444743","0.00013367532036866525","0","False"
"188","webencodings","0.00027897106231740984","0.0010873526115863978","416559920","True"
"189","psycopg","0.0002788896150902682","0.00019750583661184678","71763658","True"
"190","python-dotenv","0.0002780260199302668","0.0017323862490144799","756533399","True"
"191","rsa","0.00027713409494363857","0.0036685387233456215","2037122837","True"
"192","sphinx-autodoc-typehints","0.0002740855378048961","0.00019480614957030824","21782170","True"
"193","selenium","0.00027385389041291637","0.00036182436457111886","200793393","True"
"194","ruff","0.00027231284086716976","0.0006517792547315135","230373714","True"
"195","joblib","0.00026892354031406065","0.0010973567934089092","564291055","True"
"196","simplejson","0.00026409022446974387","0.0005142910704316995","250434559","True"
"197","ujson","0.0002618169215058603","0.0003601647666185233","166150567","True"
"198","markupsafe","0.0002617746490515236","0.003837102646791943","1993921077","True"
"199","readme-renderer","0.0002607339635365239","0.00039122552997615593","100736038","True"
"200","idna","0.0002604712625909799","0.007752498910555612","4206538302","True"
"201","numba","0.0002579286383010714","0.0003234772764293517","176448344","True"
"202","dask","0.0002577105563089595","0.0002552669431968698","110012378","True"
"203","sigstore/gh-action-sigstore-python","0.00025723319956777696","0.0004632977501596864","0","False"
"204","iconv","0.0002559675174836634","0.0002331187147626328","0","False"
"205","pytest-flake8","0.0002536223611994533","6.286138976405978e-05","4733494","True"
"206","doc8","0.0002505653694633502","0.0002517043415072307","2608268","True"
"207","pydantic","0.0002480127332729499","0.0034666596148996234","1826321825","True"
"208","babel-preset-react","0.00024522313378199127","1.4806167006074302e-05","0","False"
"209","docusaurus","0.00024522313378199127","1.4806167006074302e-05","0","False"
"210","bumpversion","0.00024491535510315533","0.00015330414052394897","7312554","True"
"211","cffi","0.00024452825502918146","0.00417072232414806","2254338896","True"
"212","astral-sh/setup-uv","0.00024360936498334202","0.0005831579951908447","0","False"
"213","gitpython","0.00024270722456293746","0.001311300925870791","665236910","True"
"214","charset-normalizer","0.00024250691184791504","0.007481859750267182","4009336720","True"
"215","cloudpickle","0.00024147501087116405","0.0010346617388338646","568620338","True"
"216","transformers","0.00024083143576496526","0.0005769503834393797","321703263","True"
"217","dataclasses","0.00024013088169434448","0.00034639227730955623","137168679","True"
"218","importlib-resources","0.00024004048026394237","0.0016742980392120395","675177933","True"
"219","wrapt","0.0002384896892896795","0.002361987699913463","1308995152","True"
"220","jsonschema","0.00023690536510479545","0.002632217432394617","1289216374","True"
"221","distlib","0.0002351375725193736","0.0019472737739806925","862617888","True"
"222","distributed","0.00023327732866689803","0.00019754982066850084","57340939","True"
"223","aws-github-ops/handle-stale-discussions","0.00023216999053812055","0.0021057791601583904","0","False"
"224","ruamel-yaml","0.00023210475556751246","0.0009165917194459552","502369704","True"
"225","futures","0.00023183807025884648","0.00028633394861284116","137444731","True"
"226","tabulate","0.00022797409344775952","0.0015918816795100108","666732599","True"
"227","cachetools","0.00022780674436964323","0.0028580543306799557","1469245308","True"
"228","ipykernel","0.000227273230132151","0.0006764433809565282","285393978","True"
"229","dnspython","0.000223233110326524","0.0010076356155744779","506368199","True"
"230","more-itertools","0.0002206873630411552","0.0014617243143698888","799838394","True"
"231","grpcio","0.00021933987198745025","0.0019380087818293657","1051904446","True"
"232","types-python-dateutil","0.0002191196964974892","0.0005764108661932693","223828237","True"
"233","aio-libs/create-release","0.00021868747877892855","0.0005526094614437099","0","False"
"234","codespell-project/sort-problem-matcher","0.00021839142748690714","4.85821875035053e-05","0","False"
"235","py","0.00021641281370027882","0.0011310614746823887","529992142","True"
"236","wcwidth","0.00021634102287760397","0.0016050811988112244","617489826","True"
"237","gfortran","0.00021631534349134482","0.00017204190262461963","0","False"
"238","release-drafter/release-drafter","0.0002144355465460616","0.00022329805215219926","0","False"
"239","pygithub","0.00021400229982912315","0.0020835243568061716","246310231","True"
"240","pyaes","0.0002128451867490015","4.571469396135788e-05","21557080","True"
"241","defusedxml","0.0002106751589361582","0.0008516045284057917","461419057","True"
"242","recommonmark","0.00021047542255300466","9.592346742862383e-05","9187345","True"
"243","flake8-docstrings","0.00020965131020337697","5.7445491720205016e-05","18114908","True"
"244","mypy-extensions","0.00020957496830731245","0.0014197897801809796","741343693","True"
"245","chardet","0.0002089372143450322","0.001861594189799504","903669093","True"
"246","sphinx-design","0.00020888305081745974","0.00022966942433267384","18266127","True"
"247","uritemplate","0.00020713643056663315","0.0009346910629555145","483052876","True"
