package,dependency,type,detection_method
@bugout/humbug,@types/node,declared,manifest_parsing
@bugout/humbug,actions/checkout,declared,manifest_parsing
@bugout/humbug,actions/create-release,declared,manifest_parsing
@bugout/humbug,actions/setup-node,declared,manifest_parsing
@bugout/humbug,actions/setup-python,declared,manifest_parsing
@bugout/humbug,axios,declared,manifest_parsing
@bugout/humbug,dataclasses,declared,manifest_parsing
@bugout/humbug,dev.bugout.humbug:humbug,declared,manifest_parsing
@bugout/humbug,org.clojure:clojure,declared,manifest_parsing
@bugout/humbug,org.clojure:clojure-contrib,declared,manifest_parsing
@bugout/humbug,org.clojure:tools.nrepl,declared,manifest_parsing
@bugout/humbug,org.jetbrains.kotlin:kotlin-stdlib-jdk8,declared,manifest_parsing
@bugout/humbug,org.jetbrains.kotlin:kotlin-test,declared,manifest_parsing
@bugout/humbug,org.json:json,declared,manifest_parsing
@bugout/humbug,requests,declared,manifest_parsing
@bugout/humbug,tslint,declared,manifest_parsing
@bugout/humbug,typescript,declared,manifest_parsing
@heightapp/any-ascii,actions/checkout,declared,manifest_parsing
@heightapp/any-ascii,actions/setup-python,declared,manifest_parsing
@heightapp/any-ascii,com.fasterxml.jackson.core:jackson-databind,declared,manifest_parsing
@heightapp/any-ascii,com.ibm.icu:icu4j,declared,manifest_parsing
@heightapp/any-ascii,erlef/setup-beam,declared,manifest_parsing
@heightapp/any-ascii,julia-actions/setup-julia,declared,manifest_parsing
@heightapp/any-ascii,microsoft.net.test.sdk,declared,manifest_parsing
@heightapp/any-ascii,mstest.testadapter,declared,manifest_parsing
@heightapp/any-ascii,mstest.testframework,declared,manifest_parsing
@heightapp/any-ascii,org.jetbrains.kotlin:kotlin-stdlib-jdk8,declared,manifest_parsing
@heightapp/any-ascii,org.junit.jupiter:junit-jupiter,declared,manifest_parsing
@heightapp/any-ascii,php,declared,manifest_parsing
@heightapp/any-ascii,ruby/setup-ruby,declared,manifest_parsing
@heightapp/any-ascii,shivammathur/setup-php,declared,manifest_parsing
@pypi/django,actions/checkout,declared,manifest_parsing
@pypi/django,actions/setup-node,declared,manifest_parsing
@pypi/django,actions/setup-python,declared,manifest_parsing
@pypi/django,django,declared,manifest_parsing
@pypi/django,django-extensions,declared,manifest_parsing
@pypi/django,environs,declared,manifest_parsing
@pypi/django,eslint,declared,manifest_parsing
@pypi/django,liskin/gh-problem-matcher-wrap,declared,manifest_parsing
@pypi/django,mysqlclient,declared,manifest_parsing
@pypi/django,psf/black,declared,manifest_parsing
@pypi/django,psycopg,declared,manifest_parsing
@pypi/django,psycopg2-binary,declared,manifest_parsing
@std-uritemplate/std-uritemplate,actions/checkout,declared,manifest_parsing
@std-uritemplate/std-uritemplate,actions/setup-dotnet,declared,manifest_parsing
@std-uritemplate/std-uritemplate,actions/setup-go,declared,manifest_parsing
@std-uritemplate/std-uritemplate,actions/setup-java,declared,manifest_parsing
@std-uritemplate/std-uritemplate,actions/setup-node,declared,manifest_parsing
@std-uritemplate/std-uritemplate,microsoft.codeanalysis.netanalyzers,declared,manifest_parsing
@std-uritemplate/std-uritemplate,microsoft.sourcelink.github,declared,manifest_parsing
@std-uritemplate/std-uritemplate,newtonsoft.json,declared,manifest_parsing
@std-uritemplate/std-uritemplate,org.junit.jupiter:junit-jupiter,declared,manifest_parsing
@std-uritemplate/std-uritemplate,python,declared,manifest_parsing
@std-uritemplate/std-uritemplate,ruby/setup-ruby,declared,manifest_parsing
@std-uritemplate/std-uritemplate,snok/install-poetry,declared,manifest_parsing
2captcha-python,requests,declared,manifest_parsing
7017tidy2,peppercorn,declared,manifest_parsing
a2wsgi,actions/checkout,declared,manifest_parsing
a2wsgi,asgiref,declared,manifest_parsing
a2wsgi,black,declared,manifest_parsing
a2wsgi,flake8,declared,manifest_parsing
a2wsgi,httpx,declared,manifest_parsing
a2wsgi,mypy,declared,manifest_parsing
a2wsgi,pdm-project/setup-pdm,declared,manifest_parsing
a2wsgi,pytest,declared,manifest_parsing
a2wsgi,pytest-asyncio,declared,manifest_parsing
a2wsgi,pytest-cov,declared,manifest_parsing
a2wsgi,python,declared,manifest_parsing
abgpyro,actions/checkout,declared,manifest_parsing
abgpyro,actions/setup-python,declared,manifest_parsing
abgpyro,pytest,declared,manifest_parsing
abgpyro,pytest-asyncio,declared,manifest_parsing
abgpyro,pytest-cov,declared,manifest_parsing
abgpyro,twine,declared,manifest_parsing
abl-quantconnect-stubs,log4net,declared,manifest_parsing
abl-quantconnect-stubs,microsoft.codeanalysis.csharp,declared,manifest_parsing
abl-quantconnect-stubs,microsoft.net.test.sdk,declared,manifest_parsing
abl-quantconnect-stubs,nunit,declared,manifest_parsing
abl-quantconnect-stubs,nunit3testadapter,declared,manifest_parsing
abl-quantconnect-stubs,quikgraph,declared,manifest_parsing
about-time,ipython,declared,manifest_parsing
about-time,ipython,declared,manifest_parsing
about-time,mock,declared,manifest_parsing
about-time,mock,declared,manifest_parsing
about-time,nox,declared,manifest_parsing
about-time,nox,declared,manifest_parsing
about-time,pdbpp,declared,manifest_parsing
about-time,pdbpp,declared,manifest_parsing
about-time,pytest,declared,manifest_parsing
about-time,pytest,declared,manifest_parsing
about-time,pytest-cov,declared,manifest_parsing
about-time,pytest-cov,declared,manifest_parsing
about-time,pytest-sugar,declared,manifest_parsing
about-time,pytest-sugar,declared,manifest_parsing
about-time,twine,declared,manifest_parsing
about-time,twine,declared,manifest_parsing
about-time,wheel,declared,manifest_parsing
about-time,wheel,declared,manifest_parsing
accelerate,accelerate,declared,manifest_parsing
accelerate,actions/checkout,declared,manifest_parsing
accelerate,actions/checkout,declared,manifest_parsing
accelerate,actions/setup-python,declared,manifest_parsing
accelerate,actions/setup-python,declared,manifest_parsing
accelerate,continuumio/miniconda3,declared,manifest_parsing
accelerate,continuumio/miniconda3,declared,manifest_parsing
accelerate,datasets,declared,manifest_parsing
accelerate,datasets,declared,manifest_parsing
accelerate,docker/build-push-action,declared,manifest_parsing
accelerate,docker/build-push-action,declared,manifest_parsing
accelerate,docker/login-action,declared,manifest_parsing
accelerate,docker/login-action,declared,manifest_parsing
accelerate,docker/setup-buildx-action,declared,manifest_parsing
accelerate,docker/setup-buildx-action,declared,manifest_parsing
accelerate,evaluate,declared,manifest_parsing
accelerate,evaluate,declared,manifest_parsing
accelerate,numpy,declared,manifest_parsing
accelerate,numpy,declared,manifest_parsing
accelerate,nvidia/cuda,declared,manifest_parsing
accelerate,nvidia/cuda,declared,manifest_parsing
accelerate,pippy,declared,manifest_parsing
accelerate,pippy,declared,manifest_parsing
accelerate,python,declared,manifest_parsing
accelerate,python,declared,manifest_parsing
accelerate,tj-actions/changed-files,declared,manifest_parsing
accelerate,tj-actions/changed-files,declared,manifest_parsing
accesscontrol,acquisition,declared,manifest_parsing
accesscontrol,authencoding,declared,manifest_parsing
accesscontrol,btrees,declared,manifest_parsing
accesscontrol,datetime,declared,manifest_parsing
accesscontrol,extensionclass,declared,manifest_parsing
accesscontrol,funcsigs,declared,manifest_parsing
accesscontrol,persistence,declared,manifest_parsing
accesscontrol,restrictedpython,declared,manifest_parsing
accesscontrol,six,declared,manifest_parsing
accesscontrol,transaction,declared,manifest_parsing
accesscontrol,zexceptions,declared,manifest_parsing
accesscontrol,zope-interface,declared,manifest_parsing
accesscontrol,glibc,discovered,symbol_analysis
accessible-pygments,pygments,declared,manifest_parsing
accessible-pygments,pygments,declared,manifest_parsing
accessible-pygments,rossjrw/pr-preview-action,declared,manifest_parsing
accessible-pygments,rossjrw/pr-preview-action,declared,manifest_parsing
acquisition,glibc,discovered,symbol_analysis
adagio,actions/checkout,declared,manifest_parsing
adagio,actions/checkout,declared,manifest_parsing
adagio,actions/setup-python,declared,manifest_parsing
adagio,actions/setup-python,declared,manifest_parsing
adagio,autopep8,declared,manifest_parsing
adagio,autopep8,declared,manifest_parsing
adagio,flake8,declared,manifest_parsing
adagio,flake8,declared,manifest_parsing
adagio,mcr.microsoft.com/vscode/devcontainers/python,declared,manifest_parsing
adagio,mcr.microsoft.com/vscode/devcontainers/python,declared,manifest_parsing
adagio,mypy,declared,manifest_parsing
adagio,mypy,declared,manifest_parsing
adagio,pre-commit,declared,manifest_parsing
adagio,pre-commit,declared,manifest_parsing
adagio,pylint,declared,manifest_parsing
adagio,pylint,declared,manifest_parsing
adagio,pytest,declared,manifest_parsing
adagio,pytest,declared,manifest_parsing
adagio,pytest-cov,declared,manifest_parsing
adagio,pytest-cov,declared,manifest_parsing
adagio,pytest-mock,declared,manifest_parsing
adagio,pytest-mock,declared,manifest_parsing
adagio,sphinx,declared,manifest_parsing
adagio,sphinx,declared,manifest_parsing
adagio,sphinx-rtd-theme,declared,manifest_parsing
adagio,sphinx-rtd-theme,declared,manifest_parsing
adagio,triad,declared,manifest_parsing
adagio,triad,declared,manifest_parsing
adagio,twine,declared,manifest_parsing
adagio,twine,declared,manifest_parsing
adagio,wheel,declared,manifest_parsing
adagio,wheel,declared,manifest_parsing
adal,cryptography,declared,manifest_parsing
adal,cryptography,declared,manifest_parsing
adal,httpretty,declared,manifest_parsing
adal,httpretty,declared,manifest_parsing
adal,pyjwt,declared,manifest_parsing
adal,pyjwt,declared,manifest_parsing
adal,pylint,declared,manifest_parsing
adal,pylint,declared,manifest_parsing
adal,python-dateutil,declared,manifest_parsing
adal,python-dateutil,declared,manifest_parsing
adal,requests,declared,manifest_parsing
adal,requests,declared,manifest_parsing
adduserpath,actions/checkout,declared,manifest_parsing
adduserpath,actions/download-artifact,declared,manifest_parsing
adduserpath,actions/setup-python,declared,manifest_parsing
adduserpath,actions/upload-artifact,declared,manifest_parsing
adduserpath,click,declared,manifest_parsing
adduserpath,click,declared,manifest_parsing
adduserpath,coverage,declared,manifest_parsing
adduserpath,coverage,declared,manifest_parsing
adduserpath,distro,declared,manifest_parsing
adduserpath,pypa/gh-action-pypi-publish,declared,manifest_parsing
adduserpath,pytest,declared,manifest_parsing
adduserpath,pytest,declared,manifest_parsing
adduserpath,xonsh,declared,manifest_parsing
adjusttext,actions/checkout,declared,manifest_parsing
adjusttext,actions/checkout,declared,manifest_parsing
adjusttext,actions/setup-python,declared,manifest_parsing
adjusttext,actions/setup-python,declared,manifest_parsing
adjusttext,ipykernel,declared,manifest_parsing
adjusttext,ipykernel,declared,manifest_parsing
adjusttext,matplotlib,declared,manifest_parsing
adjusttext,matplotlib,declared,manifest_parsing
adjusttext,nbsphinx,declared,manifest_parsing
adjusttext,nbsphinx,declared,manifest_parsing
adjusttext,numpy,declared,manifest_parsing
adjusttext,numpy,declared,manifest_parsing
adjusttext,pypa/gh-action-pypi-publish,declared,manifest_parsing
adjusttext,pypa/gh-action-pypi-publish,declared,manifest_parsing
adjusttext,scipy,declared,manifest_parsing
adjusttext,scipy,declared,manifest_parsing
adjusttext,sphinx,declared,manifest_parsing
adjusttext,sphinx,declared,manifest_parsing
adtk,jupyter,declared,manifest_parsing
adtk,jupyter,declared,manifest_parsing
adtk,nbsphinx,declared,manifest_parsing
adtk,nbsphinx,declared,manifest_parsing
adtk,python-dateutil,declared,manifest_parsing
adtk,python-dateutil,declared,manifest_parsing
