package,github_url
_py-xgboost-mutex,https://github.com/dmlc/xgboost
_r-xgboost-mutex,https://github.com/dmlc/xgboost
_robotframework_tests,https://github.com/robotframework/robotframework
@aguycalled/bls-signatures,https://github.com/chia-network/bls-signatures
@amazon-web-services-cloudformation/cloudformation-cli-typescript-lib,https://github.com/aws-cloudformation/cloudformation-cli-typescript-plugin
@aosypov/xrathus-jupyterlab,https://github.com/jupyterlab/jupyterlab-git
@astral-sh/ruff-wasm-bundler,https://github.com/astral-sh/ruff
@astral-sh/ruff-wasm-nodejs,https://github.com/astral-sh/ruff
@astral-sh/ruff-wasm-web,https://github.com/astral-sh/ruff
@aws-cdk-testing/cli-integ,https://github.com/aws/aws-cdk-cli
@aws-cdk/asset-awscli-v1,https://github.com/cdklabs/awscdk-asset-awscli
@aws-cdk/asset-awscli-v2,https://github.com/cdklabs/awscdk-asset-awscli
@aws-cdk/asset-node-proxy-agent-v5,https://github.com/cdklabs/awscdk-asset-node-proxy-agent
@aws-cdk/asset-node-proxy-agent-v6,https://github.com/cdklabs/awscdk-asset-node-proxy-agent
@aws-cdk/cdk-assets-lib,https://github.com/aws/aws-cdk-cli
@aws-cdk/cli-lib-alpha,https://github.com/aws/aws-cdk-cli
@aws-cdk/cli-plugin-contract,https://github.com/aws/aws-cdk-cli
@aws-cdk/cloud-assembly-api,https://github.com/aws/aws-cdk-cli
@aws-cdk/cloud-assembly-schema,https://github.com/aws/aws-cdk-cli
@aws-cdk/cloudformation-diff,https://github.com/aws/aws-cdk-cli
@aws-cdk/integ-runner,https://github.com/aws/aws-cdk-cli
@aws-cdk/toolkit-lib,https://github.com/aws/aws-cdk-cli
@bokeh/bokehjs,https://github.com/bokeh/bokeh
@bugout/humbug,https://github.com/bugout-dev/humbug
@buildwithlayer/localstack-mcp-demo,https://github.com/localstack/localstack
@cmmarslender/bls-signatures,https://github.com/chia-network/bls-signatures
@contract-case/jsii-pacmak,https://github.com/aws/jsii
@cucumber/gherkin,https://github.com/cucumber/gherkin
@datalayer-jupyter/jupyterlab-git,https://github.com/jupyterlab/jupyterlab-git
