"package","github_repo","avg_downloads","2021","2022","2023","2024","2025","top","pagerank","value_class"
"typing-extensions","python/typing_extensions","4103679283","979594688","2275013355","3191711621","5227839356","8844237395","True","0.04956012","A"
"botocore","","5144473449","1985684005","2781640538","3924053580","7008582704","10022406419","True","0.02051222","A"
"six","benjaminp/six","3353305511","1800532062","1960330694","2337382099","3938212049","6730070649","True","0.01961374","A"
"urllib3","urllib3/urllib3","5471411478","2181355078","2894368933","4470730977","6956084729","10854517673","True","0.01890507","A"
"pycparser","eliben/pycparser","2056716588","661768180","975360746","1297570866","2825433742","4523449406","True","0.01779538","A"
"cffi","python-cffi/cffi","2254338896","862172157","1131492644","1483431279","3012994995","4781603407","True","0.01742176","A"
"requests","","4710720306","1479249205","2512925315","3819051975","6092110312","9650264722","True","0.01635291","A"
"python-dateutil","dateutil/dateutil","3603968739","1497090367","1942612109","2585722391","4619852763","7374566067","True","0.01475728","A"
"protobuf","","2095199583","736470347","1101247511","1628408886","2564638849","4445232324","True","0.01449353","A"
"boto3","boto/boto3","9542726218","1865938335","4323548267","8395034985","16296381666","16832727837","True","0.01408427","A"
"packaging","pypa/packaging","3325191252","755774666","1337800800","2145941479","4736441473","7649997843","True","0.01361316","A"
"jmespath","","2026053896","1055139928","1233684690","1531480037","2451144923","3858819900","True","0.01333765","A"
"certifi","certifi/python-certifi","4348365957","1410689328","2085357758","3262446778","5493376240","9489959681","True","0.01161915","A"
"idna","kjd/idna","4206538302","1527504494","2459966905","2967668336","5273508102","8804043674","True","0.01144821","A"
"numpy","numpy/numpy","2791761790","942566850","1450310825","2026892885","3621105444","5917932947","True","0.01087272","A"
"colorama","tartley/colorama","1803062374","891513570","1301213850","1446889411","2238852698","3136842340","True","0.01044943","A"
"pytest-ruff","","633409","0","0","167034","1232131","1767878","False","0.01006173","A"
"pyasn1","pyasn1/pyasn1","1989688118","954257295","1257929271","1523783078","2542304903","3670166042","True","0.00958856","A"
"cryptography","pyca/cryptography","2625325884","671312867","1450576137","2216991617","3524519191","5263229610","True","0.00955346","A"
"s3transfer","boto/s3transfer","3492350922","1562442358","2214330821","2874612685","4307284730","6503084016","True","0.00939492","A"
"charset-normalizer","jawah/charset_normalizer","4009336720","495735649","1967480047","3298620844","5271675667","9013171392","True","0.00933295","A"
"markupsafe","pallets/markupsafe","1993921077","873160949","1237512201","1509421230","2414304356","3935206648","True","0.00897863","A"
"importlib-metadata","python/importlib_metadata","2162029974","708576062","1262728100","1843365701","2939464445","4056015560","True","0.00866023","A"
"pytest","pytest-dev/pytest","1257965673","345241830","516067149","835834690","1730213184","2862471512","True","0.008639","A"
"setuptools","pypa/setuptools","4396526259","1590965128","2519353759","3416792952","5592485480","8863033977","True","0.00804912","A"
