"package","avg_downloads","2020","2021","2022","2023","2024"
"boto3",6323486700,630693858,1873508762,4352439950,8409229708,16351561221
"urllib3",3586664928,1306863551,2184495226,2900084901,4508177681,7033703282
"botocore",3356572029,1006090055,1989807406,2796479948,3935161607,7055321127
"requests",2994080074,952000431,1482241435,2519221249,3852307019,6164630234
"setuptools",2830589475,949454221,1616352376,2534662643,3426030954,5626447183
"certifi",2650933899,904435917,1413478456,2090213286,3290654714,5555887123
"idna",2644095056,890691069,1530335423,2464697136,2996782965,5337968686
"typing-extensions",2385128225,148073378,980696263,2278461059,3218904529,5299505897
"s3transfer",2367912695,855923225,1564201945,2217705104,2880700042,4321033161
"python-dateutil",2325031782,902751051,1498934023,1946500557,2606246897,4670726384
"six",2256210326,1147824967,1802805561,1972231942,2360892432,3997296728
"charset-normalizer",2228063933,17501,496545715,1972503856,3331238370,5340014223
"pyyaml",2065638124,780619484,1281516055,1811987751,2419021389,4035045940
"wheel",1949279813,592131349,1025183097,1500272097,2496649321,4132163199
"packaging",1870049252,279815668,756847623,1342355267,2169639523,4801588178
"pip",1815419068,818129239,1102208302,1353236151,1976439113,3827082535
"numpy",1746813095,598948331,945267511,1454526157,2053217185,3682106292
"cryptography",1668101529,381052779,673624838,1455178184,2244728499,3585923344
"google-api-core",1532728963,221490568,567317125,1624283260,2348456101,2902097762
"awscli",1512665071,473233387,1097825946,1558326467,2182899710,2251039846
"click",1441325029,355437101,834414511,1583599375,1745558623,2687615534
"importlib-metadata",1438738746,358271454,710201657,1266462532,1868211461,2990546625
"cffi",1407724493,470459034,864218509,1134641406,1505947036,3063356478
"jmespath",1395060945,673894444,1056817370,1236831164,1539844226,2467917523
"pyasn1",1390807362,645829584,954780967,1258784710,1531725457,2562916091
"rsa",1383277732,644978364,972528009,1291281937,1484117066,2523483284
"attrs",1380340547,394328268,802290723,1382149928,1517879807,2805054007
"zipp",1347925575,349413680,670205421,1247591688,1752786152,2719630933
"pytz",1342527393,538688995,800172164,1260731988,1605358277,2507685541
"aiobotocore",1327112443,17834659,139248885,629115309,1591267958,4258095404
"pandas",1320949480,336148633,733847692,1123192225,1533151088,2878407760
"markupsafe",1309247240,453120665,875013065,1240687536,1524044762,2453370173
"protobuf",1304698286,435921246,737412898,1102916658,1644448643,2602791984
"jinja2",1281101989,411650590,843206213,1423238355,1388908417,2338506368
"colorama",1280782451,467431463,891925404,1302256587,1464081471,2278217328
"pycparser",1237870932,368077119,662406302,977069887,1314124278,2867677073
"fsspec",1158871903,84263913,271273783,560432808,1382897062,3495491947
"s3fs",1119243427,63376952,175064068,535680881,1375993637,3446101595
"grpcio-status",1117203299,1338741,10446374,285709576,1583352016,3705169788
"pyjwt",1085399304,206687708,547455557,1105402297,1416621805,2150829153
"pyparsing",974154937,323403210,714420684,1283323391,1011199762,1538427637
"docutils",955844206,717072137,686807955,820569578,992212956,1562558404
"google-auth",914107149,276731600,512338720,853445553,1122954641,1805065230
"cachetools",887602978,274613527,489899996,792799160,1057518211,1823183997
"oauthlib",880456110,330008846,598758439,983971518,1011719161,1477822587
"werkzeug",862707689,235579685,493880280,1021248619,1131133810,1431696052
"requests-oauthlib",853460326,334151727,578241517,901873700,917713235,1535321449
"pydantic",850928470,20167959,115555290,347027602,1046521159,2725370338
"googleapis-common-protos",845237105,195662402,347956678,684257776,1155640932,1842667739
"wrapt",830065606,187292866,377064104,747688663,976266247,1862016149
"chardet",823357448,801958710,1055042492,722058554,668271613,869455873
"platformdirs",806522168,0,127227564,512811927,1079356170,2313215179
"jsonschema",798933263,223599766,359960050,520287072,1024972170,1865847259
"aiohttp",790387496,125369720,450137663,684645130,929599732,1762185235
"multidict",786996646,147201342,489063283,954391152,891750956,1452576495
