"project","candidate_url","platform"
"libcap-ng","https://github.com/stevegrubb/libcap-ng.git","github"
"db","https://github.com/berkeleydb/libdb.git","github"
"db","https://github.com/yasuhirokimura/db18.git","github"
"dpkg","https://git.dpkg.org/","custom"
"dpkg","https://salsa.debian.org/dpkg-team/dpkg.git","gitlab"
"dpkg","https://git.dpkg.org/git/dpkg/dpkg","custom"
"libtirpc","http://git.linux-nfs.org/?p=steved/libtirpc.git","custom"
"libtirpc","http://git.linux-nfs.org/?p=steved/libtirpc.git;a=summary","custom"
"libtirpc","https://web.archive.org/web/*/http://git.linux-nfs.org/?p=steved/libtirpc.git;a=summary","custom"
"libtirpc","https://git.linux-nfs.org/?p=steved/libtirpc.git","custom"
"libtirpc","https://git.linux-nfs.org/?p=steved/libtirpc.git;a=summary","custom"
"unixodbc","https://github.com/lurcher/unixodbc.git","github"
"nss","https://github.com/nss-dev/nss.git","github"
"nss","https://github.com/curl/curl.git","github"
"tcl-lang","https://github.com/tcltk/tcl.git","github"
"debianutils","https://salsa.debian.org/debian/debianutils.git","gitlab"
"rubberband","https://github.com/breakfastquay/rubberband.git","github"
"libedit","https://github.com/chimera-linux/libedit-chimera.git","github"
"librist","https://code.videolan.org/rist/librist.git","custom"
"jbigkit","https://www.cl.cam.ac.uk/~mgk25/git/jbigkit","custom"
"jbigkit","https://web.archive.org/web/*/https://www.cl.cam.ac.uk/~mgk25/git/jbigkit","custom"
"jbigkit","https://github.com/imagemagick/jbig.git","github"
"net-tools","https://github.com/ecki/net-tools.git","github"
"net-tools","https://git.code.sf.net/p/net-tools/code","custom"
"net-tools","https://sourceforge.net/code-snapshots/git/n/ne/net-tools/code.git/net-tools-code-479bb4a7e11a4084e2935c0a576388f92469225b.zip","custom"
"net-tools","https://web.archive.org/web/*/https://sourceforge.net/code-snapshots/git/n/ne/net-tools/code.git/net-tools-code-479bb4a7e11a4084e2935c0a576388f92469225b.zip","custom"
"unzip","https://github.com/madler/unzip.git","github"
"unzip","https://github.com/stal-ix/sources.git","github"
"soxr","https://github.com/dofuuz/soxr.git","github"
"psmisc","https://gitlab.com/psmisc/psmisc.git","gitlab"
"gpm","https://github.com/telmich/gpm.git","github"
"libudfread","https://git.videolan.org/?p=libudfread.git;a=summary","custom"
"libudfread","https://web.archive.org/web/*/https://git.videolan.org/?p=libudfread.git;a=summary","custom"
"console-setup","https://salsa.debian.org/installer-team/console-setup.git","gitlab"
"mawk","https://github.com/thomasdickey/mawk-snapshots.git","github"
"mawk","https://github.com/mikebrennan000/mawk-2.git","github"
"dash-shell","https://git.kernel.org/pub/scm/utils/dash/dash.git","custom"
"dash-shell","https://git.kernel.org/pub/scm/utils/dash/dash.git/","custom"
"dash-shell","https://git.kernel.org/pub/scm/utils/dash/dash.git/snapshot/dash-0.5.12.tar.gz","custom"
"less","https://github.com/gwsw/less.git","github"
"less","https://github.com/baulk/less-windows.git","github"
"less","https://github.com/jftuga/less-windows.git","github"
"dhcp","https://gitlab.isc.org/isc-projects/dhcp.git","gitlab"
"libestr","https://github.com/rsyslog/libestr.git","github"
