repo_id,repo,ecosystem,value_score,risk_score
23853482,retep998/winapi-rs,crates,37.7109,90
63465664,ethers-io/ethers.js,npm,29.3439,89
243933900,ronaldoussoren/pyobjc,pypi,28.6373,89
1424470,moment/moment,npm,25.0748,86
94195301,nlnetlabs/unbound,cpp,28.4372,85
136510559,gitoxidelabs/gitoxide,crates,17.7777,85
4325614,nodeca/argparse,npm,58.3116,84
29097127,terser/terser,npm,31.7412,82
119609,paramiko/paramiko,pypi,27.5105,82
2744972,websockets/ws,npm,44.4514,81
10182772,mathiasbynens/regenerate,npm,34.6361,81
24491562,jonschlinkert/kind-of,npm,66.6208,80
1792941,medikoo/es5-ext,npm,45.3871,80
31137469,mysticatea/event-target-shim,npm,39.7834,80
67236461,csstree/csstree,npm,36.6757,79
119439276,eemeli/yaml,npm,32.3986,79
1353927,lxml/lxml,pypi,32.0475,78
295544240,bytecodealliance/rustix,crates,32.2364,77
2317381,pvorb/clone,npm,26.8528,77
448365131,taiki-e/portable-atomic,crates,53.4642,75
67307930,indygreg/python-zstandard,pypi,38.0609,75
26459635,time-rs/time,crates,35.0448,75
17144859,grantjenks/python-sortedcontainers,pypi,25.2982,75
95052330,nodejs/string_decoder,npm,56.2724,74
12001360,mathiasbynens/cssesc,npm,49.0173,74
22266795,ljharb/qs,npm,47.8517,74
591569499,isaacs/path-scurry,npm,45.5772,74
1649251,browserify/events,npm,44.0867,74
105228556,mysticatea/abort-controller,npm,38.0047,74
436970140,pypa/distlib,pypi,30.7137,74
65987276,bluss/bencher,crates,27.7188,74
67305738,dtolnay/syn,crates,71.2836,73
2504175,nodeca/js-yaml,npm,50.8384,73
994551,pallets/jinja,pypi,47.2217,73
177198492,medikoo/type,npm,40.3602,73
84886212,isaacs/minipass,npm,71.3663,72
27113310,jonschlinkert/fill-range,npm,57.4323,72
95902102,toml-rs/toml,crates,54.7504,72
63155638,stub42/pytz,pypi,46.1926,72
330043541,7rulnik/source-map-js,npm,44.5439,72
159271175,sqlalchemy/sqlalchemy,pypi,40.4456,72
16231859,nodeca/pako,npm,31.281,72
930576948,pydantic/typing-inspection,pypi,30.1344,72
164668916,taiki-e/pin-project,crates,28.7016,72
157420458,micromark/micromark,npm,63.2813,71
127254922,guillaumegomez/doc-comment,crates,56.0647,71
10357291,grahamdumpleton/wrapt,pypi,43.2253,71
6697086,follow-redirects/follow-redirects,npm,38.402,71
42685794,burntsushi/walkdir,crates,36.8752,71
508894,isaacs/sax-js,npm,35.7197,71
20101515,giampaolo/psutil,pypi,32.9504,71
4460687,fb55/css-what,npm,29.6718,71
238967485,antonk52/lilconfig,npm,27.9694,71
1534331,isaacs/node-tar,npm,26.0771,71
759017108,burntsushi/jiff,crates,25.4768,71
48974178,tapjs/stack-utils,npm,25.3376,71
35914020,ajv-validator/ajv,npm,60.7634,70
27890669,rust-lang/regex,crates,58.469,70
190579283,babel/babel-polyfills,npm,53.6186,70
493821282,rust-cli/anstyle,crates,48.8945,70
36823669,wbond/asn1crypto,pypi,34.8621,70
24911025,jonschlinkert/get-value,npm,32.2564,70
123997498,burntsushi/ucd-generate,crates,27.8542,70
11031844,uqfoundation/dill,pypi,27.3906,70
55077261,rust-lang/futures-rs,crates,0.656,70
14367737,serde-rs/serde,crates,88.7911,69
11481338,zloirock/core-js,npm,54.1728,69
25867410,jonschlinkert/extend-shallow,npm,46.6436,69
37290652,burntsushi/memchr,crates,43.2097,69
137078487,vuejs/core,npm,41.4847,69
19117456,formatjs/formatjs,npm,36.6146,69
4180110,pkgconf/pkgconf,cpp,36.4303,69
35711072,tapjs/signal-exit,npm,59.41,68
93333933,epoberezkin/json-schema-traverse,npm,52.811,68
689109338,ljharb/define-data-property,npm,47.3428,68
91262163,pyparsing/pyparsing,pypi,45.52,68
19176350,indutny/bn.js,npm,40.2875,68
108103016,epoberezkin/fast-json-stable-stringify,npm,35.7786,68
75104123,prettier/prettier,npm,33.2753,68
60489570,istanbuljs/test-exclude,npm,25.7368,68
33943153,cssnano/cssnano,npm,75.6917,67
40355891,micromatch/to-regex-range,npm,62.4028,67
553665726,tukaani-project/xz,cpp,50.2808,67
8862593,inikulin/parse5,npm,42.1235,67
100129252,nvzqz/static-assertions,crates,42.0444,67
212936374,dtolnay/anyhow,crates,41.6675,67
213836768,dtolnay/thiserror,crates,40.9177,67
10817569,medikoo/d,npm,33.7844,67
138421996,coveragepy/coveragepy,pypi,29.1673,67
37290678,burntsushi/aho-corasick,crates,27.3191,67
31315121,clap-rs/clap,crates,42.8113,66
229514821,dtolnay/dissimilar,crates,39.2029,66
160789418,facelessuser/soupsieve,pypi,36.7076,66
47135420,doowb/ansi-colors,npm,31.3266,66
245704608,colinhacks/zod,npm,25.4367,66
24313173,jonschlinkert/is-number,npm,65.5252,65
77307442,rustcrypto/utils,crates,60.271,65
94483360,epoberezkin/fast-deep-equal,npm,56.5946,65
549230701,minimistjs/minimist,npm,46.8421,65
54994103,floating-ui/floating-ui,npm,46.0569,65
28995155,ljharb/es-abstract,npm,45.9601,65
569027868,python-jsonschema/referencing,pypi,41.488,65
2833537,jquery/esprima,npm,38.8066,65
997338,pallets/werkzeug,pypi,37.6033,65
5171600,python-pillow/pillow,pypi,35.2583,65
5050525,harfbuzz/harfbuzz,cpp,35.1411,65
3411063,fb55/css-select,npm,30.0875,65
91860126,dtolnay/proc-macro2,crates,80.1574,64
27971466,browserslist/browserslist,npm,54.3138,64
2743221,pillarjs/iconv-lite,npm,53.8943,64
2853282,beatgammit/base64-js,npm,48.0579,64
2718248,isaacs/node-mkdirp,npm,45.0098,64
36964214,jsdom/tr46,npm,43.2977,64
145337588,agronholm/anyio,pypi,41.2184,64
165561258,mitsuhiko/insta,crates,29.9635,64
32377814,ljharb/es-to-primitive,npm,25.7032,64
3172629,fb55/entities,npm,54.8862,63
11683441,inspect-js/object-inspect,npm,50.2576,63
13078968,postcss/postcss,npm,48.4752,63
12519245,kaelzhang/node-ignore,npm,43.4706,63
60477053,ajv-validator/ajv-keywords,npm,39.2193,63
33009186,jonschlinkert/has-values,npm,33.4771,63
2279062,fb55/htmlparser2,npm,27.8551,63
142720484,dtolnay/ryu,crates,26.6724,63
78375612,burntsushi/same-file,crates,25.5918,63
219192307,csstools/postcss-plugins,npm,73.6554,62
2077020,isaacs/node-graceful-fs,npm,61.9773,62
243395141,unicode-org/icu4x,crates,52.856,62
29918975,python-attrs/attrs,pypi,51.951,62
21224182,jonschlinkert/normalize-path,npm,48.3699,62
5414232,fb55/domhandler,npm,45.1977,62
704249795,ljharb/set-function-length,npm,40.8022,62
406051759,rustcrypto/formats,crates,37.4272,62
17755831,ljharb/object.assign,npm,37.1703,62
568240379,eslint-community/eslint-utils,npm,30.9637,62
429511342,ardatan/whatwg-node,npm,29.022,62
14423385,medikoo/es6-symbol,npm,28.277,62
41388258,qix-/node-error-ex,npm,27.1446,62
174421655,lukeed/dequal,npm,26.3894,62
