repo,repo_id,total_commits_lifetime,total_contributors_lifetime,active_contributors,hhi_commits_lifetime,bf_commits_lifetime,concentration_fetched_at,loc_2025_eoy,sloc_2025_eoy,scc_complexity_2025_eoy,scc_density_2025_eoy,cognitive_total,cognitive_avg,cognitive_max,loc_year,churn_5y_total,hotspot_raw,hotspot_log,hotspot_percentile,openssf_score,openssf_score_source,cve_count_5y,ossfuzz_enrolled,sast_findings_total,sast_findings_error,sast_findings_security,bestpractices_badge_id,security_fetched_at,github_sponsors,funding_class,has_funding_yml,funding_yml_platforms,has_funding_json,foundation_host,funding_fetched_at,stars,forks,watchers,visibility_fetched_at,repo_age_years_2025_eoy,active_contributors,openssf_maintained,has_issues,push_cadence_years,pushed_at,issues_opened_5y,issues_closed_5y,issue_close_ratio,net_new_issues_5y,slope_opened,slope_closed,issue_trend_score,loc_per_ac,cve_per_ac,nni_per_ac,loc_per_ac_pctl,cve_per_ac_pctl,nni_per_ac_pctl,workload_burden_percentile,workload_class,workload_fetched_at
10der/homeassistant-custom_components-awtrix,748539167,61,6,5,6565,1,2026-04-27T23:49:33+00:00,618,464,59,12.72,86,4.53,24,2025,2586,152574,6.0685,47.59,2.6,openssf_local,0,False,0,0,0,,2026-04-27T21:27:31+01:00,0,A,False,,False,,2026-04-28T00:16:27+00:00,148,13,11,2026-04-27T18:55:19Z,1.9,5,0,True,2,2025-10-25T06:33:28Z,18,8,0.444,10,2.7,1.1,-0.4444,123.6,0.0,2.0,50.11,39.03,96.02,57.27,B,2026-04-27T18:55:19Z
7rulnik/source-map-js,330043541,594,73,63,3496,1,2026-04-27T23:49:39+00:00,7956,5709,504,8.83,593,1.5,38,2024,33622,16945488,12.2368,72.36,3,openssf_local,0,False,1,0,1,,2026-04-27T15:53:04+01:00,1,B,False,,False,,2026-04-28T00:16:03+00:00,102,13,0,2026-04-27T13:18:12Z,5.0,63,7,True,3,2026-02-01T23:10:10Z,12,7,0.583,5,-0.3,0.4,0.2917,126.2857,0.0,0.0794,50.78,39.03,42.5,43.83,C,2026-04-27T13:18:12Z
acornjs/acorn,5932749,1529,143,124,2976,1,2026-04-27T23:49:39+00:00,202344,136537,13508,9.89,13697,2.28,148,2025,18404,248601232,17.6168,86.58,5.2,openssf_local,0,False,3,0,3,,2026-04-27T14:56:11+01:00,0,A,False,,False,,2026-04-28T00:16:09+00:00,11372,1021,187,2026-04-27T13:18:12Z,13.3,124,10,True,5,2026-04-08T13:52:20Z,222,238,1.072,-16,0.9,-0.6,-0.0338,1631.8065,0.0,-0.129,92.33,39.03,10.92,34.01,C,2026-04-27T13:18:12Z
acornjs/acorn-jsx,22187098,503,52,45,3415,2,2026-04-27T23:49:46+00:00,5683,5497,176,3.2,227,4.73,52,2022,71,12496,4.1752,38.88,3,openssf_local,0,False,0,0,0,,2026-04-27T21:27:31+01:00,0,A,False,,False,,2026-04-28T00:16:11+00:00,670,76,15,2026-04-27T13:18:12Z,11.4,45,0,True,2,2022-12-04T10:44:38Z,12,7,0.583,5,-1.5,-0.7,0.3333,126.2889,0.0,0.1111,50.9,39.03,46.7,45.27,B,2026-04-27T13:18:12Z
adobe/react-spectrum,208362715,6433,494,403,1198,3,2026-04-27T23:49:52+00:00,456638,360454,33711,9.35,55226,1.98,1085,2025,848820,28614571020,26.8444,98.17,5.8,openssf_local,0,False,240,7,240,,2026-05-03T17:32:33+01:00,0,A,False,,False,,2026-04-28T00:16:11+00:00,15031,1415,70,2026-04-27T13:18:12Z,6.3,403,10,True,5,2026-04-27T06:25:39Z,2883,2421,0.84,462,52.5,93.9,0.0718,1133.0968,0.0,1.1464,88.86,39.03,92.11,68.36,A,2026-04-27T13:18:12Z
agronholm/anyio,145337588,1284,75,73,5815,1,2026-04-27T23:49:50+00:00,25385,18814,2325,12.36,2030,0.99,43,2025,54438,126568350,15.9440,83.72,6.2,openssf_local,0,False,16,5,16,,2026-05-03T17:32:33+01:00,0,A,True,tidelift,False,,2026-04-28T00:16:11+00:00,2447,201,25,2026-04-27T18:55:19Z,7.4,73,10,True,5,2026-04-27T18:00:41Z,297,253,0.852,44,-8.1,-6.6,0.0253,347.7397,0.0,0.6027,74.19,39.03,80.35,61.5,A,2026-04-27T18:55:19Z
agronholm/exceptiongroup,447694800,209,10,9,3093,1,2026-04-27T23:49:53+00:00,3207,2499,523,20.93,555,3.12,73,2025,6351,3321573,10.3414,65.37,4.4,openssf_local,0,False,0,0,0,,2026-04-27T21:27:41+01:00,0,A,True,tidelift,False,,2026-04-28T00:16:12+00:00,48,23,2,2026-04-27T18:55:20Z,4.0,9,1,True,4,2026-04-06T17:58:45Z,31,37,1.194,-6,0.2,0.7,0.0806,356.3333,0.0,-0.6667,74.75,39.03,2.41,19.15,D,2026-04-27T18:55:20Z
ai/nanoid,99401299,1202,150,138,6383,1,2026-04-27T23:49:56+00:00,857,663,82,12.37,49,0.65,9,2025,4176,342432,6.9487,52.52,7.2,openssf_local,2,False,0,0,0,,2026-04-27T16:07:30+01:00,18,C,True,"tidelift,github",False,,2026-04-28T00:16:12+00:00,26755,842,155,2026-04-27T13:18:12Z,8.4,138,10,True,5,2026-04-15T14:10:00Z,138,112,0.812,26,-7.5,-7.0,0.0181,6.2101,0.0145,0.1884,3.98,85.22,54.31,26.4,D,2026-04-27T13:18:12Z
aio-libs/aiobotocore,36618494,1196,77,67,1623,3,2026-04-27T23:49:57+00:00,20475,16115,1402,8.7,1260,1.27,32,2025,49037,68749874,14.7614,80.73,7.5,openssf_local,0,False,10,0,10,,2026-04-27T15:05:43+01:00,3,B,True,"open_collective,tidelift",False,,2026-04-28T00:16:13+00:00,1403,203,20,2026-04-27T13:18:12Z,10.6,67,10,True,5,2026-04-24T06:34:19Z,223,236,1.058,-13,6.7,10.3,0.0807,305.597,0.0,-0.194,71.5,39.03,8.45,28.68,D,2026-04-27T13:18:12Z
aio-libs/aiohttp,13258039,13256,833,403,1238,4,2026-04-27T23:50:03+00:00,87972,66837,5530,8.27,5608,0.91,162,2025,196964,1089210920,19.8159,90.48,7.4,openssf_local,15,True,13,3,13,,2026-04-27T15:07:05+01:00,3,B,True,"open_collective,tidelift,- https",False,,2026-05-17T23:35:55+00:00,16422,2260,211,2026-04-27T13:18:12Z,12.2,403,10,True,5,2026-04-27T13:05:02Z,857,948,1.106,-91,-8.2,23.3,0.1838,218.2928,0.0372,-0.2258,64.11,91.55,7.67,35.57,C,2026-04-27T13:18:12Z
