repo,repo_id,active_contributors,hhi_commits,bus_factor_commits,loc,concentration_class,complexity_class
0015/thatproject,195199001,1,10000,1,0,A,
0burak/imperial_hft,686801707,1,10000,1,0,A,
0vercl0k/rp,3554173,7,6384,1,0,B,
0vercl0k/wtf,384769357,14,7140,1,0,B,
0voice/algorithm-structure,272414961,2,9767,1,0,A,
0voice/awesome_c-cpp_projects,1027537455,1,10000,1,0,A,
0voice/cpp_new_features,384306145,4,8864,1,0,A,
0voice/introduce_c-cpp_manual,435394986,2,9467,1,0,A,
0voice/kernel_new_features,448868245,3,9375,1,0,A,
0x1abin/multibutton,66826068,11,1328,3,0,D,
0x1abin/multitimer,68795424,4,4556,1,0,C,
0x23/micromanipulatorstepper,1046129370,7,5794,1,0,B,
0xchocolate/flipperzero-wifi-marauder,517178329,91,2030,2,0,D,
0xfa11/multiplayernetworkingresources,118740023,12,6690,1,0,B,
0xjs/redteaming_cheatsheet,442224019,3,9940,1,0,A,
0xz0f/z0fcourse_reverseengineering,190000625,5,6837,1,0,B,
188080501/jqtools,58843490,2,6144,1,0,B,
1technophile/openmqttgateway,68460326,63,3486,1,0,C,
256dpi/arduino-mqtt,27349944,3,7686,1,0,B,
2ndquadrant/pglogical,58486879,16,1834,2,0,D,
2shady4u/godot-sqlite,175209102,17,7957,1,0,B,
2swap/swaptube,648080779,5,9808,1,0,A,
34736384/genshin-fps-unlock,363349493,7,7597,1,0,B,
3dgen/cppwasm-book,150200518,1,10000,1,0,A,
3proxy/3proxy,18551709,8,8630,1,0,A,
3shain/dxmt,716343738,9,9084,1,0,A,
4paradigm/openmldb,346976717,96,1035,4,0,D,
504ensicslabs/lime,24379459,10,1243,4,0,D,
78/xiaozhi-esp32,850267588,87,3287,1,0,C,
7h30th3r0n3/evil-m5project,734739273,15,9144,1,0,A,
7thsamurai/steganography,553771946,3,4062,1,0,C,
86box/86box,61964127,95,2633,2,0,C,
9176324/shark,153141222,1,10000,1,0,A,
9fans/plan9port,26095474,35,1038,5,0,D,
aahmad097/alternativeshellcodeexec,342985216,3,8504,1,0,A,
aantron/better-enums,35449048,2,5556,1,0,B,
