repo,repo_id,loc_eoy,sloc_eoy,scc_complexity_eoy,scc_density_eoy,cognitive_total,cognitive_avg,cognitive_max,cyclomatic_total,cyclomatic_avg,cyclomatic_max,loc_year,loc_eoy_p,scc_complexity_eoy_p,cognitive_max_p,cyclomatic_max_p,score
1g4-mirror/libunistring,gh/1165671691,13515,11218,965,8.6,113,2.46,39,140,3.04,25,2025,67.97,72.09,57.93,60.04,63.88
7rulnik/source-map-js,gh/330043541,7956,5709,504,8.83,593,1.5,38,818,2.07,29,2024,62.68,62.9,57.51,64.27,63.47
acornjs/acorn,gh/5932749,202344,136537,13508,9.89,13697,2.28,148,16541,2.76,77,2025,92.71,91.86,82.56,82.98,87.71
acornjs/acorn-jsx,gh/22187098,5683,5497,176,3.2,227,4.73,52,196,4.08,20,2022,58.46,51.48,64.06,52.11,55.19
agronholm/anyio,gh/145337588,25385,18814,2325,12.36,2030,0.99,43,3382,1.69,21,2025,76.96,80.44,60.25,54.02,64.48
agronholm/exceptiongroup,gh/447694800,3207,2499,523,20.93,555,3.12,73,508,2.99,36,2025,51.9,63.42,70.51,68.6,59.67
ai/nanoid,gh/99401299,857,663,82,12.37,49,0.65,9,116,1.55,7,2025,35.94,41.65,28.54,26.11,30.63
aio-libs-abandoned/async-timeout,gh/67703198,690,531,81,15.25,27,0.4,4,89,1.31,5,2025,33.09,41.44,16.7,18.6,24.81
aio-libs/aiobotocore,gh/36618494,20475,16115,1402,8.7,1260,1.27,32,1945,1.97,20,2025,74.21,75.69,53.59,52.11,62.19
aio-libs/aiohttp,gh/13258039,87972,66837,5530,8.27,5391,0.89,161,9816,1.62,92,2025,86.05,86.36,83.93,85.62,85.83
aio-libs/aiosignal,gh/205007356,653,329,32,9.73,18,0.69,13,37,1.42,8,2025,32.03,30.13,35.94,29.7,30.84
aio-libs/frozenlist,gh/204197530,1646,1062,85,8.00,31,0.28,5,126,1.38,5,2025,43.76,41.86,19.03,18.6,28.53
aio-libs/multidict,gh/51206425,16654,13446,2267,16.86,2300,2.31,59,2464,2.55,29,2025,71.46,80.02,66.81,64.27,67.77
aio-libs/propcache,gh/866565706,2076,1280,104,8.12,50,0.42,5,164,1.44,5,2025,47.46,44.29,19.03,18.6,29.71
aio-libs/yarl,gh/64756820,10405,7711,673,8.73,909,0.92,59,1558,1.59,38,2025,65.75,67.44,66.81,69.77,67.73
ajv-validator/ajv,gh/35914020,26567,23033,1934,8.4,1816,0.87,133,3529,1.69,65,2024,77.06,78.96,80.76,80.13,78.58
ajv-validator/ajv-formats,gh/281084700,674,606,19,3.14,20,0.53,6,56,1.47,7,2024,32.45,23.57,22.41,26.11,29.11
ajv-validator/ajv-keywords,gh/60477053,1976,1703,109,6.4,114,0.6,31,278,1.47,18,2022,46.19,44.82,52.75,50.0,48.06
alexei/sprintf.js,gh/9175790,542,495,0,0,8,0.17,7,51,1.09,4,2023,29.7,3.81,25.16,14.9,21.04
alexeyraspopov/picocolors,gh/410740124,752,663,12,1.81,6,0.09,2,73,1.07,2,2024,33.72,19.45,8.99,6.34,14.62
alexhuszagh/rust-lexical,gh/155286170,75422,48641,3693,7.59,3261,1.35,110,4674,1.94,61,2025,85.1,83.72,78.54,78.96,81.97
alexindigo/asynckit,gh/59087459,4944,3704,137,3.70,233,0.43,10,739,1.37,7,2025,56.87,48.31,30.13,26.11,38.53
amanieu/parking_lot,gh/58731560,15269,10138,1196,11.8,1046,1.4,30,1550,2.07,17,2025,70.08,74.42,51.9,48.84,58.50
andialbrecht/sqlparse,gh/4067434,7927,5954,533,8.95,751,1.43,50,1067,2.03,28,2025,62.47,63.74,63.53,63.32,62.89
andrewrk/node-pend,gh/11836813,192,178,11,6.18,10,0.29,5,43,1.23,6,2014,17.55,18.6,19.03,22.52,19.88
andyperlitch/jsbn,gh/9710533,1841,1529,441,28.84,370,3.16,37,401,3.43,25,2020,45.24,61.21,56.98,60.04,52.12
angular/angular-cli,gh/36891867,390196,334608,51480,15.39,11993,1.15,107,19496,1.87,69,2025,95.03,96.83,77.7,81.18,87.83
annotated-types/annotated-types,gh/487934134,751,564,29,5.14,29,0.76,6,65,1.71,6,2025,33.62,28.44,22.41,22.52,27.52
antonk52/lilconfig,gh/238967485,2611,2042,72,3.53,201,1.06,83,278,1.46,29,2025,49.58,40.17,72.94,64.27,56.45
apache/airflow,gh/33884891,1286426,933176,57892,6.2,53224,1.2,484,84335,1.92,98,2025,98.41,97.04,94.19,86.58,92.31
apache/arrow,gh/51905353,1181129,850760,66085,7.77,65175,1.19,387,105384,1.93,181,2025,98.1,97.78,93.23,92.07,95.04
apache/arrow-rs,gh/358917250,405336,299628,16049,5.36,26626,1.75,355,32876,2.16,138,2025,95.35,92.81,92.6,89.75,92.51
ardatan/graphql-tools,gh/54432168,61108,53446,3660,6.85,3628,1.03,213,5937,1.69,87,2025,83.62,83.62,87.1,84.99,84.30
ardatan/whatwg-node,gh/429511342,13599,12233,1495,12.22,1286,0.94,47,2381,1.75,30,2025,68.39,76.32,61.95,65.22,66.79
assert-rs/snapbox,gh/424722460,12374,9986,847,8.48,1269,2.1,59,1367,2.27,31,2025,67.55,70.61,66.81,66.07,66.81
astanin/python-tabulate,gh/205875548,8482,7196,473,6.57,595,1.47,86,881,2.18,74,2025,63.42,62.16,73.36,82.56,72.36
astral-sh/ruff,gh/523043277,842386,613615,55374,9.02,52683,1.17,1599,59953,2.22,485,2025,97.36,96.93,98.2,97.04,97.20
auth0/node-jwa,gh/8116861,930,766,38,4.96,33,0.34,7,130,1.34,8,2025,37.42,32.88,25.16,29.7,33.34
autotools-mirror/autoconf,gh/47662429,4159,2598,398,15.32,210,2.69,15,284,3.74,16,2025,54.76,60.36,38.9,46.3,50.35
autotools-mirror/gettext,gh/47662595,551411,429329,74950,17.46,96991,14.74,3496,67660,10.28,669,2025,96.41,98.1,98.94,97.57,96.99
autotools-mirror/libtool,gh/47662711,6882,4314,807,18.71,973,6.4,106,797,5.24,59,2025,61.21,69.56,77.48,78.33,69.24
autotools-mirror/m4,gh/66880383,8683,6048,1244,20.57,1234,7.35,77,1242,7.39,65,2025,63.74,74.84,71.46,80.13,71.47
aws/aws-cli,gh/6780767,109804,83115,4193,5.04,4572,0.68,69,10256,1.52,55,2025,88.05,84.04,70.08,77.27,82.48
aws/aws-sdk-js-crypto-helpers,gh/149673986,2793,2322,94,4.05,116,0.48,21,320,1.32,6,2025,50.11,42.92,45.14,22.52,33.59
aws/aws-sdk-js-v3,gh/87228090,7263086,3263406,41782,1.28,89331,0.82,157,163244,1.46,188,2025,99.47,96.3,83.4,92.71,96.03
