repo,repo_id,has_gh_sponsors,gh_sponsorships_in,gh_sponsorships_out,gh_sponsorships,gh_sponsorships_p,gh_stars,gh_forks,has_funding_link,funding_link_platforms,has_funding_json,org_fundable,has_npm_funding,npm_funding_url,has_pypi_funding,pypi_funding_platforms,channels_count,oc_slug,oc_avg_funding,oc_avg_funding_p,host,host_type,owner,owner_type,host_score,score,intent,nonprofit
7rulnik/source-map-js,330043541,True,2,0,2,41.34,102,13,False,,False,False,False,,False,,0,,0,100.0,,,,,1,74,True,True
acornjs/acorn,5932749,False,0,0,0,100.0,11372,1021,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
acornjs/acorn-jsx,22187098,False,0,0,0,100.0,670,76,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
adobe/react-spectrum,208362715,False,0,0,0,100.0,15031,1415,False,,False,False,False,,False,,0,,0,100.0,,,adobe.com,company,0,1,True,False
agronholm/anyio,145337588,False,0,0,0,100.0,2447,201,True,tidelift,False,False,False,,False,,1,,0,100.0,,,,,1,79,True,True
agronholm/exceptiongroup,447694800,False,0,0,0,100.0,48,23,True,tidelift,False,False,False,,False,,1,,0,100.0,,,,,1,79,True,True
ai/nanoid,99401299,True,23,2,25,19.66,26755,842,True,"github,tidelift",False,False,True,https://github.com/sponsors/ai,False,,3,,0,100.0,,,,,1,58,True,True
aio-libs/aiobotocore,36618494,True,7,0,7,32.51,1403,203,True,"github,open_collective,tidelift",False,False,False,,False,,3,aio-libs,1357.91,6.93,,,,,1,28,True,True
aio-libs/aiohttp,13258039,True,7,0,7,32.51,16422,2260,True,"github,open_collective,tidelift,custom",False,False,False,,False,,4,aio-libs,1357.91,6.93,,,,,1,28,True,True
aio-libs/aiosignal,205007356,True,7,0,7,32.51,163,21,True,"github,open_collective,tidelift,custom",False,False,False,,False,,4,aio-libs,1357.91,6.93,,,,,1,28,True,True
aio-libs/async-timeout,67703198,True,7,0,7,32.51,572,58,False,,False,False,False,,False,,0,aio-libs,1357.91,6.93,,,,,1,28,True,True
aio-libs/frozenlist,204197530,True,7,0,7,32.51,121,36,True,"github,open_collective,tidelift,custom",False,False,False,,False,,4,aio-libs,1357.91,6.93,,,,,1,28,True,True
aio-libs/multidict,51206425,True,7,0,7,32.51,490,122,True,"github,open_collective,tidelift,custom",False,False,False,,False,,4,multidict,0,100.0,,,,,1,69,True,True
aio-libs/propcache,866565706,True,7,0,7,32.51,33,18,True,"github,open_collective,tidelift,custom",False,False,False,,False,,4,aio-libs,1357.91,6.93,,,,,1,28,True,True
aio-libs/yarl,64756820,True,7,0,7,32.51,1479,188,True,"github,open_collective,tidelift,custom",False,False,False,,False,,4,aio-libs,1357.91,6.93,,,,,1,28,True,True
ajv-validator/ajv,35914020,False,0,0,0,100.0,14689,956,True,"github,tidelift,open_collective",False,False,True,https://github.com/sponsors/epoberezkin,False,,4,ajv,10393.16,3.91,,,,,1,34,True,True
ajv-validator/ajv-formats,281084700,False,0,0,0,100.0,221,41,True,"github,open_collective",False,False,False,,False,,2,,0,100.0,,,,,1,100,True,True
ajv-validator/ajv-keywords,60477053,False,0,0,0,100.0,257,50,True,"github,tidelift",False,False,False,,False,,2,,0,100.0,,,,,1,79,True,True
alexcrichton/tar-rs,21946092,False,0,0,0,100.0,717,234,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
alexei/sprintf.js,9175790,False,0,0,0,100.0,2141,283,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
alexeyraspopov/picocolors,410740124,False,0,0,0,100.0,1702,49,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
alexhuszagh/rust-lexical,155286170,False,0,1,1,43.69,356,40,False,,False,False,False,,False,,0,,0,100.0,,,,,1,76,False,True
alexindigo/asynckit,59087459,False,0,0,0,100.0,25,11,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
amanieu/parking_lot,58731560,False,0,0,0,100.0,3324,268,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
andialbrecht/sqlparse,4067434,False,0,0,0,100.0,4004,722,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
andrewrk/node-pend,11836813,True,27,0,27,19.44,15,6,False,,False,False,False,,False,,0,,0,100.0,,,,,1,58,True,True
andyperlitch/jsbn,9710533,False,0,0,0,100.0,173,41,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
angular/angular-cli,36891867,False,0,0,0,100.0,27040,11870,False,,False,False,False,,False,,0,,0,100.0,,,google.com,company,0,1,True,False
annotated-types/annotated-types,487934134,False,0,0,0,100.0,598,27,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
antonk52/lilconfig,238967485,True,2,1,3,40.0,186,10,False,,False,False,True,https://github.com/sponsors/antonk52,False,,1,,0,100.0,,,,,1,74,True,True
apache/airflow,33884891,False,0,0,0,100.0,45212,16941,False,,False,False,False,,False,,0,friends-of-grails,184.67,17.54,apache,nonprofit,,,0.5,44,True,True
apache/arrow,51905353,False,0,0,0,100.0,16691,4087,False,,False,False,False,,False,,0,friends-of-grails,184.67,17.54,apache,nonprofit,,,0.5,44,True,True
apache/arrow-rs,358917250,False,0,0,0,100.0,3443,1158,False,,False,False,False,,False,,0,friends-of-grails,184.67,17.54,apache,nonprofit,,,0.5,44,True,True
ardatan/graphql-tools,54432168,True,3,0,3,40.0,5425,828,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,74,True,True
ardatan/whatwg-node,429511342,True,3,0,3,40.0,194,37,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,74,True,True
assert-rs/snapbox,424722460,False,0,0,0,100.0,174,26,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
astanin/python-tabulate,205875548,False,0,0,0,100.0,2548,186,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
astral-sh/ruff,523043277,False,0,38,38,18.21,47269,2030,False,,False,False,False,,False,,0,astral-sh,2000,5.92,,,openai.com,company,0,1,True,False
auth0/node-jwa,8116861,False,0,0,0,100.0,102,45,False,,False,False,False,,False,,0,,0,100.0,,,auth0.com,company,0,1,True,False
autotools-mirror/autoconf,47662429,False,0,0,0,100.0,66,25,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
autotools-mirror/libtool,47662711,False,0,0,0,100.0,51,28,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
autotools-mirror/m4,66880383,False,0,0,0,100.0,28,4,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
aws/aws-cli,6780767,False,0,1,1,43.69,16905,4526,False,,False,False,False,,False,,0,,0,100.0,,,amazon.com,company,0,1,True,False
aws/aws-sdk-js-crypto-helpers,149673986,False,0,1,1,43.69,68,34,False,,False,False,False,,False,,0,,0,100.0,,,amazon.com,company,0,1,True,False
aws/aws-sdk-js-v3,87228090,False,0,1,1,43.69,3610,677,False,,False,False,False,,False,,0,,0,100.0,,,amazon.com,company,0,1,True,False
axios/axios,23088740,True,20,0,20,23.46,109033,11654,True,"github,open_collective",False,False,False,,False,,2,axios,32031.31,1.79,,,,,1,16,True,True
azure/azure-sdk-for-js,108311273,False,0,0,0,100.0,2290,1362,False,,False,False,False,,False,,0,,0,100.0,,,microsoft.com,company,0,1,True,False
azure/azure-sdk-for-python,4127088,False,0,0,0,100.0,5531,3289,False,,False,False,False,,False,,0,,0,100.0,,,microsoft.com,company,0,1,True,False
azuread/microsoft-authentication-library-for-python,67243113,False,0,0,0,100.0,958,214,False,,False,False,False,,False,,0,,0,100.0,,,microsoft.com,company,0,1,True,False
babel/babel,24560307,True,42,0,42,17.99,43896,5812,True,"github,open_collective",False,False,False,,False,,2,babel,65464.75,0.67,,,,,1,11,True,True
babel/babel-polyfills,190579283,True,42,0,42,17.99,356,61,True,"github,open_collective",False,False,False,,False,,2,babel,65464.75,0.67,,,,,1,11,True,True
babel/minify,55723051,True,42,0,42,17.99,4376,219,True,"github,open_collective",False,False,False,,False,,2,babel,65464.75,0.67,,,,,1,11,True,True
bdwgc/bdwgc,2109456,False,0,0,0,100.0,3453,434,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
beatgammit/base64-js,2853282,False,0,0,0,100.0,882,390,False,,False,False,True,https://github.com/sponsors/feross,False,,1,,0,100.0,,,,,1,79,True,True
benjaminp/six,77868600,False,0,0,0,100.0,1019,273,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
besser82/libxcrypt,35503965,False,0,0,0,100.0,235,62,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
bitflags/bitflags,29287955,False,0,0,0,100.0,1124,163,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
blakeembrey/array-flatten,17789771,True,10,3,13,27.93,86,20,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,65,True,True
blakeembrey/change-case,9440238,True,10,3,13,27.93,2402,102,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,65,True,True
bluss/bencher,65987276,True,0,0,0,100.0,92,16,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,True,True
bminor/glibc,13868694,False,0,0,0,100.0,1863,464,False,,False,False,False,,False,,0,,0,100.0,fsf.org,nonprofit,,,0.5,79,True,True
boto/boto3,24774658,False,0,0,0,100.0,9775,1968,False,,False,False,False,,False,,0,,0,100.0,,,amazon.com,company,0,1,True,False
boto/botocore,6670942,False,0,0,0,100.0,1613,1153,False,,False,False,False,,False,,0,,0,100.0,,,amazon.com,company,0,1,True,False
boto/s3transfer,49535299,False,0,0,0,100.0,232,152,False,,False,False,False,,False,,0,,0,100.0,,,amazon.com,company,0,1,True,False
brianc/node-postgres,991475,True,16,0,16,26.26,13114,1309,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,64,True,True
broofa/mime,534940,True,5,0,5,35.42,2355,322,True,github,False,False,True,https://github.com/sponsors/broofa,False,,2,,0,100.0,,,,,1,71,True,True
browserify/events,1649251,False,0,0,0,100.0,1409,174,True,tidelift,False,False,False,,False,,1,,0,100.0,,,,,1,79,True,True
browserify/node-util,14568009,False,0,0,0,100.0,254,92,True,tidelift,False,False,False,,False,,1,,0,100.0,,,,,1,79,True,True
browserify/randombytes,29300004,False,0,0,0,100.0,102,47,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
browserify/resolve,1915099,False,0,0,0,100.0,793,190,True,"github,tidelift",True,False,True,https://github.com/sponsors/ljharb,False,,4,,0,100.0,,,,,1,79,True,True
browserslist/browserslist,27971466,False,0,0,0,100.0,13527,763,True,"github,open_collective,tidelift",False,False,True,https://opencollective.com/browserslist,False,,4,browserslist,4300.28,4.92,,,,,1,37,True,True
browserslist/caniuse-lite,80221890,False,0,0,0,100.0,611,84,True,"github,open_collective,tidelift",False,False,True,https://opencollective.com/browserslist,False,,4,,0,100.0,,,,,1,79,True,True
browserslist/update-db,505548145,False,0,0,0,100.0,766,210,True,"github,open_collective,tidelift",False,False,True,https://opencollective.com/browserslist,False,,4,,0,100.0,,,,,1,79,True,True
burntsushi/aho-corasick,37290678,True,110,2,112,13.63,1233,114,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,51,True,True
burntsushi/jiff,759017108,True,110,2,112,13.63,2691,96,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,51,True,True
burntsushi/memchr,37290652,True,110,2,112,13.63,1431,140,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,51,True,True
burntsushi/quickcheck,17559913,True,110,2,112,13.63,2749,162,False,,False,False,False,,False,,0,,0,100.0,,,,,1,51,True,True
burntsushi/same-file,78375612,True,110,2,112,13.63,120,24,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,51,True,True
burntsushi/termcolor,141345580,True,110,2,112,13.63,487,55,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,51,True,True
burntsushi/ucd-generate,123997498,True,110,2,112,13.63,117,26,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,51,True,True
burntsushi/walkdir,42685794,True,110,2,112,13.63,1497,125,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,51,True,True
burntsushi/winapi-util,146040682,True,110,2,112,13.63,75,20,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,51,True,True
businho/pytest-ruff,599731435,False,0,0,0,100.0,35,9,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
bytecodealliance/rustix,295544240,False,0,0,0,100.0,1973,260,False,,False,False,False,,False,,0,,0,100.0,bytecodealliance.org,nonprofit,,,0.5,79,True,True
bytecodealliance/wasi-rs,196445196,False,0,0,0,100.0,351,63,False,,False,False,False,,False,,0,,0,100.0,bytecodealliance.org,nonprofit,,,0.5,79,True,True
c-ares/c-ares,571708,False,0,0,0,100.0,2132,658,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
calvinmetcalf/minimalistic-assert,29144257,False,0,0,0,100.0,19,4,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
calvinmetcalf/process-nextick-args,36039131,False,0,0,0,100.0,33,16,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
caolan/async,698041,False,0,0,0,100.0,28173,2381,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
certbot/certbot,26516210,False,0,0,0,100.0,33013,3495,True,custom,False,False,False,,False,,1,,0,100.0,eff.org,nonprofit,,,0.5,79,True,True
certifi/python-certifi,3060959,False,0,0,0,100.0,966,288,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
chaijs/type-detect,12107007,False,0,0,0,100.0,127,30,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
chalk/ansi-regex,20451415,False,0,0,0,100.0,202,90,True,"github,tidelift",False,False,True,https://github.com/chalk/ansi-regex?sponsor=1,False,,3,,0,100.0,,,,,1,79,True,True
chalk/ansi-styles,11803168,False,0,0,0,100.0,458,81,True,"github,tidelift",False,False,True,https://github.com/chalk/ansi-styles?sponsor=1,False,,3,,0,100.0,,,,,1,79,True,True
chalk/chalk,11855195,False,0,0,0,100.0,23161,959,True,"github,open_collective,tidelift,custom",False,False,True,https://github.com/chalk/chalk?sponsor=1,False,,5,,0,100.0,,,,,1,79,True,True
chalk/slice-ansi,43191689,False,0,0,0,100.0,51,18,True,"github,tidelift",False,False,True,https://github.com/chalk/slice-ansi?sponsor=1,False,,3,,0,100.0,,,,,1,79,True,True
chalk/strip-ansi,15014856,False,0,0,0,100.0,504,44,True,"github,tidelift",False,False,True,https://github.com/chalk/strip-ansi?sponsor=1,False,,3,,0,100.0,,,,,1,79,True,True
chalk/supports-color,11855007,False,0,0,0,100.0,367,90,True,github,False,False,True,https://github.com/chalk/supports-color?sponsor=1,False,,2,,0,100.0,,,,,1,79,True,True
