repo,repo_id,concentration,complexity,security,workload,risk_score
estools/escodegen,gh/3611422,100.00,90.94,95.74,91.61,94.50
gnome/libxml2,gl/gnome-1665,89.55,95.29,97.83,79.01,90.12
retep998/winapi-rs,gh/23853482,100.00,72.56,97.34,91.97,89.78
ethers-io/ethers.js,gh/63465664,100.00,90.40,77.53,91.97,89.60
mirror/ncurses,gh/22324756,100.00,90.10,94.69,71.82,88.47
freedesktop-unofficial-mirror/cairo,gh/34372735,100.00,92.79,98.08,66.17,88.09
evanw/esbuild,gh/61137153,94.79,93.70,75.72,87.88,87.68
moment/moment,gh/1424470,63.59,96.99,98.08,97.20,87.57
libjpeg-turbo/libjpeg-turbo,gh/39760454,95.86,92.49,87.68,75.51,87.53
zertosh/loose-envify,gh/41947687,100.00,73.29,92.76,84.31,87.01
gitoxidelabs/gitoxide,gh/136510559,83.14,92.38,93.96,78.86,86.86
tjguk/wmi,gh/23124645,100.00,62.92,98.83,89.88,86.46
ronaldoussoren/pyobjc,gh/243933900,99.34,95.88,64.75,90.41,86.41
nlnetlabs/unbound,gh/94195301,64.23,93.34,97.10,92.33,85.62
yaml/libyaml,gh/2699072,86.90,82.58,79.66,90.58,84.83
nodeca/argparse,gh/4325614,100.00,67.65,81.26,90.26,83.93
meinersbur/isl,gh/37677854,98.71,91.22,77.53,70.05,83.62
c-ares/c-ares,gh/571708,84.82,82.46,96.14,71.51,83.27
holmgren/nettle,gl/debian-50952,84.71,90.04,87.68,71.67,83.21
terser/terser,gh/29097127,80.86,91.84,72.71,87.02,82.79
gnutls/libtasn1,gl/919981,86.69,81.24,79.66,82.45,82.47
paramiko/paramiko,gh/119609,81.71,74.60,85.51,88.76,82.47
websockets/ws,gh/2744972,89.35,75.62,82.37,83.10,82.47
suguru03/neo-async,gh/27030361,100.00,71.95,96.49,65.84,82.22
xtuc/webassemblyjs,gh/113006071,60.96,89.40,98.08,83.85,81.82
andyperlitch/jsbn,gh/9710533,100.00,52.35,98.83,86.11,81.70
medikoo/es5-ext,gh/1792941,93.63,68.72,75.72,91.21,81.65
thkukuk/rpcsvc-proto,gh/55140533,77.06,70.69,98.08,81.96,81.35
mathiasbynens/regenerate,gh/10182772,100.00,54.95,92.76,85.24,81.19
eemeli/yaml,gh/119439276,96.05,82.36,72.71,75.32,81.13
jridgewell/resolve-uri,gh/196878944,95.51,60.57,86.47,85.79,80.94
libidn/libidn2,gl/2882658,90.77,71.92,77.53,82.91,80.49
csstree/csstree,gh/67236461,89.41,79.12,71.88,81.88,80.33
krb5/krb5,gh/4307702,65.60,93.79,96.14,70.20,80.27
mysticatea/event-target-shim,gh/31137469,100.00,47.06,97.34,89.00,79.91
frenic/csstype,gh/104001328,91.79,64.21,81.26,83.75,79.58
jonschlinkert/kind-of,gh/24491562,100.00,52.10,92.76,82.19,79.39
lxml/lxml,gh/1353927,89.44,78.32,89.86,62.77,79.28
webmproject/libwebp,gh/23368445,64.31,91.01,96.38,69.61,79.16
crossbeam-rs/crossbeam,gh/35566048,73.36,72.65,92.27,79.73,79.13
mrmlnc/fast-glob,gh/77467076,88.46,70.76,84.45,73.40,78.92
tqdm/tqdm,gh/36804486,86.71,69.57,82.37,77.18,78.69
mrabarnett/mrab-regex,gh/309446978,90.53,91.42,50.00,90.53,78.23
estools/esutils,gh/14677293,100.00,53.13,88.18,79.29,78.07
bytecodealliance/rustix,gh/295544240,84.47,84.55,72.71,71.08,77.95
nv/cssom,gh/1025209,66.33,72.02,92.76,83.22,77.93
dtolnay/paste,gh/155652490,100.00,53.58,72.71,94.48,77.89
gitlab-freedesktop-mirrors/libxcb,gh/444023705,100.00,59.36,95.74,64.44,77.79
garycourt/uri-js,gh/989080,79.06,53.43,97.34,88.82,77.74
pyca/cryptography,gh/11939484,64.89,87.91,95.65,65.16,77.22
microsoft/windows-rs,gh/208102250,81.87,85.31,72.71,69.16,76.98
pvorb/clone,gh/2317381,100.00,51.30,81.26,83.49,76.81
taiki-e/portable-atomic,gh/448365131,98.50,82.88,50.00,85.01,76.75
alexhuszagh/rust-lexical,gh/155286170,95.32,82.27,82.37,53.37,76.63
grantjenks/python-sortedcontainers,gh/17144859,87.12,57.44,81.26,84.03,76.46
google/brotli,gh/24993138,65.57,90.10,82.37,70.07,76.42
chaijs/type-detect,gh/12107007,100.00,49.55,86.47,79.46,76.39
dougwilson/nodejs-depd,gh/20848667,100.00,46.38,84.45,86.80,76.36
facebook/regenerator,gh/13346571,75.80,79.69,64.75,86.67,76.30
gkz/type-check,gh/13182168,100.00,43.46,95.74,81.37,76.28
gnome/pango,gh/4537144,78.16,92.37,75.72,61.59,76.17
