repo,repo_id,openssf_score,openssf_score_source,cve_count_5y,ossfuzz_enrolled,bestpractices_badge_id,openssf_score_p,cve_score,score,fetched_at
7rulnik/source-map-js,gh/330043541,3,openssf_local,0,False,,92.84,50.0,93,2026-04-27T15:53:04+01:00
acornjs/acorn,gh/5932749,5.2,openssf_local,0,False,,40.04,50.0,50,2026-04-27T14:56:11+01:00
acornjs/acorn-jsx,gh/22187098,3,openssf_local,0,False,,92.84,50.0,93,2026-04-27T21:27:31+01:00
adobe/react-spectrum,gh/208362715,5.8,openssf_local,0,False,,30.31,50.0,50,2026-05-03T17:32:33+01:00
agronholm/anyio,gh/145337588,6.2,openssf_local,0,False,,24.5,50.0,50,2026-05-03T17:32:33+01:00
agronholm/exceptiongroup,gh/447694800,4.4,openssf_local,0,False,,52.46,50.0,52,2026-04-27T21:27:41+01:00
ai/nanoid,gh/99401299,7.2,openssf_local,2,False,,9.62,82.2,82,2026-04-27T16:07:30+01:00
aio-libs/aiobotocore,gh/36618494,7.5,openssf_local,0,False,,6.26,50.0,50,2026-04-27T15:05:43+01:00
aio-libs/aiohttp,gh/13258039,7.4,openssf_local,15,True,,7.72,95.12,95,2026-04-27T15:07:05+01:00
aio-libs/aiosignal,gh/205007356,7.4,openssf_local,0,False,,7.72,50.0,50,2026-05-03T17:32:33+01:00
aio-libs/frozenlist,gh/204197530,6.5,openssf_local,0,False,,19.57,50.0,50,2026-05-03T23:21:24+01:00
aio-libs/multidict,gh/51206425,7.4,openssf_local,0,True,,7.72,50.0,50,2026-04-27T21:27:58+01:00
aio-libs/propcache,gh/866565706,6.8,openssf_local,0,False,,14.09,50.0,50,2026-04-27T21:28:15+01:00
aio-libs/yarl,gh/64756820,7.4,openssf_local,0,True,,7.72,50.0,50,2026-04-27T16:08:08+01:00
ajv-validator/ajv,gh/35914020,6.6,openssf_local,1,False,in_progress,17.0,72.68,73,2026-04-27T14:57:00+01:00
ajv-validator/ajv-formats,gh/281084700,3.9,openssf_local,0,False,,72.04,50.0,72,2026-05-03T17:33:20+01:00
ajv-validator/ajv-keywords,gh/60477053,4.7,openssf_local,0,False,,46.64,50.0,50,2026-04-27T16:08:33+01:00
