repo,repo_id,repo_age_years,active_contributors_git_5y,dormant,openssf_maintained,has_issues,push_cadence_years,pushed_at,issues_opened_5y,issues_closed_5y,issue_close_ratio,issue_close_ratio_p,net_new_issues_5y,slope_opened,slope_closed,issue_trend_score,issue_trend_score_p,loc_per_ac,loc_per_ac_p,cve_per_ac,cve_per_ac_p,nni_per_ac,nni_per_ac_p,score,fetched_at
7rulnik/source-map-js,gh/330043541,5.0,9,0,7,True,3,2026-02-01T23:10:10Z,12,7,0.583,77.21,5,-0.3,0.4,0.2917,6.95,884.0,77.63,0.0,78.08,0.5556,60.29,71,2026-04-27T13:18:12Z
acornjs/acorn,gh/5932749,13.3,48,0,10,True,5,2026-04-08T13:52:20Z,222,238,1.072,12.99,-16,0.9,-0.6,-0.0338,69.79,4215.5,93.85,0.0,78.08,-0.3333,11.43,44,2026-04-27T13:18:12Z
acornjs/acorn-jsx,gh/22187098,11.4,4,0,0,True,2,2022-12-04T10:44:38Z,12,7,0.583,77.21,5,-1.5,-0.7,0.3333,5.98,1420.75,83.89,0.0,78.08,1.25,81.33,81,2026-04-27T13:18:12Z
adobe/react-spectrum,gh/208362715,6.3,318,0,10,True,5,2026-04-27T06:25:39Z,2883,2421,0.84,51.35,462,52.5,93.9,0.0718,31.34,1435.9686,84.23,0.0,78.08,1.4528,83.37,82,2026-04-27T13:18:12Z
agronholm/anyio,gh/145337588,7.4,58,0,10,True,5,2026-04-27T18:00:41Z,297,253,0.852,49.51,44,-8.1,-6.6,0.0253,46.53,437.6724,62.53,0.0,78.08,0.7586,66.4,69,2026-04-27T18:55:19Z
agronholm/exceptiongroup,gh/447694800,4.0,8,0,1,True,4,2026-04-06T17:58:45Z,31,37,1.194,8.46,-6,0.2,0.7,0.0806,29.4,400.875,59.84,0.0,78.08,-0.75,5.54,30,2026-04-27T18:55:20Z
ai/nanoid,gh/99401299,8.4,69,0,10,True,5,2026-04-15T14:10:00Z,138,112,0.812,55.15,26,-7.5,-7.0,0.0181,49.43,12.4203,3.58,0.029,85.35,0.3768,53.39,25,2026-04-27T13:18:12Z
aio-libs/aiobotocore,gh/36618494,10.6,40,0,10,True,5,2026-04-24T06:34:19Z,223,236,1.058,13.85,-13,6.7,10.3,0.0807,29.24,511.875,66.89,0.0,78.08,-0.325,11.54,39,2026-04-27T13:18:12Z
aio-libs/aiohttp,gh/13258039,12.2,240,0,10,True,5,2026-04-27T13:05:02Z,857,948,1.106,10.91,-91,-8.2,23.3,0.1838,12.76,366.55,57.72,0.0625,89.49,-0.3792,9.73,37,2026-04-27T13:18:12Z
aio-libs/aiosignal,gh/205007356,6.3,8,0,10,True,5,2026-04-22T10:29:32Z,7,7,1.0,30.64,0,1.0,1.1,0.0714,32.15,81.625,20.25,0.0,78.08,0.0,35.97,38,2026-04-27T13:18:12Z
