repo,repo_id,openssf_score,cve_count_5y,ossfuzz_enrolled,fetched_at
10der/homeassistant-custom_components-awtrix,748539167,2.6,,False,2026-04-27
7rulnik/source-map-js,330043541,3.0,0,False,2026-04-27
acornjs/acorn,5932749,5.2,0,False,2026-04-27
acornjs/acorn-jsx,22187098,3.0,0,False,2026-04-27
adobe/react-spectrum,208362715,,0,False,
agronholm/anyio,145337588,,0,False,
agronholm/exceptiongroup,447694800,4.4,0,False,2026-04-27
ai/nanoid,99401299,7.2,2,False,2026-04-27
aio-libs/aiobotocore,36618494,7.5,0,False,2026-04-27
aio-libs/aiosignal,205007356,,0,False,
aio-libs/async-timeout,67703198,5.9,0,False,2026-04-27
aio-libs/frozenlist,204197530,,0,False,
aio-libs/propcache,866565706,6.8,0,False,2026-04-27
aio-libs/yarl,64756820,7.4,0,True,2026-04-27
ajv-validator/ajv,35914020,6.6,1,False,2026-04-27
ajv-validator/ajv-formats,281084700,,0,False,
alexcrichton/tar-rs,21946092,,2,True,
alexei/sprintf.js,9175790,1.8,0,False,2026-04-27
alexeyraspopov/picocolors,410740124,3.6,0,False,2026-04-27
alexhuszagh/rust-lexical,155286170,5.4,2,True,2026-04-27
alexindigo/asynckit,59087459,2.7,0,False,2026-04-27
amanieu/parking_lot,58731560,4.1,1,False,2026-04-27
andialbrecht/sqlparse,4067434,4.8,3,True,2026-04-27
andrewrk/node-pend,11836813,3.0,0,False,2026-04-27
andyperlitch/jsbn,9710533,2.4,0,False,2026-04-27
annotated-types/annotated-types,487934134,3.9,0,False,2026-04-27
antonk52/lilconfig,238967485,3.5,1,False,2026-04-27
apache/airflow,33884891,,90,True,
apache/arrow,51905353,6.9,4,True,2026-04-27
apache/arrow-rs,358917250,,3,False,
ardatan/graphql-tools,54432168,5.5,0,False,2026-04-27
ardatan/whatwg-node,429511342,5.7,0,False,2026-04-27
assert-rs/snapbox,424722460,,0,False,
astral-sh/ruff,523043277,6.3,0,False,2026-04-27
autotools-mirror/autoconf,47662429,4.1,,False,2026-04-27
autotools-mirror/libtool,47662711,3.4,,False,2026-04-27
autotools-mirror/m4,66880383,3.5,,False,2026-04-27
aws/aws-cli,6780767,6.0,0,False,2026-04-27
aws/aws-sdk-js-crypto-helpers,149673986,,0,False,
aws/aws-sdk-js-v3,87228090,5.6,0,False,2026-04-27
axios/axios,23088740,6.8,6,False,2026-04-27
azure/azure-sdk-for-js,108311273,6.1,1,False,2026-04-27
azure/azure-sdk-for-python,4127088,6.5,2,True,2026-04-27
azure/msrest-for-python,71186468,,0,False,
azuread/microsoft-authentication-library-for-python,67243113,,0,True,
babel/babel,24560307,6.6,2,False,2026-04-27
babel/babel-polyfills,190579283,4.6,0,False,2026-04-27
beatgammit/base64-js,2853282,3.0,0,False,2026-04-27
benjaminp/six,77868600,4.2,0,True,2026-04-27
besser82/libxcrypt,35503965,4.3,,False,2026-04-27
bincode-org/bincode,24130045,2.2,1,False,2026-04-27
bitflags/bitflags,29287955,6.8,0,False,2026-04-27
blakeembrey/array-flatten,17789771,3.6,0,False,2026-04-27
blakeembrey/change-case,9440238,4.0,0,False,2026-04-27
bluss/bencher,65987276,3.1,0,False,2026-04-27
bminor/glibc,13868694,3.6,,False,2026-04-07
boto/boto3,24774658,7.4,0,False,2026-04-27
boto/botocore,6670942,7.9,0,True,2026-04-27
boto/s3transfer,49535299,8.4,0,False,2026-04-27
braveg1rl/performance-now,336187529,2.2,0,False,2026-04-27
brianc/node-postgres,991475,5.5,0,False,2026-04-27
brianloveswords/node-jwa,8116861,4.6,0,False,2026-04-27
broofa/mime,534940,3.9,0,False,2026-04-27
broofa/node-int64,1208666,2.9,0,False,2026-04-27
browserify/node-util,14568009,3.6,0,False,2026-04-27
browserify/resolve,1915099,6.3,0,False,2026-04-27
browserslist/browserslist,27971466,6.4,1,False,2026-04-27
browserslist/update-db,505548145,3.2,0,False,2026-04-27
burntsushi/aho-corasick,37290678,6.3,0,False,2026-04-27
burntsushi/jiff,759017108,5.8,0,False,2026-04-27
burntsushi/memchr,37290652,6.7,0,False,2026-04-27
burntsushi/quickcheck,17559913,5.1,0,False,2026-04-27
burntsushi/same-file,78375612,3.0,0,False,2026-04-27
burntsushi/termcolor,141345580,3.3,0,False,2026-04-27
burntsushi/ucd-generate,123997498,3.2,0,False,2026-04-27
burntsushi/walkdir,42685794,2.9,0,False,2026-04-27
burntsushi/winapi-util,146040682,4.3,0,False,2026-04-27
businho/pytest-ruff,599731435,,0,False,
bytecodealliance/rustix,295544240,5.1,1,False,2026-04-27
bytecodealliance/wasi-rs,196445196,,0,False,
c-ares/c-ares,571708,6.3,,True,2026-04-07
calvinmetcalf/minimalistic-assert,29144257,2.8,0,False,2026-04-27
calvinmetcalf/process-nextick-args,36039131,3.0,0,False,2026-04-27
caolan/async,698041,4.4,1,False,2026-04-27
certbot/certbot,26516210,,0,False,
