"package","dependency","type"
"potrace","glibc","declared"
"docbook-xsl","docbook","declared"
"gexiv2","debian:gir1.2-gexiv2-0.10","declared"
"gexiv2","exiv2","declared"
"gexiv2","gcc","declared"
"gexiv2","glib","declared"
"gexiv2","glibc","declared"
"kservice","gcc","declared"
"kservice","glibc","declared"
"kservice","kconfig","declared"
"kservice","kcoreaddons","declared"
"kservice","kdbusaddons","declared"
"kservice","kdoctools","declared"
"kservice","ki18n","declared"
"kservice","qt","declared"
"libaccounts-glib","debian:gir1.2-accounts-1.0","declared"
"libaccounts-glib","glib","declared"
"libaccounts-glib","glibc","declared"
"libaccounts-glib","libxml2","declared"
"libaccounts-glib","sqlite","declared"
"eigen","debian:pkg-config","declared"
"libteam","dbus","declared"
"libteam","glibc","declared"
"libteam","libnl","declared"
"mvfst","double-conversion","declared"
"mvfst","fizz","declared"
"mvfst","fmt","declared"
"mvfst","folly","declared"
"mvfst","gflags","declared"
"mvfst","glog","declared"
"mvfst","openssl","declared"
"solid-hardware-abstraction","gcc","declared"
"solid-hardware-abstraction","glibc","declared"
"solid-hardware-abstraction","libimobiledevice","declared"
"solid-hardware-abstraction","libplist","declared"
"solid-hardware-abstraction","qt","declared"
"solid-hardware-abstraction","systemd","declared"
"solid-hardware-abstraction","util-linux","declared"
"liblouisutdml","debian:liblouisutdml-data","declared"
"liblouisutdml","glibc","declared"
"liblouisutdml","liblouis","declared"
"liblouisutdml","libxml2","declared"
"libudfread","glibc","declared"
"s-lang","glibc","declared"
"s-lang","libpng","declared"
"s-lang","oniguruma","declared"
"s-lang","zlib","declared"
"node-build","autoconf","declared"
"node-build","openssl","declared"
"node-build","pkgconf","declared"
"tinysparql","dbus","declared"
"tinysparql","debian:gir1.2-gio-2.0","declared"
"tinysparql","debian:gir1.2-glib-2.0","declared"
"tinysparql","debian:gir1.2-gobject-2.0","declared"
"tinysparql","debian:gir1.2-tsparql-3.0","declared"
"tinysparql","debian:libtinysparql-doc","declared"
"tinysparql","gettext","declared"
"tinysparql","glib","declared"
"tinysparql","glibc","declared"
"tinysparql","icu","declared"
"tinysparql","json-glib","declared"
"tinysparql","libsoup","declared"
"tinysparql","libxml2","declared"
"tinysparql","snowballstemmer","declared"
"tinysparql","sqlite","declared"
"libva","glibc","declared"
"libva","libdrm","declared"
"libva","libglvnd","declared"
"libva","libx11","declared"
"libva","libxcb","declared"
"libva","libxext","declared"
"libva","libxfixes","declared"
"libva","perl:set-scalar","declared"
"libva","wayland","declared"
"spidermonkey","gcc","declared"
"spidermonkey","glibc","declared"
"spidermonkey","icu","declared"
"spidermonkey","nspr","declared"
"spidermonkey","readline","declared"
"spidermonkey","tzdata","declared"
